DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,21.9,23,21.8,22.8,21.9,"132,131"
2019-06-27,22.5,23.5,22.5,22.9,22.7,"277,507"
2019-06-26,23,23,22.5,22.6,22.8,"109,232"
2019-06-25,22.2,23.5,22.2,23.5,22.6,"168,141"
2019-06-24,23.5,24,23.3,23.3,23.5,"367,072"
2019-06-23,22.8,23.7,22.7,23.4,23.4,"177,200"
2019-06-20,23,24.3,23,24,23.4,"260,448"
2019-06-19,23.9,25.4,23.9,24.7,24.3,"592,114"
2019-06-18,24.6,25.8,24.2,24.8,24.5,"1,101,447"
2019-06-17,24.7,25.2,22.7,22.8,24.8,"1,219,281"
2019-06-16,22.5,24.3,22.5,23.3,23,"584,079"
2019-06-13,23.4,23.7,21.9,22.1,23.3,"1,451,955"
2019-06-12,22,22,20.5,21.4,21.9,"667,577"
2019-06-11,21,21.7,20.8,21.4,21,"294,582"
2019-06-10,21,21.2,20.5,20.9,21.1,"144,993"
2019-06-09,20.8,21.7,20.6,21.7,21,"117,976"
2019-05-30,21.2,21.7,20.9,21.4,21.2,"371,377"
2019-05-29,20.9,21.4,20.7,20.7,21,"89,030"
2019-05-28,21.2,21.4,20.6,21.3,21,"410,385"
2019-05-26,21.9,22.1,20.9,21.8,21.8,"1,062,248"
2019-05-23,21.5,21.8,20.7,21,21.4,"509,285"
2019-05-22,20.8,21,19.4,19.4,20.7,"625,789"
2019-05-21,19.4,19.4,18.5,18.5,19.2,"259,757"
2019-05-20,18.7,19.7,18.7,19.5,18.8,"80,275"
2019-05-19,19.6,19.8,18.8,19,19.6,"390,055"
2019-05-16,18.8,18.8,18.5,18.7,18.7,"81,779"
2019-05-15,18.4,18.7,18.4,18.5,18.6,"62,360"
2019-05-14,18.3,18.4,18.3,18.3,18.4,"29,670"
2019-05-13,18.5,18.6,18.4,18.6,18.5,"14,110"
2019-05-12,18.3,18.8,18.3,18.5,18.4,"48,457"
2019-05-09,18.6,18.7,18.4,18.7,18.5,"13,756"
2019-05-08,18.7,18.8,18.2,18.8,18.6,"30,540"
2019-05-07,18.8,19,18.3,19,18.4,"70,806"
2019-05-06,18.8,19.4,18.6,19.1,18.8,"148,544"
2019-05-05,18.9,19.9,18.8,18.8,19.3,"221,628"
2019-05-02,18.9,19,18,18,18.7,"174,394"
2019-04-30,17.7,18.5,17.7,17.8,17.7,"131,445"
2019-04-29,17.6,18,17.6,17.8,17.6,"84,120"
2019-04-28,17.4,18.4,17.2,18.4,17.4,"109,724"
2019-04-25,18,19.5,18,19.5,18.1,"107,367"
2019-04-24,18.5,19.2,18.5,19.2,18.7,"75,611"
2019-04-23,19.3,19.8,19.3,19.5,19.4,"48,870"
2019-04-21,19.5,20.6,19.5,20.1,19.6,"85,721"
2019-04-18,20.1,20.3,20,20.2,20.1,"117,707"
2019-04-17,19.5,20.3,19.5,19.6,19.9,"176,814"
2019-04-16,19.7,20,19.2,19.5,19.7,"89,917"
2019-04-15,19.9,20.2,19.9,20.1,20,"42,742"
2019-04-11,20.2,20.5,19.8,19.8,20,"70,560"
2019-04-10,20.4,20.4,19.7,19.7,20.3,"136,262"
2019-04-09,19.4,20.7,19.4,20.7,19.6,"62,093"
2019-04-08,20.2,20.2,19.8,20.2,20,"90,375"
2019-04-07,20.1,21.4,20.1,21.4,20.3,"112,432"
2019-04-04,20.6,21.3,20.5,20.7,20.8,"125,995"
2019-04-03,20.7,21.6,20.6,21.6,20.7,"195,877"
2019-04-02,21.3,22.5,21.2,22,21.4,"159,503"
2019-04-01,21.7,21.9,20.3,20.3,21.6,"238,470"
2019-03-31,20.6,20.7,20.2,20.5,20.3,"69,956"
2019-03-28,20.1,20.8,20.1,20.4,20.2,"95,934"
2019-03-27,20.1,20.6,20,20.3,20.1,"155,676"
2019-03-25,20.5,20.8,20.1,20.8,20.2,"99,883"
2019-03-24,20.6,21,20.5,21,20.7,"37,480"
2019-03-21,21.2,21.2,20.1,20.2,21.1,"111,692"
