DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,32,32.4,31.5,31.5,31.7,"12,194"
2019-06-27,32,33,31.3,33,31.7,"10,510"
2019-06-26,32.5,32.5,32,32,32.3,"19,460"
2019-06-25,32.3,32.8,31.6,31.6,31.7,"28,883"
2019-06-24,31.2,32.4,31.2,32,31.4,"25,097"
2019-06-23,32,32,30.9,32,31.4,"6,983"
2019-06-20,31.8,32.7,30.7,31.1,31.2,"13,011"
2019-06-19,31.2,33,31.2,32.1,31.5,"27,121"
2019-06-18,31.7,32.9,31.6,31.6,31.8,"13,553"
2019-06-17,32,32.9,31.2,32.2,31.4,"19,861"
2019-06-16,32,33.4,32,33,32.2,"34,548"
2019-06-13,32.4,34.7,31,34.7,32.7,"38,954"
2019-06-12,33.5,34.6,33.4,34.2,33.6,"28,674"
2019-06-11,34,34.8,33.7,34.8,34,"28,187"
2019-06-10,34.8,35.8,33.7,33.7,34.8,"20,117"
2019-06-09,33.5,34.4,33.2,33.5,33.3,"21,528"
2019-05-30,34,37.8,34,37.8,34.5,"30,125"
2019-05-29,35.3,35.5,34.2,34.2,35.4,"27,167"
2019-05-28,34.1,35,34,35,34.1,"20,618"
2019-05-27,34.8,35,34.4,34.4,34.6,"15,930"
2019-05-26,34.7,35.7,34.7,34.9,35.1,"37,359"
2019-05-23,35.9,36.5,34.6,35.3,35.7,"48,590"
2019-05-22,35,35,33.3,33.3,34.8,"39,085"
2019-05-21,34.1,34.1,33.4,34.1,33.7,"32,815"
2019-05-20,33.3,34,33,34,33.4,"15,549"
2019-05-19,33.6,35,32.9,35,33.6,"18,795"
2019-05-16,33.1,33.9,32.7,33.9,33.1,"18,163"
2019-05-15,32.9,33.5,32.6,33.5,32.7,"21,127"
2019-05-14,33.4,33.9,32.9,33.9,33.3,"29,690"
2019-05-13,33.5,34.7,33.1,34.7,33.4,"15,516"
2019-05-12,33.8,35,33.7,35,34,"37,443"
2019-05-09,34.2,35,33.5,34.6,33.6,"21,206"
2019-05-08,33.6,34.5,33.6,34.5,33.7,"29,055"
2019-05-07,33.9,34.9,33.4,34.9,33.8,"21,451"
2019-05-06,33.8,35.2,33.5,34.5,33.6,"24,511"
2019-05-05,33.7,36.9,33.7,36.9,34.2,"60,329"
2019-05-02,35.5,35.8,34,34,34.9,"59,801"
2019-04-30,33.3,36.9,32.9,36,33.1,"190,461"
2019-04-29,35.6,38.1,34.4,38.1,35.3,"61,424"
2019-04-28,38,39.1,36,36,38,"112,464"
2019-04-25,36,36,34.9,34.9,35.7,"52,654"
2019-04-24,34.8,35.7,33.8,35.7,35,"66,922"
2019-04-23,34.9,35.5,33.1,35.5,34.7,"57,519"
2019-04-21,34.6,36.3,33.9,34.1,34.7,"75,240"
2019-04-18,33.3,33.5,32.6,33.4,33.1,"86,707"
2019-04-17,33,33.4,31.9,33,32.8,"68,647"
2019-04-16,32.3,34.5,31,33,31.9,"107,225"
2019-04-15,33.5,33.5,31,32.4,33.5,"214,270"
2019-04-11,30.3,30.8,29,29,30.5,"57,020"
2019-04-10,29.4,29.5,28.6,29,29.2,"43,765"
2019-04-09,28.6,29.1,28.5,28.8,28.5,"16,471"
2019-04-08,29,29.4,28.5,28.5,28.9,"54,985"
2019-04-07,29.4,29.9,29,29.5,29.3,"35,677"
2019-04-04,28.9,29,28,28,28.9,"32,480"
2019-04-03,28.2,29.2,28,28,28.2,"15,952"
2019-04-02,29.1,29.4,27.3,27.3,29,"66,722"
2019-04-01,26.8,27.3,26.5,26.5,26.9,"4,403"
2019-03-31,27,27.2,26,26.6,26.5,"23,318"
2019-03-28,27.1,27.4,26.7,27,27,"4,555"
2019-03-27,27.2,27.2,26,26.5,26.9,"32,561"
2019-03-25,25.5,26.8,25.5,26.8,25.8,"41,105"
2019-03-24,26.1,26.4,25.6,26.4,26.1,"15,800"
2019-03-21,25.4,26.2,25.4,25.7,25.6,"10,676"
2019-03-20,25.8,25.9,25.5,25.7,25.6,"4,143"
2019-03-19,25.9,26.9,25.3,25.7,25.7,"31,391"
2019-03-18,25.9,26.4,25.6,25.8,25.7,"22,945"
2019-03-14,25.8,26.1,25.7,25.7,25.9,"6,998"
2019-03-13,25.3,26.7,25.3,26.7,25.8,"11,905"
2019-03-12,26.2,26.9,26,26.7,26.2,"14,210"
2019-03-11,26.2,26.5,26,26.5,26.1,"9,349"
2019-03-10,26.1,26.8,26,26.8,26.2,"5,020"
2019-03-07,26,26.9,25.7,25.7,25.9,"15,069"
2019-03-06,26,27.9,26,27.4,26.1,"24,172"
2019-03-05,26.4,27.5,26.4,26.6,26.6,"14,720"
2019-03-04,26.4,26.8,26.1,26.8,26.4,"12,706"
2019-03-03,26.6,27,26.2,26.3,26.3,"15,790"
2019-02-27,26.6,27.3,26.1,26.2,26.3,"21,920"
2019-02-26,26.3,26.7,26,26.7,26.2,"13,825"
2019-02-25,27,27.3,26.6,27,26.8,"18,837"
2019-02-24,27.4,27.9,26.5,27.9,27.1,"20,954"
2019-02-20,27.6,29,27.2,27.9,27.7,"16,254"
2019-02-19,27.4,27.6,25.6,26.9,27.3,"39,150"
2019-02-18,26.4,27.2,25.5,26.1,26.1,"48,767"
2019-02-17,25.9,26.9,25.5,26.9,25.8,"62,224"
2019-02-14,26.5,29.5,26.5,29.5,26.8,"85,308"
2019-02-13,28.2,28.7,26.7,28.5,28.4,"58,099"
2019-02-12,28.9,29.8,28.7,29,29,"25,469"
2019-02-11,29.5,29.5,28.5,29.5,29,"33,898"
2019-02-10,28.6,31.1,28.6,31.1,28.8,"30,547"
2019-02-07,29.1,30,29,30,29.4,"52,502"
2019-02-06,29.4,30.7,28.8,30.7,29.1,"52,150"
2019-02-05,30.5,30.7,29.1,29.4,29.8,"22,295"
2019-02-04,29.3,30.2,29,30.2,29.1,"21,547"
2019-02-03,28.5,31.9,28.1,31.9,28.6,"90,237"
2019-01-31,29.5,32,29.5,31.2,30.1,"54,928"
2019-01-30,30.6,30.7,29.8,29.9,30.4,"23,393"
2019-01-29,30.1,30.9,29.2,30,29.5,"41,939"
2019-01-28,29.3,30.9,28.5,29.1,29,"24,533"
2019-01-27,29.5,32.2,29.2,32.2,29.4,"21,569"
2019-01-24,31,33.2,30.1,31,31,"70,599"
