DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,44.6,45.9,43.7,44,43.9,"748,014"
2019-06-27,44.3,44.5,43.7,44.5,44,"289,959"
2019-06-26,44.4,44.9,43.8,44.8,44.5,"301,096"
2019-06-25,45.2,45.5,43,43,44.8,"527,493"
2019-06-24,43,43.5,42.6,43.5,42.8,"149,814"
2019-06-23,42.8,43.8,42,43.8,42.4,"88,351"
2019-06-20,43.7,44.6,43,43.5,43.8,"264,300"
2019-06-19,43.9,43.9,43,43,43.7,"70,202"
2019-06-18,43.6,43.7,42.5,43,42.9,"229,094"
2019-06-17,43.3,43.9,42.7,43.4,43,"164,931"
2019-06-16,44.5,46,44,45.7,44.3,"178,250"
2019-06-13,45,45.4,43.5,44,44.7,"363,212"
2019-06-12,44,44.5,43.2,44.1,43.7,"98,380"
2019-06-11,44.2,44.3,42.2,42.2,44.1,"332,067"
2019-06-10,42.6,42.6,41.6,41.6,42.2,"82,575"
2019-06-09,42,42.5,41.5,42.5,41.6,"34,095"
2019-05-30,41.7,42.2,40.8,41.9,41.7,"41,480"
2019-05-29,41.4,41.5,41.2,41.5,41.4,"9,504"
2019-05-28,41.2,41.8,40.2,40.7,40.8,"75,130"
2019-05-27,40.8,43.9,40,43.9,40.5,"65,417"
2019-05-26,41,43.2,40.9,43.2,41.1,"104,260"
2019-05-23,42.8,43.9,42.2,43.9,42.4,"41,170"
2019-05-22,43,43.2,42.5,43.2,42.9,"16,410"
2019-05-21,42.7,43.6,42,43.6,42.6,"49,810"
2019-05-20,43.3,43.8,42.8,43.8,43,"19,936"
2019-05-19,43.8,44.5,43,43.9,43.4,"16,135"
2019-05-16,43.6,43.6,41.9,43.2,43.2,"49,280"
2019-05-15,43.3,43.5,42.1,43.2,42.4,"25,938"
2019-05-14,42.7,43.3,42.4,43.3,42.7,"18,346"
2019-05-13,43.3,43.9,42.8,43.4,42.9,"12,906"
2019-05-12,43.5,43.7,42.9,43.7,43.4,"48,418"
2019-05-09,42.8,43.8,42.4,43,42.7,"50,358"
2019-05-08,43,44.1,42.2,44.1,42.4,"132,902"
2019-05-07,43.8,45,43.4,45,43.6,"66,350"
2019-05-06,44.9,46,44,44.6,44.5,"248,208"
2019-05-05,44.7,44.7,43.1,43.1,44.6,"400,011"
2019-05-02,43.3,44,41.8,41.8,43.6,"143,468"
2019-04-30,42.5,42.8,41.4,41.9,41.8,"27,731"
2019-04-29,42.8,43,42,43,42.3,"76,806"
2019-04-28,42.3,42.9,41.8,41.8,42.7,"46,835"
2019-04-25,42.1,42.1,40.7,41.2,41.9,"43,377"
2019-04-24,41.3,42.8,40.6,42.8,40.8,"28,486"
2019-04-23,42,42.4,40.7,42.4,41.1,"32,550"
2019-04-21,42.7,43,42.7,42.7,42.8,"40,092"
2019-04-18,42.3,42.8,40.5,41,42.6,"100,918"
2019-04-17,40.5,41,39.4,41,40.2,"26,121"
2019-04-16,40.6,41.6,40.6,41,41,"274,300"
2019-04-15,41.1,41.6,41.1,41.5,41.3,"8,175"
2019-04-11,41.5,42,40.7,41.2,41.3,"64,510"
2019-04-10,41.1,41.8,40.8,41.8,41.1,"27,776"
2019-04-09,41.9,42.4,41,41.7,41.5,"82,478"
2019-04-08,42,42.5,41.5,42.5,41.7,"27,859"
2019-04-07,42.6,43.1,42.3,42.8,42.3,"38,933"
2019-04-04,43.2,43.2,42.5,43,42.8,"25,392"
2019-04-03,43.4,44.3,42.5,44.3,42.8,"81,146"
2019-04-02,43.9,44.4,43.6,43.8,43.7,"52,998"
2019-04-01,44,44.1,43,43,43.8,"85,285"
2019-03-31,43.3,43.3,42.7,43.2,43.1,"22,060"
2019-03-28,43.3,43.5,42.9,43.4,43,"55,000"
2019-03-27,43.2,44.3,43.1,43.5,43.2,"107,160"
2019-03-25,43,43.5,42.5,42.5,43,"70,570"
2019-03-24,42.7,44.7,41.8,44.7,42.3,"143,755"
2019-03-21,43.7,43.9,43,43.9,43.6,"69,849"
2019-03-20,43.2,44.6,43,44.6,43.3,"207,150"
2019-03-19,44,44.3,43.6,44,44,"39,658"
2019-03-18,43.9,44.8,43.1,44.8,43.6,"58,771"
2019-03-14,44.3,44.7,43,44.7,43.7,"127,557"
2019-03-13,44.4,46.3,44.4,46.3,44.5,"69,707"
2019-03-12,45.8,46.8,45.7,46.8,45.9,"70,883"
2019-03-11,46,47,46,47,46.1,"132,180"
2019-03-10,46.7,47.1,46.5,46.9,46.7,"84,087"
2019-03-07,46.8,46.9,46,46.5,46.6,"181,479"
2019-03-06,46.5,47.5,46.1,46.9,46.2,"274,136"
2019-03-05,46.7,47.9,46.3,47,46.4,"243,546"
2019-03-04,46.8,47,46.3,47,46.8,"124,749"
2019-03-03,46.8,47.9,46.3,47.4,46.6,"154,249"
2019-02-27,47.2,48.2,46.1,47.9,46.9,"273,050"
2019-02-26,47.6,48.4,46.7,47,47.1,"259,724"
2019-02-25,46.8,48,46.2,48,46.5,"296,009"
2019-02-24,47.3,48.3,46.7,48.3,47,"222,683"
2019-02-20,48,48.5,47.4,48,47.6,"136,269"
2019-02-19,47.9,49,47.4,49,47.7,"157,217"
2019-02-18,48.2,49,47.6,48.6,47.9,"221,303"
2019-02-17,48.6,49.5,48.1,49.5,48.4,"289,187"
2019-02-14,49,50,48.6,49.5,48.9,"389,680"
2019-02-13,49.2,50,48.9,49.4,49.2,"429,543"
2019-02-12,49.6,49.6,47.7,48.4,49.1,"542,733"
2019-02-11,48.1,49,47.7,49,48,"255,590"
2019-02-10,49,50,48.1,49.5,48.7,"181,677"
2019-02-07,49.6,49.7,48.7,49,49.5,"664,957"
2019-02-06,48.6,49.9,47.8,49.9,48.1,"142,690"
2019-02-05,49.6,50,48.5,49.8,49.7,"459,204"
2019-02-04,48.5,49.8,48.3,49.8,48.7,"302,102"
2019-02-03,48.8,49.9,48.5,49,49,"240,219"
2019-01-31,48.4,50.5,48.2,50,48.4,"310,295"
2019-01-30,49.2,50.8,49.2,50.2,49.9,"424,117"
2019-01-29,49.7,52.5,49.6,52.5,50.2,"789,031"
2019-01-28,51.3,53.2,50.2,53.1,50.8,"681,659"
2019-01-27,52.8,53.1,50.5,51.3,52.5,"1,332,202"
2019-01-24,50.4,50.6,48.4,48.5,50.2,"1,256,124"
2019-01-23,48.6,48.6,47.1,47.8,48.3,"275,915"
2019-01-22,47.9,49.6,47.8,47.9,48.1,"573,306"
2019-01-21,48.5,49.2,46.8,47.1,48.7,"477,777"
