DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,18,18,17.5,17.6,18,"707,311"
2019-06-27,17.7,17.9,17.5,17.5,17.8,"222,695"
2019-06-26,17.7,17.8,17.5,17.5,17.8,"213,734"
2019-06-25,17.6,17.8,17.4,17.4,17.5,"238,515"
2019-06-24,17.4,17.8,17.3,17.6,17.4,"251,136"
2019-06-23,17.7,17.9,17.4,17.4,17.6,"131,768"
2019-06-20,17.5,18.1,17.5,18.1,17.6,"252,199"
2019-06-19,17.7,17.9,17.5,17.6,17.8,"195,783"
2019-06-18,17.5,17.8,17.3,17.6,17.5,"265,648"
2019-06-17,17.6,18,17.6,18,17.6,"242,770"
2019-06-16,17.9,18.4,17.7,18.3,17.8,"225,239"
2019-06-13,18.4,18.5,18.2,18.3,18.3,"753,288"
2019-06-12,18.3,18.4,18.1,18.1,18.3,"658,437"
2019-06-11,18.3,18.3,18.1,18.3,18.2,"257,944"
2019-06-10,18.3,18.4,17.9,18,18.3,"593,452"
2019-06-09,17.7,18.4,17.6,18.4,17.9,"251,794"
2019-05-30,18.3,18.5,18.1,18.3,18.3,"422,779"
2019-05-29,18.3,18.5,18,18.1,18.4,"789,055"
2019-05-28,18.2,18.2,17.8,18,18.1,"547,630"
2019-05-27,18,18,17.4,17.7,17.9,"711,929"
2019-05-26,17.5,18,17.1,17.4,17.6,"1,254,026"
2019-05-23,17.5,17.5,17.2,17.2,17.3,"404,195"
2019-05-22,17.2,17.7,17.1,17.4,17.2,"507,336"
2019-05-21,17.5,17.5,17.3,17.5,17.4,"660,628"
2019-05-20,17.7,18,17.5,18,17.6,"1,415,449"
2019-05-19,18.2,18.4,17.7,17.9,18,"1,260,505"
2019-05-16,17.7,17.8,17.2,17.8,17.7,"2,345,827"
2019-05-14,19,19.2,18.9,19.1,19,"4,555,711"
2019-05-13,19,19.3,18.9,19.2,19,"3,463,717"
2019-05-12,19.1,19.3,18.9,19.3,19.1,"2,018,450"
2019-05-09,19.2,19.3,19.1,19.1,19.2,"1,066,499"
2019-05-08,19.2,19.4,19.1,19.4,19.1,"822,808"
2019-05-07,19.4,19.6,19.2,19.6,19.4,"639,647"
2019-05-06,19.5,19.6,19.3,19.6,19.4,"697,556"
2019-05-05,19.5,19.5,19.2,19.3,19.5,"1,291,521"
2019-05-02,19.3,19.4,19.1,19.3,19.3,"471,295"
2019-04-30,19.2,19.3,18.9,19,19.2,"1,353,747"
2019-04-29,19,19.1,18.8,19.1,18.9,"1,027,883"
2019-04-28,19.2,19.2,18.9,18.9,19.1,"777,758"
2019-04-25,19.1,19.1,18.7,18.9,19,"3,058,349"
2019-04-24,18.9,19,18.4,18.6,18.9,"1,330,727"
2019-04-23,18.4,18.8,18.1,18.5,18.5,"3,656,258"
2019-04-21,18.1,18.1,17.8,17.8,18.1,"873,244"
2019-04-18,17.9,18,17.6,17.9,17.8,"582,065"
2019-04-17,17.8,17.8,17.2,17.4,17.6,"546,819"
2019-04-16,17.3,17.5,17,17,17.3,"389,844"
2019-04-15,17,17.5,16.8,16.8,17,"216,461"
2019-04-11,16.7,17.7,16.7,17.3,16.9,"379,368"
2019-04-10,17.5,17.9,17.2,17.4,17.3,"478,447"
2019-04-09,17.9,18,17.2,17.2,17.6,"724,140"
2019-04-08,17.5,17.6,17,17.1,17.2,"385,006"
2019-04-07,17.3,17.4,17,17.2,17.3,"482,109"
2019-04-04,17.4,17.4,16,16,17,"536,888"
2019-04-03,16.5,16.9,16.2,16.6,16.3,"238,272"
2019-04-02,16.9,17.5,16.8,17.2,16.8,"683,800"
2019-04-01,17.2,17.7,17.2,17.7,17.4,"564,503"
2019-03-31,17.7,17.9,17.5,17.5,17.6,"102,558"
2019-03-28,17.7,18,17.5,17.9,17.5,"401,410"
2019-03-27,17.8,18.1,17.7,17.8,17.7,"190,782"
2019-03-25,17.9,18.3,17.5,18,17.7,"373,132"
2019-03-24,18.2,18.8,17.9,18.7,18.2,"447,800"
2019-03-21,18.8,19.2,18.6,19.2,18.7,"389,404"
2019-03-20,19,19.5,19,19.2,19,"246,855"
2019-03-19,19.1,19.3,18.9,18.9,19.2,"378,613"
2019-03-18,18.9,19.5,18.9,19.3,19.1,"665,612"
2019-03-14,19.3,19.6,19.2,19.4,19.3,"398,895"
2019-03-13,19.5,19.8,19.3,19.6,19.3,"820,509"
2019-03-12,19.3,19.5,19.3,19.4,19.4,"388,367"
2019-03-11,19.6,19.8,19.3,19.8,19.6,"692,539"
2019-03-10,19.7,19.8,19.5,19.8,19.7,"222,614"
2019-03-07,19.7,19.8,19.2,19.3,19.6,"1,271,873"
2019-03-06,19.2,19.6,19.2,19.4,19.3,"972,306"
2019-03-05,19.5,19.6,19.3,19.3,19.5,"1,014,950"
2019-03-04,19.3,19.6,19.3,19.5,19.3,"401,111"
2019-03-03,19.5,19.6,19.2,19.5,19.5,"855,310"
2019-02-27,19.3,19.5,19.2,19.5,19.3,"318,578"
2019-02-26,19.2,19.6,19.2,19.6,19.3,"429,690"
2019-02-25,19.7,19.8,19,19,19.7,"1,020,222"
2019-02-24,19,19.2,18.9,19.2,19,"816,679"
2019-02-20,19.4,19.5,19,19.5,19.2,"482,057"
2019-02-19,19.2,19.2,18.9,19.1,19,"190,537"
2019-02-18,19.1,19.7,19,19.7,19.1,"595,441"
2019-02-17,19.5,19.6,18.7,19,19.5,"741,575"
2019-02-14,19,19.2,18.7,18.9,18.9,"354,491"
2019-02-13,18.9,19,18.8,19,18.9,"382,667"
2019-02-12,19,19.2,18.7,19.2,18.9,"438,088"
2019-02-11,18.8,19.1,18.5,18.5,18.9,"579,378"
2019-02-10,18.9,19.3,18.5,19.3,18.8,"512,781"
2019-02-07,19.1,19.5,18.9,19.5,19,"422,817"
2019-02-06,19.2,19.2,18.7,19,18.9,"722,950"
2019-02-05,19,19.3,18.8,19.1,18.9,"1,643,692"
2019-02-04,19.4,19.6,19,19.3,19.1,"813,960"
2019-02-03,19.2,20.4,19.1,20.1,19.3,"951,908"
2019-01-31,20.2,20.4,20,20.4,20.1,"1,394,924"
2019-01-30,20.4,21,20.3,21,20.4,"1,620,222"
2019-01-29,21,21.1,20.2,20.7,20.9,"1,455,824"
2019-01-28,20.4,21,20.3,21,20.4,"1,176,269"
2019-01-27,21.4,21.8,20.8,21.8,21,"2,580,842"
2019-01-24,21.6,21.8,20.9,21.5,21.7,"3,441,920"
2019-01-23,21.6,21.8,20.9,21.1,21.4,"4,019,092"
2019-01-22,20.7,21.3,20.6,20.6,20.8,"4,295,561"
2019-01-21,21,21.3,20.7,21.3,20.9,"2,172,474"
2019-01-20,21.2,21.5,20.5,20.5,21.3,"4,838,940"
2019-01-17,20.4,20.7,20,20.3,20.5,"2,791,628"
2019-01-16,20.1,20.7,20.1,20.6,20.2,"2,020,347"
2019-01-15,20.4,20.5,19.8,20.1,20.4,"1,754,860"
2019-01-14,20.2,20.5,20,20.5,20.1,"1,273,349"
2019-01-13,20.5,20.8,20.2,20.5,20.3,"2,302,103"
2019-01-10,20.6,20.9,20.3,20.9,20.5,"1,301,417"
2019-01-09,21,21.1,19.8,20.6,20.9,"4,704,411"
2019-01-08,20.5,20.5,19.3,19.3,20.4,"3,124,472"
2019-01-07,19.4,19.7,18.9,19.4,19.3,"1,904,950"
2019-01-06,19.4,19.4,18.9,19,19.3,"2,246,952"
2019-01-03,18.9,19,18.3,18.6,18.9,"1,958,026"
2019-01-02,18.6,18.6,18.1,18.3,18.5,"1,586,912"
2019-01-01,18.4,18.7,17.8,18.2,18.1,"3,127,453"
2018-12-27,17.4,18.1,17.4,18.1,17.6,"1,126,039"
2018-12-26,18,18,17.6,17.7,17.8,"2,226,143"
2018-12-24,17.7,17.7,17.3,17.5,17.6,"381,321"
2018-12-23,17.5,17.5,17.2,17.3,17.4,"324,765"
2018-12-20,17.4,17.4,17.2,17.3,17.3,"252,759"
2018-12-19,17.3,17.4,17.1,17.2,17.2,"628,870"
2018-12-18,17.3,17.4,17.1,17.1,17.2,"211,482"
2018-12-17,17.3,17.3,17.1,17.2,17.2,"142,856"
2018-12-13,17.2,17.3,17.1,17.1,17.2,"161,235"
2018-12-12,17.1,17.4,17.1,17.2,17.1,"251,494"
2018-12-11,17.3,17.3,17.2,17.2,17.3,"287,153"
2018-12-10,17.2,17.4,17.2,17.3,17.2,"428,289"
2018-12-09,17.2,17.6,17.2,17.6,17.2,"405,788"
2018-12-06,17.6,17.8,17.5,17.8,17.6,"583,890"
2018-12-05,17.9,17.9,17.4,17.5,17.8,"1,202,333"
2018-12-04,17.4,17.4,17.2,17.2,17.4,"360,296"
2018-12-03,17.1,17.3,17.1,17.1,17.1,"173,964"
2018-12-02,17.2,17.2,17,17.2,17.1,"1,075,149"
2018-11-29,17.2,17.4,17,17.3,17.1,"481,108"
2018-11-28,17.2,17.4,17,17.1,17.2,"549,774"
2018-11-27,17.2,17.4,17.1,17.2,17.2,"280,965"
2018-11-26,17.2,17.3,17.2,17.2,17.2,"245,165"
2018-11-25,17.3,17.4,17.2,17.3,17.2,"368,410"
2018-11-22,17.3,17.6,17.3,17.5,17.4,"497,186"
2018-11-20,17.4,17.7,17,17.1,17.5,"941,895"
2018-11-19,17.2,17.3,17,17.1,17,"946,570"
2018-11-18,17.1,17.6,17,17.6,17.1,"803,724"
2018-11-15,17.4,17.5,17.2,17.3,17.3,"297,955"
2018-11-14,17.3,17.3,17.2,17.2,17.3,"180,540"
2018-11-13,17.2,17.5,17.2,17.4,17.3,"274,159"
2018-11-12,17.3,17.6,17.3,17.6,17.4,"434,321"
2018-11-11,17.7,17.9,17.3,17.6,17.6,"378,460"
2018-11-08,17.1,17.9,17,17.8,17.2,"1,021,886"
2018-11-07,17.8,18,17.3,17.4,17.8,"1,044,402"
