DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,173.4,176,173.3,175.8,173.8,"111,012"
2019-06-27,173.8,176.8,173.8,176.8,174.5,"41,265"
2019-06-26,174.5,175,173.2,173.2,174.2,"16,830"
2019-06-25,174.9,175,173.5,173.5,174.1,"18,755"
2019-06-24,174.7,175,172.1,174.9,174.3,"21,642"
2019-06-23,172.9,174.6,172.3,172.3,173.2,"8,452"
2019-06-20,173,174.6,172.9,173,173,"15,094"
2019-06-19,172.5,176,172,176,172.6,"69,879"
2019-06-18,174.9,175.9,174.7,174.7,175.4,"9,653"
2019-06-17,175,176.5,174.9,176.5,174.9,"26,541"
2019-06-16,176.5,177.1,174,176.6,176.2,"31,811"
2019-06-13,175.5,175.6,172.6,174.7,175.3,"6,917"
2019-06-12,173.1,174.9,172.2,174.9,173.2,"81,397"
2019-06-11,175,175.2,174.2,175,174.8,"29,824"
2019-06-10,174,177.3,173,177.1,173.9,"132,467"
2019-06-09,177,177.5,175.5,177,176.9,"36,074"
2019-05-30,174.5,175,173.6,175,174.5,"55,037"
2019-05-29,173.9,173.9,170.8,172.5,172.8,"18,148"
2019-05-28,172,172,168.1,169.1,171.3,"38,310"
2019-05-27,169.3,169.3,167,168.8,168.9,"32,764"
2019-05-26,167.6,167.9,167,167.9,167.4,"24,590"
2019-05-23,167,168,167,168,167.4,"46,715"
2019-05-22,167.3,168.4,167.3,167.3,167.5,"29,860"
2019-05-21,167.2,168.8,167.1,168.8,167.3,"50,298"
2019-05-20,168,168.8,167.3,168.8,168,"41,909"
2019-05-19,168.9,168.9,166.9,167.3,168.6,"34,631"
2019-05-16,166.5,167.3,165.7,167.3,166.1,"19,731"
2019-05-15,167,167,165.4,165.6,166.8,"25,203"
2019-05-14,165.8,167.8,164.5,167.8,165.4,"20,883"
2019-05-13,167.6,167.6,164.2,166.4,166.8,"59,711"
2019-05-12,165,166.2,163.2,163.2,164.9,"17,073"
2019-05-09,163.9,164,161.5,163.7,163.2,"67,461"
2019-05-08,162.5,163,160,162.4,162.4,"95,249"
2019-05-07,162.8,166.3,161.7,166.3,162.3,"154,598"
2019-05-06,164.7,167.6,164,167.3,164.3,"130,615"
2019-05-05,167.4,169,166.5,169,166.9,"139,254"
2019-05-02,166.9,168.5,166.5,168.4,166.8,"57,250"
2019-04-30,169.6,171.5,166.9,170.3,167.6,"102,672"
2019-04-29,171.7,180.5,171.3,180.5,172.3,"114,038"
2019-04-28,176.3,179.3,176.3,178.6,176.5,"67,945"
2019-04-25,178,182,178,181,178.4,"72,468"
2019-04-24,180.6,184.2,178,182.6,180,"227,872"
2019-04-23,182.6,189.6,182.6,189.6,182.7,"10,505"
2019-04-21,182.7,183.3,182.5,182.9,182.6,"14,566"
2019-04-18,182.5,183.5,181.5,181.6,182.2,"9,239"
2019-04-17,183.8,187,180.7,186.5,181.1,"47,151"
2019-04-16,183.5,184.9,182.2,184.2,182.9,"72,576"
2019-04-15,185,187.8,184.8,187.8,185.1,"12,942"
2019-04-11,185.9,186,184.2,186,185.5,"29,500"
2019-04-10,184.3,184.5,183.6,184,183.8,"34,674"
2019-04-09,184.9,186.9,183.8,186,184.8,"32,451"
2019-04-08,183.5,186.5,183.5,185,183.6,"41,084"
2019-04-07,185.1,190,184.2,184.2,185.1,"32,693"
2019-04-04,187,189,184.1,188.8,184.8,"91,089"
2019-04-03,185,190,184.8,189,185.4,"95,317"
2019-04-02,187.4,192,186.6,189,186.8,"92,044"
2019-04-01,188,189,186,188,186.6,"59,041"
2019-03-31,186.3,188.9,186,188.9,186.8,"40,945"
2019-03-28,186.9,191,185.4,188,187,"102,208"
2019-03-27,187.8,190,184.5,187,185.6,"145,749"
2019-03-25,187.3,189.5,187,189.5,187.5,"42,337"
2019-03-24,187.4,189.5,187.4,189.5,187.7,"41,079"
2019-03-21,187.9,191,187,190,188.2,"57,709"
2019-03-20,187.9,193.7,187.8,190,188,"130,776"
2019-03-19,187.8,190,185.5,190,188,"142,613"
2019-03-18,189.8,190.9,187.3,189.2,188.1,"170,152"
2019-03-14,189.5,191.9,189.3,191.9,189.7,"68,429"
2019-03-13,192,193.9,189.7,189.8,191.7,"174,873"
2019-03-12,192,192,187.9,190.7,191.7,"174,420"
2019-03-11,189.7,190.7,186.5,186.8,190.3,"108,840"
2019-03-10,188.9,191,187.1,191,188.3,"31,784"
2019-03-07,187.2,189,186.1,189,187.9,"133,161"
2019-03-06,188.5,191,186.7,191,188.4,"43,062"
2019-03-05,189,189,186.1,188,188.2,"112,505"
2019-03-04,186.5,189,186,188,186.8,"100,592"
2019-03-03,189.1,189.9,188.1,189.2,188.5,"132,863"
2019-02-27,188.6,191.9,188.6,191.6,189.2,"147,035"
2019-02-26,191,194.9,189,192,190.3,"117,898"
2019-02-25,191.9,191.9,188,190,190.2,"218,472"
2019-02-24,191.4,194.1,190,194.1,190.9,"75,643"
2019-02-20,194.7,194.9,189,189,194.1,"131,991"
2019-02-19,191,192,188,190,189.2,"101,658"
2019-02-18,192.1,192.7,188.1,192.7,190.4,"128,243"
2019-02-17,193,194,190,193,192.1,"63,017"
2019-02-14,192.7,196.8,192.7,193.4,193,"46,734"
2019-02-13,194.1,198.9,193.4,198,193.8,"47,744"
2019-02-12,196,198.8,194.1,196.7,194.9,"131,067"
2019-02-11,196.7,200,196.4,200,197,"93,469"
2019-02-10,201.5,201.5,197,199.1,200.1,"124,754"
2019-02-07,199.1,204,198.8,204,199.4,"66,732"
2019-02-06,203.8,205,200.6,202.7,201.6,"104,275"
2019-02-05,204.9,206.8,200.7,205.1,204.3,"113,800"
2019-02-04,206.5,209,204,204,206.6,"349,629"
2019-02-03,203,205.7,196,196,203.4,"316,831"
2019-01-31,199,202.8,198.8,201,199.7,"117,463"
2019-01-30,200.3,205.8,200.1,204.4,201.7,"111,251"
2019-01-29,203.4,204.5,199.7,200,203.8,"122,334"
2019-01-28,202.8,205.7,200,202.4,200.9,"252,803"
2019-01-27,199,201.4,196,196,200.8,"130,452"
2019-01-24,198.1,198.1,195.6,195.6,197.1,"48,507"
2019-01-23,197.1,198.9,195.2,195.5,197.3,"34,280"
2019-01-22,195.4,198.5,195,195,196.6,"126,899"
2019-01-21,197.4,201.3,196.2,199,196.5,"76,217"
2019-01-20,199,199.9,195,195,196.9,"218,872"
2019-01-17,196.3,199.8,195.5,197.5,195.8,"121,176"
2019-01-16,200,202.9,198.2,201,199.1,"124,341"
2019-01-15,203.7,204.4,198.2,202,203,"210,056"
2019-01-14,203,204.9,197.4,199.1,200.9,"454,600"
2019-01-13,198.5,198.5,193,193,197.1,"410,235"
2019-01-10,193.5,193.6,189.2,193.6,193.2,"62,266"
2019-01-09,192.4,192.9,188.1,188.8,191.7,"109,743"
2019-01-08,188.2,188.7,186.2,186.2,188.1,"43,963"
2019-01-07,186.5,190,185,186,186.7,"62,119"
2019-01-06,184.8,189,181.3,182.3,184.6,"113,872"
2019-01-03,182.4,183.4,181.5,181.6,182.3,"116,402"
2019-01-02,181.6,183,181,182,182,"144,671"
2019-01-01,181.4,182,178,179,180.8,"170,269"
2018-12-26,191.5,192,189.2,190.2,190.5,"134,420"
2018-12-24,190.7,190.8,189.1,190,190.4,"57,474"
2018-12-23,190,190.4,189,189.9,189.9,"63,892"
2018-12-20,189.5,190,188.6,189.9,188.9,"49,154"
2018-12-19,188.7,190.2,188.7,190.2,189.1,"31,091"
2018-12-18,189.2,190.4,188.9,190.4,189,"37,716"
2018-12-17,188.5,189.7,187.2,189.6,189,"13,560"
2018-12-13,188.3,192,188,190,189.6,"43,737"
2018-12-12,188.5,190.2,187.5,189.4,187.7,"19,302"
2018-12-11,189.5,189.9,187.4,189.9,189.3,"27,397"
2018-12-10,186.3,190.2,186,190,187.5,"105,669"
2018-12-09,188.5,189.9,188.1,189.7,188.9,"14,855"
2018-12-06,189,191,187.4,187.5,189.7,"85,305"
2018-12-05,187.9,188,186.2,188,187.7,"57,678"
2018-12-04,188.1,189.6,187.4,187.5,188,"33,360"
2018-12-03,188,189.8,187,189.8,187.2,"53,446"
2018-12-02,188.5,190,187.2,190,188,"76,931"
2018-11-29,188.7,188.9,187,187.5,187.7,"124,580"
2018-11-28,188.7,189,186.7,187,187.6,"64,440"
2018-11-27,187.2,189,187.1,188.5,187.9,"92,246"
2018-11-26,188,191,188,190,189,"42,924"
2018-11-25,191,192.9,190,192,191.2,"33,407"
2018-11-22,190.1,194,189.1,189.1,190.2,"60,157"
2018-11-20,189.6,192,188.3,189.1,191.1,"90,702"
2018-11-19,190,190.5,188.3,190.1,190.1,"87,246"
2018-11-18,190,190.9,188,189.9,189,"44,628"
2018-11-15,190,194.9,186,194.9,187.8,"311,160"
2018-11-14,193,194,191.7,192.5,193.6,"98,756"
2018-11-13,192.9,192.9,190,191.4,192.2,"96,753"
2018-11-12,190.7,193,190.1,191,191.1,"150,263"
2018-11-11,192.5,195.3,191,194,192.1,"114,998"
2018-11-08,192.5,195,188.3,190,192.2,"226,823"
2018-11-07,184.5,184.7,181,183.9,184.1,"14,076"
2018-11-06,183.4,185.8,182.4,183.5,183.2,"11,924"
2018-11-05,185.8,186.8,184.5,186.8,185,"28,016"
2018-11-04,185.1,185.2,181.6,181.6,184.7,"103,686"
2018-11-01,181,182.8,181,181.1,181.3,"19,438"
2018-10-31,182.4,182.7,181.3,182.7,181.9,"8,953"
2018-10-30,181.6,183,181.4,183,182.4,"49,537"
2018-10-29,181.7,182,180.3,181.2,181.6,"19,406"
2018-10-28,182.4,183,180.7,182.9,182.2,"31,000"
2018-10-25,181,182,178,179,181.7,"26,088"
2018-10-24,178.5,180,178.3,180,178.7,"8,220"
2018-10-23,177.2,180.9,177,178,178.4,"14,480"
2018-10-22,177.4,179,177.1,177.1,177.4,"11,360"
2018-10-21,177.6,180.1,177,180.1,178.3,"9,161"
2018-10-18,178,180.2,177.5,180,178.7,"23,400"
2018-10-17,179.2,184.2,179,184.2,179.7,"27,912"
2018-10-16,181.2,182,180.5,181,181.1,"20,303"
2018-10-15,181.2,183,181.2,183,181.3,"31,831"
2018-10-14,183.5,183.5,181,181.6,182.7,"39,201"
2018-10-11,180.4,181.9,180.4,181,181.1,"27,254"
2018-10-10,181,184.6,180.3,184.6,181.1,"27,906"
2018-10-09,181.4,182.4,180,182.4,181.1,"29,386"
2018-10-08,181.2,182,179.5,180,181.2,"46,108"
2018-10-07,179.2,183,179.1,181.4,179.3,"26,976"
2018-10-04,180.2,183,180.2,182,180.9,"39,137"
2018-10-03,182.5,183,180.3,183,181.8,"46,911"
2018-10-02,184.5,184.5,181.1,182,181.2,"4,400"
2018-10-01,181.2,183.9,180.2,180.8,180.9,"33,561"
2018-09-30,180.5,184.8,180,183.5,180.7,"39,457"
2018-09-27,181.3,186.2,181.3,186.2,182.2,"30,292"
2018-09-26,186,187,182,187,184.6,"24,857"
2018-09-25,182.3,187,181.8,185,182.7,"33,592"
2018-09-24,181.1,187,181.1,186.4,181.7,"39,589"
2018-09-23,183.2,185,182.1,184,183.5,"19,656"
2018-09-20,184.5,187,183.9,187,184.1,"27,583"
2018-09-19,187,187,183.1,184.8,185.2,"29,235"
2018-09-18,184.1,187,184,187,184.6,"38,178"
2018-09-17,187.5,188,184.4,186,185.5,"60,470"
2018-09-16,186.5,189,186.5,188.1,187,"25,990"
2018-09-13,187.4,190,187.4,189,187.8,"43,984"
2018-09-12,188.4,192,188.2,189.8,188.7,"38,312"
2018-09-11,190.9,190.9,188,188.7,189.3,"60,172"
2018-09-10,188.4,189.8,188.3,188.3,188.5,"57,161"
2018-09-09,190,192.1,187.1,191,188.8,"39,197"
2018-09-06,190.8,192.9,189.8,190.9,190.7,"90,928"
2018-09-05,191,193,188.9,191.2,190.1,"86,540"
2018-09-04,190.7,197.5,189.9,197,190.8,"99,087"
2018-09-03,194.2,196.3,190.6,190.6,194.7,"212,942"
2018-08-30,191.3,202,186.1,187,191.2,"180,282"
2018-08-29,187.5,188.7,185.5,188.4,187,"18,988"
2018-08-28,186.7,189,186.7,189,186.8,"44,696"
2018-08-27,189,189,184,184,187.6,"72,586"
2018-08-26,184.5,184.5,182,184,184,"47,774"
2018-08-20,182.7,183.9,180.8,183.9,182.4,"22,554"
2018-08-19,182,182,179.8,180,181.4,"24,168"
2018-08-16,178.2,182.4,177.2,177.2,178.3,"51,021"
2018-08-14,177.9,179.8,175.6,179.8,176.9,"46,675"
2018-08-13,175.5,178.7,175.5,176.6,176.6,"46,008"
2018-08-12,176.5,179.5,176.3,178.7,176.5,"33,796"
2018-08-09,178.9,179.9,175.1,179.9,178.7,"45,481"
2018-08-08,176,178.6,176,177.3,176.9,"16,036"
2018-08-07,177.1,179,177.1,178,177.4,"18,669"
2018-08-06,178,178,176.6,177.2,176.8,"26,460"
2018-08-05,177,180,176.5,177,177,"35,280"
2018-08-02,176.5,180,176.5,177.1,176.9,"58,685"
2018-08-01,178,179.7,177,178.4,177.4,"48,007"
2018-07-31,177.6,179,177,178,177.9,"33,984"
2018-07-30,177,178.9,176.6,177.2,177,"23,777"
