DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,469.5,479,458,467.9,468.2,"157,787"
2019-06-27,465,482.7,453,468,460.7,"245,131"
2019-06-26,475,484.8,468,476.5,472.7,"251,998"
2019-06-25,474.5,495,470,470,482.5,"499,606"
2019-06-24,467.9,467.9,428.6,432.1,466.4,"353,533"
2019-06-23,427,441.8,426,439,430.3,"167,968"
2019-06-20,437.2,453.9,436.1,446.5,437.6,"238,077"
2019-06-19,437,461.8,437,445,443.7,"245,607"
2019-06-18,451,464.7,441.5,450,453.1,"314,331"
2019-06-17,448.5,475,445.4,467,448.3,"235,966"
2019-06-16,468.5,468.8,425.3,431.3,463.6,"513,635"
2019-06-13,425.2,449.9,424.9,434.8,431.3,"342,823"
2019-06-12,435,443,406.2,418,434.8,"298,713"
2019-06-11,416.3,419.3,385.6,385.6,414.8,"501,360"
2019-06-10,385.5,389.9,361.7,368,385.6,"209,764"
2019-06-09,369.8,378,362.6,374.5,366.3,"170,579"
2019-05-30,371,389,368,380,373.9,"516,259"
2019-05-29,361.2,365,335,339,360.3,"330,193"
2019-05-28,336.9,339.9,323.7,323.7,337.7,"181,388"
2019-05-27,320.8,324.9,319.6,320.7,320.9,"72,489"
2019-05-26,325.8,333,323.4,330.5,324.8,"94,746"
2019-05-23,329.9,346,329.8,343,330.5,"137,516"
2019-05-22,339,344,321,321,339.2,"288,496"
2019-05-21,321.7,323.9,315,316.4,319.6,"53,653"
2019-05-20,318.7,321.1,316,321.1,317.5,"37,362"
2019-05-19,322,329,318.7,325,319.5,"55,768"
2019-05-16,322.9,327,317,317,322.5,"57,151"
2019-05-15,316.7,319,315,316.1,316.1,"21,966"
2019-05-14,316.3,319,312.1,312.6,315.5,"53,843"
2019-05-13,312.4,316.5,311.1,315.3,312,"39,944"
2019-05-12,316,324.9,313,324.9,314.3,"58,851"
2019-05-09,317.9,327.9,315.1,327.9,316.8,"70,581"
2019-05-08,321.7,326.6,318.1,322.5,320.8,"69,041"
2019-05-07,321.8,333.4,320.6,330,321.4,"85,562"
2019-05-06,326.6,338.6,326,337,327.2,"109,051"
2019-05-05,338.6,343.8,336.7,338.1,337.9,"130,177"
2019-05-02,336,336.9,320.2,324,334.9,"127,262"
2019-04-30,317.7,326.8,314,315,318.2,"88,383"
2019-04-29,312.9,318.4,308,317.6,311.1,"44,466"
2019-04-28,315.4,325.8,313.9,318,314.6,"55,986"
2019-04-25,318.3,320,312,313.9,317.5,"84,582"
2019-04-24,310,318.6,306.5,318.6,310.2,"65,034"
2019-04-23,314,326.6,313.2,325,313.8,"71,780"
2019-04-21,324.3,335,324.1,328,325.2,"81,973"
2019-04-18,328,335,315,319.9,327.7,"87,527"
2019-04-17,316,325.9,311.1,325,316.2,"71,437"
2019-04-16,320.6,331.2,316.1,331.1,320.2,"87,826"
2019-04-15,330,348.3,329.1,344.9,331,"104,250"
2019-04-11,338,341.3,333.3,338.9,338.9,"63,691"
2019-04-10,333,341.9,330.1,338.8,331.5,"67,241"
2019-04-09,333,352.4,331,349.8,334.5,"131,193"
2019-04-08,349.4,357,344.1,354.5,345.6,"129,292"
2019-04-07,356,367.7,355.4,364.6,356.1,"126,734"
2019-04-04,362.5,367.8,353,360,363.5,"126,416"
2019-04-03,359,369.9,355.6,367.4,357.7,"153,116"
2019-04-02,365,379.3,364.1,374,365.4,"187,132"
2019-04-01,370.8,378.9,356.1,358,368,"198,587"
2019-03-31,353,374,352.1,373,354.7,"180,572"
2019-03-28,369,390,365.2,376,368.8,"237,356"
2019-03-27,375.5,378,349,352.3,374.7,"282,843"
2019-03-25,348.5,367,348.3,358.9,352.3,"198,604"
2019-03-24,355.6,355.6,331,332,355.6,"279,084"
2019-03-21,327,327,301.1,304.9,327,"156,611"
2019-03-20,303.4,309.8,300,308.3,300.7,"46,884"
2019-03-19,306,310.9,296.9,302.5,304.3,"72,589"
2019-03-18,302.1,314.9,295,313,301.6,"63,415"
2019-03-14,311.5,321.8,309.7,313.5,310.3,"97,265"
2019-03-13,311,326.9,308,325,309.6,"97,896"
2019-03-12,320.2,343.8,320,339.9,323.4,"103,130"
2019-03-11,337.4,344,336,339.6,337.7,"60,887"
2019-03-10,339,345,333,333.5,339.4,"84,021"
2019-03-07,331.4,346,331.2,346,332.1,"69,662"
2019-03-06,341,352,340,346.1,340.9,"81,037"
2019-03-05,345.3,357,343.1,355,345.2,"85,727"
2019-03-04,351.2,360,347,357.2,350,"106,530"
2019-03-03,359.9,368,355.2,362.3,356.7,"90,188"
2019-02-27,365.4,375.4,360,368.9,362.3,"155,483"
2019-02-26,363.9,369,355,355.6,364.1,"89,326"
2019-02-25,353.5,369,353.2,367.5,355.6,"123,416"
2019-02-24,365.3,379.6,364,377,367.4,"135,717"
2019-02-20,371.1,385.9,370,375,375,"190,344"
2019-02-19,373,374,340,346,370.7,"197,008"
