DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,18,19.2,18,19,18.3,"168,184"
2019-06-27,19.3,20,19.1,19.5,19.3,"204,121"
2019-06-26,19.8,19.8,19.1,19.5,19.7,"108,687"
2019-06-25,19.4,20.5,19.2,20.5,19.3,"221,125"
2019-06-24,20.2,21.4,20.2,20.7,20.3,"201,819"
2019-06-23,20.5,21.3,19.8,20.7,20.9,"400,934"
2019-06-20,20.9,21.2,20.5,21.2,20.7,"297,574"
2019-06-19,20.9,22.6,20.9,21.6,21.2,"1,108,963"
2019-06-18,21.4,22.4,21,21.7,21.3,"1,113,954"
2019-06-17,21.1,21.5,19.5,19.6,21.3,"787,146"
2019-06-16,19.9,21.2,19.8,21.2,19.9,"581,266"
2019-06-13,20.6,21.4,20.2,20.2,21,"937,062"
2019-06-12,19.9,20.2,18.3,18.4,20,"911,414"
2019-06-11,18.6,18.7,18,18,18.6,"245,715"
2019-06-10,18.2,18.3,17.4,17.4,18,"111,012"
2019-06-09,18,19.1,18,18.8,18.2,"181,810"
2019-05-30,18.7,18.9,18,18.1,18.8,"385,038"
2019-05-29,17.8,17.9,17.5,17.9,17.6,"69,031"
2019-05-28,17.8,17.9,17.5,17.8,17.7,"98,815"
2019-05-27,17.7,18.3,17.6,18,17.7,"162,980"
2019-05-26,18.3,18.3,17.5,17.6,18.1,"247,651"
2019-05-23,17.7,17.8,17.3,17.3,17.7,"75,889"
2019-05-22,17.5,17.8,17,17.2,17.5,"293,958"
2019-05-21,16.8,17,16.3,17,16.9,"66,072"
2019-05-19,18.2,18.2,17.3,17.4,18.1,"151,246"
2019-05-16,17,17.3,16.8,17.3,17,"52,452"
2019-05-15,17.2,17.4,16.8,17.1,17,"33,659"
2019-05-14,17.1,17.6,17,17.5,17.1,"51,505"
2019-05-13,17.4,17.8,17.2,17.8,17.3,"37,031"
2019-05-12,17,18.6,17,18,17.2,"127,635"
2019-05-09,17.6,19.1,17.1,17.8,17.2,"116,521"
2019-05-08,17.5,18,16.6,17.4,17.4,"158,617"
2019-05-07,17,17.5,16.8,17.5,16.9,"187,123"
2019-05-06,17.4,17.8,17,17.2,17.4,"152,704"
2019-05-05,17.8,17.9,16.5,16.5,17.6,"132,975"
2019-05-02,16.5,16.6,15.8,15.8,16.5,"158,247"
2019-04-30,16,16.3,15.7,16.2,15.9,"135,438"
2019-04-29,16.3,16.4,15.7,16.3,16.2,"101,551"
2019-04-28,16,16.5,15.4,15.5,15.9,"196,874"
2019-04-25,15,15.2,14.6,15,14.9,"48,238"
2019-04-24,15,15.3,14.8,15,14.9,"46,495"
2019-04-23,15,15.5,15,15.5,15,"41,474"
2019-04-21,15.5,16.2,15.4,16,15.5,"66,962"
2019-04-18,16.2,16.5,15.7,16.1,16.2,"124,362"
2019-04-17,16.2,16.2,14.8,15.1,16.1,"171,311"
2019-04-16,15.1,15.6,14.8,15,15,"65,141"
2019-04-15,15.3,15.9,15.2,15.6,15.4,"46,651"
2019-04-11,15.8,15.9,15.4,15.5,15.5,"117,673"
2019-04-10,15.4,16.1,15.4,16,15.5,"52,247"
2019-04-09,15.6,16.5,15.5,16.5,15.6,"58,605"
2019-04-08,16.1,16.5,15.9,16.5,16,"73,447"
2019-04-07,16.5,17.3,16.5,16.6,16.5,"54,161"
2019-04-04,16.8,17.3,16.7,16.8,16.9,"50,547"
2019-04-03,17.2,17.6,16.8,17.6,17,"111,298"
2019-04-02,17.5,18.6,17.5,18.4,17.6,"128,427"
2019-04-01,18.3,18.4,17.1,17.2,18.2,"312,967"
2019-03-31,17,17.2,16.7,17,17,"117,145"
2019-03-28,17.2,17.2,16.4,16.6,16.9,"142,603"
2019-03-27,16.2,16.9,15.7,16.6,16.2,"133,851"
2019-03-25,16.7,17.3,16.7,17.2,16.8,"49,679"
2019-03-24,16.8,17.4,16.8,17.3,16.9,"16,350"
2019-03-21,17.3,17.5,16.8,17.3,17.4,"245,340"
2019-03-20,17.3,17.4,17.3,17.4,17.3,"72,285"
2019-03-19,17.5,17.8,16.2,16.7,17.7,"141,193"
2019-03-18,16.9,17.7,16.6,17.1,16.8,"103,144"
2019-03-14,17.5,18.9,17.4,18.9,17.5,"103,562"
2019-03-13,18,19.5,18,19.1,18.3,"189,361"
2019-03-12,19.4,19.6,19,19.3,19.2,"190,923"
2019-03-11,19.5,20,19.4,20,19.4,"139,981"
2019-03-10,19.8,20.1,19.3,19.7,19.8,"206,177"
2019-03-07,19.4,19.6,18.9,19,19.5,"350,041"
2019-03-06,18.9,19.3,18.6,19,18.9,"277,425"
2019-03-05,18.5,19.7,18.5,19.7,18.9,"340,684"
2019-03-04,19.8,21,19.7,21,20,"316,247"
2019-03-03,20.3,21.7,20.2,21.2,20.3,"306,151"
2019-02-27,21.2,22.8,21.2,21.7,21.4,"516,033"
2019-02-26,21.9,23.2,21.8,22.3,21.9,"882,435"
2019-02-25,22.1,23.6,22.1,22.7,22.2,"996,371"
2019-02-24,21.7,21.7,19.8,19.8,21.7,"1,053,018"
2019-02-20,19.8,20.3,19.4,20.3,19.8,"175,484"
2019-02-19,19.8,20.5,19.6,19.7,20,"239,208"
2019-02-18,19.5,21.5,19.5,20.6,19.7,"245,953"
2019-02-17,21.1,21.9,20.4,21.5,21,"329,841"
2019-02-14,21.4,21.4,19.7,19.7,21.4,"908,399"
2019-02-13,19.6,19.9,17.9,18.5,19.5,"490,246"
2019-02-12,18.6,19.7,18,19.7,18.3,"434,386"
2019-02-11,19.6,19.8,18.1,18.9,19.2,"400,353"
2019-02-10,18,20.9,18,20.9,18.2,"608,517"
2019-02-07,20.5,22.3,19.8,22,20,"647,049"
2019-02-06,22.3,22.8,21.5,22,21.8,"333,887"
2019-02-05,21.7,23,20.8,22.6,21.8,"644,822"
2019-02-04,23.1,25.3,22.5,25.2,22.6,"727,178"
2019-02-03,24.9,25.4,24.7,25,25,"1,377,988"
2019-01-31,24.5,25.1,24.1,24.8,24.5,"1,105,229"
2019-01-30,24.8,25.5,24.4,24.9,24.5,"1,075,818"
2019-01-29,24.5,25.1,24.1,24.8,24.2,"1,339,099"
2019-01-28,24.2,26.1,23.6,25.5,24.1,"1,230,992"
2019-01-27,25.5,27.3,25.3,26.9,25.7,"2,606,304"
2019-01-24,26.5,27.2,25.5,25.5,26.4,"1,602,833"
2019-01-23,25.5,25.5,23,23.4,25.2,"2,239,637"
2019-01-22,23.2,24.5,22.9,24,23.2,"941,574"
2019-01-21,24,24.7,22.7,22.7,23.6,"2,045,585"
2019-01-20,22.9,24.2,22.4,22.9,22.7,"1,918,246"
2019-01-17,22.6,23.3,22.2,22.2,22.9,"3,050,672"
2019-01-16,21.2,21.2,20.3,20.3,21.2,"3,385,175"
2019-01-15,19.6,20.3,18.8,19,19.3,"625,720"
2019-01-14,18.6,19.5,18.5,18.8,18.8,"497,893"
2019-01-13,18.7,19,17.3,17.9,18.9,"695,408"
2019-01-10,17.5,17.9,17.2,17.4,17.5,"469,009"
2019-01-09,17.5,17.8,16.8,17,17.2,"437,418"
2019-01-08,16.9,17,16,16.3,16.8,"408,184"
2019-01-07,16.2,16.7,15.9,16.7,16,"112,080"
2019-01-06,16.4,17.1,16.3,16.3,16.4,"132,804"
2019-01-03,16.7,16.9,16.1,16.4,16.7,"163,005"
2019-01-02,16.1,16.4,16,16.2,16.1,"39,450"
2019-01-01,15.8,16.2,15.7,16,16,"40,166"
2018-12-27,15.5,16,15.1,15.5,15.8,"221,722"
2018-12-26,15.7,15.7,14.3,15.6,15.4,"64,962"
2018-12-24,15.6,15.9,15,15.9,15.1,"15,269"
2018-12-23,15.6,15.7,15.5,15.7,15.7,"31,200"
2018-12-20,16.1,16.5,15.9,16.4,16,"212,095"
2018-12-19,16.1,16.1,15.2,15.2,16,"54,369"
2018-12-18,15,15.7,15,15.4,15.2,"68,301"
2018-12-17,15.8,16.5,15.4,16.5,15.6,"142,333"
2018-12-13,15.7,15.9,15,15.3,15.8,"137,551"
2018-12-12,15.1,15.4,14.9,15.4,15,"51,466"
2018-12-11,15,15.3,14.6,15,15.1,"27,641"
2018-12-10,15.4,15.5,15,15.3,15.3,"23,200"
2018-12-09,15,15.8,15,15.6,15.1,"96,247"
2018-12-06,15.2,15.3,14.8,15.2,15.3,"17,433"
2018-12-05,15,15.3,15,15.1,15.2,"11,300"
2018-12-04,15.1,15.2,14.6,15.2,15,"59,826"
2018-12-03,15.2,15.2,14.8,15.1,15,"25,173"
2018-12-02,15.2,15.2,14.5,14.6,15,"47,056"
2018-11-29,15,15.5,14.4,14.4,15.3,"78,815"
2018-11-28,14.6,14.8,14.2,14.3,14.4,"18,314"
2018-11-27,14.4,14.6,14.3,14.3,14.4,"23,974"
2018-11-26,14.4,14.6,14.2,14.2,14.4,"20,513"
2018-11-25,14.6,14.7,14.2,14.5,14.4,"11,253"
2018-11-22,14.9,15,14.6,15,14.6,"2,112"
2018-11-20,14.5,14.9,14.3,14.3,14.6,"9,032"
2018-11-19,14.6,14.6,14.2,14.5,14.4,"15,539"
2018-11-18,14.8,14.9,14.7,14.7,14.8,"8,417"
2018-11-15,15.3,15.3,14,14,14.5,"6,186"
2018-11-14,14.2,15,14.2,15,14.2,"20,120"
2018-11-13,14.5,15.7,14.4,14.6,14.5,"16,835"
2018-11-12,14.3,14.6,14.3,14.6,14.5,"12,657"
2018-11-11,14.5,14.7,14.4,14.5,14.5,"6,147"
2018-11-08,14.7,14.8,14.4,14.4,14.7,"30,341"
2018-11-07,14.6,14.9,14.5,14.5,14.6,"4,533"
2018-11-06,14.4,14.5,14.4,14.5,14.4,"5,691"
2018-11-05,14.5,14.6,14.5,14.5,14.6,789
2018-11-04,14.8,15,14.3,14.4,14.6,"2,789"
2018-11-01,14.6,15,14.6,14.6,14.7,827
2018-10-31,14.6,15.2,14.6,14.7,14.6,"38,040"
2018-10-30,15.3,15.5,14.9,14.9,15.3,"61,415"
2018-10-29,14.4,14.4,14.2,14.2,14.3,"1,220"
2018-10-28,14.5,14.5,14.5,14.5,14.5,"1,016"
2018-10-25,15.5,15.5,14.8,14.8,15.3,"69,374"
2018-10-24,14.9,15,14.7,14.7,14.9,"17,880"
2018-10-23,14.8,15.5,14.7,15.1,15.2,"56,999"
2018-10-22,15.5,15.5,14.7,14.7,15.2,"48,760"
2018-10-21,14.8,15,14.8,15,15,"1,687"
2018-10-18,15.1,15.1,15,15,15,"3,534"
2018-10-17,15.2,15.4,15.2,15.4,15.3,"37,428"
2018-10-16,15.6,15.6,15,15,15.6,"62,014"
2018-10-15,15.2,15.5,15.2,15.4,15.2,"25,081"
2018-10-14,15.5,15.6,15.5,15.5,15.6,"63,190"
2018-10-11,15.5,15.6,15.4,15.5,15.5,"112,209"
2018-10-10,15.4,15.8,15.3,15.8,15.5,"169,103"
2018-10-09,15.6,16,15.5,16,15.6,"142,182"
2018-10-08,15.8,16.8,15.4,15.7,15.8,"89,386"
2018-10-07,15.3,16.1,15.3,16.1,15.4,"62,590"
2018-10-04,15.9,16,15.2,15.7,15.7,"46,353"
2018-10-03,15.5,16.1,15.1,15.6,15.4,"53,291"
