DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,211,216.8,210.5,214,211.5,"29,339"
2019-06-27,215.6,217.8,213.6,217.7,214.2,"33,154"
2019-06-26,216.3,218.9,215,215.2,215.9,"17,299"
2019-06-25,217.8,218.9,213,214.5,217.3,"33,819"
2019-06-24,215,217.7,214.2,215.1,214.6,"11,818"
2019-06-23,215.3,218.2,212,215,215.1,"15,755"
2019-06-20,216.4,220.5,215.8,220.2,216.1,"25,892"
2019-06-19,220.4,222,215,215,220.1,"32,289"
2019-06-18,217.5,220.5,216.1,220.5,216.9,"37,689"
2019-06-17,219.4,224.5,217,219.6,219.2,"33,752"
2019-06-16,219,228,218.5,228,219.5,"64,545"
2019-06-13,224.7,226.5,221.6,226.5,222.7,"47,258"
2019-06-12,225.8,234.9,225.2,234.9,226.9,"84,594"
2019-06-11,233.4,233.5,223,223,230.7,"114,735"
2019-06-10,222.2,222.5,215,217.9,220,"52,116"
2019-06-09,217,225,215.5,225,216.1,"59,130"
2019-05-30,227.7,227.7,222,223.5,224.3,"26,558"
2019-05-29,225.3,228.9,223,228.8,226.1,"37,155"
2019-05-28,227.8,229,223,227,226.3,"43,017"
2019-05-27,224.9,225,215,215,223.3,"53,269"
2019-05-26,213.2,221.8,213,219.2,214.4,"38,328"
2019-05-23,221.3,225.3,219,224.5,220.3,"45,454"
2019-05-22,223.6,226.5,220.8,223.9,223.5,"36,478"
2019-05-21,222.2,227,217.5,221.1,223.3,"40,062"
2019-05-20,223.8,233.2,220,233.2,223,"38,147"
2019-05-19,232,235.8,228.6,235.8,230.2,"29,795"
2019-05-16,233.2,237.8,233.1,237.4,233.8,"34,087"
2019-05-15,235.6,239.2,235,238.8,235.8,"14,421"
2019-05-14,237,237.9,232,235.5,236.5,"29,034"
2019-05-13,233,236.9,230.1,236.9,233.4,"31,256"
2019-05-12,235.6,246,232,244.9,233.5,"62,984"
2019-05-09,241.2,245,240,242,241.7,"55,369"
2019-05-08,243.4,243.9,233.5,241.4,240.7,"83,182"
2019-05-07,243,266.9,239.3,265,241.4,"184,354"
2019-05-06,256.9,259.7,241.2,245,256.5,"182,806"
2019-05-05,241.2,247,240,240,242,"111,746"
2019-04-30,227,233,223.2,223.2,227.1,"84,080"
2019-04-29,224.5,224.9,212.3,218.2,222.4,"67,276"
2019-04-28,222.9,229,218.8,223.9,223.7,"83,073"
2019-04-25,219,226,217.8,225.2,220.5,"98,502"
2019-04-24,223.3,235.3,223.1,232.3,225.2,"96,474"
2019-04-23,234.5,247,233.2,245.7,234.5,"100,325"
2019-04-21,246.4,250,240.8,247.8,245.1,"75,753"
2019-04-18,245.9,245.9,234.5,234.5,243.3,"80,450"
2019-04-17,237.1,242.3,234,239.6,236.4,"89,544"
2019-04-16,241.9,241.9,220,235,235.8,"132,807"
2019-04-15,237.8,256.7,231.8,256.6,235.7,"122,347"
2019-04-11,253.7,258,252,257.5,254,"85,802"
2019-04-10,256.8,263.3,253.6,259,256,"125,801"
2019-04-09,255.5,262.7,241.2,244,256.3,"144,001"
2019-04-08,243.9,245.5,238.5,241.1,242,"79,192"
2019-04-07,242.7,247,238.2,244.9,241.7,"55,259"
2019-04-04,244.9,245,236.1,237.5,243.2,"98,892"
2019-04-03,235.1,238.4,229.3,231.1,234.5,"64,782"
2019-04-02,231,238.8,230,238.8,230.8,"60,817"
2019-04-01,235.3,243.6,234,239.7,235.2,"70,177"
2019-03-31,239.9,245,236.8,237,239.7,"142,513"
2019-03-28,234.1,236.9,230.6,235,234.1,"83,057"
2019-03-27,231.9,237.9,220.7,225,231.3,"116,823"
2019-03-25,225,238,222.1,235.8,224.7,"70,165"
2019-03-24,233.9,235.3,218.5,219,232.1,"117,114"
2019-03-21,218,218,210.7,213.8,216.5,"51,001"
2019-03-20,212.8,217.2,208.7,212.7,211.9,"61,536"
2019-03-19,212.7,218.3,206,212.5,212.7,"38,843"
2019-03-18,209.5,220.8,205,220.8,210.2,"50,857"
2019-03-14,216.4,225.4,215.1,217,219.1,"103,385"
2019-03-13,220.7,220.7,206,206,220.7,"176,388"
2019-03-12,204.9,212,198,198.9,203,"99,365"
2019-03-11,195.7,199.3,195,199,196.1,"17,396"
2019-03-10,199.3,202.5,198.4,199.5,198.9,"16,976"
2019-03-07,200.8,203.9,198.5,202.7,199.2,"13,629"
2019-03-06,199,206.4,197.2,197.2,199.5,"42,080"
2019-03-05,203,209,198.6,208.8,199.8,"26,688"
2019-03-04,207.1,210,201,201.2,206.9,"68,046"
2019-03-03,200,203.4,195,195.7,199.8,"31,176"
2019-02-27,193.4,196.9,192.5,194,193.6,"24,034"
2019-02-26,194,205,193.6,203.8,194.4,"38,300"
2019-02-25,203,203,192,193,201.5,"59,403"
2019-02-24,193,193,187,190.4,191.8,"30,074"
