DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,10.8,11,10.7,10.9,10.9,"123,325"
2019-06-27,10.8,11,10.8,10.8,10.9,"78,149"
2019-06-26,10.7,10.9,10.7,10.7,10.7,"47,743"
2019-06-25,10.8,10.9,10.7,10.8,10.7,"65,600"
2019-06-24,10.7,10.8,10.6,10.6,10.8,"28,276"
2019-06-23,10.9,10.9,10.8,10.9,10.8,"41,181"
2019-06-20,10.8,11.2,10.8,11.2,10.9,"140,305"
2019-06-19,11,11.5,11,11.5,11,"71,331"
2019-06-18,11.3,11.5,10.8,10.9,11.4,"348,625"
2019-06-17,10.8,11,10.7,11,10.8,"117,670"
2019-06-16,11.1,11.3,10.9,11.2,11,"204,269"
2019-06-13,11.1,11.1,10.8,11,11.1,"147,273"
2019-06-12,11,11.1,10.7,11.1,10.9,"164,175"
2019-06-11,11.1,11.2,10.9,11,11.1,"168,151"
2019-06-10,11,11.1,10.8,10.8,10.9,"127,749"
2019-06-09,10.9,10.9,10.6,10.7,10.8,"32,296"
2019-05-30,10.8,10.9,10.5,10.8,10.6,"137,925"
2019-05-29,10.9,10.9,10.7,10.8,10.9,"80,755"
2019-05-28,10.6,10.8,10.5,10.5,10.6,"88,919"
2019-05-27,10.4,10.7,10.4,10.6,10.5,"94,039"
2019-05-26,10.5,11,10.5,11,10.6,"115,846"
2019-05-23,10.8,11.2,10.7,11.2,10.8,"103,517"
2019-05-22,10.9,11.1,10.9,11,11,"102,663"
2019-05-21,10.9,11,10.7,10.8,10.8,"66,178"
2019-05-20,10.9,11,10.8,11,10.9,"81,400"
2019-05-19,11.3,11.3,11.1,11.2,11.2,"117,772"
2019-05-16,10.8,11.3,10.8,11.1,11,"157,565"
2019-05-15,10.9,11,10.7,10.8,10.8,"120,778"
2019-05-14,10.8,11,10.6,11,10.8,"94,377"
2019-05-13,10.9,11.4,10.9,11.3,11,"168,268"
2019-05-12,11.4,11.8,10.9,11.2,11.4,"624,070"
2019-05-09,11.1,11.2,10.5,10.7,11.1,"445,686"
2019-05-08,10.7,10.7,10.4,10.5,10.5,"81,652"
2019-05-07,10.5,11,10.4,10.8,10.5,"244,164"
2019-05-06,10.8,11.2,10.6,11.1,10.8,"187,425"
2019-05-05,11.3,11.3,10.5,10.5,11.2,"385,662"
2019-05-02,10.1,10.7,9.9,9.9,10.4,"308,448"
2019-04-30,9.8,10,9.6,9.9,9.8,"97,662"
2019-04-29,10,10.1,10,10,10,"109,518"
2019-04-28,10,10.3,9.9,10,10.1,"38,009"
2019-04-25,10.1,10.2,9.6,10.1,10,"224,636"
2019-04-24,10.2,10.3,9.9,10,10.1,"31,202"
2019-04-23,10.1,10.1,9.9,10,10,"68,255"
2019-04-21,10.2,10.3,10,10.2,10,"42,885"
2019-04-18,10.1,10.2,10,10,10.1,"68,057"
2019-04-17,9.8,10.2,9.8,10,9.9,"98,912"
2019-04-16,10,10.2,10,10,10.1,"28,400"
2019-04-15,10.1,10.3,10,10.3,10.1,"21,504"
2019-04-11,10.4,10.9,10,10,10.3,"36,814"
2019-04-10,10.2,10.2,9.9,10,10,"30,363"
2019-04-09,10.1,10.4,9.9,10.3,10,"181,804"
2019-04-08,10.4,10.8,10.4,10.7,10.4,"121,900"
2019-04-07,10.7,11,10.7,11,10.7,"241,925"
2019-04-04,11.1,11.1,10.9,11.1,11,"84,401"
2019-04-03,11.2,11.2,10.9,11,11.1,"187,323"
2019-04-02,11.1,11.2,10.9,11.1,11,"137,694"
