DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,57.9,58.7,56.7,56.7,57.7,"329,332"
2019-06-27,57,57.7,56.5,56.5,57.1,"134,959"
2019-06-26,57.2,57.2,55.9,55.9,56.8,"109,920"
2019-06-25,56,56.7,55.3,55.3,55.8,"129,191"
2019-06-24,55.9,55.9,55.1,55.2,55.7,"52,877"
2019-06-23,55.2,56.6,55.1,55.1,55.3,"58,349"
2019-06-20,55.8,56.6,55.7,56.4,55.9,"75,226"
2019-06-19,56.5,57.5,56,56.2,56.4,"132,690"
2019-06-18,57.3,57.5,55.1,55.1,57.2,"219,362"
2019-06-17,55.2,56.2,55,55.2,55.3,"82,944"
2019-06-16,55.1,57,55,56,56.1,"129,331"
2019-06-13,56.8,57.2,56.4,57.1,56.5,"153,638"
2019-06-12,57.1,57.8,56.4,57.1,57.1,"142,517"
2019-06-11,57.8,57.8,56.5,56.5,57.5,"385,985"
2019-06-10,56.4,56.7,55.3,55.3,56.3,"205,999"
2019-06-09,55,55.4,54.5,55,55.1,"51,117"
2019-05-30,54.9,55.3,54.6,55,54.7,"39,603"
2019-05-29,55,55,54.1,55,54.7,"62,968"
2019-05-28,54.7,54.7,53.5,53.5,54.5,"59,945"
2019-05-27,53.9,54,53,53.7,53.3,"35,137"
2019-05-26,53.1,54.7,53.1,54.2,53.6,"57,960"
2019-05-23,54.1,55,54.1,54.6,54.2,"91,884"
2019-05-22,55.4,55.4,54.3,54.5,54.6,"78,566"
2019-05-21,54.7,55.5,54.1,54.1,54.6,"40,142"
2019-05-20,54.9,56.2,54.7,55.8,54.7,"56,728"
2019-05-19,55.4,56.6,55.4,55.7,55.8,"225,070"
2019-05-16,55.6,56.7,55.3,55.3,55.7,"94,513"
2019-05-15,56,56.6,55.6,56.1,55.7,"105,728"
2019-05-14,56.6,56.9,55.3,56.4,56.1,"156,786"
2019-05-13,56.5,57.5,55.1,55.1,56.1,"444,676"
2019-05-12,55.5,56.1,54.4,54.4,55.3,"122,798"
2019-05-09,54.1,55,54,54.9,54.4,"112,998"
2019-05-08,54,54.9,53.6,54.5,54,"81,877"
2019-05-07,54.4,56,54.3,54.8,54.5,"84,490"
2019-05-06,55.7,57,55.5,57,55.8,"116,839"
2019-05-05,57,57.4,54.5,54.5,57.1,"243,695"
2019-05-02,55.2,56,53.9,53.9,55.7,"198,695"
2019-04-30,54.1,54.6,53.1,53.1,54,"124,516"
2019-04-29,53,54.2,52.8,53.5,53.1,"123,086"
2019-04-28,54.3,55.3,52.7,52.7,54.2,"272,645"
2019-04-25,53.2,53.4,52.5,53.4,53,"48,655"
2019-04-24,52.5,53.1,52,52.5,52.6,"94,887"
2019-04-23,53.1,53.8,52.8,53.8,53.3,"130,632"
2019-04-21,54,54.7,53.1,53.5,53.8,"231,955"
2019-04-18,53.4,53.4,50.9,50.9,53.2,"110,260"
2019-04-17,51,51.5,50.7,51.1,50.9,"44,654"
2019-04-16,51,51.5,50.7,51.5,51,"31,819"
2019-04-15,51.5,53.8,51.4,52.5,51.5,"47,294"
2019-04-11,53.4,54.3,50.9,50.9,52.5,"68,409"
2019-04-10,51,51.6,50.6,51,50.8,"56,994"
2019-04-09,50.9,52.5,50.8,51,51,"67,486"
2019-04-08,51.8,53.2,50.2,50.2,51.1,"60,673"
2019-04-07,53.1,54,53.1,53.5,53.2,"55,845"
2019-04-04,54,54.4,53.6,54.1,54,"61,177"
2019-04-03,54.5,55.3,54,55.1,54.1,"109,615"
2019-04-02,55.5,55.8,53,53,55.3,"141,222"
2019-04-01,54.2,54.7,53.3,53.3,54.3,"60,599"
2019-03-31,54,54.3,53,53,53.8,"59,369"
2019-03-28,54.1,54.3,53.2,53.2,53.9,"44,620"
