DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,384.6,385,382.8,382.8,384.6,"1,613"
2019-06-27,381,390,381,390,384.2,"3,773"
2019-06-26,388,390,381,390,387.5,"6,369"
2019-06-25,380.8,384,380.8,381.2,381.2,"4,788"
2019-06-24,382.5,383,381.6,381.7,382.6,"2,974"
2019-06-23,382,383,382,383,382,"3,576"
2019-06-20,383.5,387.8,382.9,387.8,383.5,"2,339"
2019-06-19,383,385.3,383,383.1,383.1,"2,841"
2019-06-18,385.4,388.7,384.1,388.7,384.8,"1,754"
2019-06-17,384.5,387.7,383.2,384,385,"2,222"
2019-06-16,383.2,391.9,382.6,382.6,383.4,"3,016"
2019-06-13,386,393,385.9,386,386.9,"3,404"
2019-06-12,387.5,393.9,385.4,389.9,388.9,"3,686"
2019-06-11,389.8,395,387,388.9,389.6,"7,373"
2019-06-10,385.1,386.2,382.1,382.1,385.6,"3,833"
2019-06-09,383,387,382.2,387,382.9,"1,225"
2019-05-30,382.5,383,380.5,382.1,382,"1,597"
2019-05-29,382.5,382.7,381.4,382,382,"1,486"
2019-05-28,381.3,383,380,382,381.7,"1,721"
2019-05-27,381.4,381.5,380,380,381.2,"3,132"
2019-05-26,381,383.9,380.5,382.2,381.4,"2,095"
2019-05-23,382.8,384,380,380,382.2,"3,089"
2019-05-22,380.9,383,379.7,383,380.8,"3,278"
2019-05-21,383,383,376.2,376.2,382.2,"4,309"
2019-05-20,381,382,377.1,378,378.7,"1,234"
2019-05-19,378.7,386,378.7,380,379.3,"1,282"
2019-05-16,379.7,379.7,374,376.3,378.5,495
2019-05-15,377.9,378,374.3,374.3,376.3,"1,402"
2019-05-14,378,379,376,377,378.7,"1,322"
2019-05-13,378.3,378.3,376,376,377.3,"3,400"
2019-05-12,379.1,380,377,377,379.2,440
2019-05-09,382.8,383,376.5,377,381.8,"5,410"
2019-05-08,376.1,380,376,376.1,376.1,"3,555"
2019-05-07,376,381,376,381,378.4,329
2019-05-06,382.9,388,377.6,388,382.7,"4,151"
2019-05-05,386,386.1,378.4,378.5,384.8,"8,469"
2019-05-02,378,378.5,375.7,378,377.9,"3,256"
2019-04-30,373.6,377.9,373.6,377,374.1,"4,125"
2019-04-29,379,379,373.1,373.1,375.1,"2,647"
2019-04-28,373.6,380.9,372,380.9,373.8,930
2019-04-25,377,379.9,371.8,371.8,376,"6,056"
2019-04-24,370,372,368,369.4,370.3,"2,709"
2019-04-23,370,370,368,369.2,369.1,"2,323"
2019-04-21,371.1,374,370,374,370.7,746
2019-04-18,372.9,373,366.1,373,371.3,"1,698"
2019-04-17,371.9,372.5,368.5,368.5,370.4,"1,219"
2019-04-16,371.6,373.2,367,373.2,368,"1,692"
2019-04-15,371,376,370.5,371,370.9,873
2019-04-11,371.4,371.4,368.2,371,368.9,"2,995"
2019-04-10,368.1,371.1,368,368,369.5,836
2019-04-09,368,370,365,368.7,369.3,"1,033"
2019-04-08,368.2,370.6,368.2,370.4,368.7,"5,694"
2019-04-07,372.4,374.3,372,372,372.2,"1,496"
2019-04-04,370.5,372,369.3,372,370.5,"1,993"
2019-04-03,369,374.8,369,374.8,370.2,"1,680"
2019-04-02,374,374.5,370.1,374.5,370.8,"2,255"
2019-04-01,372,375.5,370.6,375.5,371.9,"1,024"
2019-03-31,370,374.8,370,372.7,370.6,"2,646"
2019-03-28,372.2,377.5,372,377.5,372.3,"4,470"
2019-03-27,377.4,383,376,381.8,377.5,"2,256"
2019-03-25,380,383.9,379,383.9,380.1,"4,711"
2019-03-24,380.7,387,377,377,379.4,"9,110"
2019-03-21,375.1,377,370,370,374.2,"2,428"
2019-03-20,369,374.2,369,371.2,370.2,"3,130"
2019-03-19,374.5,377.8,370.8,377.8,371.2,"1,867"
2019-03-18,370.4,373.3,370.1,373.2,371.1,"2,942"
2019-03-14,372.1,375.5,372.1,374.3,374.1,"3,299"
2019-03-13,374.1,378,373.9,374.1,374.6,"1,937"
2019-03-12,373.6,379.4,373.6,376.8,375.1,"4,777"
2019-03-11,377,377.9,376,377.7,376.8,"3,969"
2019-03-10,377,378.5,374,378.5,375.6,925
2019-03-07,373.7,375,371.8,374,372.2,"3,306"
2019-03-06,372,378.3,372,377,372.7,"3,289"
2019-03-05,372,379.7,372,375.5,374.1,"6,253"
2019-03-04,375,377,375,376.2,375.4,"4,760"
2019-03-03,376.5,380.2,376.5,380.2,377.1,"5,489"
2019-02-27,378.9,379.1,377,378.3,377.7,"5,842"
2019-02-26,379,381,377.5,378.1,378.3,"4,023"
2019-02-25,378.9,379.9,377.6,379.1,378.2,"5,908"
2019-02-24,378.3,384.5,377.5,378,379.1,"3,827"
2019-02-20,379.8,383,377.5,378,378.7,"4,676"
2019-02-19,380.6,384.9,377,379.6,379.2,"4,920"
2019-02-18,378.5,384.4,378.2,383.2,379.6,"7,143"
2019-02-17,382.5,388,381,388,384.4,"7,936"
2019-02-14,382.1,392.6,382,392.6,383.3,"6,492"
2019-02-13,388,390.9,382.3,385.5,388.7,"29,712"
2019-02-12,385,385,381.3,383,383.1,"5,911"
2019-02-11,387.4,393.4,382.1,390.3,384,"10,307"
2019-02-10,391,395,388,388.7,390.1,"21,703"
2019-02-07,384.3,384.9,376.5,376.5,384.3,"12,406"
2019-02-06,378.4,379.5,375.1,378,376.1,"20,453"
2019-02-05,380.5,382,378,378.3,379.5,"5,252"
2019-02-04,378.1,383,377.5,379.1,378.7,"4,067"
2019-02-03,377.2,384,377,384,378,"6,805"
2019-01-31,378.1,384,378.1,384,378.9,"4,251"
2019-01-30,378,383.2,378,378.6,378.5,"4,591"
2019-01-29,378.2,385,378.1,378.5,379,"7,561"
2019-01-28,378.3,381.6,377,377,379.4,"6,215"
2019-01-27,377.8,383,376.1,377.8,377.9,"10,255"
2019-01-24,378.7,379.5,377,378.4,377.5,"9,512"
2019-01-23,377.5,382,377,381.1,378.3,"7,677"
2019-01-22,382.1,387.9,381,385.5,384.2,"8,716"
2019-01-21,386.1,391,386,388.5,386.4,"6,602"
2019-01-20,389,396.7,387.3,393.4,389.5,"15,728"
2019-01-17,392.1,404.4,385,389.9,393.4,"18,329"
2019-01-16,385.1,409.9,385.1,406,390.8,"21,069"
2019-01-15,405.1,407,386,386,404.9,"53,161"
2019-01-14,386,390,375.1,375.6,383.9,"24,174"
2019-01-13,377.5,380.9,374.9,380.5,375.6,"10,978"
2019-01-10,372.5,381,372.5,374.2,374.6,"18,308"
2019-01-09,378.6,381,375.4,375.4,376.9,"16,183"
2019-01-08,375,384,371.3,371.3,376.5,"12,780"
2019-01-07,372.2,380,372.2,379.7,375.7,"11,660"
2019-01-06,380.2,383.3,375.2,383.3,379.7,"15,366"
2019-01-03,377.4,379.9,372.2,375.1,378.1,"14,283"
2019-01-02,375,375,366.4,366.6,372.6,"15,391"
2019-01-01,369.8,372,366.1,371.5,368.4,"9,430"
2018-12-27,371.2,377,370,377,370.5,"7,043"
2018-12-26,373.5,379,373,379,373.4,"2,466"
2018-12-24,368.9,374.9,368.9,372.1,370.3,"8,892"
2018-12-23,373.9,379,373.5,376,374.1,"5,239"
2018-12-20,375.1,380,375.1,380,375.4,"6,987"
2018-12-19,379.9,380,373.2,375,379,"6,367"
2018-12-18,370.7,380,368,380,371.6,"4,637"
2018-12-17,383,398.5,370,398.5,374,"4,725"
2018-12-13,389.6,400,380,393.1,385.5,"23,848"
2018-12-12,395,414,393.1,396.9,395,"21,046"
2018-12-11,393.5,416.9,391.5,412,393.6,"15,318"
2018-12-10,405.3,415.2,382.3,386.9,409.2,"75,939"
2018-12-09,382.4,387,373.5,373.5,381.8,"14,076"
2018-12-06,374.1,376,365,365,373.4,"11,070"
2018-12-05,361,375,361,367,363.8,"8,651"
2018-12-04,366,372,364.7,369.9,368.6,"13,414"
2018-12-03,363.8,377,363.3,368.8,364.6,"8,157"
2018-12-02,362.3,372.4,362,365.2,363,"7,969"
2018-11-29,365.5,366,360.2,365,361.5,"10,265"
2018-11-28,366.1,374,364.5,374,366.8,"13,893"
2018-11-27,371.1,389,370.5,386,372.8,"18,198"
2018-11-26,379,389.9,375,382.1,376.8,"12,441"
2018-11-25,378.2,407,375,407,378.8,"25,808"
2018-11-20,468.9,473.4,456.2,469,468.5,"52,765"
2018-11-19,467,507,459.1,507,468.7,"22,865"
2018-11-18,469.9,469.9,437.8,437.9,467.1,"65,462"
2018-11-15,433.7,442.9,426,442,432.1,"22,152"
2018-11-14,440.2,467,440.1,467,441.2,"27,271"
2018-11-13,452.2,452.2,412.6,418.8,452.1,"65,137"
2018-11-12,417,419,402.1,409.8,415.9,"18,636"
2018-11-11,401.9,405,400,404,402,"4,785"
2018-11-08,403.6,406,398.2,406,400.6,"5,620"
2018-11-07,400,408.5,395,400.9,401.4,"8,319"
2018-11-06,397.1,401.3,393,401.3,397.5,"4,926"
2018-11-05,400,404.9,398,401.3,401.3,"5,768"
2018-11-04,405,409.9,402.7,409.9,404.1,"3,371"
2018-11-01,402,437,402,425,403.7,"20,633"
2018-10-31,408.2,415.6,408.2,415.6,411.4,"6,089"
2018-10-30,416,420,414,418.9,415.6,"8,567"
2018-10-29,410,415,397.7,397.7,412.8,"7,560"
2018-10-28,403.9,403.9,396,396.5,400.3,"4,566"
2018-10-25,395.2,402,394.4,395,398.9,"3,703"
2018-10-24,393,401,393,400,394.4,"1,646"
2018-10-23,401.9,402.5,392.2,392.2,400.9,"1,538"
2018-10-22,385.5,399.9,385.5,399.9,389,274
2018-10-21,393.2,400,393.2,400,395,135
2018-10-18,397,398,390.6,392.5,391.8,"4,870"
2018-10-17,390.4,404.9,390.4,404.9,393.6,"3,776"
2018-10-16,403.8,403.8,396.1,400,401.4,"1,604"
2018-10-15,392.5,410,390,402.7,393,"8,469"
2018-10-14,401.2,404,401,401,401.1,"5,646"
2018-10-11,406,407.5,402.6,407.5,404,"3,619"
2018-10-10,407.2,420,405,415,407.5,"1,651"
2018-10-09,413,424.8,409,409,413.4,"7,222"
2018-10-08,404.3,408.9,404.1,407.9,404.4,"2,020"
2018-10-07,405,406.5,397.1,405,402.7,"7,039"
2018-10-04,406.9,406.9,401,403.6,403.1,"3,755"
2018-10-03,405,410,398.1,398.1,402.2,"3,969"
2018-10-02,399,402,399,401.8,399.9,"2,643"
2018-10-01,400,401.2,398,399.2,398.8,"5,271"
2018-09-30,401,401.5,400,400,400.1,"2,442"
2018-09-27,407.9,407.9,396.1,401.5,396.6,"3,404"
2018-09-26,400.3,412,400.3,408,400.6,"6,308"
2018-09-25,408.4,409.2,403,409,404.6,"6,755"
