DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,56.1,56.9,55.9,56.3,56.3,"324,762"
2019-06-27,56.2,57,56,56.5,56.3,"532,278"
2019-06-26,56.4,56.5,55,55.8,56.2,"415,212"
2019-06-25,55.2,56.3,55.1,56.3,55.3,"624,033"
2019-06-24,56.6,56.9,55.8,56.5,56.2,"205,923"
2019-06-23,56.3,57.5,56.2,57.5,56.5,"339,804"
2019-06-20,57.5,58.4,57.1,57.7,57.2,"538,764"
2019-06-19,58.3,58.3,56.6,57,57.7,"635,467"
2019-06-18,56.7,57.4,55.5,56.2,56.9,"518,465"
2019-06-17,55.3,58,55.3,57.5,55.7,"723,479"
2019-06-16,57.8,59.9,57.1,59.8,57.5,"796,254"
2019-06-13,59.5,60.7,58.5,58.6,59.2,"934,637"
2019-06-12,58.3,59.6,58.3,59.6,58.6,"901,978"
2019-06-11,59,61.4,58.5,60.5,59.6,"2,100,336"
2019-06-10,60.7,61.4,57,57,60.7,"2,747,764"
2019-06-09,56.9,57.2,54,54.6,56.9,"1,003,088"
2019-05-30,54.6,54.7,53.7,53.9,54.4,"396,059"
2019-05-29,53.8,53.8,52.6,52.8,53.6,"428,315"
2019-05-28,52.8,52.8,52.1,52.1,52.6,"198,079"
2019-05-27,52.4,52.5,51.7,52.1,52.2,"150,646"
2019-05-26,51.9,52.4,51.2,51.2,51.9,"221,655"
2019-05-23,52,52.5,51.8,52,52.1,"157,147"
2019-05-22,51.9,52.5,51.8,51.8,52,"146,591"
2019-05-21,51.7,52.6,51.7,52.5,51.9,"203,818"
2019-05-20,52.6,53,52,52.8,52.4,"150,775"
2019-05-19,53,53,52.1,52.2,52.9,"162,282"
2019-05-16,51.9,52.4,51.3,52,51.7,"233,383"
2019-05-15,51.6,52.6,51.6,52.3,51.9,"356,743"
2019-05-14,52.5,53.4,52,53.2,52.3,"184,066"
2019-05-13,53,53.7,52.9,53.5,53,"253,920"
2019-05-12,53.6,54,52.9,53.8,53.1,"237,014"
2019-05-09,53.6,53.9,53.3,53.9,53.5,"338,200"
2019-05-08,53.3,53.9,52.9,53.5,53.6,"388,255"
2019-05-07,53,54.4,52.9,53.9,53,"475,772"
2019-05-06,53.7,54.9,53.5,54.7,53.9,"817,634"
2019-05-05,55,55.5,53.8,54.9,54.9,"693,768"
2019-05-02,54.3,54.5,49,50.2,54,"1,281,775"
2019-04-30,50.9,51,50,50.6,50.8,"641,121"
2019-04-29,50.1,51.8,49.9,51.8,50.2,"535,182"
2019-04-28,51.6,52.7,51.5,52,51.8,"426,486"
2019-04-25,52,52.9,51.4,52.8,51.8,"687,684"
2019-04-24,52.4,54.1,51.5,54.1,52.3,"672,175"
2019-04-23,54.1,56.3,53.9,56.3,54.1,"483,680"
2019-04-21,56.4,57.1,55.8,56.6,56,"388,504"
2019-04-18,56.8,56.9,55.5,55.7,56.3,"825,952"
2019-04-17,55.5,56.4,55.5,56,55.7,"247,359"
2019-04-16,55.9,56.8,55.5,56.6,55.9,"357,920"
2019-04-15,56.5,61.9,56.3,61.9,56.5,"312,299"
2019-04-11,56.8,56.8,55.5,55.5,56.6,"493,720"
2019-04-10,55.3,57,55,56.4,55.2,"628,049"
2019-04-09,56.3,57.5,56.1,57,56.3,"461,399"
2019-04-08,57,58,56.2,58,56.6,"668,319"
2019-04-07,57.9,59.4,57.3,59.1,57.6,"669,748"
2019-04-04,59.2,60,58.7,59.5,59,"483,596"
2019-04-03,59.3,60.9,59.2,60.3,59.5,"578,938"
2019-04-02,60.2,61.4,60.1,60.8,60.3,"497,522"
2019-04-01,60.5,60.9,60,60.1,60.4,"617,041"
2019-03-31,59.9,61,59.6,60,59.9,"766,000"
2019-03-28,60.7,61.2,59.6,60.8,59.9,"472,314"
2019-03-27,60.8,62.2,60.1,60.2,60.7,"1,043,514"
2019-03-25,60,60.4,58,58.1,60,"889,268"
2019-03-24,58.6,58.9,57.8,58.6,58.1,"454,680"
2019-03-21,58.2,59,57.8,58.2,57.9,"391,808"
2019-03-20,58.5,59.8,58.3,59.4,58.8,"518,104"
2019-03-19,59.5,59.8,57.2,57.5,59.4,"813,198"
2019-03-18,56.9,59.8,56.7,59.8,57.3,"549,943"
2019-03-14,60.4,62,57.9,62,58.3,"1,307,936"
2019-03-13,60.6,61.9,60.4,61.5,60.5,"1,190,904"
2019-03-12,61.4,62.5,61.3,61.9,61.5,"708,647"
2019-03-11,62.1,62.6,61.8,62,62.1,"555,259"
2019-03-10,62,62.8,61.7,62.5,62,"732,720"
2019-03-07,62,63.3,61.8,63.3,62.1,"663,342"
2019-03-06,62.3,63.3,62.1,62.6,62.2,"682,141"
