DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,21.2,21.3,21,21.1,21.1,"588,649"
2019-06-27,21.1,21.1,21,21.1,21,"443,311"
2019-06-26,21.1,21.1,20.9,21,21,"307,850"
2019-06-25,20.8,21.1,20.8,21,20.9,"646,452"
2019-06-24,20.9,21.1,20.8,20.9,20.9,"1,198,330"
2019-06-23,20.8,21,20.7,21,20.8,"293,212"
2019-06-20,21,21.2,20.9,21.2,20.9,"297,904"
2019-06-19,21.1,21.3,20.9,21.1,21,"548,062"
2019-06-18,21,21.2,20.7,21,21,"725,481"
2019-06-17,20.9,21.8,20.9,21.6,21,"759,027"
2019-06-16,21.5,22.3,21.5,22.3,21.6,"677,464"
2019-06-13,22,22.2,21.9,22.1,22.1,"402,655"
2019-06-12,22.1,22.3,21.9,22.1,22,"485,959"
2019-06-11,22.1,22.3,22,22.2,22.1,"610,949"
2019-06-10,22.1,22.5,22,22.2,22,"544,075"
2019-06-09,22.2,22.5,22,22.2,22.2,"588,754"
2019-05-30,22,22.2,21.7,22.2,22.1,"479,750"
2019-05-29,22.1,22.1,21.6,21.9,22,"954,871"
2019-05-28,21.8,21.9,21.6,21.7,21.8,"426,276"
2019-05-27,21.5,21.9,21.2,21.3,21.6,"784,535"
2019-05-26,21.2,21.5,21,21.4,21.1,"514,072"
2019-05-23,21.4,21.8,21.2,21.6,21.3,"741,015"
2019-05-22,21.4,21.5,21.2,21.3,21.4,"368,116"
2019-05-21,21.1,21.6,21,21.6,21.1,"630,875"
2019-05-20,21.7,22.4,21.5,22.4,21.7,"478,420"
2019-05-19,22.1,22.7,21.3,21.3,22.3,"1,367,135"
2019-05-16,21.2,21.2,20.9,20.9,21.1,"411,164"
2019-05-15,20.9,21,20.6,20.8,20.9,"283,421"
2019-05-14,20.8,21.1,20.8,21,20.8,"244,001"
2019-05-13,21.2,21.3,20.9,21.2,21,"177,477"
2019-05-12,21.3,21.3,21,21.1,21.2,"214,723"
2019-05-09,21.1,21.1,20.8,21.1,21,"509,277"
2019-05-08,21,21.7,20.9,21.7,21.1,"868,345"
2019-05-07,21.5,22.5,21.5,22.2,21.7,"597,557"
2019-05-06,22,22.7,22,22.7,22.2,"509,309"
2019-05-05,22.5,22.7,21.6,21.6,22.6,"795,062"
2019-05-02,21.4,21.6,20.6,20.6,21.4,"491,754"
2019-04-30,20.5,20.8,20.3,20.8,20.3,"461,452"
2019-04-29,20.3,20.9,20.2,20.8,20.4,"283,150"
2019-04-28,20.4,20.8,20.4,20.7,20.5,"261,193"
2019-04-25,20.5,20.7,20.4,20.6,20.6,"416,227"
