DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,132.9,138.4,132.9,137.5,133.3,"244,629"
2019-06-27,136.9,138.5,136.5,137.2,137,"228,640"
2019-06-26,137.2,139.8,136.8,137.8,137.1,"233,330"
2019-06-25,138.4,139.8,136.8,136.8,137.6,"164,650"
2019-06-24,137.2,139.9,136,137.5,136.7,"154,845"
2019-06-23,137.3,142.7,137.1,142,137.5,"207,875"
2019-06-20,141.2,146,140.5,143.5,141.4,"393,510"
2019-06-19,142.9,145,136,136,141.9,"457,564"
2019-06-18,137.5,141,136.8,139.8,137.2,"377,841"
2019-06-17,137.5,148,137.5,139,139.1,"688,332"
2019-06-16,138,139.5,134.2,135,138.6,"457,482"
2019-06-13,134.3,136.9,133.1,134.5,133.8,"233,831"
2019-06-12,133.1,137.3,133.1,135.9,133.7,"180,195"
2019-06-11,135.1,138.8,130.1,130.1,135.3,"387,989"
2019-06-10,129.4,131.7,128.5,128.7,129.3,"134,384"
2019-06-09,128.9,130.5,128,129.9,128.5,"97,055"
2019-05-30,129,132.3,128.4,131.9,128.8,"165,652"
2019-05-29,130.4,132.5,129,132,129.4,"154,188"
2019-05-28,131,131,125.3,127,130.2,"123,814"
2019-05-27,126,129.9,125.5,129.7,126.3,"159,631"
2019-05-26,129.6,135,129.2,134.9,129.7,"143,428"
2019-05-23,132.9,136,132.2,134,132.5,"173,682"
2019-05-22,133.7,135.4,133,134.3,133.6,"159,092"
2019-05-21,132.5,134.9,130,133,132.5,"218,419"
2019-05-20,133,138.2,132.6,136.5,133.7,"223,557"
2019-05-19,136.1,137.3,131.6,133.4,136.1,"311,506"
2019-05-16,131.5,134.8,131.1,133.9,131.6,"239,668"
2019-05-15,132.1,138.4,131.5,135.5,132.6,"369,282"
2019-05-14,135,135.3,127,127.3,134.5,"421,075"
2019-05-13,128,130.2,123.1,129,126.1,"243,694"
2019-05-12,128.7,136.8,128.4,135,128.8,"337,921"
2019-05-09,134.2,138.5,133.9,135.5,134.4,"318,488"
2019-05-08,136,140.5,133.8,137.1,135.2,"439,516"
2019-05-07,136.1,145.9,135.2,144,137,"504,903"
2019-05-06,143,146.8,136.5,141,143.3,"820,226"
2019-05-05,137.3,137.3,130,130,137.3,"610,855"
2019-05-02,124.9,124.9,116,118,124.9,"286,549"
2019-04-30,113,117,113,115,113.6,"354,071"
2019-04-29,113.3,115.3,111.2,115.3,113.4,"264,486"
2019-04-28,115,117.4,111.5,113,114.1,"357,955"
2019-04-25,112.6,112.6,106,108,111,"225,871"
2019-04-24,106.1,109.6,105.7,109.4,106.3,"235,141"
2019-04-23,109.3,115.6,108.8,115.3,109.3,"398,924"
2019-04-21,115,118.2,114.1,114.8,115.3,"287,654"
2019-04-18,113.8,113.9,103.9,105,112.6,"412,149"
2019-04-17,104.6,110.5,103.2,106,105,"332,704"
2019-04-16,108.3,115.9,104,115,107,"395,040"
2019-04-15,112.1,123.9,111.4,122.9,114.8,"266,937"
2019-04-11,121.1,123.9,120.4,120.4,122,"185,474"
2019-04-10,120,121.3,116.1,118,118.5,"284,083"
2019-04-09,116,124,115.2,123.5,116.6,"337,753"
2019-04-08,123.8,131.8,121.2,131.8,122.2,"362,526"
2019-04-07,130.3,136.2,130,135.1,131.2,"179,344"
2019-04-04,134.9,136.2,131.5,135.5,135.1,"193,478"
2019-04-03,134,138.6,133,138.3,133.7,"235,541"
2019-04-02,137.2,141.2,137.1,140.4,137.6,"227,943"
2019-04-01,139.3,143.6,137,141.7,138.4,"270,120"
2019-03-31,140.3,147,140.1,146,140.8,"274,906"
2019-03-28,145.1,148.9,144.7,146,145.1,"320,057"
2019-03-27,144.7,146.8,141.2,141.3,144.4,"361,109"
2019-03-25,140.8,147.8,140.2,146.1,141,"475,639"
2019-03-24,147,147.3,137.3,138.9,145.1,"486,966"
2019-03-21,137.7,138,129,132,136.3,"472,939"
2019-03-20,131.9,139.5,131.2,137,131.9,"279,987"
2019-03-19,136.8,139,128.9,134.8,136.2,"550,207"
2019-03-18,132.4,148.6,132.2,147.2,133.5,"682,452"
2019-03-14,145.3,156.2,145.2,151.9,146.8,"431,794"
2019-03-12,150.8,157.5,147,157.5,150.7,"489,551"
2019-03-11,157.6,163.1,155.1,163,156.7,"333,196"
2019-03-10,162.8,170,162,163,162.7,"254,475"
2019-03-07,162,169,161.5,167.5,161.9,"331,978"
2019-03-06,165.4,172.5,165,171.9,165.5,"329,386"
2019-03-05,170.2,178,168,174.1,169.1,"447,603"
2019-03-04,174.8,181.9,172.7,181.5,174.1,"499,456"
2019-03-03,181,187.7,180.6,183,181.5,"562,615"
2019-02-27,183.6,183.7,167.2,170.1,180.7,"881,013"
2019-02-26,169.7,183,167.7,183,170.1,"894,591"
2019-02-25,181,186.7,179.4,182,182.3,"812,049"
2019-02-24,182,199,177.1,197.6,181.4,"998,583"
2019-02-20,196,220,194.3,220,196.6,"1,356,254"
2019-02-19,199.8,201.9,196,200.3,199.2,"301,792"
2019-02-18,199.5,208,198,205,199.6,"339,586"
2019-02-17,205,211,202.2,203,204.6,"344,866"
2019-02-14,202,207.9,200,207.9,202.1,"468,958"
2019-02-13,207.4,215,205.1,212.8,206.9,"607,393"
2019-02-12,212.6,216.9,210,214.6,211.8,"568,319"
2019-02-11,210,224.9,208,224.9,212.9,"770,746"
2019-02-10,223.1,226.7,220.8,223,222.7,"936,082"
2019-02-07,218,218,207.4,207.4,217.1,"935,317"
2019-02-06,207.9,210,206.3,208.5,207.4,"390,469"
2019-02-05,204.2,209.4,200,201,205.6,"562,032"
2019-02-04,199,202.5,196,197.9,197,"257,229"
2019-02-03,195.1,209,194.5,208,196.8,"502,727"
2019-01-31,204.5,212,202.2,203.6,204.4,"400,021"
2019-01-30,203.6,217,199,212.9,203,"791,848"
2019-01-29,216.9,227,213,213,217.1,"618,440"
2019-01-28,216,221,208.1,209,216.3,"520,270"
2019-01-27,209.3,218.9,206.6,216.1,209,"532,781"
2019-01-24,211.6,230,210,219,216.1,"564,375"
2019-01-23,219.1,233,207.3,233,219.4,"1,127,019"
2019-01-22,213.8,218,212,212,214.3,"427,867"
2019-01-21,210,211.5,205.2,205.7,210.1,"294,111"
2019-01-20,208.6,218.7,205,210.2,207,"281,541"
2019-01-17,209.9,210.1,193,193,208.2,"553,802"
2019-01-16,191.9,197.4,189.1,195.8,191,"243,603"
2019-01-15,196.5,204,192,204,195.8,"246,829"
2019-01-14,200,217.8,198.2,211.3,200.4,"443,457"
2019-01-13,207,210,194.6,195.3,207.5,"249,710"
2019-01-10,193.1,193.1,186.2,188.2,191.6,"115,953"
2019-01-09,188.1,196.7,187.7,196.7,188.2,"112,722"
2019-01-08,193.8,201.9,193,200.2,194.3,"115,989"
2019-01-07,200.5,203.6,196.6,201,199.5,"111,526"
2019-01-06,201,205.9,198,202.1,200.6,"100,605"
2019-01-03,202,205.2,199,199.2,201.1,"134,586"
