DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,39.9,40.3,39.6,40.3,39.7,"504,881"
2019-06-27,40.2,40.4,38.8,39,39.9,"916,760"
2019-06-26,39,39,38.6,38.9,38.9,"284,973"
2019-06-25,38.5,38.8,38.5,38.7,38.6,"437,391"
2019-06-24,39.1,39.1,38.5,38.8,38.7,"555,523"
2019-06-23,39,39.3,38.6,39.3,38.8,"248,954"
2019-06-20,39,39.6,38.7,39.5,38.8,"447,242"
2019-06-19,39.6,39.9,39.4,39.8,39.5,"271,125"
2019-06-18,39.5,40,39.5,40,39.7,"395,045"
2019-06-17,39.9,40.5,39.8,40.2,39.9,"427,185"
2019-06-16,39.8,40.5,39.8,40.5,39.9,"296,606"
2019-06-13,40.2,40.5,40.1,40.3,40.2,"249,362"
2019-06-12,40,40.6,39.9,40.4,40.1,"352,587"
2019-06-11,40.5,41.2,40.3,41,40.5,"393,019"
2019-06-10,40.6,41.1,40.1,40.2,40.9,"495,655"
2019-06-09,40.2,40.3,39.9,40.1,40.1,"189,682"
2019-05-30,40.2,40.3,39.6,40.3,40,"254,225"
2019-05-29,40.3,40.3,39.8,40.1,40.1,"202,089"
2019-05-28,40.2,40.3,39.1,39.1,40.1,"415,053"
2019-05-27,39.3,39.5,39,39.2,39.1,"188,160"
2019-05-26,39.1,39.9,39,39.2,39.2,"315,731"
2019-05-23,39.6,40,39.3,39.8,39.5,"321,234"
2019-05-22,39.8,40.2,39.7,40.2,39.8,"254,389"
2019-05-21,40,40.7,39.9,40.7,40,"388,108"
2019-05-20,40.6,40.6,40.2,40.4,40.4,"315,509"
2019-05-19,40.4,40.7,40.1,40.4,40.4,"778,048"
2019-05-16,40.2,40.6,40.1,40.3,40.4,"531,717"
2019-05-15,40.1,40.7,40,40.5,40.1,"596,934"
2019-05-14,40.7,41.8,40.5,41.5,40.7,"567,312"
2019-05-13,41.4,41.6,40,40.7,41.4,"1,380,004"
2019-05-12,40.4,42.4,40,42.3,40.3,"1,694,785"
2019-05-09,41.7,42.3,41.1,42,41.4,"722,925"
2019-05-08,42,42.5,41.4,41.6,41.7,"1,338,994"
2019-05-07,41.7,42.3,40.3,40.4,41.7,"1,032,321"
2019-05-06,40.2,40.7,40.1,40.7,40.1,"390,607"
2019-05-05,40.5,40.7,40,40.2,40.5,"411,509"
2019-05-02,40.2,41,39.3,41,39.9,"480,042"
2019-04-30,38.5,40,38.1,38.5,38.4,"484,578"
2019-04-29,38.2,39.4,38.2,39.4,38.3,"409,127"
2019-04-28,39.2,39.7,39.2,39.7,39.2,"189,488"
2019-04-25,39.9,39.9,39.1,39.5,39.7,"263,053"
2019-04-24,39.5,40,39.3,39.9,39.4,"204,088"
2019-04-23,39.6,40.4,39.5,40.4,39.8,"331,022"
2019-04-21,40.2,40.9,40.2,40.7,40.4,"161,004"
2019-04-18,40.6,40.7,39.8,40,40.5,"293,311"
2019-04-17,39.8,40.5,39.7,40.2,39.8,"304,553"
2019-04-16,40.1,40.7,40.1,40.7,40.2,"317,222"
2019-04-15,40.6,41.3,40.6,41.1,40.7,"185,870"
2019-04-11,40.8,41.4,40.5,41.1,41.1,"387,404"
2019-04-10,40.7,41.4,40.7,41.4,40.9,"236,581"
2019-04-09,41,41.7,41,41.3,41.1,"289,952"
2019-04-08,41.2,42,41.2,41.5,41.3,"400,749"
2019-04-07,41.6,41.7,41,41,41.6,"217,197"
2019-04-04,41.1,41.5,40.9,41.2,41.2,"299,577"
2019-04-03,41.2,41.5,41,41.5,41.1,"268,749"
2019-04-02,41.4,41.7,41.1,41.4,41.2,"371,746"
2019-04-01,41.3,41.6,41,41.2,41.2,"299,069"
2019-03-31,41.1,41.7,41,41.6,41.1,"409,947"
2019-03-28,41.7,41.9,41.4,41.6,41.7,"249,379"
2019-03-27,41.2,42.9,41.2,42.5,41.3,"946,660"
2019-03-25,42.4,44,42.3,44,42.5,"825,371"
2019-03-21,44,45.6,44,45.3,44.5,"1,023,397"
2019-03-20,45.6,46.1,45,46,45.5,"1,041,432"
2019-03-19,45.2,45.9,45.1,45.7,45.5,"851,045"
2019-03-18,45.3,46.1,45.2,45.7,45.6,"1,191,986"
2019-03-14,45.4,46,44.8,45,45.7,"1,430,160"
2019-03-13,45.1,45.8,44.5,45.8,45,"1,128,094"
2019-03-12,45.4,46.3,44.7,46.2,45.7,"1,896,161"
2019-03-11,46,46.5,43.8,44.1,46,"3,154,689"
2019-03-10,43.9,44.2,42.7,42.8,43.9,"1,178,361"
2019-03-07,42.6,42.8,41.9,41.9,42.7,"299,199"
2019-03-06,42.3,43,41.9,43,42.1,"321,783"
2019-03-05,43,43.5,42.5,43.2,42.9,"494,122"
2019-03-04,43.2,43.9,42.8,43.9,43.3,"789,407"
2019-03-03,44,44.6,42,42,43.9,"2,069,251"
2019-02-27,41,41,39,40.9,40.8,"899,832"
2019-02-26,41,41.2,40.6,41.2,41,"593,375"
2019-02-25,41,41,40.8,41,40.9,"329,818"
2019-02-24,40.8,41.2,40.8,41,40.9,"289,091"
2019-02-20,41,41.1,40.9,41,41,"531,453"
2019-02-19,41,41.2,40.7,41,41,"400,650"
2019-02-18,41,41.5,40.7,41.5,41,"586,572"
2019-02-17,41.5,42.2,41.1,41.9,41.4,"715,837"
2019-02-14,41.8,41.8,41.3,41.3,41.7,"681,444"
2019-02-13,41.4,41.9,40.7,41,41.2,"487,690"
2019-02-12,41,41.5,40,41.4,40.7,"1,224,051"
2019-02-11,41.1,42.3,41,42.2,41.1,"677,178"
2019-02-10,42,43.9,41.4,43.9,41.9,"1,292,852"
2019-02-06,43.3,44,42.9,44,43.2,"743,385"
2019-02-05,43.8,44.8,43.6,44.8,43.9,"176,923"
2019-02-04,44.8,44.8,43.1,43.1,44.3,"489,800"
2019-02-03,43.3,44.6,43.2,44.1,43.4,"553,330"
2019-01-31,44.6,44.6,43.8,44.4,44.1,"217,677"
2019-01-30,44.4,45,44.1,45,44.3,"271,481"
2019-01-29,44.8,45.8,44.5,45.6,45,"393,694"
2019-01-28,45.5,46,45.4,46,45.5,"225,942"
2019-01-27,45.6,46.4,45.5,45.9,45.7,"350,401"
2019-01-24,45.5,46.9,45.4,45.8,45.9,"241,516"
2019-01-23,45.3,45.9,45.2,45.6,45.3,"292,582"
2019-01-22,45.7,46.5,45.2,46.5,45.6,"391,127"
2019-01-21,46.5,47.5,46.2,47.5,46.3,"331,939"
2019-01-20,47.2,48,46.6,46.9,47.1,"436,206"
2019-01-17,45.2,46.5,45.1,46.2,45.6,"455,176"
2019-01-16,46.2,47.7,46,47.1,46.3,"374,519"
2019-01-15,46.6,48.2,46.6,48.2,47,"318,507"
2019-01-14,47.5,48.8,46.9,48.8,47.1,"414,329"
2019-01-13,47.7,48.3,46.7,47.9,48,"523,145"
2019-01-10,46.7,47.5,46.5,47.5,46.6,"373,016"
2019-01-09,47.2,48.3,47,48,47.2,"637,941"
