DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,872,896.5,870,896.5,871.9,"7,764"
2019-06-27,895,910,890,910,893.4,"6,015"
2019-06-26,914.2,929.9,870,870,908.5,"11,388"
2019-06-25,893.5,893.5,818,818,882.9,"11,469"
2019-06-24,870.2,900,870,870,882.9,"13,189"
2019-06-23,878,914.5,860,903.3,876.9,"15,837"
2019-06-20,900.1,922,890,922,901.5,"10,070"
2019-06-19,907,930,901,924,911.7,"10,949"
2019-06-18,905,937.4,900,925,912.9,"8,261"
2019-06-17,935,965,935,945.1,939.3,"15,064"
2019-06-16,940,948.8,920.1,925.7,943.4,"14,164"
2019-06-13,919.2,932,918.3,928,919.7,"6,976"
2019-06-12,925,950,920,937,925.2,"8,391"
2019-06-11,935,954.8,905,905,936.5,"11,898"
2019-06-10,901.2,909,898,905,901,"4,470"
2019-06-09,898.3,910,895.5,910,900.2,"5,918"
2019-05-30,901.2,912.5,891,898,904.4,"7,081"
2019-05-29,894.2,897,884,889.4,890.3,"3,647"
2019-05-28,889.7,904,887.1,890.2,889.4,"4,297"
2019-05-27,887.3,898,886.7,894,890,"6,697"
2019-05-26,892.5,903.7,892.3,903.7,894,"2,366"
2019-05-23,906.2,916.9,895.3,912,903.7,"4,853"
2019-05-22,916,920,890,894,910.8,"3,632"
2019-05-21,890.5,904.4,890,890,894,"5,225"
2019-05-20,903.2,909.9,900,906,904.4,"1,893"
2019-05-19,906.6,936.8,905,928,908.9,"5,934"
2019-05-16,931.5,931.5,916,916,927.9,"5,773"
2019-05-15,915.1,918.5,890.5,890.5,908.4,"4,244"
2019-05-14,890,909.7,885,909.7,888,"2,648"
2019-05-13,896.6,910,895,910,898.5,"2,764"
2019-05-12,900,935,897,935,901.9,"5,901"
2019-05-09,932.8,950.6,918.2,950.6,922.6,"8,398"
2019-05-08,933.5,949.7,931.2,941,935.8,"4,247"
2019-05-07,943.5,974,941,974,943.6,"5,168"
2019-05-06,952,994.9,950,994.9,951.9,"9,260"
2019-05-05,987,"1,010",976.2,980.5,980,"14,615"
2019-05-02,980,980.5,935,935,976,"13,934"
