DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,"1,206.8","1,225","1,206.6","1,217","1,207.1","2,041"
2019-06-27,"1,224.9","1,224.9","1,210","1,210","1,217.1","3,009"
2019-06-26,"1,211","1,219","1,203","1,203","1,212","2,079"
2019-06-25,"1,207","1,207","1,200","1,202","1,203.7","4,205"
2019-06-24,"1,206","1,206","1,200.1","1,202","1,203.1","4,738"
2019-06-23,"1,201.1","1,205","1,197.2","1,205","1,202.8","6,642"
2019-06-20,"1,203.2","1,209.5","1,202.5","1,207","1,203.2","4,909"
2019-06-19,"1,206","1,232","1,203","1,203","1,207.4","4,125"
2019-06-18,"1,203.2","1,211","1,201.2","1,201.2","1,204.4","3,188"
2019-06-17,"1,209.2","1,218","1,205.1","1,212","1,207.3","2,281"
2019-06-16,"1,211.4","1,244.9","1,211.1","1,229","1,212.5","4,601"
2019-06-13,"1,203.1","1,214.6","1,202.3","1,214.6","1,202.8","7,244"
2019-06-12,"1,205.1","1,229","1,201","1,215","1,208.6","6,594"
2019-06-11,"1,215","1,303","1,210","1,275","1,215.9","5,053"
2019-06-10,"1,230","1,235","1,170","1,170","1,232.5","5,414"
2019-06-09,"1,170.1","1,179.5","1,165","1,165.2","1,167","1,126"
2019-05-30,"1,175","1,175","1,155","1,170","1,169.2","3,301"
2019-05-29,"1,166.1","1,180","1,160","1,160.9","1,165","3,210"
2019-05-28,"1,169","1,169","1,126.9","1,128","1,160.9","3,097"
2019-05-27,"1,135","1,135","1,101","1,101.1","1,126.9","1,509"
2019-05-26,"1,102","1,107.6","1,097.4","1,107.6","1,101.8","3,405"
2019-05-23,"1,101","1,137.5","1,100","1,130","1,105.9","5,772"
2019-05-22,"1,115.1","1,130","1,115.1","1,130","1,120.9","3,971"
2019-05-21,"1,127.1","1,140","1,127.1","1,130","1,129.3","4,410"
2019-05-20,"1,130","1,137.1","1,130","1,137.1","1,133.1","2,821"
2019-05-19,"1,137","1,148","1,137","1,148","1,138.7","5,633"
2019-05-16,"1,140","1,143","1,138.2","1,142.2","1,139.9","3,577"
2019-05-15,"1,142","1,156.8","1,142","1,145","1,145.2","2,626"
2019-05-14,"1,145","1,149","1,145","1,147","1,145.7","2,282"
2019-05-13,"1,146.2","1,154.7","1,146","1,146","1,148.5","1,828"
2019-05-12,"1,145.1","1,154.5","1,142.1","1,145","1,145.4","2,914"
2019-05-09,"1,143.4","1,148","1,142.5","1,147.6","1,144","2,967"
2019-05-08,"1,148","1,156.5","1,145","1,150.1","1,147.6","2,576"
2019-05-07,"1,150.2","1,156","1,150","1,156","1,150.6","4,255"
2019-05-06,"1,152","1,165","1,150.1","1,156","1,153.1","4,405"
2019-05-05,"1,152","1,169.9","1,151","1,169.9","1,153.7","5,306"
2019-05-02,"1,152.3","1,172","1,149","1,150.1","1,154.7","2,322"
2019-04-30,"1,149","1,157","1,149","1,157","1,151.4","3,053"
2019-04-29,"1,148","1,165.1","1,140.1","1,165.1","1,149","6,830"
2019-04-28,"1,164.1","1,171","1,164","1,168.9","1,165.1","4,059"
2019-04-25,"1,163","1,189","1,161","1,189","1,162.9","5,010"
2019-04-24,"1,171.6","1,179","1,170.2","1,170.8","1,172.6","4,702"
2019-04-23,"1,170.2","1,183","1,170","1,178.3","1,170","5,723"
2019-04-21,"1,177","1,188.9","1,170.2","1,170.2","1,178.2","3,230"
2019-04-18,"1,169.2","1,178","1,169.2","1,175","1,170.2","3,133"
2019-04-17,"1,168.4","1,179.9","1,166.3","1,173.6","1,170.2","4,626"
2019-04-16,"1,173.4","1,184.5","1,167","1,180.1","1,173.6","3,044"
2019-04-15,"1,182","1,194","1,182","1,182.1","1,182.3","1,698"
2019-04-11,"1,185","1,198.8","1,184.1","1,198.8","1,184.8","3,470"
2019-04-10,"1,190","1,199.9","1,185","1,191","1,187.4","5,127"
2019-04-09,"1,202.8","1,210.1","1,151.1","1,210.1","1,198.6","4,309"
2019-04-08,"1,211.4","1,226.4","1,211.1","1,226.4","1,212","9,151"
2019-04-07,"1,213","1,240.5","1,205.1","1,205.1","1,221.1","7,103"
2019-04-04,"1,205","1,210","1,177","1,180","1,201.2","9,089"
2019-04-03,"1,190","1,190","1,181.8","1,188.9","1,184.3","12,097"
2019-04-02,"1,181","1,189.2","1,177.1","1,178","1,187.2","8,893"
2019-04-01,"1,180","1,193.8","1,180","1,193.8","1,180.7","13,410"
2019-03-31,"1,189","1,191.9","1,182.1","1,191","1,188.1","9,887"
2019-03-28,"1,189.8","1,193.5","1,181","1,181","1,185","10,322"
2019-03-27,"1,191","1,220","1,185","1,220","1,190.4","6,935"
2019-03-24,"1,227","1,230.4","1,220","1,230","1,222.4","12,221"
2019-03-21,"1,240","1,247","1,220.1","1,246.9","1,236.2","8,814"
2019-03-20,"1,225.1","1,264.4","1,225","1,248","1,230.7","17,746"
2019-03-19,"1,236","1,276.9","1,232","1,276.9","1,238.1","16,915"
2019-03-18,"1,252","1,306","1,252","1,295","1,258.1","25,499"
2019-03-14,"1,284","1,300","1,251","1,263.6","1,289.6","52,606"
2019-03-13,"1,250","1,267","1,237.8","1,237.9","1,255.9","30,776"
2019-03-12,"1,225.9","1,264.9","1,224","1,245.9","1,226.5","32,627"
2019-03-11,"1,252","1,268","1,237.1","1,267","1,242.1","16,619"
2019-03-10,"1,257","1,269","1,250.6","1,267","1,255.6","11,556"
2019-03-07,"1,259","1,279","1,234","1,269.1","1,243","12,021"
2019-03-06,"1,238","1,294.9","1,238","1,260.8","1,243.1","28,024"
2019-03-05,"1,260","1,347.7","1,007.3","1,347.7","1,260.9","50,120"
2019-03-04,"1,335","1,380","1,335","1,379.9","1,347.8","42,237"
2019-03-03,"1,370","1,384","1,358.1","1,365","1,367.7","62,497"
2019-02-27,"1,348.1","1,380","1,340","1,360.2","1,350.8","34,041"
2019-02-26,"1,360.2","1,380","1,347","1,347","1,359.3","71,042"
2019-02-25,"1,331","1,351","1,305","1,305","1,341.9","54,570"
2019-02-24,"1,305","1,312","1,280.2","1,289.9","1,301.3","5,615"
2019-02-20,"1,282.4","1,308","1,256","1,256","1,287.6","16,097"
2019-02-19,"1,266.9","1,267","1,243.1","1,257.1","1,253.9","5,589"
2019-02-18,"1,255.1","1,274.6","1,250.6","1,262","1,256.3","6,845"
2019-02-17,"1,271.1","1,285","1,271","1,280","1,272","6,263"
2019-02-14,"1,282.8","1,299","1,275.2","1,299","1,277.6","15,830"
2019-02-13,"1,283.1","1,295","1,280.1","1,282","1,288.3","12,984"
2019-02-12,"1,286","1,303.5","1,270.5","1,291","1,281.4","14,040"
2019-02-11,"1,299.9","1,340.1","1,282","1,340","1,297.9","22,744"
2019-02-10,"1,340","1,378.9","1,320.1","1,342.2","1,335.5","58,490"
2019-02-07,"1,340","1,344.5","1,318","1,320","1,340.3","46,856"
2019-02-06,"1,311.3","1,328.8","1,283","1,298.8","1,308.2","39,011"
2019-02-05,"1,290","1,315","1,282","1,300","1,287.3","25,261"
2019-02-04,"1,290.2","1,305","1,270","1,285","1,296.3","47,295"
2019-02-03,"1,279","1,285","1,268.6","1,284","1,276.5","13,955"
2019-01-31,"1,279.9","1,285","1,226","1,227","1,268.6","14,750"
2019-01-30,"1,230","1,242.7","1,226","1,230.5","1,236.6","9,520"
2019-01-29,"1,230","1,234.8","1,212.1","1,220","1,229.9","7,506"
2019-01-28,"1,212","1,245","1,208","1,208","1,213.9","3,997"
2019-01-27,"1,201.5","1,226","1,190","1,226","1,207.8","2,008"
2019-01-24,"1,217.5","1,231","1,216","1,231","1,218.4","6,936"
2019-01-23,"1,235","1,239","1,225","1,232.3","1,230.2","2,716"
2019-01-22,"1,235","1,246","1,225.5","1,245","1,229.5","4,868"
2019-01-21,"1,240","1,248","1,231.1","1,237.5","1,237.9","10,364"
2019-01-20,"1,237","1,240","1,223.1","1,235.1","1,236.4","3,111"
2019-01-17,"1,227","1,233.9","1,220","1,227.3","1,229","4,930"
2019-01-16,"1,230","1,240","1,218","1,240","1,233.5","8,942"
2019-01-15,"1,231","1,265","1,221","1,265","1,230.9","17,330"
2019-01-14,"1,233","1,259.4","1,233","1,240","1,236.2","9,631"
2019-01-13,"1,240","1,300","1,240","1,279.9","1,259.4","32,069"
