DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,7.6,7.9,7.4,7.9,7.5,"51,850"
2019-06-27,7.4,7.6,7.2,7.3,7.5,"153,050"
2019-06-26,7.2,8,7.2,7.9,7.7,"4,136"
2019-06-25,7.5,7.8,7.3,7.8,7.5,"43,201"
2019-06-24,7.4,7.5,7.4,7.4,7.5,"23,500"
2019-06-20,7,7,7,7,7,"1,000"
2019-06-19,7.2,7.2,7,7,7,"20,100"
2019-06-17,6.8,6.8,6.8,6.8,6.8,518
2019-06-16,6.8,6.9,6.8,6.9,6.9,518
2019-06-12,7,7,7,7,7,"2,500"
2019-06-11,7,7,7,7,7,"2,500"
2019-06-10,6.9,6.9,6.9,6.9,6.9,"4,900"
2019-05-30,6.9,6.9,6.8,6.8,6.9,"3,228"
2019-05-27,6.9,6.9,6.9,6.9,6.9,"6,530"
2019-05-26,6.9,6.9,6.7,6.7,6.9,"5,281"
2019-05-23,6.8,6.8,6.8,6.8,6.8,464
2019-05-22,6.8,6.8,6.8,6.8,6.8,"1,000"
2019-05-21,6.7,6.7,6.5,6.6,6.6,"10,630"
2019-05-20,6.8,6.8,6.8,6.8,6.8,345
2019-05-19,6.8,6.8,6.8,6.8,6.8,1
2019-05-16,6.8,6.8,6.8,6.8,6.8,"1,550"
2019-05-15,6.7,6.7,6.7,6.7,6.7,"1,000"
2019-05-14,6.7,6.7,6.6,6.6,6.7,"5,649"
2019-05-13,6.6,6.6,6.6,6.6,6.6,"2,000"
2019-05-12,6.6,6.6,6.5,6.5,6.6,"6,250"
2019-05-09,6.1,6.8,6.1,6.8,6.2,"15,000"
2019-05-08,6.3,6.7,6.3,6.7,6.4,"29,450"
2019-05-07,7,7,7,7,7,"20,000"
2019-05-06,7,7,7,7,7,"2,750"
2019-05-02,7,7,7,7,7,"3,000"
2019-04-11,7,7,7,7,7,"35,850"
2019-04-10,7.1,7.1,7.1,7.1,7.1,71
2019-04-09,7,7,7,7,7,"9,000"
2019-04-08,7,7,7,7,7,150
2019-04-04,6.9,7.1,6.8,7,6.9,"32,850"
2019-04-03,7,7,7,7,7,"10,000"
2019-04-02,7.1,7.1,6.8,6.8,7,"11,355"
2019-03-31,6.8,6.8,6.8,6.8,6.8,"6,770"
2019-03-25,6.8,7,6.8,7,6.8,"66,846"
2019-03-24,7,7,7,7,7,50
2019-03-21,7.1,7.1,7.1,7.1,7.1,"2,000"
2019-03-20,7,7.1,7,7.1,7.1,"28,500"
2019-03-18,7,7.1,6.8,6.8,7,"7,482"
2019-03-14,7.1,7.2,7.1,7.2,7.1,"6,000"
2019-03-13,7.1,7.2,7.1,7.1,7.1,"15,011"
2019-03-12,7,7,7,7,7,"14,500"
2019-03-11,7,7,6.9,6.9,7,"50,140"
2019-03-10,7,7,7,7,7,"13,000"
2019-03-07,6.9,6.9,6.9,6.9,6.9,200
2019-03-06,7,7,7,7,7,"104,699"
2019-03-05,7,7,7,7,7,"12,288"
2019-03-04,7,7,7,7,7,"1,712"
2019-02-27,6.9,7,6.8,6.8,6.9,"32,482"
2019-02-26,7,7,6.8,6.8,6.9,"66,719"
2019-02-25,6.9,6.9,6.8,6.9,6.9,"91,057"
2019-02-24,6.9,6.9,6.9,6.9,6.9,"9,000"
2019-02-20,6.9,6.9,6.9,6.9,6.9,"7,260"
2019-02-19,6.8,6.8,6.8,6.8,6.8,30
2019-02-18,6.8,6.9,6.7,6.9,6.8,"41,700"
2019-02-17,6.9,6.9,6.8,6.9,6.9,"75,580"
2019-02-14,6.8,6.8,6.7,6.7,6.8,"46,686"
2019-02-13,6.4,7,6.4,7,6.6,"96,947"
2019-02-12,6.9,7,6.9,7,6.9,"5,254"
2019-02-11,7,7,7,7,7,200
2019-02-10,7,7.2,7,7.2,7,"45,624"
2019-02-07,7.1,7.1,7.1,7.1,7.1,"5,000"
2019-02-05,7,7.2,7,7.2,7.2,"72,700"
2019-02-04,7,7.2,7,7.2,7,"73,518"
2019-02-03,7.3,7.3,7.3,7.3,7.3,20
2019-01-30,7.1,7.6,7.1,7.3,7.3,"47,551"
2019-01-29,7.1,7.2,7.1,7.2,7.1,"5,700"
2019-01-28,7,7.2,7,7.2,7.1,"17,000"
2019-01-27,7.3,7.4,7.3,7.4,7.3,"35,850"
2019-01-24,7.6,7.6,7.5,7.5,7.6,"28,119"
2019-01-23,7.4,7.4,7.4,7.4,7.4,"6,520"
2019-01-22,7.4,7.5,7.4,7.5,7.4,"46,400"
2019-01-21,7.6,7.6,7.6,7.6,7.6,"22,520"
2019-01-20,7.8,7.8,7.4,7.4,7.5,"107,500"
2019-01-17,7.4,7.4,7.4,7.4,7.4,"97,700"
2019-01-16,7.4,7.6,7.4,7.5,7.5,"74,000"
2019-01-15,7.3,7.4,7.3,7.4,7.3,"168,635"
2019-01-14,7.4,7.4,7.4,7.4,7.4,"4,000"
2019-01-13,7.5,7.5,7.5,7.5,7.5,"82,880"
2019-01-10,7.5,7.5,7.4,7.4,7.5,"10,000"
2019-01-09,7.6,7.7,7.4,7.4,7.5,"20,500"
2019-01-08,7.3,7.3,7.2,7.2,7.2,"168,220"
2019-01-07,7.3,7.3,7.2,7.2,7.2,"43,821"
2019-01-06,7.2,7.2,7.1,7.1,7.2,"117,342"
2019-01-03,7.2,7.2,6.9,6.9,7.1,"70,269"
2019-01-02,7.1,7.1,6.9,7,7,"54,121"
2019-01-01,6.9,6.9,6.9,6.9,6.9,"27,698"
2018-12-27,7,7,6.9,6.9,6.9,"10,001"
2018-12-26,6.8,6.9,6.8,6.9,6.9,"27,050"
2018-12-24,6.7,6.8,6.7,6.8,6.8,"69,588"
2018-12-23,6.7,6.7,6.6,6.7,6.7,"94,452"
2018-12-20,6.5,7,6.5,7,6.7,"44,563"
2018-12-19,6.8,7.2,6.8,6.8,7,"8,450"
2018-12-18,6.8,6.8,6.8,6.8,6.8,"50,510"
2018-12-17,6.8,6.9,6.7,6.7,6.8,"154,800"
2018-12-13,6.6,6.7,6.6,6.7,6.6,"8,270"
2018-12-12,6.7,6.7,6.7,6.7,6.7,"20,200"
2018-12-11,6.8,6.8,6.7,6.7,6.7,"20,220"
2018-12-10,6.8,6.8,6.7,6.7,6.7,"105,100"
2018-12-09,6.7,6.7,6.6,6.7,6.7,"68,804"
2018-12-06,6.8,6.8,6.6,6.7,6.7,"20,810"
