DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,16.6,16.9,16.4,16.7,16.6,"190,003"
2019-06-27,16.6,16.8,16.4,16.4,16.7,"129,428"
2019-06-26,16.4,16.5,16.3,16.3,16.4,"68,060"
2019-06-25,16.4,16.7,16.4,16.7,16.4,"178,347"
2019-06-24,16.5,16.7,16.3,16.7,16.6,"117,753"
2019-06-23,16.4,16.7,16.3,16.7,16.4,"106,971"
2019-06-20,16.7,17.2,16.6,16.9,16.7,"270,322"
2019-06-19,16.9,17.7,16.9,17.6,17,"395,395"
2019-06-18,17.5,17.6,16.2,16.2,17.5,"1,347,984"
2019-06-17,16.2,16.5,16.1,16.5,16.2,"156,218"
2019-06-16,16.4,16.6,16.3,16.4,16.5,"464,323"
2019-06-13,16.2,16.3,15.8,15.8,16.1,"290,854"
2019-06-12,15.7,16,15.7,16,15.8,"109,469"
2019-06-11,16.1,16.2,15.8,15.8,16,"275,331"
2019-06-10,15.7,16.3,15.7,15.8,15.8,"527,287"
2019-06-09,15.6,15.8,15.5,15.7,15.7,"84,116"
2019-05-30,15.7,15.7,15.5,15.5,15.6,"214,886"
2019-05-29,15.4,15.5,15.3,15.3,15.4,"143,255"
2019-05-28,15.2,15.4,15.2,15.2,15.3,"97,132"
2019-05-27,15.1,15.3,15,15.1,15.1,"169,719"
2019-05-26,15.3,15.4,15.1,15.3,15.2,"128,334"
2019-05-23,15.2,15.5,15.2,15.3,15.3,"106,203"
2019-05-22,15.3,15.4,15.2,15.4,15.3,"72,713"
2019-05-21,15.2,15.5,15.2,15.5,15.3,"94,773"
2019-05-20,15.3,15.5,15.3,15.5,15.3,"84,840"
2019-05-19,15.4,15.6,15.3,15.5,15.5,"190,665"
2019-05-16,15.2,15.5,15.2,15.4,15.3,"194,873"
2019-05-15,15.2,15.5,15.2,15.5,15.2,"175,847"
2019-05-14,15.4,15.6,15.3,15.6,15.4,"133,298"
2019-05-13,15.5,15.8,15.4,15.8,15.5,"279,645"
2019-05-12,15.8,16,15.6,15.8,15.7,"174,431"
2019-05-09,15.5,15.8,15.4,15.8,15.5,"255,785"
2019-05-08,15.7,15.7,15.4,15.6,15.6,"136,110"
2019-05-07,15.7,16.1,15.5,15.9,15.6,"231,982"
2019-05-06,15.6,16.8,15.6,16.5,15.7,"655,273"
2019-05-05,16.4,16.8,15.9,16,16.5,"407,502"
2019-05-02,15.6,16.1,15.6,15.6,15.7,"508,940"
2019-04-30,15.6,16.4,15.4,16.4,15.7,"452,075"
2019-04-29,16.9,18,16.9,18,16.9,"373,354"
2019-04-28,18.8,19,18.6,18.7,18.7,"81,771"
2019-04-25,18.4,19.1,18.4,18.6,18.5,"203,555"
2019-04-24,18.6,19.1,18.6,19,18.8,"131,486"
2019-04-23,19,19.7,18.9,19.7,19.1,"184,264"
2019-04-21,19.9,19.9,19,19.5,19.8,"278,185"
2019-04-18,19.4,19.4,18.2,18.6,19.2,"231,394"
2019-04-17,18.5,18.6,18.3,18.3,18.6,"96,903"
2019-04-16,18.5,18.6,18.1,18.3,18.5,"131,216"
2019-04-15,18.7,18.7,18.3,18.5,18.6,"165,855"
2019-04-11,18.2,18.4,17.9,18.3,18.3,"71,105"
2019-04-10,18,18.5,17.6,18.2,17.8,"161,620"
2019-04-09,18.3,18.6,18.2,18.3,18.4,"142,940"
2019-04-08,18.3,18.4,18.2,18.4,18.3,"203,087"
2019-04-07,18.7,18.7,18.4,18.7,18.6,"95,169"
2019-04-04,18.6,18.8,18.1,18.5,18.6,"311,973"
2019-04-03,18.4,18.6,18.1,18.4,18.1,"85,010"
2019-04-02,18.3,18.8,18.3,18.5,18.4,"139,411"
2019-04-01,18.3,18.6,18.2,18.4,18.4,"103,882"
2019-03-31,18.2,18.7,18.1,18.6,18.2,"178,367"
2019-03-28,18.7,18.7,18.4,18.6,18.7,"67,135"
2019-03-27,18.5,18.8,18.4,18.8,18.5,"91,337"
2019-03-25,18.6,18.7,18.4,18.7,18.5,"71,560"
2019-03-24,18.5,18.6,18.1,18.5,18.4,"70,020"
2019-03-21,18.4,19,18.3,18.7,18.5,"190,759"
2019-03-20,18.9,19.6,18.7,19.2,18.8,"323,626"
2019-03-19,19.2,19.2,18.3,18.9,19,"207,810"
2019-03-18,18.4,19,18.3,19,18.4,"227,187"
2019-03-14,19.1,20,18.9,19.8,19.1,"380,751"
2019-03-13,19.3,20,19.2,19.9,19.3,"234,335"
2019-03-12,19.9,20.5,19.6,20.5,19.8,"564,186"
2019-03-11,20.3,20.9,20.1,20.9,20.2,"353,469"
2019-03-10,20.8,20.9,20.6,20.9,20.7,"280,246"
2019-03-07,20.6,21.2,20.4,20.9,20.5,"475,393"
2019-03-06,20.8,21.2,20.5,20.9,20.6,"384,950"
2019-03-05,21.1,21.4,20.7,21,20.9,"375,384"
2019-03-04,20.8,21.7,20.8,21,20.9,"690,676"
2019-03-03,21.1,21.6,20.9,21.5,21,"345,993"
2019-02-27,21.4,21.4,20.4,20.4,21.2,"835,000"
2019-02-26,20.2,21.2,20,21.2,20.2,"434,701"
2019-02-25,20.8,21.7,20.5,21.6,20.9,"655,490"
2019-02-24,21.5,22.3,21.5,22.3,21.6,"201,512"
2019-02-20,22.1,22.3,21.8,22.3,21.9,"286,311"
2019-02-19,22,22.6,21.9,22.5,22.1,"587,580"
2019-02-18,22.5,23.5,22.3,22.7,22.6,"727,674"
2019-02-17,22.7,23.9,22.5,23.8,22.7,"707,960"
2019-02-14,23.5,24.3,22.2,22.6,23.5,"1,869,279"
2019-02-13,22.6,23.4,22.2,23.4,22.4,"690,697"
2019-02-12,23.2,23.5,22.5,22.9,23.1,"1,233,288"
2019-02-11,22.6,22.8,21.9,22.5,22.4,"679,248"
2019-02-10,22.3,23.4,21.5,22.4,22,"835,004"
2019-02-07,22.2,22.7,21.3,22.7,22.4,"843,796"
2019-02-06,22.3,23.8,22.1,23.2,22.2,"706,857"
2019-02-05,23.4,24.1,22.8,22.8,23.1,"1,053,269"
2019-02-04,22.9,24,22.4,23.9,22.7,"1,062,205"
2019-02-03,23.3,25.5,23.3,25.5,23.7,"2,035,205"
2019-01-31,24.5,24.8,22.7,23.1,24.7,"3,420,869"
2019-01-30,23,24.7,22.6,23,23.1,"2,209,192"
2019-01-29,22.7,22.7,20.4,20.8,22.6,"1,881,063"
2019-01-28,20.8,21.8,20.6,21.7,20.7,"1,180,167"
2019-01-27,21.9,22.3,20.3,20.3,21.7,"2,007,405"
2019-01-24,20.3,20.3,18.5,18.7,20.3,"1,742,473"
2019-01-23,18.6,18.9,18.4,18.4,18.5,"591,191"
2019-01-22,18,18.4,18,18.1,18.2,"124,378"
2019-01-21,18.4,18.4,18,18.3,18,"99,264"
2019-01-20,18.3,18.7,17.9,18.7,18.1,"155,455"
