DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,"1,520","1,525","1,490","1,490","1,517.5","4,477"
2019-06-27,"1,515","1,520","1,500","1,500.1","1,511.7","5,386"
2019-06-26,"1,513","1,513.7","1,497.4","1,497.4","1,509.1","3,514"
2019-06-25,"1,497","1,505","1,490","1,504.9","1,497.4","17,158"
2019-06-24,"1,500.1","1,519.9","1,495","1,495","1,500","20,798"
2019-06-23,"1,516","1,516","1,430","1,430","1,513.7","6,680"
2019-06-20,"1,513.3","1,513.3","1,491","1,491","1,511.2","4,190"
2019-06-19,"1,501","1,501","1,472","1,472","1,498.6","1,860"
2019-06-18,"1,500","1,500","1,471","1,480","1,499.5","4,271"
2019-06-17,"1,496","1,513","1,485","1,513","1,488.8",701
2019-06-16,"1,506","1,510","1,498","1,510","1,503.4","5,874"
2019-06-13,"1,502.5","1,504.5","1,493.2","1,496.9","1,500.4","6,133"
2019-06-12,"1,495","1,495","1,467","1,468","1,484.2","4,726"
2019-06-11,"1,460","1,472.5","1,449","1,450.1","1,458.6","2,378"
2019-06-10,"1,451.2","1,465","1,440","1,447.9","1,460.1","2,562"
2019-06-09,"1,437.9","1,437.9","1,400","1,400","1,432.2","1,571"
2019-05-29,"1,420","1,420","1,410","1,410.5","1,418",842
2019-05-28,"1,410","1,417","1,399.2","1,405","1,410.5","2,207"
2019-05-27,"1,397.4","1,404","1,397","1,397","1,400.6","1,783"
2019-05-26,"1,400","1,400","1,390.2","1,400","1,396.9","1,286"
2019-05-23,"1,399.7","1,399.7","1,390","1,397","1,396.9","1,292"
2019-05-22,"1,400","1,400","1,381.6","1,399","1,397.3","3,113"
2019-05-21,"1,410","1,410","1,376","1,399.9","1,396.3","1,106"
2019-05-20,"1,405","1,405","1,350","1,399","1,397","5,610"
2019-05-19,"1,401.1","1,408","1,401.1","1,407.8","1,404","1,710"
2019-05-16,"1,404","1,410","1,400","1,400","1,407.8",787
2019-05-15,"1,409.9","1,409.9","1,400","1,402","1,400.1","2,108"
2019-05-14,"1,402.6","1,408.9","1,402.3","1,408.9","1,402.6",659
2019-05-13,"1,412","1,450","1,405.3","1,428","1,408.9","1,088"
2019-05-12,"1,402.1","1,402.1","1,400","1,400.4","1,401.5","1,755"
2019-05-09,"1,405","1,405","1,396.1","1,396.1","1,400.4","3,632"
2019-05-08,"1,400","1,415","1,395","1,401.1","1,399.1","3,677"
2019-05-07,"1,418","1,430","1,402","1,410","1,411.4","2,744"
2019-05-06,"1,405.1","1,410","1,400","1,400","1,406.2","6,652"
2019-05-05,"1,412","1,412","1,386.1","1,386.2","1,407","8,809"
2019-05-02,"1,400","1,444.9","1,376","1,376","1,393.5","14,199"
2019-04-30,"1,416","1,444","1,310","1,444","1,408.9","21,914"
2019-04-29,"1,466","1,485","1,390","1,392","1,465.3","11,546"
2019-04-28,"1,401.1","1,418.9","1,392","1,392","1,398.3","4,748"
2019-04-25,"1,380.1","1,395","1,380","1,395","1,380.4","5,079"
2019-04-24,"1,399","1,399","1,350","1,350","1,383.1","16,128"
2019-04-21,"1,380","1,410","1,370","1,384","1,375.7","7,959"
2019-04-18,"1,377","1,397","1,370","1,385.2","1,373","11,893"
2019-04-17,"1,399","1,400","1,380","1,400","1,391.4","5,209"
2019-04-16,"1,380.1","1,398.9","1,361","1,385","1,381","11,770"
2019-04-15,"1,409.9","1,438.9","1,370","1,438.9","1,377.8","5,584"
2019-04-11,"1,414.5","1,419.8","1,381.2","1,399.9","1,407.8","4,207"
2019-04-10,"1,388.9","1,427","1,368.5","1,387.1","1,377.4","6,968"
2019-04-09,"1,401","1,488.8","1,393","1,475","1,405.1","12,140"
2019-04-08,"1,482","1,518","1,460","1,475","1,485.5","19,431"
2019-04-07,"1,482","1,485","1,445.6","1,478","1,473.9","7,884"
2019-04-04,"1,460","1,470","1,410.2","1,464","1,457.9","10,751"
2019-04-03,"1,467","1,494.5","1,427.5","1,439.7","1,446.7","15,785"
2019-04-02,"1,435","1,458.7","1,353","1,372.1","1,413.6","14,786"
2019-04-01,"1,375.6","1,480","1,320.2","1,440","1,387.6","20,622"
2019-03-31,"1,440.1","1,454","1,415","1,440","1,436.8","18,203"
2019-03-28,"1,440","1,500","1,421","1,497","1,430","10,586"
2019-03-27,"1,485","1,545","1,472","1,500","1,483.6","16,498"
2019-03-25,"1,490.4","1,616.9","1,490.4","1,572.1","1,497.3","18,181"
2019-03-24,"1,589","1,675","1,580.1","1,660","1,589.7","25,426"
2019-03-21,"1,680","1,699","1,640","1,699","1,655.1","40,503"
2019-03-20,"1,687.3","1,687.3","1,580","1,591.1","1,681.7","79,792"
2019-03-19,"1,613","1,650","1,560","1,649","1,588.1","55,705"
2019-03-18,"1,621.9","1,621.9","1,531","1,531","1,621.9","74,913"
2019-03-14,"1,530","1,570","1,523","1,570","1,526.5","50,761"
2019-03-13,"1,552","1,556.9","1,470","1,470.1","1,547.8","46,354"
2019-03-12,"1,465.4","1,465.4","1,395","1,395","1,465.4","34,990"
2019-03-11,"1,390","1,390","1,334","1,334","1,379.2","8,623"
2019-03-10,"1,321.1","1,328","1,300","1,309","1,322.3","3,095"
2019-03-07,"1,300","1,300.3","1,290","1,298.1","1,294.8","1,309"
2019-03-06,"1,300.4","1,309","1,296.3","1,309","1,301",497
2019-03-05,"1,305","1,307.1","1,295","1,301","1,301.2","1,740"
2019-03-04,"1,300","1,315","1,295","1,305.3","1,301","1,697"
2019-03-03,"1,316","1,350","1,300","1,340","1,314.5","1,955"
2019-02-27,"1,310","1,324","1,292.2","1,292.2","1,310.1","1,383"
2019-02-26,"1,311","1,320","1,268.1","1,300","1,312.1","2,166"
2019-02-25,"1,277.8","1,279","1,260.9","1,264.8","1,271.5","3,912"
2019-02-24,"1,262.3","1,300","1,261.5","1,281.5","1,264.6","3,794"
2019-02-20,"1,281","1,313","1,275","1,310","1,281.5","5,301"
2019-02-19,"1,294.8","1,298.7","1,273.1","1,273.1","1,290.2","1,036"
2019-02-18,"1,272","1,321.8","1,265","1,321.8","1,280.9","1,797"
2019-02-17,"1,300","1,345","1,281","1,317","1,291","2,163"
2019-02-14,"1,329.9","1,369","1,300.1","1,369","1,314.6","3,230"
2019-02-13,"1,346.1","1,375","1,335","1,359","1,341","2,488"
2019-02-12,"1,346","1,409","1,340","1,400","1,346.3","5,671"
2019-02-11,"1,416","1,480","1,406.1","1,470","1,417.3","6,011"
2019-02-10,"1,465","1,483","1,432","1,444","1,464.8","20,339"
2019-02-07,"1,410","1,429.9","1,371","1,405.1","1,402.2","13,732"
2019-02-06,"1,399","1,400","1,323.9","1,335","1,397.7","18,642"
2019-02-05,"1,332","1,342.4","1,266.1","1,270.3","1,332","15,279"
2019-02-04,"1,256","1,286","1,250","1,286","1,263.5","2,596"
2019-02-03,"1,288.9","1,313","1,250","1,250","1,284.3","3,094"
2019-01-31,"1,247","1,247","1,220.2","1,240","1,238.1",645
2019-01-30,"1,243","1,243","1,220.1","1,241","1,233.1","5,085"
2019-01-29,"1,240","1,249.9","1,216","1,249.9","1,241.8","15,651"
2019-01-28,"1,240","1,240","1,225","1,240","1,237.5","2,656"
2019-01-27,"1,230","1,238.9","1,210","1,235","1,229.8","3,442"
2019-01-24,"1,220","1,250","1,216.2","1,249","1,218.3","2,577"
2019-01-23,"1,250","1,250","1,216","1,230","1,242.2","3,051"
2019-01-22,"1,220","1,226.9","1,210","1,215","1,219.6","2,444"
2019-01-21,"1,200","1,230","1,198.1","1,219","1,203.3","6,022"
2019-01-20,"1,207.1","1,220","1,207.1","1,207.1","1,218","3,165"
2019-01-17,"1,224.9","1,224.9","1,200","1,200","1,205",138
2019-01-16,"1,200","1,234.1","1,200","1,234.1","1,203.2","1,399"
2019-01-15,"1,238","1,280","1,220","1,240","1,232.2","2,971"
2019-01-14,"1,241","1,241","1,229.9","1,229.9","1,236.1","1,266"
2019-01-13,"1,205","1,239.9","1,200","1,201.6","1,208.8","1,648"
2019-01-10,"1,198.2","1,214.9","1,196","1,201","1,198.7","3,140"
2019-01-09,"1,204","1,209.5","1,193","1,209.5","1,199.9","3,123"
2019-01-08,"1,205","1,225","1,205","1,211","1,207.4","2,393"
2019-01-07,"1,203","1,210","1,191","1,199","1,202",615
2019-01-06,"1,195.4","1,237","1,153.1","1,153.1","1,196.2","2,147"
2019-01-03,"1,205","1,209","1,177","1,177.2","1,189.5",954
2019-01-02,"1,185","1,268","1,156","1,156","1,192.6","1,891"
2019-01-01,"1,188.1","1,218.5","1,175.2","1,175.2","1,194.9",38
2018-12-27,"1,199","1,210","1,199","1,210","1,200.2","1,694"
2018-12-26,"1,230","1,230","1,200","1,215","1,208.9","1,200"
2018-12-24,"1,200","1,259","1,180","1,219.9","1,198.1","1,271"
2018-12-23,"1,215","1,215","1,175","1,200","1,189.9","2,286"
