DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,37.9,38.2,37.9,38.2,38,"35,273"
2019-06-27,37.6,38.6,37.6,38,38.2,"4,205"
2019-06-26,38.6,38.7,37.7,38.3,38.4,"9,666"
2019-06-25,38.1,38.2,38.1,38.2,38.1,"10,138"
2019-06-24,39,39,37.6,37.6,37.9,"34,894"
2019-06-23,37.7,38.2,37.7,37.7,37.9,"9,271"
2019-06-20,38.1,38.3,38.1,38.3,38.2,"1,452"
2019-06-19,38.5,38.5,38,38,38.3,600
2019-06-18,39.1,39.1,37.8,37.8,38.4,406
2019-06-17,37.6,37.6,37.6,37.6,37.6,130
2019-06-13,38.7,39.7,38.3,38.3,39.1,"19,995"
2019-06-12,38.7,39.3,38.6,38.6,38.7,451
2019-06-11,38.5,38.5,38.5,38.5,38.5,489
2019-06-10,38.5,39.2,38,39.2,38.7,"1,831"
2019-06-09,37.7,39.5,37.7,39.5,39.2,"1,149"
2019-05-30,38.6,38.6,38.6,38.6,38.6,13
2019-05-29,39,39,39,39,39,"1,275"
2019-05-28,39.8,39.8,38,38,39.6,"10,700"
2019-05-27,38.2,39.8,38.1,39.8,38.3,"3,946"
2019-05-26,39.4,39.7,36.2,39,38.3,"5,232"
2019-05-23,38.4,39.6,38.4,39.2,39.6,"36,601"
2019-05-22,38.3,38.5,37.9,38.3,38.3,"1,235"
2019-05-21,38,38.2,38,38.2,38.1,"2,000"
2019-05-20,37.8,37.9,37.8,37.8,37.8,"1,603"
2019-05-19,39.3,39.3,38.4,38.5,39.3,"16,966"
2019-05-16,37.4,38.6,37.2,38,37.5,572
2019-05-15,37.7,37.7,37.7,37.7,37.7,200
2019-05-14,39,39.3,37.7,37.7,38.8,"3,210"
2019-05-13,38.5,38.5,38.4,38.4,38.5,"1,100"
2019-05-12,37.4,37.4,37.1,37.1,37.3,600
2019-05-09,37.5,37.5,37.5,37.5,37.5,300
2019-05-08,38.2,38.2,37.6,37.6,38.2,61
2019-05-07,38.6,38.6,37.1,37.1,38.2,"3,834"
2019-05-06,37.6,37.7,36.8,36.8,37.5,"3,701"
2019-05-05,37.5,38.5,36.3,36.3,37.5,"1,600"
2019-05-02,38,38,38,38,38,10
2019-04-30,36.5,37,35.8,37,36.3,"5,838"
2019-04-29,37,37,37,37,37,1
2019-04-28,38.8,38.8,38.8,38.8,38.8,1
2019-04-25,37.7,37.8,37.5,37.7,37.6,"9,151"
2019-04-24,38,39.5,38,39.5,38,"5,781"
2019-04-23,37.7,39,37.7,39,37.9,700
2019-04-21,38.3,39.2,38.2,38.2,38.7,"17,350"
2019-04-18,38.2,39.2,37.8,38.1,38.9,"22,581"
2019-04-17,39.3,39.5,36.6,39.5,39.1,"21,551"
2019-04-16,37.5,37.6,37.4,37.4,37.4,"86,000"
2019-04-15,38,39,38,38.9,38.2,"1,671"
2019-04-11,38,38,37.5,37.5,37.5,"11,240"
2019-04-10,37.3,39.9,37.1,39.9,37.3,"22,721"
2019-04-09,38.4,38.7,38.2,38.2,38.4,"7,506"
2019-04-08,38.1,39.8,38.1,38.1,38.1,"2,901"
2019-04-07,38.6,38.6,36.6,36.6,38.3,301
2019-04-04,39,39,38.5,38.5,38.6,"1,101"
2019-04-03,38.5,38.5,38.4,38.4,38.4,"10,200"
2019-04-02,38.7,38.8,38.6,38.7,38.6,"1,145"
2019-04-01,39.9,39.9,37.6,38,38.7,"13,535"
2019-03-31,38.5,40.5,37.1,37.2,40.1,"22,130"
2019-03-28,38.4,39.9,38.4,39.8,38.6,"3,789"
2019-03-27,39.9,40.9,38.4,40.9,39.4,"41,483"
2019-03-25,39,40,39,40,39.2,13
2019-03-24,37.6,37.9,37.6,37.6,37.6,"8,551"
2019-03-21,39.5,39.6,38.1,38.1,39.4,450
2019-03-20,39.5,39.5,37.5,38.4,38.3,"2,961"
2019-03-19,38.2,40.8,38,38,40.8,"104,162"
2019-03-18,37.5,38.1,37.5,38,38.1,"52,500"
2019-03-14,38.4,39,38.1,38.1,38.3,"9,409"
2019-03-13,38.5,39.9,38.1,38.1,39,"36,274"
2019-03-12,39.9,39.9,38.3,38.4,38.4,"2,601"
2019-03-11,38.9,38.9,38.9,38.9,38.9,200
2019-03-10,38.8,38.9,38.6,38.6,38.8,841
2019-03-07,39.9,39.9,39.2,39.9,39.8,765
2019-03-06,39.8,40.1,39,39.1,39.2,"30,745"
2019-03-05,39,39.1,38.6,38.6,39,"61,702"
2019-03-04,38.8,39.1,38.5,39.1,38.7,"12,150"
2019-03-03,39,39.1,39,39.1,39.1,"10,576"
2019-02-27,39.7,39.8,39,39.7,39,"55,635"
2019-02-26,39.7,40.5,39.4,39.4,39.5,"21,129"
2019-02-25,39.6,39.8,39.6,39.6,39.6,"26,518"
2019-02-24,40.5,40.9,39.3,39.3,40.9,"59,254"
2019-02-20,40.2,41.9,39.3,41.9,39.7,"9,914"
2019-02-19,40,40.4,39.5,39.5,39.5,302
2019-02-18,39.6,40,39.5,39.5,39.5,"38,838"
2019-02-17,40.5,40.6,39.9,39.9,40.1,"84,182"
2019-02-14,39.4,39.4,39,39,39.3,"30,600"
2019-02-13,39.5,39.7,39.5,39.6,39.6,"37,208"
2019-02-12,39.8,40.7,39.6,39.7,39.8,"35,700"
2019-02-11,39.6,40.7,39.3,39.3,39.9,"57,389"
2019-02-10,40,40.3,39.5,39.5,39.6,"42,718"
2019-02-07,40.9,42,39.9,39.9,40.3,"22,643"
2019-02-06,40,40,39,39.7,39.3,"11,667"
2019-02-05,39.3,40,39,40,39.3,"5,953"
2019-02-04,40,40,38.6,39.7,40,"40,734"
2019-02-03,40.1,40.1,38.7,40,39.3,"21,941"
2019-01-31,39.8,40.4,39,40.4,39,"17,907"
2019-01-30,39,40.5,39,39.5,39.4,"34,827"
2019-01-29,40,40.1,39.8,39.9,40,"19,900"
2019-01-28,40,40.9,40,40.7,40.7,"25,765"
2019-01-27,40.9,40.9,39.4,39.4,40.9,"61,100"
2019-01-24,39.5,41,39.5,39.9,39.8,"115,497"
2019-01-23,39.7,39.7,39.5,39.5,39.7,450
2019-01-22,40,40.8,40,40,40.3,"5,805"
2019-01-21,40.5,41.4,39.2,39.2,41,"192,989"
2019-01-20,39.6,40.7,39,39,40,"108,178"
2019-01-17,40,40.5,40,40,40.2,"60,099"
2019-01-16,40.1,41,39.4,39.4,40.1,"59,737"
2019-01-15,39.9,39.9,39.2,39.4,39.3,"53,280"
2019-01-14,39.4,40.3,39.4,40.3,39.4,"23,655"
2019-01-13,39.7,40.5,39.4,39.9,40.1,"47,610"
2019-01-10,40.1,40.2,39.2,39.2,39.8,"62,849"
2019-01-09,39.4,40,39.3,39.3,39.4,"12,398"
2019-01-08,39.2,40,39.2,39.9,39.5,"53,350"
2019-01-07,40,41.9,39.7,39.9,39.8,"263,294"
2019-01-06,40,40.6,39.5,39.5,40,"10,364"
2019-01-03,41,41.9,39,39.8,41.5,"243,020"
2019-01-02,40,40,38.9,38.9,39.4,"18,479"
2019-01-01,39.3,39.8,39.2,39.2,39.4,"65,900"
2018-12-27,40.3,40.3,38.7,38.7,39.9,"80,114"
2018-12-26,38.9,40,38.6,38.6,38.9,"93,351"
2018-12-24,39.9,40,38.5,40,39.7,"19,274"
2018-12-23,41.5,41.5,38.6,38.6,39.8,"11,875"
2018-12-20,39,39,38.7,39,38.8,"20,975"
2018-12-19,39.5,39.5,38.8,39.5,39.3,"2,663"
2018-12-18,39.2,39.2,38.5,38.5,38.5,"58,934"
2018-12-17,38.9,39.2,38.6,38.9,38.6,"80,837"
2018-12-13,39.1,40,38.8,39.9,39.5,"5,750"
2018-12-12,39.1,40,38.5,38.5,39.9,"12,109"
2018-12-11,38.7,42.5,38.3,39.9,39.3,"67,073"
2018-12-10,38.6,38.8,38.6,38.8,38.7,"6,096"
2018-12-09,39,39,38.7,38.7,38.8,"28,600"
2018-12-06,38.1,38.9,38.1,38.9,38.2,"21,704"
2018-12-05,39.7,39.7,38.2,38.2,38.6,"5,223"
2018-12-04,39.3,39.9,38.3,38.3,39.6,"48,259"
2018-12-03,38.6,40,38.5,40,38.8,"25,466"
2018-12-02,40.2,41.7,38.3,39.3,40,"327,967"
2018-11-28,41.4,41.8,38.8,38.8,40.4,"245,017"
2018-11-27,39.5,39.5,38.5,39,38.8,"13,499"
2018-11-26,37.5,39.4,37.5,38.2,38.4,"22,052"
2018-11-25,39.4,39.7,38.5,39.7,39,"5,891"
2018-11-22,38.3,39.2,38.3,39.2,38.5,"24,260"
2018-11-20,38.7,39.3,38.7,39,39,"5,606"
2018-11-19,39.3,39.5,38.5,38.6,39.2,"24,014"
2018-11-18,38.4,38.8,37.9,37.9,38.4,"36,161"
2018-11-15,38.5,38.6,38.1,38.3,38.4,"17,600"
2018-11-14,38.3,39,38.3,38.5,38.6,"37,475"
2018-11-13,38.6,39.5,38.6,39.5,38.8,"65,137"
2018-11-12,38.7,39.3,38.4,38.4,38.8,"16,824"
2018-11-11,38.3,40.5,38,40.5,38.5,"31,351"
2018-11-08,40.4,40.7,38.1,40,38.5,"26,741"
2018-11-07,40.9,41.9,38.3,39.4,40.7,"98,168"
2018-11-06,39.5,39.9,37.7,39.4,38.6,"40,252"
2018-11-05,39.4,43.1,39,42,39.1,"127,515"
2018-11-04,41.6,41.9,40,40,41.6,"84,076"
2018-11-01,41,41,40,40.9,40.4,"15,183"
2018-10-31,39,39,39,39,39,200
2018-10-30,40,40.9,39.2,40.9,39.3,"5,210"
2018-10-29,41.6,41.6,39.6,40,40.2,"14,175"
2018-10-28,39.6,39.9,39.2,39.5,39.9,"28,600"
2018-10-25,39.6,41.3,39.4,40.5,40.2,"4,500"
2018-10-24,39.2,39.3,38.7,39.3,39,"75,699"
2018-10-23,39.5,39.9,39.1,39.1,39.3,"21,836"
2018-10-22,40,40,39.4,39.5,40,"23,405"
2018-10-21,39.2,39.5,38.1,39,39.2,"3,075"
2018-10-18,39.5,39.6,39,39,39.3,"2,000"
2018-10-17,39.3,39.8,39.3,39.6,39.5,"14,740"
2018-10-16,39.3,39.5,36.5,37,39.5,"8,059"
2018-10-15,39.6,39.6,39,39,39.1,"6,148"
2018-10-14,39.4,39.7,39.4,39.6,39.6,"5,495"
2018-10-11,39.4,39.7,39.2,39.2,39.3,"6,000"
2018-10-10,39.6,39.8,39.5,39.5,39.7,"5,258"
2018-10-09,39.5,40,39,39,39.5,"16,990"
2018-10-08,39.1,39.6,39,39,39.3,"15,501"
2018-10-07,39.1,39.7,38.3,38.3,39.4,"26,117"
2018-10-04,39,39.2,39,39.2,39.1,"2,850"
2018-10-03,39.1,39.1,39.1,39.1,39.1,507
2018-10-02,39.6,39.6,39.1,39.3,39.4,"40,217"
2018-10-01,39.1,39.3,39.1,39.3,39.2,"5,950"
2018-09-30,39.3,39.5,39.3,39.3,39.4,"22,022"
2018-09-27,39.3,39.4,39.3,39.3,39.4,"23,750"
2018-09-26,39.3,39.4,39.3,39.3,39.3,"8,200"
2018-09-24,39.2,39.3,39.2,39.2,39.2,"8,763"
2018-09-23,40,40,39.5,39.5,39.8,"58,404"
2018-09-20,39.7,40,39.2,39.2,39.8,"36,857"
2018-09-19,40,40.3,39.4,40.3,39.7,"22,630"
2018-09-18,40.3,40.3,39.2,39.4,39.6,"17,250"
2018-09-17,39.7,40.3,39.3,39.8,39.8,"21,104"
2018-09-16,39.8,40.3,39.8,40,40,"21,700"
2018-09-13,39.6,40.9,39.5,39.5,39.7,"15,069"
2018-09-12,40.5,40.5,39.5,39.8,40.3,"10,737"
2018-09-11,39.9,40.8,39.6,40.8,39.9,"9,889"
2018-09-10,40,43.3,39.3,39.3,40.7,"75,185"
2018-09-09,39.9,41.9,39.2,39.2,40.9,"84,279"
2018-09-06,39.4,40.2,39.2,39.2,39.2,"8,498"
2018-09-05,39.3,39.8,39.2,39.7,39.5,"14,631"
2018-09-04,39.9,40,39.4,40,39.6,"2,350"
2018-09-03,40,40,39.3,40,40,"27,233"
2018-08-30,40.1,40.1,39.5,39.5,39.9,"89,817"
2018-08-29,39.5,39.9,39.4,39.4,39.5,"9,672"
2018-08-28,39.3,40,39.1,39.2,39.8,"21,998"
2018-08-27,39.2,39.7,39.1,39.1,39.2,"6,902"
2018-08-26,39,40,39,40,39.1,"14,605"
2018-08-20,39,39.2,38.7,39,39,"19,150"
2018-08-19,39,40,38.2,39.9,39,"58,364"
2018-08-16,39.7,40.6,39.7,40.2,39.9,"20,050"
2018-08-14,40.7,41.5,39.5,39.5,40.7,"74,826"
2018-08-13,40.2,40.2,39.4,39.4,39.9,"12,300"
2018-08-12,39.5,40.2,39,39,40.1,"30,611"
2018-08-09,40,40,39,39.1,39.8,"15,735"
2018-08-08,39.6,39.8,39,39.1,39.6,"13,984"
2018-08-07,39.5,39.8,39.5,39.6,39.5,"38,679"
2018-08-06,39.7,40,39,39.1,39.8,"11,844"
2018-08-05,40,41.1,39.9,40.1,40,"79,558"
2018-08-02,40.1,40.3,39,39,40,"9,787"
2018-08-01,39.3,39.6,39,39,39.3,"9,450"
2018-07-31,39.1,40.5,39,40.5,39.3,"7,387"
2018-07-30,39,39.1,38.9,38.9,39,"19,104"
2018-07-29,39.3,40.2,39.2,39.7,39.2,"20,473"
2018-07-26,39.7,40.9,39.6,40.8,39.8,"17,902"
2018-07-25,40.6,40.8,39.1,39.1,40.4,"25,010"
2018-07-24,40,40,39,39,39.5,"14,450"
2018-07-23,39.1,41.4,39.1,40.3,39.6,"12,991"
2018-07-22,39.2,39.5,38.9,38.9,39,"17,311"
2018-07-19,40.2,40.2,38.7,38.7,40,"19,310"
2018-07-18,38.7,42,38.6,42,38.6,"14,001"
2018-07-17,38.8,38.9,38.3,38.3,38.8,"7,200"
2018-07-16,38.8,38.8,38.5,38.5,38.7,"2,260"
2018-07-15,38.6,38.7,38.2,38.2,38.6,"41,350"
2018-07-12,39,40.5,38.4,38.4,39.1,"21,311"
2018-07-11,39.5,42,38.4,42,39.9,"17,986"
2018-07-10,41,42,39,39,41.3,"130,268"
2018-07-09,38.2,41,38.2,41,38.4,"34,340"
2018-07-08,39.2,41.3,39.2,39.3,39.9,"23,617"
2018-07-05,41,42.4,40,42.4,41.2,"79,242"
2018-07-04,39.2,39.8,37.9,37.9,38.8,"1,000"
2018-07-03,38.3,40,38.3,40,38.6,"14,990"
2018-07-02,39.4,40.9,36.4,38.3,39.5,"35,931"
2018-06-28,38.1,38.1,37.8,37.8,38.1,"50,606"
2018-06-27,38.2,38.2,37.7,37.7,37.9,800
2018-06-26,37,37.5,36.8,36.8,37,"27,236"
2018-06-25,37.9,38,37.8,38,37.9,"21,935"
2018-06-24,38.2,38.4,37.5,37.9,38,"12,650"
2018-06-21,38,38.2,37.7,37.8,37.9,"16,312"
2018-06-20,37.7,38,37.7,38,37.8,"9,300"
2018-06-19,37.8,38,37.5,37.9,37.9,"3,853"
2018-06-18,37.9,37.9,37.9,37.9,37.9,"6,001"
2018-06-12,36.8,36.8,36.8,36.8,36.8,200
2018-06-11,36.8,37,36.7,37,36.7,"8,625"
2018-06-10,36.7,36.8,36.2,36.3,36.5,400
2018-06-07,37.9,38,37.4,38,37.7,"7,773"
2018-06-06,37.4,38,37.4,38,37.6,"1,230"
2018-06-05,37.4,37.5,37.2,37.2,37.3,"1,100"
2018-06-04,36.6,37.5,36.4,37.4,37.1,"6,080"
2018-06-03,37,37.4,36.8,36.9,37,"2,200"
2018-05-31,37.3,37.5,37.1,37.5,37.1,"5,100"
2018-05-30,38,38,36,36,37.7,"25,846"
2018-05-29,37.5,37.7,37.3,37.4,37.5,"9,556"
2018-05-28,37.6,37.6,37.6,37.6,37.6,"14,350"
2018-05-27,37.6,37.8,37.3,37.7,37.5,"31,400"
2018-05-24,38.1,39.7,38.1,39.4,38.5,"36,517"
2018-05-23,38.1,38.2,38,38,38,"13,796"
2018-05-22,38.4,38.5,38.2,38.2,38.4,"8,750"
2018-05-21,38.2,38.3,38.2,38.2,38.3,"4,800"
2018-05-20,38.2,38.2,38.1,38.1,38.2,"3,199"
2018-05-17,38.3,38.5,38.2,38.3,38.3,"19,925"
2018-05-16,38.3,38.5,38.2,38.2,38.4,"21,770"
2018-05-15,38.3,38.8,38.3,38.5,38.4,"19,600"
2018-05-14,38.5,38.5,38.2,38.2,38.3,"4,943"
2018-05-13,38.1,38.5,38.1,38.1,38.1,"9,937"
2018-05-10,38.1,38.4,38.1,38.4,38.2,"37,500"
2018-05-09,38.2,38.4,38.2,38.2,38.2,"6,519"
2018-05-08,38.2,38.3,38.2,38.3,38.2,"16,241"
2018-05-07,38.2,39.8,38,39.8,38,"50,350"
2018-05-06,39.1,39.7,38.1,38.4,38.9,"18,673"
2018-05-03,38.1,38.2,38,38,38,"36,847"
2018-04-30,37.3,38.5,37.3,38.5,37.9,"23,346"
2018-04-26,38.2,39.1,38.2,38.8,38.8,"5,560"
2018-04-25,38.1,39,35.5,35.5,37.6,"1,150"
2018-04-24,38,38,38,38,38,"1,396"
2018-04-23,38.1,38.2,38.1,38.1,38.1,"7,440"
2018-04-22,38.2,39.4,38,39.4,38.8,"2,000"
2018-04-19,38,38.6,37.9,38.5,38.1,"4,535"
2018-04-18,38.5,39.9,38.5,38.5,39,"10,950"
2018-04-17,38,38,37.9,38,37.9,"7,700"
2018-04-16,38,38,37.5,37.6,37.8,"5,160"
2018-04-15,38,38.1,38,38,38,"11,445"
2018-04-12,38.1,38.1,38.1,38.1,38.1,"15,350"
2018-04-11,38.1,38.2,38.1,38.2,38.1,"6,920"
2018-04-10,38.5,39,38.5,38.8,38.7,"3,300"
2018-04-09,38.9,39,38.3,39,38.5,"13,285"
2018-04-08,39,39,37.5,37.5,39,"20,096"
2018-04-05,38,38,37.4,37.5,37.7,"7,500"
2018-04-04,38,38.2,37.9,37.9,38,"5,202"
2018-04-03,37.9,37.9,37.7,37.7,37.8,"5,866"
2018-04-02,38,38.1,36.5,36.5,37.9,"5,400"
2018-04-01,37.9,38.2,37.1,37.1,37.9,"1,315"
2018-03-29,38,38,36.8,37.1,37.2,"27,580"
2018-03-28,36.9,39.9,36.3,37.5,37.5,"24,774"
2018-03-27,36.7,38,36,36.7,36.7,"2,385"
2018-03-25,38,38,36.6,36.6,37.9,"9,670"
2018-03-22,38,38.8,37.1,37.1,37.8,"8,825"
2018-03-21,37.1,37.5,37.1,37.5,37.3,"2,640"
2018-03-20,38,38.2,36.8,36.8,38,"8,606"
2018-03-19,38.4,38.6,38.3,38.6,38.4,"1,020"
2018-03-18,38,38,38,38,38,"3,078"
2018-03-15,38,38.1,38,38,38.1,"11,380"
2018-03-14,38,38,38,38,38,"4,300"
