DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,17.9,18,17.5,18,17.6,"14,448"
2019-06-27,18,19,17.2,19,18,"19,221"
2019-06-26,18,18.8,17.5,17.5,18.1,"3,733"
2019-06-25,17.8,19,17.8,18.7,18.3,"15,025"
2019-06-24,18.2,19.9,18,19.9,18.2,"20,682"
2019-06-23,19,19.8,18.6,19.8,19.2,"11,410"
2019-06-20,18.8,19.4,18.7,19.4,19.1,"10,763"
2019-06-19,19,19.9,19,19.9,19.3,"6,265"
2019-06-18,19,20.5,19,19.1,19.6,"8,602"
2019-06-17,19.3,19.5,19.2,19.3,19.3,"3,857"
2019-06-16,19.5,20.7,19.3,20.7,19.5,"3,265"
2019-06-13,19.2,20.9,19,20.9,19.2,"6,412"
2019-06-12,19.4,20.9,19.4,20.9,19.5,"10,345"
2019-06-11,20.1,21,20.1,20.5,20.9,"7,569"
2019-06-10,20,21.6,20,20.2,20.5,"4,032"
2019-06-09,20.2,20.2,18.7,18.9,20.2,"11,115"
2019-05-30,18.1,20.2,18,19.9,18.4,"69,266"
2019-05-29,20.1,22,20,22,20,"8,446"
2019-05-28,20.5,21.7,20.5,20.8,20.6,"17,542"
2019-05-27,20.7,22.1,20.7,22.1,21.7,"6,581"
2019-05-26,21,22,21,21.9,21.1,"10,879"
2019-05-23,21.8,22.8,20.9,22.8,21.8,"11,174"
2019-05-22,21,21.8,20.9,20.9,21,"6,805"
2019-05-21,20.8,22.5,20.8,22.5,20.9,"13,008"
2019-05-20,22,23,20.8,23,21.2,530
2019-05-19,22.2,22.3,20.5,20.7,21.7,"1,235"
2019-05-16,21.6,21.9,20.5,21.9,20.7,"2,774"
2019-05-15,21.5,21.8,20.3,20.9,20.3,"1,610"
2019-05-14,20.9,22,20,22,20.3,"22,725"
2019-05-13,20.5,21.6,20.2,21.3,20.5,"8,640"
2019-05-12,20.6,22.5,20.6,22,20.9,"19,690"
2019-05-09,21.8,23,21.8,23,22,"17,848"
2019-05-08,22.9,23,22.1,23,22.3,793
2019-05-07,22.1,23.9,22,23.5,22.2,"9,769"
2019-05-06,22.4,23.2,22,23.2,22.2,"20,061"
2019-05-05,22,23.5,22,23.2,22.2,"20,957"
2019-05-02,22.4,23,21.1,23,21.7,"15,519"
2019-04-30,20.7,23,20.7,23,21.4,"16,534"
2019-04-29,22.7,23,21.3,22.5,21.7,"13,192"
2019-04-28,21.5,24.2,21.5,24.2,22.8,"42,766"
2019-04-25,22.6,23.6,22.6,23.6,23,"6,855"
2019-04-24,22,24.2,22,24.2,22.4,"13,015"
2019-04-23,23.1,25,23.1,25,23.4,"38,359"
2019-04-21,24.5,24.9,23.8,24.9,23.9,"24,814"
2019-04-18,23,24.9,23,24.9,23.7,"15,557"
2019-04-17,23.8,25.4,22.5,22.5,23.9,"9,770"
2019-04-16,23.6,25,23.6,25,24.2,"14,368"
2019-04-15,24.9,26.2,24.5,25.1,25.1,"31,995"
2019-04-11,24,24.4,23.2,24.4,23.9,"16,141"
2019-04-10,22.1,26.5,22.1,26.5,23.9,"28,871"
2019-04-09,24.4,24.7,22.7,24,24.3,"90,060"
2019-04-08,22.7,23.3,21.8,23.3,22.5,"58,798"
2019-04-07,22.2,22.3,19.5,21.2,22.1,"40,434"
2019-04-04,19.9,21,19,20,20.3,"1,163"
2019-04-03,19.9,20,18.5,18.5,19.7,"1,085"
2019-04-02,20,20.4,18.6,20.4,18.8,"17,850"
2019-04-01,18.5,20.9,18.5,19,18.6,"55,989"
2019-03-31,20.5,21.5,19.1,20.9,19.8,"15,575"
2019-03-28,21,22.9,20.5,22.9,20.9,"18,756"
2019-03-27,21,22.6,21,22.6,21.5,"6,645"
2019-03-25,22.2,22.7,21.1,22,21.6,"21,871"
2019-03-24,21.7,21.9,21,21.6,21.5,"17,422"
2019-03-21,21.6,22.9,20.2,22.9,21.2,"9,146"
2019-03-20,21.2,21.7,20.8,21.7,21.1,"19,860"
2019-03-19,20,21.3,19.8,21.3,20.8,"22,357"
2019-03-18,20.1,20.1,18.5,19.9,19.8,"27,179"
2019-03-14,18,20.1,18,19.1,18.5,"14,114"
2019-03-13,18.4,20.5,18.4,20.5,19,"16,725"
2019-03-12,19,20.2,18.8,20.2,19.6,"18,752"
2019-03-11,18.5,18.5,18.1,18.4,18.4,"23,930"
2019-03-10,17.3,17.3,15.8,16,16.9,"12,413"
2019-03-07,16,17.4,15.6,17.4,15.8,"31,597"
2019-03-06,17.4,18.5,16.7,18.5,17.3,"22,142"
2019-03-05,18.3,19,17.7,17.7,18.4,"11,950"
2019-03-04,18,18.5,17.4,17.4,18.1,"24,219"
2019-03-03,18.8,19,18.3,18.5,18.5,"24,100"
2019-02-27,18.3,19,18.2,19,18.4,"13,691"
2019-02-26,19.3,19.6,18,18.3,18.2,"18,710"
2019-02-25,18.9,18.9,17.7,18,18.3,"56,031"
2019-02-24,19.6,21.7,19.6,21.7,19.6,"39,477"
2019-02-20,21.7,21.7,20,21.5,21.7,"122,774"
2019-02-19,19.8,19.8,16.2,16.2,19.8,"289,377"
2019-02-18,18,18,18,18,18,"6,046"
2019-02-17,19.9,19.9,19.9,19.9,19.9,"11,038"
2019-02-14,22.1,22.1,22.1,22.1,22.1,"4,484"
2019-02-13,24.5,24.5,24.5,24.5,24.5,"2,626"
2019-02-12,27.5,27.9,26.8,26.9,27.2,"36,206"
2019-02-11,26.7,27.3,26.3,27.2,26.6,"16,296"
2019-02-10,27.4,28,25.9,28,27.2,"29,992"
2019-02-07,27.7,28.9,27.5,28.9,27.8,"15,611"
2019-02-06,26,27.4,25.8,25.8,26.5,"13,098"
2019-02-05,27.3,28.9,27.3,28.9,27.4,"18,382"
2019-02-04,28.1,28.4,27.4,28.4,28.3,"23,482"
2019-02-03,27.5,28,27,27.5,27.6,"22,006"
2019-01-31,27,28.4,26.5,27,26.7,"29,002"
2019-01-30,26.9,27.2,26,27.2,26.7,"68,937"
2019-01-29,27.7,28.6,27,27.8,27.3,"26,466"
2019-01-28,27.6,31,27.2,30,27.8,"44,109"
2019-01-27,29,31.7,27.4,31.1,28.2,"136,640"
2019-01-24,28.9,28.9,28.6,28.6,28.9,"9,412"
2019-01-23,26.6,26.6,24.5,26,26.3,"27,770"
2019-01-22,24.6,25,23.5,25,24.2,"54,225"
2019-01-21,25.7,26.9,24.7,26.9,25.4,"40,428"
2019-01-20,25.6,26.1,21.5,21.6,25.1,"197,962"
2019-01-17,23.8,26.1,23.8,26.1,23.8,"165,541"
2019-01-16,26.3,30,26,28.5,26.4,"73,203"
2019-01-15,28.5,31.4,27.5,31.4,28.4,"85,872"
2019-01-14,30,30.6,29.9,30.5,30.1,"64,423"
2019-01-13,30.3,33.3,30,30.7,30.3,"55,497"
2019-01-10,31.1,31.4,30.1,30.8,30.7,"60,753"
2019-01-09,31.3,31.7,30,30,31.2,"74,430"
2019-01-08,32,34.5,31,33.9,31.7,"64,963"
2019-01-07,32.5,32.8,30,30.2,32.3,"115,259"
2019-01-06,30.2,31,29.4,30.9,30,"48,462"
2019-01-03,29.2,32,29.1,30.7,29.4,"116,205"
2019-01-02,29.4,29.4,26.4,26.4,29.3,"179,596"
2019-01-01,26.8,27.9,25,27.6,26.8,"72,097"
2018-12-27,25.7,27,24.9,27,25.6,"78,413"
2018-12-26,25.1,25.1,24.5,25.1,25,"88,422"
2018-12-24,22.9,22.9,20.9,21.8,22.9,"61,615"
2018-12-23,20.9,22.9,20.9,22.9,20.9,"57,636"
2018-12-20,21.9,22.9,21.4,22.9,21.6,"10,423"
2018-12-19,22.8,22.8,21,22.4,21.5,"26,767"
2018-12-18,22.4,23,21.5,22.9,22.4,"3,845"
2018-12-17,21,22,21,22,21.1,"3,600"
2018-12-13,22.8,22.8,21.3,21.8,21.6,"6,085"
2018-12-12,21.5,22.9,21.5,22.9,21.7,"20,878"
2018-12-11,22.2,23,22.2,22.7,22.6,"11,801"
2018-12-10,23.9,24.8,22.5,24.8,22.7,"4,014"
2018-12-09,23.7,24.2,23.5,24,23.8,"8,050"
2018-12-06,23.5,24,23.5,23.7,23.8,"5,709"
2018-12-05,23.9,24.4,23.4,24.4,23.7,"28,543"
2018-12-04,23.8,24.2,23,23.9,23.4,"23,348"
2018-12-03,23.2,23.2,22.4,22.4,22.6,"13,072"
2018-12-02,23.2,23.3,21.9,22.3,22.3,"15,113"
2018-11-29,22.4,24,21.4,24,21.8,"6,654"
2018-11-28,22.2,22.4,21.7,21.7,21.9,"5,942"
2018-11-27,21.7,23.5,21.7,23.5,22.2,"8,245"
2018-11-26,23.1,24.2,22.1,24.2,22.8,"6,150"
2018-11-25,22.8,24.5,21.3,24.5,22,"3,169"
2018-11-22,22.8,23.8,22,23.8,22.3,"14,369"
2018-11-20,22.8,23.4,22,22.7,22.2,"21,481"
2018-11-19,23,25.7,22.6,25.7,23.3,"8,157"
2018-11-15,23.7,24.9,23,24.9,23.4,"39,841"
2018-11-14,23.9,24.5,23.5,24.5,23.7,"53,006"
2018-11-13,23.7,25,23.4,24.1,23.7,"56,652"
2018-11-12,25.1,26.9,24.7,25.9,25.2,"121,510"
2018-11-11,25.3,25.5,23.6,24.2,25.2,"103,333"
2018-11-08,23.9,24,23,24,23.6,"44,525"
2018-11-07,22.6,24.8,22.5,24.8,22.6,"9,982"
2018-11-06,23.2,23.9,23,23.9,23.2,"12,505"
2018-11-05,23.9,25.4,23.3,23.3,23.8,"66,969"
2018-11-04,21.8,26,21.8,25.2,23.1,"51,990"
2018-11-01,24.4,24.6,23.6,24,24.2,"62,650"
2018-10-31,22.4,22.4,22.4,22.4,22.4,"52,895"
2018-10-30,20.4,20.4,19.5,20.4,20.4,"29,000"
2018-10-29,18.7,19.4,18.2,18.2,18.6,"67,710"
2018-10-28,19.3,23,19.2,23,19.5,"15,208"
2018-10-25,21.3,21.3,20,21.2,21.1,"8,623"
2018-10-24,20.2,21.7,20,20.2,20.3,"17,724"
2018-10-23,20.4,21.8,20.4,21.7,20.9,"28,295"
2018-10-22,21.5,21.6,20.8,21.5,21.2,"14,866"
2018-10-21,21.5,23.4,21.4,22.8,21.5,"20,312"
2018-10-18,22.9,24,22.4,24,22.7,"11,125"
2018-10-17,22.6,23.2,21.7,21.7,22.5,"28,778"
2018-10-16,22,22,20,20,21.1,"3,453"
2018-10-15,19.5,21.5,19.5,21,20,"32,268"
2018-10-14,21.7,23.3,20.7,23.3,21,"47,826"
2018-10-11,23,23.3,22.1,22.1,23,"10,009"
2018-10-10,23,23.3,22.1,22.2,22.3,"31,891"
2018-10-09,23,23.2,22,22.8,22.4,"33,055"
2018-10-08,22.8,24.4,22,24.4,22.4,"20,472"
2018-10-07,23.5,25.4,23.3,25.4,23.7,"22,145"
2018-10-04,24.4,26.2,23.6,26.2,24.3,"62,462"
2018-10-03,25,26.5,24,25.7,24.7,"68,035"
2018-10-02,24.5,24.5,23.3,23.3,24.4,"128,150"
2018-10-01,22.1,22.7,21,21,22.3,"62,922"
2018-09-30,21,21.1,19.4,19.4,20.9,"66,265"
2018-09-27,19.7,19.7,18,19.5,19.2,"34,191"
2018-09-26,18.6,18.6,17.5,18.4,18.5,"21,295"
2018-09-25,17.9,17.9,17.1,17.1,17.7,"9,683"
2018-09-24,17.8,18,16.5,17.5,17.4,"32,445"
2018-09-23,17.6,18.2,17,18.2,17.2,790
2018-09-20,17.6,18.8,17.1,18.8,17.6,"9,303"
2018-09-19,17.7,19,17.7,18.5,18,"17,976"
2018-09-18,19,19,18.3,18.8,18.7,"33,236"
2018-09-17,18.5,19.8,18.3,18.9,18.9,"18,325"
2018-09-16,19.9,20,18.5,20,19.6,"48,095"
2018-09-13,20,20.6,18.7,18.7,19.8,"40,590"
2018-09-12,19.4,20,19,19.5,19.2,"105,746"
2018-09-11,18.2,18.2,17.5,17.8,18.2,"39,325"
2018-09-10,16.7,16.8,15.8,15.8,16.6,"27,989"
2018-09-09,15.5,15.5,14.9,15,15.3,"18,671"
2018-09-06,14.4,15.8,14.4,15.5,14.8,"45,187"
2018-09-05,14.5,14.5,14.1,14.2,14.4,"39,264"
2018-09-04,13.2,14.3,13,14.2,13.2,"74,610"
2018-09-03,14.2,15.3,14.2,15.3,14.4,"40,388"
2018-08-30,15.2,16,14.8,16,15.2,"69,600"
2018-08-29,15.5,16.3,15.5,16.1,15.9,"22,640"
2018-08-28,15.8,16.4,15.3,16.2,16.1,"16,846"
2018-08-27,16.2,16.2,15.1,16,16.1,"18,971"
2018-08-26,15,15.7,14.7,14.7,15.1,"15,515"
2018-08-20,15.4,15.6,14.2,14.2,15.4,"8,245"
2018-08-19,15.2,16.8,15.2,16.7,15.2,"82,835"
2018-08-16,16.8,17,15.1,15.5,16.8,"46,903"
2018-08-14,16,16.2,15.3,15.9,15.6,"20,341"
2018-08-13,15.6,19,15.6,19,16.1,"49,024"
2018-08-12,17.9,18,16.9,17.7,17.3,"32,415"
2018-08-09,18.2,19.3,17.2,18,18.1,"30,576"
2018-08-08,18,18.1,16.8,18.1,18.1,"104,169"
2018-08-07,16.4,19.6,16.2,18.5,16.5,"212,565"
2018-08-06,17.9,17.9,17.9,17.9,17.9,"12,228"
2018-08-05,16.3,16.3,16.3,16.3,16.3,3
2018-08-02,14.9,14.9,14.9,14.9,14.9,"20,083"
2018-08-01,13.6,13.6,13.6,13.6,13.6,"29,236"
2018-07-31,15.1,15.1,15.1,15.1,15.1,"50,949"
2018-07-30,16.7,17.1,16.7,17,16.7,"87,011"
2018-07-29,18.3,20.3,18.3,20.3,18.5,"30,202"
2018-07-26,20.5,20.5,19,19,20.3,"23,818"
2018-07-25,19.6,19.8,17.1,17.6,18.7,"95,727"
2018-07-24,18.9,20.1,18.9,19.1,18.9,"74,513"
2018-07-23,21.8,24.9,20.9,20.9,21,"130,426"
2018-07-22,23.2,23.2,23.2,23.2,23.2,"1,640"
2018-07-19,25.7,25.7,25.7,25.7,25.7,"18,472"
2018-07-18,28.9,30.7,28,29.2,28.5,"43,036"
2018-07-17,29,29,27.5,27.5,28.9,"39,670"
2018-07-16,27.1,27.6,25.8,25.8,27,"46,267"
2018-07-15,25.4,26,24.3,24.5,25.4,"20,964"
2018-07-12,24.5,24.8,23.5,24.3,24.2,"11,717"
2018-07-11,24,24.9,23.2,23.2,24.1,"20,556"
2018-07-10,22.6,23.8,22.6,22.9,23,"2,762"
2018-07-09,23.9,23.9,22.1,22.7,22.5,"11,410"
2018-07-08,23.8,24,22.1,23.8,22.5,"29,597"
2018-07-05,23.6,24,23.1,23.1,23.6,"11,080"
2018-07-04,23.5,24.1,23,23.5,23.8,"19,975"
2018-07-03,23.9,24.3,23,24.3,23.3,"7,598"
2018-07-02,22.3,24,22.1,24,22.6,"29,880"
2018-06-28,22.5,24.8,22.5,24.8,23.3,"30,695"
2018-06-27,24.2,26.1,23.9,26.1,24.4,"18,933"
2018-06-26,25,25.5,24.5,24.5,25.1,"15,443"
2018-06-25,25.3,26.9,24.3,24.3,25.3,"16,473"
2018-06-24,24.9,24.9,22.8,24,24.8,"14,823"
2018-06-21,22.9,25.4,22.1,25.4,22.7,"68,653"
2018-06-20,24.6,25.1,23.6,25.1,24,"51,982"
2018-06-19,24.5,26.5,24.5,26.5,24.7,"93,973"
2018-06-18,27,28.2,25.4,27.8,25.7,"39,084"
2018-06-12,27.4,27.9,27.1,27.9,27.4,"15,755"
2018-06-11,27,28.9,26.4,28.9,26.7,"16,230"
2018-06-10,28.3,28.4,26.8,27,28.3,"13,906"
2018-06-07,26.9,28.7,26,28.6,26.4,"34,140"
2018-06-06,27,28,26.5,27.3,26.6,"3,129"
2018-06-05,27.5,27.8,25.3,27.8,27.3,"28,765"
2018-06-04,27.9,28.2,27,28,27.4,"4,697"
2018-06-03,28,29.7,27.7,29.7,28.1,"16,196"
2018-05-31,27.6,28.1,27,28,27.7,"17,770"
2018-05-30,28.3,29.5,27.9,29.5,28,"11,504"
2018-05-29,27,27,25.4,25.4,27,"26,150"
2018-05-28,24.9,26,24,25.8,24.6,"72,862"
2018-05-27,25.7,28.3,25.6,27.6,25.8,"20,987"
2018-05-24,27,29.5,27,27.1,27.5,"6,984"
2018-05-23,28.7,29.9,28.5,29.9,28.7,"9,509"
2018-05-22,29.4,29.7,27,27,29,"14,170"
2018-05-21,27.5,28,26.8,28,27.4,"10,540"
2018-05-20,28,29.3,26.3,29.3,26.7,"35,247"
2018-05-17,29.4,30.5,29,29.4,29.1,"19,534"
2018-05-16,29.5,30.8,29.1,30.6,29.4,"35,045"
2018-05-15,30.6,31.4,29.8,31.4,30.4,"8,201"
2018-05-14,30.1,30.3,29.3,30.2,29.7,"4,122"
2018-05-13,29.1,31.4,29.1,31.4,30,"3,871"
