DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,90.2,90.4,88.1,90.4,89.6,"3,262"
2019-06-27,88.6,90.4,88.2,88.7,88.7,"23,680"
2019-06-26,88.9,90.9,88.9,89.3,89,"31,613"
2019-06-25,89.1,94,89.1,90.5,89.2,"9,550"
2019-06-24,89.1,89.9,88.4,89.9,88.8,"1,909"
2019-06-23,90,91,88,90.5,88.2,"13,220"
2019-06-20,91,91.9,91,91.4,91,"7,713"
2019-06-19,91.6,92.8,91,92.8,91.5,"2,161"
2019-06-18,92.7,92.7,90.5,92.2,91.3,"9,121"
2019-06-17,92,94.4,91.4,93,92,"26,649"
2019-06-16,91.5,91.5,90.7,91.5,91.2,"7,920"
2019-06-13,91.7,92.7,91,91.4,92.3,"12,087"
2019-06-12,91,91.1,90,90.1,90.6,"7,103"
2019-06-11,91.5,93,88.8,88.8,91.9,"11,420"
2019-06-10,89.9,90.1,88.6,89.9,88.7,"14,549"
2019-06-09,89.3,89.3,87.1,88.4,88.4,"1,786"
2019-05-30,88.3,88.3,87,87.6,87.5,"2,357"
2019-05-29,88.5,88.5,87.2,87.2,88.1,661
2019-05-28,86.9,87.4,86.4,87.3,86.8,"4,496"
2019-05-27,87.1,87.7,87,87.2,87.1,"2,716"
2019-05-26,87.3,87.9,87.3,87.6,87.6,"1,210"
2019-05-23,87.5,87.9,87.5,87.6,87.8,"3,680"
2019-05-22,87.6,89.4,87.6,87.6,87.8,791
2019-05-21,87.9,87.9,87.8,87.9,87.9,"3,797"
2019-05-20,88.2,89,87.5,89,87.6,"5,141"
2019-05-19,89.7,89.8,88,89,88.7,"3,880"
2019-05-16,87.6,89,87.4,89,87.7,"5,555"
2019-05-15,89.7,90,87.5,90,87.7,"8,486"
2019-05-14,88.7,89,88.5,89,88.7,"4,726"
2019-05-13,88.1,89.4,88,89,88.2,"12,644"
2019-05-12,90,90,88.9,90,89.8,"1,127"
2019-05-09,90,90.5,88.3,89,89,"6,254"
2019-05-08,90.4,90.8,89.5,89.5,89.7,740
2019-05-07,90.2,91.1,90.2,91.1,90.3,"7,965"
2019-05-06,91,92.3,90.2,92.3,91.1,"16,466"
2019-05-05,92.1,92.8,90.1,90.1,92.3,"20,373"
2019-05-02,90.1,90.9,89,90.2,90.1,"21,672"
2019-04-30,88.8,89,88.1,88.1,88.4,"3,789"
2019-04-29,87.5,92,87.2,92,88.1,"4,154"
2019-04-28,90,91.5,89.1,90.5,89.9,"5,155"
2019-04-25,91.9,93.3,90.3,91.6,91.1,"37,690"
2019-04-24,91.9,92.3,87,87.3,90,"7,828"
2019-04-23,88.5,88.6,87,87.1,88.4,"18,170"
2019-04-21,87,88.5,87,88,88,"1,000"
2019-04-18,87.8,88.7,85.5,88.7,86.1,"19,698"
2019-04-17,86.2,87.2,86,87.2,86.1,"2,947"
2019-04-16,86.1,87,86,86,86.2,"2,760"
2019-04-15,86.5,91,86.5,88.6,87.1,"7,781"
2019-04-11,88.7,88.8,87,88.8,88.6,"1,660"
2019-04-10,87.4,89.1,87.4,89.1,87.8,"3,297"
2019-04-09,89,90,88.9,88.9,89.1,"10,880"
2019-04-08,88.7,92,88.6,92,88.8,"5,842"
2019-04-07,91,91.7,90.6,91,91.1,"8,650"
2019-04-04,90.6,91.2,89.2,91.2,90.3,"4,276"
2019-04-03,90.3,93,90,91.2,90.2,"21,595"
2019-04-02,93.6,94.5,91.4,91.5,92.2,"15,520"
2019-04-01,91.3,92.8,91,91.5,91.6,"29,632"
2019-03-31,92.1,92.3,91,91,91.9,"6,223"
2019-03-28,91.2,92.3,91.2,91.2,91.4,"4,960"
2019-03-27,91,91.9,91,91.9,91.1,"12,030"
2019-03-25,91.6,92,91.1,91.1,91.5,"9,972"
2019-03-24,91.5,91.5,90.5,90.5,91.1,"4,797"
2019-03-21,90.8,91.8,90,90.5,90.5,"12,754"
2019-03-20,90.4,91,89.8,90,90.4,"3,117"
2019-03-19,89.4,93.3,89,93.3,89.8,"19,917"
2019-03-18,90.7,92,90.4,92,90.5,"16,520"
2019-03-14,91.8,94.1,91.7,94.1,91.8,"14,399"
2019-03-13,92.4,93.3,90.6,92.8,91.8,"23,933"
2019-03-12,93.1,95,93.1,95,93.3,"19,857"
2019-03-11,94.2,94.6,93.3,93.6,94.2,"20,076"
2019-03-10,94.3,94.3,93.5,93.5,94.2,"8,864"
2019-03-07,94,94,92.9,94,93.3,"13,926"
2019-03-06,93,95,92.6,95,93,"71,496"
2019-03-05,95.8,96.7,94.6,96.7,94.9,"11,302"
2019-03-04,95,96,95,95.7,95.2,"16,250"
2019-03-03,96.7,97,95,97,96.6,"17,830"
2019-02-27,95.1,98,94.9,98,95.4,"49,001"
2019-02-26,96.2,98.7,96,98.7,96.2,"6,531"
2019-02-25,98,98.5,96.2,98.5,96.7,"33,807"
2019-02-24,96.8,101,96.4,101,96.6,"37,527"
2019-02-20,99,100.4,97,99.9,99.4,"70,548"
2019-02-19,97.5,97.5,95.1,96.3,96.9,"33,561"
2019-02-18,96,97.8,96,97.1,96.2,"28,715"
2019-02-17,97.9,97.9,95.5,96.1,97.4,"30,761"
2019-02-14,96,97,96,96.5,96.1,"15,474"
2019-02-13,97.3,97.3,96.2,96.2,97,"9,240"
2019-02-12,95.5,97,95.4,95.4,96.2,"15,978"
2019-02-11,95.2,96.7,95.1,95.5,95.2,"14,673"
2019-02-10,95.4,97,95.2,97,95.5,"21,700"
2019-02-07,96,97.6,95.2,95.8,95.8,"31,778"
2019-02-06,95.5,99,95.5,97,95.6,"19,355"
2019-02-05,95.5,97.7,95.1,95.7,95.6,"20,382"
