DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,60,61.9,60,61.7,60.1,"188,991"
2019-06-27,61.5,62.6,61.4,62,61.6,"250,245"
2019-06-26,61.5,62.3,61.1,61.5,61.4,"216,900"
2019-06-25,61.1,62.6,61,62.4,61.2,"111,197"
2019-06-24,62.5,63.6,62,62.8,62.4,"187,775"
2019-06-23,63,64.7,62.6,64.7,62.9,"313,844"
2019-06-20,65,68.9,64.2,67,64.9,"570,333"
2019-06-19,65.7,66.5,60.2,60.2,65.7,"1,063,929"
2019-06-18,60.7,61.5,60.3,60.3,60.8,"219,080"
2019-06-17,60.9,61.5,60,61.4,60.4,"160,180"
2019-06-16,61,63.5,61,61,61.4,"175,930"
2019-06-13,62,63.7,61.4,61.4,62,"461,929"
2019-06-12,61.5,63,60.7,61.1,61.4,"456,783"
2019-06-11,61.3,63.2,60.8,62.1,61.1,"248,232"
2019-06-10,62,64.1,62,64.1,62.6,"136,733"
2019-06-09,63.9,64.8,62.4,62.4,64.1,"288,912"
2019-05-30,62.8,63.4,60.3,60.3,62.4,"173,507"
2019-05-29,60,62.3,60,60.6,60.5,"84,426"
2019-05-28,61.6,63,60.3,60.3,61.6,"154,939"
2019-05-27,62.1,65.9,62,62.8,62.3,"368,769"
2019-05-26,62,62.5,58.7,59,62.1,"410,502"
2019-05-23,59.5,60,58.9,59.3,59,"81,319"
2019-05-22,59,60.5,58.1,58.1,59.3,"188,682"
2019-05-21,58.4,58.4,57.3,57.7,58.1,"90,262"
2019-05-20,57.5,59.2,57.4,58.7,57.7,"171,186"
2019-05-19,58,58.9,56.4,56.4,58.5,"101,897"
2019-05-16,56.3,56.7,55.7,56.7,56.2,"21,815"
2019-05-15,56.6,56.6,55.2,55.9,55.3,"39,511"
2019-05-14,55.6,57.9,55.1,57,55.8,"59,306"
2019-05-13,57,57.9,56.4,56.8,57.1,"45,622"
2019-05-12,57.1,57.7,56.3,57,57,"32,169"
2019-05-09,57.6,57.6,56.1,56.5,57,"48,540"
2019-05-08,56.7,57.4,55.8,56.4,56.5,"18,993"
2019-05-07,57.1,57.9,56.9,57.1,57.1,"35,863"
2019-05-06,57,59.2,57,59,57.4,"65,823"
2019-05-05,58.7,59,56.5,56.7,58.6,"142,711"
2019-05-02,56.9,56.9,55.4,55.6,56.4,"40,680"
2019-04-30,55,56.5,54,54.5,54.5,"66,441"
2019-04-29,54,55,53.3,53.3,54,"45,889"
2019-04-28,55,57.8,52.2,57.8,53.9,"67,506"
2019-04-25,58,58.5,57.3,58.1,57.4,"30,380"
2019-04-24,57.8,58.2,56.4,57.1,57,"26,719"
2019-04-23,58,59.2,57.5,58.8,57.9,"21,944"
2019-04-21,60,60.3,59,59.1,59.6,"39,222"
2019-04-18,58.3,59.3,57,57,58.8,"121,816"
2019-04-17,57.1,58.1,56.6,57.6,57.3,"101,000"
2019-04-16,58.4,58.9,56.5,58.8,57.1,"117,455"
2019-04-15,59.1,60.9,58.1,60.9,58.5,"89,446"
2019-04-11,60.8,61.4,59,59.9,60.1,"105,365"
2019-04-10,59.7,60.3,58.3,59.5,59.3,"84,454"
2019-04-09,59.2,60.5,58.7,58.7,59.5,"109,212"
2019-04-08,60.5,61.9,58.1,61.9,60.1,"94,529"
2019-04-07,62.8,63,62.1,63,62.4,"83,189"
2019-04-04,62,63.1,61.5,63.1,62.3,"56,669"
2019-04-03,63.1,65.2,63,63.9,63.1,"35,656"
2019-04-02,64.7,65.2,62.5,63,65,"127,833"
2019-04-01,63.4,63.5,61.7,62.2,63,"103,517"
2019-03-31,61,62.8,61,62.7,61.9,"89,065"
2019-03-28,62.3,63,61,63,62.5,"54,164"
2019-03-27,60.8,64.7,60,64.7,60.7,"55,860"
2019-03-25,64.2,65,63.9,65,64.1,"26,661"
2019-03-24,64.8,66.5,64.8,66.5,65,"34,639"
2019-03-21,66,67.5,65.4,66.7,65.6,"49,760"
2019-03-20,66.8,66.8,65,65.9,66.4,"56,455"
2019-03-19,66,66.5,64.2,65.5,65.4,"107,956"
2019-03-18,66,69,64.1,69,65.4,"15,350"
2019-03-14,65.8,68.8,65.5,66.6,66.1,"65,806"
2019-03-13,67.9,70.5,67,70.5,67.9,"37,534"
2019-03-12,69.9,70.7,68,70.6,68.8,"80,241"
2019-03-11,70.6,71,70.6,71,70.6,"238,448"
2019-03-10,69.7,71,69,70.5,70,"40,717"
2019-03-07,70.4,71,68.3,69.9,70.1,"254,230"
2019-03-06,70,71.5,67.5,70.3,68.6,"56,547"
2019-03-05,70,72.3,69.8,72.3,70.2,"59,435"
2019-03-04,70.2,73.7,70.1,73.7,70.8,"81,367"
2019-03-03,74,74.3,71.1,73.3,72.7,"105,945"
2019-02-27,74.7,74.8,72,72,73.3,"134,783"
2019-02-26,74.2,77.1,74.2,76.1,74.7,"164,528"
2019-02-25,76.5,76.9,73.2,74.8,76.1,"516,634"
2019-02-24,73.8,76.8,73.2,74.7,73.5,"265,188"
2019-02-20,74.4,75,72,72,74.3,"339,277"
2019-02-19,72.4,72.9,68,70.4,72,"303,660"
2019-02-18,69.4,72,68.5,72,69,"254,118"
2019-02-17,72,73.4,71.9,72.5,72.3,"150,548"
