DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,12.1,12.3,12.1,12.3,12.2,"20,354"
2019-06-27,12.3,12.5,12,12.5,12.2,"19,289"
2019-06-26,12.8,12.8,12,12,12.1,"2,787"
2019-06-25,12.6,13.4,12.6,13.4,12.7,420
2019-06-24,12.6,12.6,12.5,12.6,12.6,"4,873"
2019-06-23,12.6,12.8,12.6,12.8,12.6,"1,528"
2019-06-20,12.5,12.9,12.5,12.8,12.6,"8,661"
2019-06-19,12.8,12.9,12.7,12.9,12.8,"11,379"
2019-06-18,12.7,13.2,12.7,13.2,12.9,"2,380"
2019-06-17,12.9,13.2,12.9,13.2,13,"9,981"
2019-06-16,13,13,13,13,13,"1,000"
2019-06-13,13,13.2,12.9,13,13,"10,380"
2019-06-12,12.9,13.8,12.9,13.7,12.9,"2,758"
2019-06-11,13.7,13.8,13.5,13.7,13.7,991
2019-06-10,13.8,13.9,13,13.9,13.4,"7,448"
2019-06-09,12.6,14,12.5,14,12.7,"4,455"
2019-05-30,13,13.9,12.2,12.2,12.8,"61,758"
2019-05-29,13.9,13.9,13.5,13.5,13.5,"1,036"
2019-05-28,13.5,13.5,13.4,13.5,13.4,"8,600"
2019-05-27,13.4,14,13.2,14,13.4,"3,020"
2019-05-26,13.8,14.1,13.5,14.1,13.9,"8,367"
2019-05-23,13.5,14.5,13.3,13.3,13.5,"2,123"
2019-05-22,13.7,14,13.7,13.9,13.9,"7,935"
2019-05-21,13.2,14,13.2,14,13.2,501
2019-05-20,13.2,13.2,13,13,13.2,505
2019-05-19,14,14.5,13,14.5,13,"8,839"
2019-05-16,13.6,14.4,13.5,14.4,13.7,"8,555"
2019-05-15,14.1,14.9,14.1,14.9,14.3,"1,690"
2019-05-14,14.3,14.3,13.5,13.5,14.1,"10,220"
2019-05-13,14.3,14.3,13.1,14,13.6,"10,255"
2019-05-12,14,14.7,14,14.7,14.2,"12,170"
2019-05-09,14.6,15,14.6,15,14.8,"1,405"
2019-05-08,14.7,14.9,14.7,14.8,14.8,"3,520"
2019-05-07,14.7,15.2,14.6,14.8,14.7,"7,050"
2019-05-06,14.8,14.9,14.7,14.8,14.8,"8,032"
2019-05-05,14.6,15.3,14.3,15.3,15,"33,256"
2019-05-02,14.6,14.7,13.8,14.7,14.3,"9,020"
