DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,14.2,14.3,14.1,14.3,14.2,"1,214,188"
2019-06-27,14.1,14.4,14.1,14.2,14.1,"2,207,394"
2019-06-26,14.2,14.5,14.1,14.4,14.2,"1,824,908"
2019-06-25,14.4,14.5,14.3,14.3,14.4,"1,608,979"
2019-06-24,14.3,14.5,14.2,14.5,14.3,"1,298,284"
2019-06-23,14.5,14.6,14.4,14.4,14.5,"505,986"
2019-06-20,14.7,14.7,14.4,14.5,14.6,"605,113"
2019-06-19,14.4,14.7,14.4,14.6,14.5,"492,181"
2019-06-18,14.4,14.9,14.4,14.9,14.6,"626,305"
2019-06-17,14.7,15.2,14.6,15.2,14.7,"861,969"
2019-06-16,15.1,15.6,15.1,15.5,15.1,"476,526"
2019-06-13,15.5,15.7,15.5,15.5,15.5,"601,614"
2019-06-12,15.5,15.8,15.4,15.8,15.6,"835,690"
2019-06-11,15.8,15.9,15.5,15.7,15.8,"917,849"
2019-06-10,15.8,15.9,15.6,15.8,15.6,"754,650"
2019-06-09,15.9,16.5,15.7,16,15.8,"1,537,864"
2019-05-29,18,18,17.2,17.3,18,"5,379,181"
2019-05-28,17.2,17.3,17.1,17.3,17.3,"1,655,981"
2019-05-27,17.2,17.4,17.1,17.2,17.2,"2,889,535"
2019-05-26,17.2,17.3,16.9,17,17.2,"2,083,234"
2019-05-23,17,17.1,16.8,17.1,17,"908,198"
2019-05-22,16.8,17.1,16.7,17.1,16.9,"519,879"
2019-05-21,17,17.4,16.7,17.4,17,"1,064,174"
2019-05-20,17.1,17.1,16.8,17,17.1,"1,448,791"
2019-05-19,16.8,17.1,16.7,16.7,16.9,"1,787,765"
2019-05-16,16.5,16.5,16,16.2,16.4,"1,039,888"
2019-05-15,16.1,16.2,15.8,15.9,16,"312,282"
2019-05-14,15.9,16.1,15.9,16,16,"929,777"
2019-05-13,16.4,16.4,16.2,16.4,16.2,"357,720"
2019-05-12,16.3,16.7,16.2,16.7,16.3,"369,294"
2019-05-09,16.4,16.4,16.2,16.3,16.4,"570,896"
2019-05-08,16.3,16.4,16.1,16.2,16.3,"363,881"
2019-05-07,16.4,16.6,16.1,16.6,16.4,"1,617,200"
2019-05-06,16.4,16.9,16.2,16.4,16.4,"989,405"
2019-05-05,16.2,16.3,15.8,15.8,16.2,"1,148,063"
2019-05-02,15.8,16.3,15.4,16.2,15.8,"1,606,407"
2019-04-30,16.4,16.7,16,16.7,16.2,"1,328,102"
2019-04-29,16.3,16.4,16,16.2,16.4,"761,145"
2019-04-28,16.3,16.4,15.8,16,16.2,"981,645"
2019-04-25,15.9,16,15.6,15.6,15.9,"741,141"
2019-04-24,15.7,15.9,15.6,15.9,15.7,"312,333"
2019-04-23,15.9,15.9,15.6,15.7,15.7,"605,049"
2019-04-21,15.6,16.1,15.6,15.9,15.7,"384,933"
2019-04-18,16.1,16.1,15.4,15.5,15.9,"803,479"
2019-04-17,15.5,15.5,15.2,15.3,15.5,"511,443"
2019-04-16,15.1,15.3,15.1,15.2,15.2,"578,711"
2019-04-15,15.3,15.5,15.2,15.3,15.3,"166,687"
2019-04-11,15.3,15.4,15.2,15.3,15.3,"284,988"
2019-04-10,15.2,15.3,15.1,15.3,15.2,"436,082"
2019-04-09,15.2,15.3,15.1,15.1,15.2,"402,649"
2019-04-08,15.2,15.4,15,15.1,15.1,"1,124,298"
2019-04-07,15.2,15.9,15.2,15.7,15.3,"483,472"
2019-04-04,15.5,15.5,15.1,15.3,15.4,"815,208"
2019-04-03,15.2,15.7,15.1,15.7,15.2,"1,017,513"
2019-04-02,15.7,15.8,15.6,15.6,15.7,"521,358"
2019-04-01,15.6,15.8,15.6,15.7,15.6,"482,930"
2019-03-31,15.8,15.9,15.6,15.9,15.6,"853,871"
2019-03-28,15.8,15.8,15.4,15.7,15.7,"1,085,619"
2019-03-27,15.6,16.1,15.6,16,15.7,"1,043,992"
2019-03-25,16,16.5,15.7,16.5,16,"1,436,119"
2019-03-24,16.4,17,16.3,17,16.4,"1,544,544"
2019-03-21,17,17.2,16.9,17.1,17,"662,531"
2019-03-20,17.1,17.5,17,17.5,17.1,"1,507,689"
2019-03-19,17.5,17.6,17.1,17.1,17.4,"799,884"
2019-03-18,17.3,17.5,17,17.4,17.1,"1,044,664"
2019-03-14,17.3,17.9,17.3,17.7,17.3,"1,288,518"
2019-03-13,17.6,18.1,17.6,17.9,17.7,"1,222,450"
2019-03-12,17.7,18.4,17.7,17.9,17.7,"1,669,772"
2019-03-11,18,18,17.5,17.7,17.9,"1,579,962"
2019-03-10,17.8,17.9,17.5,17.7,17.7,"642,946"
2019-03-07,17.5,17.7,17.4,17.5,17.5,"995,451"
2019-03-06,17.5,17.7,17.4,17.5,17.5,"558,622"
2019-03-05,17.5,17.7,17.3,17.4,17.5,"1,011,463"
