DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,27,27,26.5,26.9,26.8,"21,155"
2019-06-27,27,28.5,27,28.3,27,"86,875"
2019-06-26,28.1,28.1,27.1,27.1,27.6,"76,269"
2019-06-25,27.9,29.3,27.7,28.6,27.9,"79,164"
2019-06-24,29.8,29.8,27.3,29.2,28.4,"78,662"
2019-06-23,28.8,29.4,27.9,28.1,29.1,"76,588"
2019-06-20,28.7,29.7,28.1,29.7,28.5,"105,269"
2019-06-19,29.8,31.4,29.7,30.3,30,"189,605"
2019-06-18,30.3,31.7,29.1,29.4,30.2,"208,982"
2019-06-17,28.4,29.4,28.4,28.5,28.9,"133,160"
2019-06-16,27.4,29,27.4,28.1,28.2,"55,116"
2019-06-13,28.8,29.7,28.8,29.6,28.9,"89,963"
2019-06-12,29.2,29.2,28.4,28.4,29.1,"43,006"
2019-06-11,27.8,29,27.7,27.7,28.1,"129,763"
2019-06-10,27.5,27.5,26.6,27.3,27.2,"62,808"
2019-06-09,27.3,28.4,27.3,28.4,27.3,"13,779"
2019-05-30,27.8,28.7,27,27.2,27.9,"224,565"
2019-05-29,26.7,26.9,26.5,26.9,26.6,"23,510"
2019-05-28,26.9,26.9,26.1,26.7,26.7,"80,565"
2019-05-27,26.5,27.2,26.2,26.9,26.3,"97,339"
2019-05-26,26.4,27.1,25.8,27.1,26.4,"36,793"
2019-05-23,25.3,26.8,25.2,26.4,25.4,"175,134"
2019-05-21,26.5,26.7,25.6,26.2,26.4,"26,255"
2019-05-20,25.3,26.4,25.3,26.1,26.1,"7,864"
2019-05-19,26.7,27,26,26,26.8,"47,616"
2019-05-16,25.3,26.7,25.3,26.7,25.6,"111,891"
2019-05-15,25.7,26.8,25.7,25.9,25.9,"24,602"
2019-05-14,25.8,26.2,25.4,25.4,25.5,"23,841"
2019-05-13,25.6,27.8,25.6,27.4,25.9,"98,390"
2019-05-12,26.6,27.4,26.6,27.4,27.4,"18,600"
2019-05-09,26.1,27.8,26.1,27.8,26.4,"83,820"
2019-05-08,27.5,27.9,27.5,27.9,27.6,"6,143"
2019-05-07,28.3,29.2,27.8,28.9,28,"60,897"
2019-05-06,28.3,28.4,27.7,28,28.2,"81,075"
2019-05-05,28.2,28.3,27.3,27.5,28,"61,600"
2019-05-02,28,28,26.5,26.7,26.9,"78,013"
2019-04-30,26.7,27.9,26.3,27.7,27.1,"79,100"
2019-04-29,24.5,27.9,24.5,26.9,26,"92,805"
2019-04-28,25.6,28.5,25.2,28.5,25.8,"56,100"
2019-04-25,27.5,29.5,27.2,29.3,27.4,"87,716"
2019-04-24,27.5,29.2,27.5,28.7,28.2,"84,589"
2019-04-23,28.1,30,28,30,28.3,"98,578"
2019-04-21,29.5,32.5,29.5,32.5,29.6,"258,570"
2019-04-18,31.5,32.4,31,31,31.8,"225,852"
2019-04-17,31,31,29,29.7,30.6,"278,225"
2019-04-16,29.5,29.5,27.8,28.5,29,"80,316"
2019-04-15,28.9,28.9,27.2,27.6,28.4,"105,867"
2019-04-11,27.5,28.5,27.1,27.6,27.5,"49,532"
2019-04-10,28,29.5,26.2,29.5,27,"101,949"
2019-04-09,28.4,30.8,27.7,28.7,28.2,"143,019"
2019-04-08,28.8,28.8,27.1,27.8,28.2,"129,566"
2019-04-07,28,30.8,27.9,29.4,28.6,"230,556"
2019-04-04,28.9,30.4,27.6,30.4,28.4,"50,444"
2019-04-03,29.3,30.1,28.7,29.8,29.2,"68,050"
2019-04-02,29.7,32,29.6,31.9,30.3,"144,090"
2019-04-01,31,32.5,30.8,31.1,31.9,"196,260"
2019-03-31,31.2,31.8,30.8,30.8,30.8,"118,885"
2019-03-28,30.5,31,29.3,29.3,30.6,"155,384"
2019-03-27,28.8,29.6,28.6,29.3,28.9,"466,845"
2019-03-25,29.1,29.5,28.3,28.8,29.3,"571,630"
2019-03-24,28.4,30.9,28.2,29.9,28.4,"267,624"
