DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,68.1,69.4,67.4,67.4,68,"3,471"
2019-06-27,68.1,68.8,67.2,68,68.1,"4,372"
2019-06-26,67.5,68.6,67.3,67.3,67.8,"15,802"
2019-06-25,69.8,69.8,68.1,68.1,68.8,"3,981"
2019-06-24,68.9,70,68.6,68.6,69,"5,131"
2019-06-23,70.1,70.1,70,70,70.1,"5,957"
2019-06-20,70.1,70.5,69.1,69.1,70.1,"9,041"
2019-06-19,70.2,70.9,70.1,70.1,70.3,"2,368"
2019-06-18,70.7,70.8,68.5,70.1,69.8,"3,658"
2019-06-17,70.4,71,70.1,70.1,70.5,"6,034"
2019-06-16,71.2,71.2,70.9,70.9,71,"1,673"
2019-06-13,70.8,72.8,70.3,70.3,70.8,"3,001"
2019-06-12,70.9,71,70.3,70.3,70.7,920
2019-06-11,71.5,72.8,70,70,71,"1,232"
2019-06-10,71,71.4,70,71.2,70.8,"7,947"
2019-06-09,71.3,71.9,71.1,71.5,71.3,"1,992"
2019-05-30,72,73.5,72,72.1,73.3,"4,770"
2019-05-29,73.5,73.5,70.5,70.5,72.3,"4,048"
2019-05-28,70.5,70.8,70,70.7,70.5,"2,119"
2019-05-27,70.6,70.6,70.5,70.6,70.6,835
2019-05-26,70.7,71,70.7,70.7,70.7,"9,368"
2019-05-23,70.7,71,70.5,70.5,70.7,756
2019-05-22,71,71.9,70.7,70.7,70.9,"1,422"
2019-05-21,72,72,70.4,70.4,71.2,"1,409"
2019-05-20,71,71.5,70.7,70.7,71,"1,635"
2019-05-19,71,71,70.7,70.7,70.8,824
2019-05-16,70.7,70.8,70,70,70.6,"1,385"
2019-05-15,70.7,71.6,70,70,70.3,815
2019-05-14,72.5,72.5,71.5,71.5,71.6,"1,232"
2019-05-13,72,72,71.8,71.8,72,613
2019-05-12,72.2,72.2,71.5,71.5,72,"4,734"
2019-05-09,72.5,73,72.5,73,72.7,"2,466"
2019-05-08,72.6,72.9,72.6,72.9,72.7,"2,989"
2019-05-07,74.9,74.9,71.5,71.5,72.5,728
2019-05-06,75,75,72.4,72.4,74.5,"3,313"
2019-05-05,74.5,75.1,74.4,74.4,74.9,"14,725"
2019-05-02,75.1,75.1,73,73.9,75.1,"57,785"
2019-04-30,74.5,74.5,70.1,70.1,73.8,"6,870"
2019-04-29,74,74.9,72,72,74.2,"29,716"
2019-04-28,73,74.7,73,74.7,73.1,"1,150"
2019-04-25,74.5,74.5,72,72,74.1,"11,106"
2019-04-24,74,74,71.6,71.6,73.2,"6,815"
2019-04-23,74.5,74.5,70.5,70.5,72.9,"10,417"
2019-04-21,72.3,72.3,70,71.5,71.3,"5,729"
2019-04-18,70.4,70.5,70,70,70.4,"1,344"
2019-04-17,70.4,70.4,70.1,70.1,70.2,"1,564"
2019-04-16,70,70.2,68,68,69.7,391
2019-04-15,70.9,70.9,70.5,70.5,70.8,"8,297"
2019-04-11,71,71,70,70,70.6,"2,165"
2019-04-10,71.9,71.9,70,70.9,71,"8,898"
2019-04-09,71.7,72.2,71.7,72.2,71.8,"3,436"
2019-04-08,72.2,73.9,72.1,72.5,73.7,"16,577"
2019-04-07,72.6,72.6,72.1,72.1,72.4,"1,002"
2019-04-04,73,73.5,72.5,72.5,72.8,"9,833"
2019-04-03,74.5,74.5,72.5,72.5,74.1,"5,236"
2019-04-02,73,74.9,72.5,72.6,74.7,"27,868"
2019-04-01,74.5,74.5,72.8,72.9,74.1,"5,532"
2019-03-31,74.5,74.5,72.8,73,74.4,"11,645"
2019-03-28,72.1,73.2,72,72,73,"4,136"
2019-03-27,73.2,74.7,73,73,74.4,"8,000"
2019-03-25,73.1,74,73,73,73.3,"2,352"
2019-03-24,73.1,74.5,73,73,74,"12,589"
2019-03-21,74.1,74.1,73.1,73.1,73.6,"3,352"
2019-03-20,73.1,73.3,73,73.1,73,"16,283"
2019-03-19,73.7,73.8,73,73,73.6,"32,623"
2019-03-18,73,73.1,72.9,72.9,73,"5,084"
2019-03-14,73.5,74,73,73.1,73.2,"23,432"
2019-03-13,73.1,74,73.1,73.4,73.1,"9,456"
2019-03-12,74.5,74.9,73.1,73.1,74.4,"11,607"
2019-03-11,73.8,74.9,73.4,73.4,74,"11,104"
2019-03-10,73.3,74.1,73.2,74.1,73.5,"5,248"
2019-03-07,74.2,74.2,73,73.1,74,"7,647"
2019-03-06,73.3,74.5,72.8,73,73.3,"8,632"
2019-03-05,74.6,74.8,73.3,73.3,73.6,"5,426"
2019-03-04,73.3,73.4,73.1,73.1,73.3,"2,496"
2019-03-03,74.9,75.7,72.5,73.7,73.2,"5,172"
2019-02-27,74.8,74.8,72.5,73.5,74.1,"4,559"
2019-02-26,73.5,73.8,73.2,73.8,73.5,"12,694"
2019-02-25,74,75,73.6,74.3,74,"27,742"
2019-02-24,74.5,74.9,74,74.1,74.6,"1,833"
2019-02-20,74.8,75,74.1,74.1,74.6,"9,941"
2019-02-19,75.2,76.9,75,76.1,75.7,"11,923"
2019-02-18,76.8,77.7,76.1,76.1,77.1,"6,165"
2019-02-17,76.7,80.6,75.3,80.6,79.8,"50,829"
2019-02-14,80.8,80.9,75,76.3,80.6,"59,362"
2019-02-13,73.7,74.1,73,73,73.7,"3,839"
2019-02-12,75,75.9,75,75.5,75.2,"4,033"
2019-02-11,75.5,76.2,75.5,76,75.9,"8,582"
2019-02-10,76.5,78,76.1,76.1,76.8,"13,264"
2019-02-07,76,77.5,75.1,75.1,77.4,"29,384"
2019-02-06,76.9,76.9,73.3,75,76.3,"36,793"
2019-02-05,74.4,76.7,73.4,76,75,"9,245"
2019-02-04,75.5,75.5,72.5,72.5,75.2,"13,089"
2019-02-03,73.3,74.9,72.8,72.8,73.6,"9,932"
2019-01-31,73.3,74.9,72.5,72.5,74.1,"9,324"
2019-01-30,74,74.5,73.3,73.3,73.9,"14,027"
2019-01-29,73,75.5,73,75,73.9,"14,905"
2019-01-28,73.5,74.4,73.3,74.1,73.5,"8,224"
2019-01-27,74.4,75.5,73.1,74.4,74.6,"16,260"
2019-01-24,74,75,71.9,72.6,74.3,"17,750"
2019-01-23,72.1,75.6,72.1,75.4,72.6,"33,257"
2019-01-22,76.8,81,75.1,81,75.4,"27,927"
2019-01-21,81.5,87,79.6,86,81.5,"72,918"
2019-01-20,79.6,79.6,74.6,74.6,79.6,"75,647"
2019-01-17,73,73.7,71.9,72.3,72.4,"38,396"
2019-01-16,73.1,74.3,73.1,74.3,73.3,"3,644"
2019-01-15,73.5,74.5,72,72.1,73.9,"20,335"
2019-01-14,73.5,73.5,70,70,73.1,"17,679"
2019-01-13,72.5,73,71.9,72,72.8,"6,242"
2019-01-10,73,73,71.1,71.1,72.7,"4,198"
2019-01-09,72.4,73.5,72.2,73.3,72.4,"11,699"
2019-01-08,73.3,73.3,70.5,70.5,73,"13,565"
2019-01-07,71,71.8,70.4,71.5,71,"6,495"
2019-01-06,72.9,72.9,70.5,70.6,72.2,"19,700"
2019-01-03,70.9,71,69.7,70,70.5,"10,943"
2019-01-02,69.2,70,69.2,69.9,69.6,"5,623"
2019-01-01,69.9,71,69.2,69.4,70.2,"1,705"
2018-12-27,70,70,68.1,68.2,69.4,"2,169"
2018-12-26,69.8,69.8,67.4,68,68,854
2018-12-24,68.3,68.4,68.2,68.3,68.3,672
2018-12-23,69.5,69.5,67.9,69,68.2,"2,130"
2018-12-20,70,70,68.1,68.1,69.5,"4,933"
2018-12-19,69.9,69.9,68,68.1,68.3,"1,388"
2018-12-18,69.9,69.9,67.4,67.4,68.3,"1,103"
2018-12-17,67.4,69.9,67.2,69.9,67.9,"11,781"
2018-12-13,69.9,69.9,68,68.3,68.2,"1,212"
2018-12-12,68.1,69,68,69,68.2,"2,394"
2018-12-11,68.3,70.9,68.3,70,69,"3,650"
2018-12-10,69.1,69.1,68.4,68.5,68.5,"5,558"
2018-12-09,68.5,70.8,68.2,68.2,68.5,961
2018-12-06,69,70.5,69,69.7,69.3,"1,238"
2018-12-05,69,72.4,69,72.4,69,"6,203"
2018-12-04,70.4,70.5,69.8,70.5,70.1,"2,077"
2018-12-03,70.1,70.1,69.8,69.8,70.1,"2,910"
2018-12-02,69.9,71.7,69.9,69.9,70.2,"2,259"
2018-11-29,71.5,71.5,68.8,68.8,70.6,"6,157"
2018-11-28,70.5,71,68.8,68.8,70.4,"2,320"
2018-11-27,70,71.5,68.6,68.6,70.1,"2,615"
2018-11-26,69.9,70.2,68.8,70.2,69.7,"3,644"
2018-11-25,70.1,70.5,70,70,70.2,"13,070"
2018-11-22,72.2,73,70,70,71.7,"2,336"
2018-11-20,71,73.9,68.8,70.2,71.3,"18,621"
2018-11-19,71.5,71.5,65.5,65.5,70.3,"9,184"
2018-11-18,67,67,65.6,65.6,66.1,599
2018-11-15,68.1,68.1,66.3,66.3,67.7,"4,168"
2018-11-14,67.9,68.9,67.2,68.9,67.6,"4,828"
2018-11-13,66.1,68,65,65,67.2,"4,759"
2018-11-11,70.1,70.3,67.2,67.2,68.2,"9,285"
2018-11-08,68.8,70.5,68.6,68.6,69.5,"3,775"
2018-11-07,69.8,69.8,67.6,67.6,68.9,164
2018-11-06,68,70,68,70,68.4,"3,583"
2018-11-05,69.1,72.6,68.2,72.6,69.1,"3,547"
2018-11-04,71.4,73,66.2,66.2,70.9,"5,877"
2018-11-01,70.1,70.9,67.5,67.5,70.5,"2,609"
2018-10-31,68.8,71.9,67.2,67.2,70,"5,751"
2018-10-30,67.3,67.3,66.1,66.1,66.5,212
2018-10-29,70.6,70.6,65,65,66.9,728
2018-10-28,68.7,68.8,66.9,67.5,67.3,"1,321"
2018-10-25,68.7,69.2,68.5,68.5,68.8,"2,218"
2018-10-24,68.5,70.5,66,66,68.5,"2,362"
2018-10-23,68.8,74.1,68.8,69,69,"21,629"
2018-10-22,69.9,71.6,69,71.5,69.7,"5,027"
2018-10-21,72.3,73.1,72.3,72.5,72.6,"5,690"
2018-10-18,74.6,75.9,74.5,74.5,74.6,"2,206"
2018-10-17,76,76,74.6,74.6,75.8,"7,645"
2018-10-16,75,75.7,74.2,74.2,75.1,"2,846"
2018-10-15,75,76.2,75,76,75.1,"6,882"
2018-10-14,76.4,76.5,75.1,75.4,76,"3,579"
2018-10-11,76.1,76.1,74.7,74.7,75.4,"2,413"
2018-10-10,74.8,75.7,74.7,75,74.9,"6,961"
2018-10-09,74.4,77.5,74.3,77.5,74.5,"5,919"
2018-10-08,74.1,76,73,75,74,"18,265"
2018-10-07,75.5,75.9,75,75.9,75.2,"3,770"
2018-10-04,76,76.4,76,76.4,76.2,"8,796"
2018-10-03,77.4,77.5,75,75,76.9,"2,349"
2018-10-02,75.6,77.4,74.5,74.5,77,"6,066"
2018-10-01,75.6,75.8,75.5,75.6,75.5,"5,879"
2018-09-30,78,78.2,75.3,76.5,78,"5,318"
2018-09-27,75.5,77,75.3,76.5,75.6,"2,228"
2018-09-26,76.5,77.3,76.3,76.3,76.5,"2,362"
2018-09-25,76.7,78.6,76.6,78.6,76.6,"10,755"
2018-09-24,78.3,78.3,76.6,76.6,77.9,"4,810"
2018-09-23,78.5,79.5,77.2,79.5,77.8,"3,438"
2018-09-20,79.5,79.5,76.5,78,78.8,"20,745"
2018-09-19,76.5,78,76.2,76.6,77.2,"7,272"
2018-09-18,78.8,78.8,75.3,75.6,77.6,"9,875"
2018-09-17,76.5,77.5,76.1,76.5,76.5,"8,034"
