DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,19.2,19.9,19.1,19.9,19.3,"195,496"
2019-06-27,19.7,20.5,19.7,20.2,19.8,"253,226"
2019-06-26,20.3,20.8,19.9,20.2,20.2,"184,344"
2019-06-24,20.7,20.9,20.1,20.9,20.6,"153,875"
2019-06-23,20.2,21.5,20.2,21.5,20.5,"707,274"
2019-06-20,21.7,22.7,21.4,22.5,21.5,"498,293"
2019-06-19,22.2,22.5,21,21.7,22.2,"664,542"
2019-06-18,21.5,21.5,19.8,19.8,21.3,"574,322"
2019-06-17,19.8,20.5,19.3,20.5,19.6,"416,370"
2019-06-16,20.4,22.3,20.2,21.7,20.4,"477,480"
2019-06-13,22.1,22.4,21.5,21.6,21.7,"514,099"
2019-06-12,21.6,21.8,20.1,20.1,21.5,"322,889"
2019-06-11,21.1,22.1,20.8,22,21,"500,056"
2019-06-10,21.6,22.4,21.3,22.4,21.8,"541,673"
2019-06-09,22.5,22.5,21,21,22.4,"866,163"
2019-05-30,21,21,19.1,19.1,21,"955,247"
2019-05-29,19.4,20.2,18.9,19.5,19.1,"329,639"
2019-05-28,19.9,20.4,18.4,18.6,19.7,"450,647"
2019-05-27,19,19.4,17.8,17.8,18.8,"1,083,310"
2019-05-26,17.7,17.9,17.2,17.4,17.7,"144,827"
2019-05-23,17.3,18.3,16.6,16.6,17.5,"762,773"
2019-05-22,16.6,17.1,16.4,17,16.6,"104,916"
2019-05-21,17.1,17.1,16.4,16.6,16.8,"42,260"
2019-05-20,16.8,18,16.6,17.8,16.8,"245,902"
2019-05-19,18.1,18.5,17.5,17.5,18,"224,966"
2019-05-16,16.9,17.3,16.7,17.1,16.9,"53,458"
2019-05-15,16.6,16.9,16.4,16.5,16.7,"114,508"
2019-05-14,16.4,16.4,16.1,16.4,16.3,"45,312"
2019-05-13,16.2,16.4,16.2,16.4,16.3,"25,116"
2019-05-12,16.4,16.9,16.3,16.9,16.4,"18,355"
2019-05-09,16.9,16.9,16.1,16.4,16.5,"35,868"
2019-05-08,16.1,16.7,16.1,16.7,16.2,"16,016"
2019-05-07,16.5,17,16.2,17,16.3,"75,643"
2019-05-06,16.8,17.3,16.5,17.1,16.5,"154,093"
2019-05-05,17.3,17.7,17,17.3,17.3,"210,020"
2019-05-02,16.9,16.9,15.7,15.8,16.7,"98,219"
2019-04-30,15.6,15.7,14.9,14.9,15.5,"129,174"
2019-04-29,14.9,14.9,14.2,14.3,14.7,"50,991"
2019-04-28,14.5,15.6,14.3,15.6,14.4,"216,674"
