DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,27.6,27.8,26.9,26.9,27.4,"340,062"
2019-06-27,27.1,27.6,26.6,27.2,26.9,"205,499"
2019-06-26,27.1,27.2,26.1,26.5,27,"322,769"
2019-06-25,26,26.8,26,26.6,26.1,"190,191"
2019-06-24,26.6,27,25.7,26,26.6,"288,208"
2019-06-23,25.8,26.3,25.7,26,25.8,"143,741"
2019-06-20,26.3,26.8,26,26.8,26.1,"101,169"
2019-06-19,26.6,27.8,26.3,27.3,26.8,"239,839"
2019-06-18,27.3,27.3,25.8,26.1,27.1,"356,697"
2019-06-17,26.4,26.4,25.7,26,26,"113,878"
2019-06-16,26,26.8,25.9,26.5,26.1,"164,639"
2019-06-13,26.5,27,26.3,26.6,26.4,"137,709"
2019-06-12,26.8,27.7,26.5,27.5,26.6,"224,983"
2019-06-11,27.4,27.5,26.5,26.5,27.3,"304,750"
2019-06-10,26.6,26.7,25.5,25.5,26.5,"217,680"
2019-06-09,25.7,26,25.7,26,25.9,"135,426"
2019-05-30,25.6,26.4,25,25.1,25.8,"284,476"
2019-05-29,25,25.3,24.5,24.8,24.9,"102,077"
2019-05-28,24.9,24.9,24,24.1,24.8,"98,910"
2019-05-27,24.2,24.9,24,24.8,24.1,"98,309"
2019-05-26,24.4,25.6,24.4,25.6,24.7,"63,355"
2019-05-23,25.4,25.6,25.2,25.5,25.3,"27,947"
2019-05-22,25.4,25.9,25.3,25.7,25.5,"44,483"
2019-05-21,25.6,25.9,25.2,25.7,25.4,"105,621"
2019-05-20,25.5,25.9,25.5,25.9,25.6,"75,323"
2019-05-19,25.7,26.2,25.7,25.7,25.9,"123,383"
2019-05-16,25.4,25.5,25.2,25.2,25.4,"52,732"
2019-05-15,25.1,25.5,25,25.5,25.1,"62,816"
2019-05-14,25.4,25.8,25.3,25.8,25.4,"82,854"
2019-05-13,25.9,26.2,25.5,25.9,25.6,"73,643"
2019-05-12,26.1,26.3,25.8,26,25.9,"119,328"
2019-05-09,25.7,26,25.5,25.7,25.7,"129,570"
2019-05-08,25.5,26.2,25.4,26.2,25.5,"121,857"
2019-05-07,26.1,26.8,26,26.4,26.2,"154,812"
2019-05-06,25.9,27.2,25.9,27.2,26.1,"433,080"
2019-05-05,27.4,27.7,26.2,26.4,27.2,"314,503"
2019-05-02,25.4,26.3,24,25,25.8,"671,727"
