DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,15.4,15.9,15.1,15.2,15.4,"14,693"
2019-06-27,15.2,15.2,15,15.1,15.1,"14,911"
2019-06-26,15,15.5,15,15.5,15.1,"33,391"
2019-06-25,15.8,15.8,15.3,15.4,15.4,"1,553"
2019-06-24,15.3,15.5,15.3,15.4,15.3,"6,063"
2019-06-23,15.9,15.9,15.3,15.4,15.6,"4,182"
2019-06-20,15.4,15.8,15.3,15.8,15.6,906
2019-06-19,15.9,16.2,15.2,15.2,15.7,"8,424"
2019-06-18,15.3,16.1,15.1,15.1,15.3,"9,016"
2019-06-17,15.3,15.7,15.1,15.6,15.2,"22,631"
2019-06-16,15.4,16,15.4,15.8,15.6,"20,800"
2019-06-13,15.6,16,15.6,16,15.7,"16,338"
2019-06-12,15.9,16,15.7,15.9,15.9,"17,090"
2019-06-11,15.9,16.2,15.6,15.6,15.9,"19,298"
2019-06-10,16,16,15.5,15.9,15.5,"14,952"
2019-06-09,15.9,15.9,15.5,15.9,15.7,"6,582"
2019-05-30,16.1,16.2,15.8,16.2,16,"15,320"
2019-05-29,16,16,15.8,15.8,16,"9,438"
2019-05-28,15.9,15.9,15.7,15.7,15.8,"7,864"
2019-05-27,15.8,15.8,15.6,15.6,15.7,"10,350"
2019-05-26,15.8,16.1,15.5,16.1,15.6,"11,670"
2019-05-23,15.9,16,15,16,15.4,"15,118"
2019-05-22,15.6,15.9,15.6,15.9,15.7,800
2019-05-21,15.5,15.8,15.5,15.8,15.6,"21,429"
2019-05-20,15.6,16.1,15.5,16,15.7,"4,940"
2019-05-19,15.6,16.1,15.6,16.1,15.6,"15,001"
2019-05-16,15.7,15.7,15.6,15.7,15.7,"1,500"
2019-05-15,15.5,16,15.5,15.8,15.6,"42,732"
2019-05-14,16,16,15.6,16,15.8,"31,281"
2019-05-13,16,17,15.9,17,16,"27,687"
2019-05-12,16.2,17.2,16,16.2,16.2,"8,559"
2019-05-09,16,16.4,15.8,16.4,16.1,"8,114"
2019-05-08,15.9,16.2,15.7,15.7,16.1,"12,458"
2019-05-07,15.8,16,15.5,15.7,15.7,"7,152"
2019-05-06,16.1,16.8,16,16.2,16.3,"7,967"
2019-05-05,15.9,16.2,15.7,15.7,16.1,"23,440"
2019-05-02,15.9,16.4,15.5,16.4,15.7,"18,583"
2019-04-30,15.4,15.7,15.4,15.7,15.5,"10,106"
2019-04-29,15.3,16,15.3,16,15.4,"6,263"
2019-04-28,15.6,15.7,15.4,15.5,15.6,"12,099"
2019-04-25,15.5,15.6,15.1,15.4,15.5,"21,506"
2019-04-24,15.4,15.6,15.3,15.6,15.4,"23,271"
2019-04-23,15.3,16,15.3,16,15.6,"8,222"
2019-04-21,15.4,15.6,15.3,15.3,15.5,"7,660"
2019-04-18,15.3,15.3,15,15.1,15.3,"12,133"
2019-04-17,15.1,15.3,15.1,15.2,15.2,"6,030"
2019-04-16,15.1,15.4,15.1,15.4,15.2,"3,995"
2019-04-15,15.5,15.7,15.4,15.5,15.6,"9,914"
2019-04-11,15,15.5,15,15,15.1,"31,122"
2019-04-10,14.9,15.1,14.9,15.1,15,"3,200"
2019-04-09,14.9,15.2,14.9,15.1,15,"14,450"
2019-04-08,15.1,15.3,14.8,15.1,15,"24,600"
2019-04-07,15.3,15.3,15.2,15.3,15.3,"12,750"
2019-04-04,15.2,15.7,15.2,15.4,15.3,"15,086"
2019-04-03,15.8,16,15.1,16,15.4,"18,250"
2019-04-02,15.9,15.9,15,15,15.8,"21,272"
2019-04-01,15.2,15.2,15.1,15.1,15.2,"13,234"
2019-03-31,15.2,15.2,14.8,15,14.9,"9,842"
2019-03-28,15,15,14.8,14.8,14.9,"13,495"
2019-03-27,14.8,15,14.7,14.8,14.8,"16,525"
2019-03-25,14.9,14.9,14.7,14.8,14.8,"4,414"
2019-03-24,14.1,14.6,14.1,14.6,14.4,"88,663"
2019-03-21,14.7,15,14.7,14.9,14.9,"20,296"
2019-03-20,14.5,15,14.5,14.5,14.5,"8,800"
2019-03-19,14.8,15.1,14.6,15,14.8,"18,777"
2019-03-18,14.7,15.1,14.5,15.1,14.5,"24,653"
2019-03-14,15.2,15.6,15,15,15.1,"11,458"
2019-03-13,15,15.6,15,15.6,15,"24,568"
2019-03-12,15.5,15.7,15.3,15.5,15.5,"16,130"
2019-03-11,15.4,15.5,15.4,15.5,15.5,"5,001"
2019-03-10,15.9,16,15.3,15.4,15.6,"7,286"
2019-03-07,15.3,15.9,15,15.1,15.3,"40,037"
2019-03-06,15.4,15.7,14.8,15.1,15.2,"52,857"
2019-03-05,14.5,16,14.5,16,15.1,"37,888"
2019-03-04,15.8,16.6,15.7,16.1,15.8,"70,564"
2019-03-03,16.1,16.6,16.1,16.2,16.3,"7,900"
2019-02-27,16.4,16.4,16,16,16.3,"29,794"
2019-02-26,16.4,17,15.8,16.7,16,"42,375"
2019-02-25,16.8,16.8,16.3,16.4,16.4,"9,364"
2019-02-24,16.4,17.4,16.1,16.6,16.3,"9,710"
2019-02-20,16.6,17.1,16.3,16.3,16.8,"9,113"
2019-02-19,16.9,16.9,16.2,16.2,16.9,"26,456"
2019-02-18,16.6,16.8,16.5,16.5,16.7,"18,652"
2019-02-17,16.3,16.9,15.7,15.7,16.5,"70,326"
2019-02-14,16.8,17,16.3,17,16.6,"74,487"
2019-02-13,17,17.4,16.3,17.3,16.4,"66,937"
2019-02-12,17,18,17,17.5,17.2,"32,828"
2019-02-11,17,17.7,17,17.2,17.3,"11,753"
2019-02-10,17,17.9,17,17.8,17.2,"22,821"
2019-02-07,17.7,18,16.5,16.5,17.9,"12,901"
