DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,91.4,91.4,90,90,91,"134,058"
2019-06-27,90.7,90.7,87.2,87.6,90.2,"213,289"
2019-06-26,88.5,89,86.1,86.1,87.7,"150,564"
2019-06-25,86.1,86.9,85.9,86.1,86.2,"37,515"
2019-06-24,86.5,87.4,86,86.2,86.5,"23,510"
2019-06-23,86.3,87,85.4,85.9,86.8,"123,423"
2019-06-20,87,87.1,85.7,86.3,85.9,"112,511"
2019-06-19,86.5,89,86.5,88.6,87.1,"95,064"
2019-06-18,88.4,89.1,88.1,88.7,88.7,"92,492"
2019-06-17,88.6,89.6,88.6,89.1,88.6,"40,741"
2019-06-16,89.2,90.1,89.1,90,89.4,"77,645"
2019-06-13,90.4,90.4,89,89.1,90.2,"48,595"
2019-06-12,90.6,90.6,89.7,90.2,90.5,"43,601"
2019-06-11,90,90.3,89.4,89.7,90.2,"66,434"
2019-06-10,89.4,90.3,89,89.1,89.7,"28,401"
2019-06-09,89.9,90.4,88.9,90.4,89.7,"20,739"
2019-05-30,89.1,89.3,87.9,87.9,89,"32,902"
2019-05-29,88.4,88.5,87.1,87.1,88.4,"22,180"
2019-05-28,87.5,87.8,86,87.8,87.3,"22,250"
2019-05-27,86.5,88,86.1,87.9,86.8,"41,288"
2019-05-26,86.5,89,86.2,86.8,86.5,"40,874"
2019-05-23,87,88.8,85.7,85.7,86.2,"41,442"
2019-05-22,86,87.7,85,85.4,85.3,"105,024"
2019-05-21,85.5,87.7,85.3,87.2,85.6,"35,532"
2019-05-20,87.5,89,86.7,88.3,87.2,"21,236"
2019-05-19,88.5,89,86.4,86.5,88.8,"39,701"
2019-05-16,86.7,86.7,84.8,85,86.4,"31,831"
2019-05-15,84.8,85.5,84.5,85.3,85,"69,371"
2019-05-14,85.7,87,85.5,85.7,85.6,"32,402"
2019-05-13,86,87.4,85.8,87.4,86,"59,090"
2019-05-12,87,87.7,86.9,87.7,87,"37,624"
2019-05-09,87.5,87.9,87,87.5,87.4,"34,553"
2019-05-08,88,88.4,87,88.1,87.4,"48,238"
2019-05-07,88.5,90,88,89.1,88.6,"97,813"
2019-05-06,89,90.6,88.9,90.6,89.1,"123,770"
2019-05-05,90.5,92.3,90,91.5,90.9,"152,502"
2019-05-02,91,91,89.5,89.7,90,"35,864"
2019-04-30,89.8,90.8,89.3,90,89.7,"50,883"
2019-04-29,91.3,91.5,90.9,91.5,91.1,"50,705"
2019-04-28,91.6,91.6,91.2,91.6,91.4,"21,593"
2019-04-25,91.6,92.3,91.5,91.8,91.7,"34,355"
2019-04-24,91.9,92.1,91.7,91.8,91.8,"22,611"
2019-04-23,91.9,93,91.8,91.9,91.9,"29,380"
2019-04-21,93,93.3,92,92,93,"16,207"
2019-04-18,92.6,92.8,91.6,92,92.3,"76,323"
2019-04-17,91.8,92.6,91.2,92.6,91.5,"64,262"
2019-04-16,92,94,92,92.7,92.5,"109,227"
