DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,202.5,210.7,202,210,202.9,"364,851"
2019-06-27,209,214,207.6,212.7,208.2,"392,374"
2019-06-26,213.7,215.5,206.2,207.1,212.7,"437,476"
2019-06-25,209.8,214.5,206,212,207.1,"346,961"
2019-06-24,212,218,208.6,216.5,210.9,"344,600"
2019-06-23,218,224.8,215,222.6,215.8,"280,025"
2019-06-20,223.9,231.7,221.3,228.5,222.4,"347,396"
2019-06-19,224.5,233,223.4,233,224.2,"287,409"
2019-06-18,227.2,236.7,227,233,228.4,"255,500"
2019-06-17,233,240,221.7,222.7,232.6,"627,433"
2019-06-16,220,223,219,220.5,220.8,"247,123"
2019-06-13,219.3,223.5,219,221,219.3,"235,520"
2019-06-12,221,224,219.1,221.1,220,"216,110"
2019-06-11,220.2,225.4,216,217,219.8,"357,555"
2019-06-10,216.1,221.9,215.5,219.8,216.4,"180,598"
2019-06-09,216.8,224,215.8,220,217,"125,811"
2019-05-30,217.8,223,216.1,217.9,218,"253,529"
2019-05-29,215.2,220.8,214.3,217.6,215.4,"196,027"
2019-05-28,216.8,219.9,214.1,215.1,215.9,"288,452"
2019-05-27,215,232,215,231,216.8,"293,815"
2019-05-26,230,237.5,229.5,236,230.9,"270,503"
2019-05-23,235.5,238.4,232,232,235.6,"353,360"
2019-05-22,231,234.9,229.6,233.8,230.8,"246,293"
2019-05-21,233,234.5,230.5,232.1,231.6,"197,355"
2019-05-20,234.5,237.5,232.1,236,234.3,"206,883"
2019-05-19,236.4,238,230,232.5,235.4,"250,225"
2019-05-16,230,235.9,229,234.3,230.5,"193,655"
2019-05-15,232.2,235.9,231.9,234,233.3,"238,703"
2019-05-14,233,237.3,231.4,237.3,232.1,"267,903"
2019-05-13,233,242,231.6,239.1,235.6,"259,780"
2019-05-12,237.5,239.9,228,236.5,235.5,"316,390"
2019-05-09,234.8,242,231.5,235,236.5,"378,152"
2019-05-08,232.6,261.8,231.4,255.1,234.2,"999,874"
2019-05-07,255,258,240.3,240.3,253.4,"486,975"
2019-05-06,240.8,242.5,231.1,238.6,239.1,"434,549"
2019-05-05,242,243,230.1,232,238.6,"508,134"
2019-05-02,227.4,227.4,204,205,227.4,"515,954"
2019-04-30,208.9,229.7,201.2,224.9,209.1,"634,991"
2019-04-29,216.7,224.3,212.5,221,216.9,"396,253"
2019-04-28,226,250,223.8,249.8,224.3,"572,055"
2019-04-25,247.1,247.1,217,220.5,245.2,"727,677"
2019-04-24,227.3,245,227.3,245,227.3,"678,645"
