DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,"1,034.7","1,050","1,030","1,050","1,031.4","12,430"
2019-06-27,"1,046","1,064.9","1,045.2","1,057.2","1,050","8,122"
2019-06-26,"1,052","1,069.3","1,043.1","1,051.9","1,054.8","10,335"
2019-06-25,"1,043","1,065","1,040","1,060","1,042.8","13,300"
2019-06-24,"1,056","1,076.4","1,055.2","1,070","1,057.2","7,527"
2019-06-23,"1,062","1,079","1,060","1,078.5","1,064.8","8,546"
2019-06-20,"1,073.1","1,091","1,073.1","1,090","1,075.9","15,045"
2019-06-19,"1,087","1,104.9","1,083.9","1,102","1,087.5","15,545"
2019-06-18,"1,097.1","1,124.9","1,091","1,112","1,094.9","14,055"
2019-06-17,"1,118","1,142.7","1,085","1,085","1,118.9","34,787"
2019-06-16,"1,075","1,104","1,069","1,100","1,075.5","17,510"
2019-06-13,"1,085","1,104","1,085","1,095","1,087.1","12,377"
2019-06-12,"1,093","1,119","1,090.3","1,112.9","1,094.3","14,187"
2019-06-11,"1,098.7","1,119","1,078.5","1,080","1,105.7","24,120"
2019-06-10,"1,072.2","1,087","1,070","1,087","1,074.5","8,451"
2019-06-09,"1,079.9","1,094","1,074.1","1,086","1,077.6","6,243"
2019-05-30,"1,082","1,094.7","1,080","1,092","1,081","9,778"
2019-05-29,"1,094","1,111","1,085","1,110","1,087.5","10,924"
2019-05-28,"1,104","1,115","1,083.4","1,091","1,098.2","8,817"
2019-05-27,"1,085.1","1,130.3","1,085","1,130.3","1,089.8","17,349"
2019-05-26,"1,132.5","1,157.7","1,131.7","1,148.8","1,135.3","6,876"
2019-05-23,"1,155","1,160","1,130.2","1,138.7","1,148.8","11,304"
2019-05-22,"1,146.4","1,158","1,130","1,147","1,134.7","7,069"
2019-05-21,"1,150","1,174","1,132.2","1,158","1,139.1","10,399"
2019-05-20,"1,164.9","1,184.1","1,160.2","1,170","1,162.7","7,203"
2019-05-19,"1,163","1,178.3","1,155","1,170","1,163.7","9,765"
2019-05-16,"1,163.5","1,188","1,155","1,168","1,164","8,248"
2019-05-15,"1,170","1,170.9","1,156","1,170","1,161.1","5,375"
2019-05-14,"1,160.3","1,185","1,140","1,166","1,158.3","7,551"
2019-05-13,"1,181.5","1,210","1,168","1,199","1,173.2","11,934"
2019-05-12,"1,184.7","1,210","1,175","1,203","1,181.2","13,688"
2019-05-09,"1,200","1,225","1,185","1,211","1,192.2","18,627"
2019-05-08,"1,203","1,255","1,200","1,245","1,205.5","21,150"
2019-05-07,"1,235.1","1,268.1","1,232.9","1,247.4","1,241.3","23,543"
2019-05-06,"1,235","1,277.3","1,201","1,270","1,232.4","28,193"
2019-05-05,"1,250.6","1,250.6","1,199","1,199","1,250.4","39,476"
2019-05-02,"1,177.1","1,177.1","1,118","1,118","1,177.1","19,627"
2019-04-30,"1,107","1,165","1,100","1,140","1,107.9","39,415"
2019-04-29,"1,140","1,220","1,139.7","1,162","1,143.7","45,294"
2019-04-28,"1,212.7","1,340","1,212.1","1,327","1,215.6","39,647"
2019-04-25,"1,295.2","1,295.2","1,186","1,230","1,292.9","37,150"
2019-04-24,"1,225","1,280","1,198.7","1,280","1,219.1","38,289"
2019-04-23,"1,298","1,407","1,272","1,371","1,278.6","50,986"
2019-04-21,"1,354.9","1,354.9","1,289","1,289","1,354.9","43,208"
2019-04-18,"1,279","1,279","1,145","1,194.1","1,275.2","45,948"
2019-04-17,"1,203.7","1,305","1,203.7","1,270","1,203.8","51,439"
2019-04-16,"1,281.7","1,370","1,281.6","1,370","1,283.9","40,278"
2019-04-15,"1,364","1,450","1,361","1,450","1,367","37,932"
2019-04-11,"1,433.1","1,476.5","1,432","1,440","1,443.5","27,102"
2019-04-10,"1,444","1,495","1,434","1,481","1,438.8","42,944"
2019-04-09,"1,475.3","1,550","1,470.1","1,515","1,477.9","27,270"
2019-04-08,"1,513","1,609","1,501.1","1,609","1,510.1","40,401"
2019-04-07,"1,597","1,679","1,582","1,645","1,590.2","17,444"
2019-04-04,"1,625","1,665","1,534","1,615","1,629.4","72,375"
2019-04-03,"1,616.5","1,696.9","1,605.2","1,684.2","1,611.8","49,811"
2019-04-02,"1,683","1,720","1,677.5","1,690","1,682.5","30,150"
2019-04-01,"1,691.6","1,735","1,690","1,712","1,695.1","23,898"
2019-03-31,"1,715.9","1,769","1,692.2","1,765","1,707.8","17,985"
2019-03-28,"1,756","1,840","1,755.1","1,820","1,765.1","17,395"
2019-03-27,"1,810","1,810","1,730","1,733.9","1,801.1","27,178"
2019-03-25,"1,711","1,747.6","1,710","1,710","1,713.9","16,095"
2019-03-24,"1,708","1,727.9","1,694","1,709.6","1,702.6","12,008"
2019-03-21,"1,699.9","1,720","1,675","1,706","1,690.5","14,703"
2019-03-20,"1,699","1,788.7","1,695","1,770.2","1,705.4","13,868"
2019-03-19,"1,760.1","1,810.9","1,760","1,775","1,765.2","18,356"
2019-03-18,"1,760","1,817.7","1,760","1,810","1,769.9","25,438"
2019-03-14,"1,790.1","1,790.1","1,689","1,689","1,790.1","32,478"
2019-03-13,"1,703.9","1,749","1,653","1,749","1,684.8","36,366"
2019-03-12,"1,761.9","1,880.2","1,761.9","1,880.2","1,761.9","39,336"
2019-03-11,"1,879.8","1,924","1,872","1,923","1,879.3","22,108"
2019-03-10,"1,894","1,938.9","1,890.1","1,908","1,896.1","23,550"
2019-03-07,"1,903","1,979.8","1,900","1,972","1,902.9","30,985"
2019-03-06,"1,965.4","2,044","1,965","2,010","1,972.2","27,264"
2019-03-05,"2,025","2,040","1,892","1,938","2,010.8","36,276"
2019-03-04,"1,920.2","2,025","1,917.1","2,015","1,924","55,317"
2019-03-03,"2,020","2,079","2,001.1","2,030","2,018","69,125"
2019-02-27,"2,039","2,045","1,866.3","1,930","2,001.1","71,923"
2019-02-26,"1,932","2,005","1,910","1,991","1,926.2","42,925"
2019-02-25,"1,998","2,101","1,991.5","2,101","2,003.1","67,184"
2019-02-24,"2,100","2,149","2,087.6","2,141","2,095.6","37,244"
2019-02-20,"2,140","2,191.5","2,095","2,148","2,128.6","77,903"
2019-02-19,"2,083.5","2,146","2,080","2,110","2,087.3","41,729"
2019-02-18,"2,129.8","2,200","2,122","2,150.1","2,134.9","49,011"
2019-02-17,"2,149","2,151.9","2,041","2,100","2,144.6","39,751"
2019-02-14,"2,099.9","2,150","2,042","2,115","2,063.5","34,136"
2019-02-13,"2,122.9","2,244","2,113.3","2,179.7","2,122.5","67,038"
2019-02-12,"2,197","2,197","2,060","2,130","2,179.7","84,645"
2019-02-11,"2,126","2,126","1,990","2,050","2,092.4","64,273"
2019-02-10,"2,065","2,223","2,017.6","2,210","2,024.8","79,948"
2019-02-07,"2,123.7","2,123.7","2,019","2,019","2,123.7","35,134"
2019-02-06,"2,003.7","2,005","1,925","1,949","1,998.8","37,424"
2019-02-05,"1,946","1,949","1,882","1,901","1,918","30,968"
2019-02-04,"1,892","1,906","1,793.9","1,800","1,901","45,345"
2019-02-03,"1,802","1,913.1","1,780","1,913.1","1,793.9","64,539"
2019-01-31,"1,800.6","1,800.6","1,800.6","1,800.6","1,800.6","6,061"
2019-01-30,"1,694.7","1,694.7","1,650","1,650","1,694.7","13,615"
2019-01-29,"1,595.1","1,595.1","1,515","1,515","1,595.1","30,634"
2019-01-28,"1,515","1,524.5","1,448","1,459.8","1,501.3","25,231"
2019-01-27,"1,425","1,464.9","1,419","1,438","1,436.8","17,309"
2019-01-24,"1,420","1,455","1,418","1,455","1,421.2","14,035"
2019-01-23,"1,438","1,479.9","1,415","1,479.9","1,440.1","22,790"
2019-01-22,"1,479.9","1,507.9","1,453","1,475.1","1,458.1","17,327"
2019-01-21,"1,477.9","1,505","1,451.1","1,495","1,474.8","29,189"
