DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,197.9,198.8,196.7,197.3,198.1,"44,194"
2019-06-27,196.6,198.9,196.6,198.9,197.3,"15,972"
2019-06-26,197.7,198.8,196.4,197.9,198.3,"51,324"
2019-06-25,197.8,198.8,197,198.7,197.7,"23,076"
2019-06-24,197.9,198.5,195.2,197.4,197.9,"37,907"
2019-06-23,195.9,195.9,193.3,194.6,195.5,"10,387"
2019-06-20,194,194.5,192.7,193.3,193.2,"16,089"
2019-06-19,193,197.7,192.6,196.5,193.3,"56,433"
2019-06-18,196.8,198,196,198,196.7,"9,088"
2019-06-17,196.8,198.4,196.5,196.6,197,"17,665"
2019-06-16,196,199.3,196,197.7,196.1,"45,473"
2019-06-13,197.1,199,194.5,199,195.5,"17,846"
2019-06-12,195,198.8,194.1,197.6,194.8,"149,366"
2019-06-11,199.2,201.5,197.6,200,198.4,"70,643"
2019-06-10,199.3,203.2,197.9,203,200.4,"165,109"
2019-06-09,202.6,207.7,202.5,205.5,203,"40,365"
2019-05-30,205.4,205.7,197.3,199.9,203.8,"232,865"
2019-05-29,199.6,199.6,195.3,195.3,199.1,"40,327"
2019-05-28,196,197.9,193.4,194.5,196.4,"87,624"
2019-05-27,192.8,194.8,192.7,194.8,192.9,"89,357"
2019-05-26,193,194.5,192,194.5,192.9,"37,010"
2019-05-23,193.2,194.8,192,192.5,193,"63,167"
2019-05-22,193.7,194.7,192.6,194.7,193.7,"37,318"
2019-05-21,193.9,195.1,192.6,195.1,192.9,"62,689"
2019-05-20,194.5,195.1,193.7,195,194.8,"14,417"
2019-05-19,194.9,194.9,192,194.4,194.9,"41,340"
2019-05-16,190.4,195.1,190.4,195,192.5,"16,768"
2019-05-15,194.5,194.9,193.1,194.9,194.3,"16,032"
2019-05-14,194.7,194.9,192.8,194,194.2,"28,402"
2019-05-13,194,194,190.5,190.8,193.9,"98,594"
2019-05-12,189.2,190.9,189,190.5,189.6,"19,433"
2019-05-09,190.3,190.4,188.8,189.2,189.4,"16,460"
2019-05-08,190.8,190.9,188.6,190.9,188.8,"26,695"
2019-05-07,191,191,188.3,190.9,189.1,"37,899"
2019-05-06,190.1,191,188.1,191,188.8,"126,660"
2019-05-05,189.2,191,189.2,190,190.1,"101,391"
2019-05-02,188.6,194,188,194,188.8,"68,264"
2019-04-30,191.5,191.5,188,191.5,190.1,"92,830"
2019-04-29,190.1,191.4,188.4,190,190.3,"50,458"
2019-04-28,189.2,191.7,188.4,190.1,190,"33,901"
2019-04-25,192,192.9,189.6,189.6,191.6,"33,729"
