DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,34.4,34.5,33.7,34,33.8,"45,314"
2019-06-27,34.5,34.8,33.5,33.5,33.9,"513,038"
2019-06-26,33.6,34.6,33.5,33.5,33.9,"817,718"
2019-06-25,34.1,34.2,33.5,34.2,34.1,"841,041"
2019-06-24,34.1,34.3,33.3,34.2,34,"581,948"
2019-06-23,34.2,34.4,33.3,33.3,34.2,"395,497"
2019-06-20,34.4,34.4,33.7,34,34.3,"361,907"
2019-06-19,34.1,34.6,33,33,34.2,"546,144"
2019-06-18,33.2,33.2,32.5,32.6,33.1,"564,475"
2019-06-17,32.4,32.8,32.2,32.8,32.5,"205,086"
2019-06-16,32.2,32.9,32.2,32.4,32.5,"348,694"
2019-06-13,32.7,33,32.3,32.4,32.5,"407,315"
2019-06-12,32.6,32.7,32.1,32.4,32.6,"161,389"
2019-06-11,32.4,32.4,32,32.2,32.3,"162,908"
2019-06-10,31.6,32.3,31,32,31.9,"331,686"
2019-05-30,35,35,34.5,34.5,34.9,"317,238"
2019-05-29,34.6,34.7,34.1,34.2,34.6,"200,136"
2019-05-28,34.2,34.2,33.9,34,34.1,"116,570"
2019-05-27,33.9,34,33.7,34,33.9,"87,270"
2019-05-26,33.6,34.7,33.3,33.3,33.8,"36,122"
2019-05-23,33.5,33.7,33.1,33.7,33.3,"34,822"
2019-05-22,33.1,33.9,33.1,33.9,33.2,"9,740"
2019-05-21,33.8,33.9,33.5,33.6,33.8,"45,524"
2019-05-20,33.8,34.1,33.2,33.2,33.8,"182,413"
2019-05-19,33,33.7,33,33.6,33.1,"28,753"
2019-05-16,33,33,32.2,32.2,33,"56,209"
2019-05-15,32.6,33,31.9,32.9,32.3,"118,679"
2019-05-14,32.1,33,32,33,32.6,"135,910"
2019-05-13,33,33.2,31.8,33.2,32.9,"128,806"
2019-05-12,33,33.3,32.1,33.3,32.3,"6,270"
2019-05-09,32.1,32.8,32.1,32.5,32.2,"39,961"
2019-05-08,32.9,34,32.9,33.8,32.9,"85,082"
2019-05-07,33,33.8,32.7,33.8,33.3,"116,012"
2019-05-06,33.7,33.9,33,33.9,33.6,"54,123"
2019-05-05,33,34.4,33,34,33.4,"170,014"
2019-05-02,34,34,32.7,33.7,33.8,"274,618"
2019-04-30,33.2,33.2,31.9,32.9,33,"41,920"
2019-04-29,33.7,33.7,33,33.6,33,"16,307"
2019-04-28,33.2,33.8,33,33.8,33.4,"30,735"
2019-04-25,33.4,33.9,33.1,33.9,33.4,"10,476"
2019-04-24,33.9,33.9,33,33.9,33.2,"7,185"
2019-04-23,33.2,34.3,33.2,33.9,33.9,"35,542"
2019-04-21,33.2,33.7,33.2,33.7,33.5,"2,253"
2019-04-18,33.2,33.8,33.1,33.8,33.3,"10,160"
2019-04-17,33.2,33.8,33.2,33.7,33.5,"16,367"
2019-04-16,33.5,33.8,33,33,33.5,"101,656"
2019-04-15,33.3,33.8,33,33.5,33.5,"245,788"
2019-04-11,33.1,33.8,32.8,32.8,33.2,"83,563"
2019-04-10,32.9,33.8,32.7,33.7,33.4,"125,306"
2019-04-09,32.7,33.9,32.3,33.8,32.8,"114,045"
2019-04-08,33,33,32.6,32.6,32.8,"135,934"
2019-04-07,33,33.4,32.2,32.4,32.8,"12,435"
2019-04-04,33,33,32.1,32.3,32.3,"21,800"
2019-04-03,33,34.1,33,34,33.2,"41,849"
2019-04-02,33.5,34,33.5,33.6,33.7,"75,713"
2019-04-01,33.5,33.9,33.3,33.9,33.6,"18,855"
2019-03-31,34,34,32,33.7,33.9,"59,863"
2019-03-28,33.9,34,33.8,34,33.8,"125,653"
2019-03-27,31.9,33.9,31.8,33,33.7,"308,846"
2019-03-25,32.8,32.8,31.5,31.5,32.8,"94,585"
2019-03-24,32,33.6,31.3,33.6,31.7,"239,133"
2019-03-21,32.7,34.4,32.7,34.4,33,"40,100"
2019-03-20,33.6,34.4,33.6,34.4,33.8,"22,648"
2019-03-19,34.3,34.6,33.4,34.6,34.2,"10,824"
2019-03-18,34.3,34.6,33.3,34.6,34.1,"88,897"
2019-03-14,34.7,34.9,33.6,34.3,34.8,"208,381"
2019-03-13,34.4,34.9,33.9,34.1,34.1,"794,698"
2019-03-12,33.3,34.5,33.1,33.8,34.2,"441,594"
2019-03-11,33.2,34.3,33.2,34.3,33.5,"134,800"
2019-03-10,33.7,34.5,33.7,34.5,33.7,"2,150"
2019-03-07,34.7,34.8,33.5,34,34.4,"327,518"
2019-03-06,34,34.3,33.3,33.8,34,"24,257"
2019-03-05,33.8,34,32.5,32.5,33.5,"24,507"
2019-03-04,33.2,33.9,32.7,33.9,32.7,"129,070"
2019-03-03,33.1,33.8,32.2,33.8,32.9,"15,366"
2019-02-27,34.1,34.1,32.1,34,32.6,"88,228"
2019-02-26,34,35,33.5,35,33.8,"21,858"
2019-02-25,34.1,35.3,34,35.3,34.9,"70,870"
2019-02-24,34.2,34.9,33.8,34.9,34.1,"54,460"
