DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,215.9,223.2,212.2,219.7,213.7,"192,937"
2019-06-27,219.1,230,219,228.1,219.7,"115,838"
2019-06-26,227.1,233.9,224,231.4,225.6,"129,748"
2019-06-25,232.2,235,231.1,232.7,231.4,"128,182"
2019-06-24,233.2,236,230,234.1,234.5,"115,430"
2019-06-23,232,241,231.9,237.7,233.2,"294,570"
2019-06-20,236.3,248,236,240,237.7,"195,647"
2019-06-19,234,244.9,232,236,237.8,"262,521"
2019-06-18,233,245.9,226.1,235,234.8,"372,208"
2019-06-17,233,248,232,237,233.6,"261,497"
2019-06-16,233.4,243,233.4,242.8,234.8,"230,721"
2019-06-13,242.7,254.9,239,253.9,242.7,"204,663"
2019-06-12,252,253.6,236.6,240,250.8,"434,281"
2019-06-11,234,245.6,234,242,236.6,"345,424"
2019-06-10,241.8,248.5,237,237,244.4,"503,559"
2019-06-09,240,240.9,225,225,240.6,"788,355"
2019-05-30,221.6,221.6,204,204.1,221.6,"711,196"
2019-05-29,205,212,202.2,209.6,203.8,"162,898"
2019-05-28,212,222.8,209,219,211.1,"411,172"
2019-05-27,217.5,218,202,202,218,"570,566"
2019-05-26,200.5,200.5,182.2,183.8,200.5,"399,857"
2019-05-23,182.1,182.9,180,180,182.3,"21,924"
2019-05-22,180,180,177.1,178.3,179.5,"7,938"
2019-05-21,176.5,178,173.5,173.5,174.6,"7,244"
2019-05-20,176.1,179.9,176,179.9,176.2,"7,596"
2019-05-19,178,178,173.9,174,175.6,"7,830"
2019-05-16,176.1,179.3,175.6,177.2,176.9,"9,801"
2019-05-15,177,180,174.5,180,177.5,"62,164"
2019-05-14,175,179.8,175,178,175.1,"5,173"
2019-05-13,176.6,181,176.6,178.2,178,"1,299"
2019-05-12,178.5,182.5,178.4,178.9,178.7,"5,173"
2019-05-09,181.9,182.9,178,181,178.9,"8,835"
2019-05-08,179.1,184.8,179.1,180.1,179.3,"22,007"
2019-05-07,180.2,186.9,180,186.9,182.8,"22,230"
2019-05-06,186,187.7,173.3,184,186.1,"40,482"
2019-05-05,183,187,179,179,182.6,"42,445"
2019-05-02,175.6,189,175.2,184,178.1,"87,458"
2019-04-30,183.5,184.7,170,170,178.5,"67,111"
2019-04-29,169.4,176.5,166.5,176.5,168.8,"85,296"
2019-04-28,176.2,189.5,175.5,188,176.1,"107,624"
2019-04-25,191.9,199,187.1,193,189,"142,360"
2019-04-24,194.4,194.4,181,184,192.9,"183,717"
2019-04-23,185.9,185.9,168.2,170.1,181.9,"83,843"
2019-04-21,170.5,172.5,165.2,166,169.1,"22,506"
2019-04-18,169.1,169.4,167.4,168.4,168.4,"4,806"
2019-04-17,168.9,169.3,167.6,167.6,168.6,"2,180"
2019-04-16,167.4,168.1,167,168.1,167.5,"1,852"
2019-04-15,168,170.2,168,170.2,168.1,"2,620"
2019-04-11,169,170,162.8,163,168.7,"2,579"
2019-04-10,165.6,168,164.1,164.1,165.8,"7,401"
2019-04-09,160,169.9,159.6,167,164.8,"22,206"
2019-04-08,166.5,168.9,166.5,167.1,166.8,"23,946"
2019-04-07,168.4,172,168.2,172,169.4,"7,005"
2019-04-04,170.1,171,166.1,170.8,170.2,"5,665"
2019-04-03,170.1,172.1,170,172.1,170,"14,167"
2019-04-02,172.1,173.6,171.8,171.8,171.9,"4,280"
2019-04-01,172.5,175,170.9,174.5,172.2,"15,086"
2019-03-31,174.4,174.6,166.5,166.5,173.7,"21,589"
2019-03-28,168,169,166.3,168.9,168.5,"5,184"
2019-03-27,168,171,166.7,166.7,168.4,"26,066"
2019-03-25,170,171.9,165.6,165.6,168.1,"23,144"
2019-03-24,167,170,165.1,168.2,165.5,"20,082"
2019-03-21,168.6,169,167.8,169,168.2,"9,353"
2019-03-20,168.5,170.3,168.5,170.3,169.1,"8,055"
2019-03-19,171.8,173,170,170,170,"11,002"
2019-03-18,170.2,176.2,168,176.2,173.6,"16,941"
2019-03-14,178.3,180,178,178,178.6,"11,480"
2019-03-13,178.3,182.7,178.1,182,178.5,"11,281"
2019-03-12,178.3,180,178.1,179.5,178.3,"27,732"
2019-03-11,179.1,181.1,178.7,181.1,179.3,"12,649"
2019-03-10,180.3,182.5,179.9,180.2,180.3,"12,461"
2019-03-07,180,184,178.3,178.4,179.8,"3,240"
2019-03-06,178.5,179.1,178.2,178.6,178.4,"22,650"
2019-03-05,178.4,180,178.4,178.8,178.5,"21,425"
2019-03-04,178.6,180.8,178.6,179.2,178.6,"15,144"
2019-03-03,178.8,183.8,178.8,180.1,179,"12,408"
2019-02-27,179.7,181.7,179.4,181.1,180.1,"42,746"
2019-02-26,181,184.6,180.8,184.6,181,"37,754"
2019-02-25,182.5,185.9,182,185.9,182.4,"15,434"
