DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,44.6,46,44.6,46,44.7,"164,522"
2019-06-27,45.9,46.2,44.8,46.2,45.9,"12,172"
2019-06-26,45.9,46,44.9,46,45.2,"25,800"
2019-06-25,46.5,46.8,44.3,45.2,46.1,"115,911"
2019-06-24,44.2,45.5,44,44.7,44.6,"95,643"
2019-06-23,44.1,44.9,44,44.5,44.4,"135,627"
2019-06-20,44.4,45,44,45,44.5,"80,633"
2019-06-19,45,45.7,44.8,45.5,44.9,"54,350"
2019-06-18,45.8,46,45.1,46,45.8,"7,130"
2019-06-17,44.8,46,44.8,46,44.9,"45,814"
2019-06-16,46.1,47.1,46.1,46.1,46.2,"32,476"
2019-06-13,46.5,47,45.8,45.8,46.1,"24,100"
2019-06-12,46,47.2,46,47,46.3,"24,618"
2019-06-11,47,48.3,46.5,46.7,47,"76,655"
2019-06-10,46.9,46.9,45.9,46.4,46.6,"46,456"
2019-06-09,46.3,46.9,45,45,46,"22,475"
2019-05-30,45.1,45.3,44.5,44.6,45.2,"25,589"
2019-05-29,44.6,44.7,44.3,44.6,44.5,"20,183"
2019-05-28,44.5,44.9,44,44.9,44.6,"7,828"
2019-05-27,43.9,44.2,43.6,43.8,43.9,"18,010"
2019-05-26,43.9,44.7,43.8,44.5,43.9,"44,167"
2019-05-23,44.6,44.9,44.6,44.8,44.7,"14,884"
2019-05-22,44.9,44.9,44.5,44.8,44.8,"16,846"
2019-05-21,45,45,44.4,44.5,44.7,"15,070"
2019-05-20,45.3,45.9,44.8,45.9,45.1,"22,128"
2019-05-19,46,46,44.7,44.7,45.9,"55,090"
2019-05-16,44.5,44.8,43.9,43.9,44.7,"77,060"
2019-05-15,45,45.4,43.1,43.7,43.9,"100,532"
2019-05-14,43.9,46.1,43.7,46.1,44,"282,879"
2019-05-13,45.8,48.4,45.8,47.2,46,"64,944"
2019-05-12,46.9,49.5,46.8,48.8,47,"129,137"
2019-05-09,48.5,49.7,48.3,48.9,48.7,"63,000"
2019-05-08,49.5,51,48.9,49.5,49.4,"94,161"
2019-05-07,48.9,50.5,48.9,50.5,48.9,"121,296"
2019-05-06,49.8,51.2,49,51.2,49.1,"27,637"
2019-05-05,49.9,52.6,49.6,51.8,49.9,"86,617"
2019-05-02,51,51.9,49,49,50.8,"296,031"
2019-04-30,48.5,49.4,46,48.1,48.6,"317,006"
2019-04-29,49.5,50.8,48.2,48.2,49.3,"153,498"
2019-04-28,50.3,50.7,48.7,49.2,50.2,"202,241"
2019-04-25,49.2,49.7,47,47.6,49.2,"66,228"
2019-04-24,47.4,47.9,46.6,47,47.2,"9,413"
2019-04-23,46.5,47.6,46.3,47,46.8,"125,702"
2019-04-21,47.7,48.5,46.6,48.5,47.3,"105,844"
2019-04-18,48.3,48.9,44.9,46,48.2,"47,621"
2019-04-17,45.1,46.4,44.6,46.4,45.2,"55,300"
2019-04-16,45.4,46,45,45.8,45.4,"67,881"
