DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,14.3,14.8,14.3,14.5,14.3,"232,938"
2019-06-27,14.4,14.6,14.3,14.3,14.5,"142,762"
2019-06-26,14.5,14.8,14.4,14.4,14.6,"355,976"
2019-06-25,14.7,14.7,14.3,14.3,14.6,"363,745"
2019-06-24,14.2,14.5,14.1,14.2,14.4,"265,367"
2019-06-23,14.1,14.5,14.1,14.2,14.2,"253,245"
2019-06-20,14.1,14.8,14.1,14.5,14.2,"1,100,991"
2019-06-19,14.3,14.6,14.1,14.2,14.6,"596,817"
2019-06-18,14.2,14.4,14.1,14.2,14.2,"189,968"
2019-06-17,14.1,14.2,14,14.1,14.1,"309,180"
2019-06-16,14.3,14.5,14.1,14.5,14.2,"477,671"
2019-06-13,14.6,14.6,14.3,14.5,14.5,"343,979"
2019-06-12,14.5,14.8,14.4,14.6,14.5,"461,709"
2019-06-11,14.7,14.7,14.5,14.7,14.6,"368,110"
2019-06-10,14.5,14.9,14.5,14.7,14.5,"368,226"
2019-06-09,14.5,15.2,14.4,15,14.6,"592,705"
2019-05-29,15.8,15.9,15.6,15.7,15.8,"492,907"
2019-05-28,15.7,15.8,15.5,15.8,15.7,"272,471"
2019-05-27,15.7,15.8,15.3,15.6,15.7,"667,881"
2019-05-26,15.3,15.7,15.2,15.2,15.5,"977,842"
2019-05-23,15.3,15.3,15,15,15.3,"365,568"
2019-05-22,15.1,15.2,15,15.2,15.1,"92,356"
2019-05-21,15.2,15.3,14.9,15.3,15.2,"575,942"
2019-05-20,15.1,15.5,15,15.5,15.1,"136,732"
2019-05-19,15.4,15.5,15.1,15.3,15.3,"888,754"
2019-05-16,14.9,15.1,14.7,14.9,15,"1,184,086"
2019-05-15,14.9,15,14.7,14.8,14.9,"72,748"
2019-05-14,15,15.2,14.8,15.2,14.8,"71,018"
2019-05-13,14.7,15.1,14.7,15.1,14.9,"238,139"
2019-05-12,15.2,15.4,15,15.4,15,"118,503"
2019-05-09,15.1,15.3,15,15.1,15.2,"152,392"
2019-05-08,15,15.5,15,15.5,15.1,"402,527"
2019-05-07,15.1,15.5,15,15.5,15.4,"456,199"
2019-05-06,14.9,15.9,14.9,15.5,15,"788,787"
2019-05-05,15.5,15.6,15,15.2,15.5,"376,256"
2019-05-02,15,15.5,14.2,15,15,"430,781"
2019-04-30,15.3,15.7,15.2,15.3,15.5,"356,623"
2019-04-29,15.3,15.7,15.3,15.7,15.3,"124,255"
2019-04-28,15.5,15.7,15.4,15.4,15.6,"83,681"
