DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,7,7.1,7,7.1,7.1,"1,322"
2019-06-27,7,7,7,7,7,"2,000"
2019-06-26,7,7.1,7,7.1,7,"13,900"
2019-06-25,7,7.1,7,7.1,7.1,"5,737"
2019-06-24,7.4,7.4,7,7,7.4,"95,710"
2019-06-23,7,7,7,7,7,110
2019-06-20,7,7,6.8,6.8,6.9,"6,290"
2019-06-18,6.7,6.7,6.7,6.7,6.7,60
2019-06-17,6.7,6.9,6.7,6.9,6.7,540
2019-06-16,6.7,6.9,6.7,6.9,6.8,"25,577"
2019-06-13,6.8,6.9,6.8,6.9,6.8,"28,498"
2019-06-12,6.9,6.9,6.7,6.7,6.9,"14,825"
2019-06-11,7,7,6.8,6.8,6.9,"14,364"
2019-06-10,6.8,7.1,6.8,7.1,6.8,"3,690"
2019-06-09,7.1,7.1,7.1,7.1,7.1,400
2019-05-30,7,7,7,7,7,130
2019-05-29,7,7,7,7,7,"1,000"
2019-05-28,7,7,7,7,7,"1,000"
2019-05-27,6.9,6.9,6.9,6.9,6.9,"2,000"
2019-05-26,7.1,7.1,7.1,7.1,7.1,500
2019-05-22,6.9,6.9,6.9,6.9,6.9,"3,400"
2019-05-21,6.9,6.9,6.9,6.9,6.9,800
2019-05-20,6.9,6.9,6.8,6.8,6.9,"4,998"
2019-05-19,6.9,6.9,6.7,6.9,6.9,"27,830"
2019-05-16,6.9,6.9,6.7,6.7,6.8,"12,500"
2019-05-15,6.7,6.7,6.7,6.7,6.7,"4,756"
2019-05-14,6.8,6.8,6.7,6.7,6.7,21
2019-05-12,6.5,6.5,6.5,6.5,6.5,1
2019-05-07,6.7,6.9,6.7,6.9,6.7,"2,650"
2019-05-06,6.8,7.1,6.8,7.1,6.8,"3,343"
2019-05-05,6.9,6.9,6.9,6.9,6.9,50
2019-05-02,6.8,6.8,6.8,6.8,6.8,167
2019-04-30,6.6,6.9,6.6,6.9,6.6,"5,685"
2019-04-29,6.8,6.9,6.6,6.9,6.7,"4,005"
2019-04-28,6.9,6.9,6.9,6.9,6.9,5
2019-04-25,6.9,6.9,6.8,6.8,6.8,"1,300"
2019-04-24,6.7,6.7,6.7,6.7,6.7,1
2019-04-23,6.7,6.7,6.7,6.7,6.7,"1,000"
2019-04-21,6.8,6.8,6.8,6.8,6.8,"15,700"
2019-04-18,6.9,7,6.9,7,6.9,"12,001"
2019-04-17,6.9,7,6.8,7,6.9,"1,656"
2019-04-16,6.6,6.7,6.6,6.7,6.6,"7,000"
2019-04-11,6.9,6.9,6.9,6.9,6.9,"2,193"
2019-04-10,6.7,6.9,6.7,6.8,6.7,"1,005"
2019-04-09,7,7,7,7,7,6
2019-04-08,6.8,6.8,6.8,6.8,6.8,"5,000"
2019-04-07,6.9,7.1,6.9,7.1,7,"25,400"
2019-04-04,7.1,7.1,6.9,7,7,"3,834"
2019-04-02,7,7.1,7,7.1,7,"14,000"
2019-04-01,7.1,7.1,7,7,7.1,"20,000"
2019-03-31,7,7.1,7,7.1,7,"6,385"
2019-03-28,7,7,7,7,7,"7,616"
2019-03-27,7,7,7,7,7,"12,500"
2019-03-25,6.8,7.1,6.8,7.1,6.9,"3,753"
2019-03-24,7.1,7.1,7.1,7.1,7.1,14
2019-03-21,7,7.1,7,7.1,7.1,518
2019-03-20,7.1,7.1,7.1,7.1,7.1,"7,120"
2019-03-19,7.1,7.2,7,7.1,7.1,"60,549"
2019-03-18,7.1,7.1,7,7.1,7.1,"25,999"
2019-03-14,7.1,7.1,7,7,7,"52,782"
2019-03-13,6.9,6.9,6.9,6.9,6.9,"152,536"
2019-03-12,6.9,6.9,6.8,6.8,6.8,"35,189"
2019-03-11,7,7,6.7,6.8,6.9,"144,012"
2019-03-10,7,7,6.8,6.8,7,"207,577"
2019-03-06,7.4,7.6,7.4,7.5,7.5,"162,414"
2019-03-05,7.4,7.5,7.4,7.5,7.4,"62,781"
2019-03-04,7.5,7.5,7.4,7.5,7.5,"57,212"
2019-03-03,7.5,7.5,7.5,7.5,7.5,"17,191"
2019-02-27,7.4,7.5,7.4,7.5,7.4,"21,442"
2019-02-26,7.4,7.5,7.4,7.5,7.5,"19,701"
2019-02-25,7.4,7.5,7.4,7.5,7.5,"49,672"
2019-02-24,7.4,7.4,7.4,7.4,7.4,"6,913"
2019-02-20,7.3,7.5,7.3,7.5,7.4,"25,800"
2019-02-19,7.4,7.5,7.4,7.4,7.4,"36,720"
2019-02-18,7.5,7.6,7.4,7.6,7.4,"70,950"
2019-02-17,7.7,7.7,7.4,7.5,7.6,"164,794"
2019-02-14,7.5,7.8,7.5,7.8,7.6,"180,025"
2019-02-13,7.8,7.9,7.7,7.8,7.8,"110,916"
2019-02-12,7.8,7.8,7.6,7.6,7.7,"43,957"
2019-02-11,7.6,7.6,7.3,7.4,7.5,"24,465"
2019-02-10,7.5,7.5,7.4,7.5,7.4,"63,395"
2019-02-07,7.4,7.5,7.4,7.5,7.5,"21,205"
2019-02-06,7.4,7.7,7.4,7.7,7.4,"75,380"
2019-02-05,7.4,7.6,7.4,7.6,7.5,"88,927"
2019-02-04,7.6,7.7,7.6,7.6,7.6,"33,515"
2019-02-03,7.7,7.7,7.7,7.7,7.7,"1,690"
2019-01-31,7.8,7.8,7.6,7.8,7.7,"30,484"
2019-01-30,7.7,7.8,7.7,7.8,7.7,"26,515"
2019-01-29,7.8,7.8,7.7,7.8,7.8,"40,515"
2019-01-28,7.7,7.8,7.7,7.7,7.7,"22,100"
2019-01-27,7.9,7.9,7.8,7.8,7.8,"48,050"
2019-01-24,7.8,7.9,7.8,7.9,7.9,"146,850"
2019-01-23,8,8,7.8,7.9,7.9,"79,511"
2019-01-22,7.8,7.9,7.7,7.7,7.8,"40,600"
2019-01-21,8.1,8.1,7.9,8.1,7.9,"118,560"
2019-01-20,8.2,8.2,7.6,7.6,8.1,"95,680"
2019-01-17,7.5,7.6,7.5,7.6,7.6,"156,771"
2019-01-16,7.7,7.7,7.6,7.6,7.6,"85,208"
2019-01-15,7.5,7.7,7.4,7.4,7.6,"56,610"
2019-01-14,7.6,7.6,7.4,7.5,7.5,"90,177"
2019-01-13,7.5,7.5,7.4,7.4,7.4,"52,484"
2019-01-10,7.5,7.6,7.4,7.5,7.4,"62,831"
2019-01-09,7.6,7.7,7.4,7.6,7.5,"172,033"
2019-01-08,7.8,7.8,7.2,7.2,7.4,"529,501"
2019-01-07,7.2,7.3,7.2,7.3,7.2,"263,331"
2019-01-06,7.2,7.4,7.1,7.1,7.3,"423,497"
2019-01-03,7.1,7.2,7,7,7.1,"328,718"
