DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,42.7,43.3,42.5,42.5,42.6,"503,479"
2019-06-27,42.6,43.4,42.3,42.7,42.6,"369,205"
2019-06-26,42.9,43,41.5,41.8,42.7,"576,004"
2019-06-25,41.5,41.9,41,41,41.4,"213,309"
2019-06-24,41.5,41.5,40.7,40.9,41.2,"184,259"
2019-06-23,41.2,41.6,39.2,39.2,40.8,"159,979"
2019-06-20,42,42.3,41.2,41.2,41.5,"173,084"
2019-06-19,42,42.4,40.4,42.2,41.2,"815,059"
2019-06-18,42.2,42.4,39,39,42,"258,396"
2019-06-17,41.7,43,41.4,43,41.5,"413,933"
2019-06-16,42.2,45.3,42.1,43.8,43,"1,117,602"
2019-06-13,43.7,44.5,43.6,44.2,43.7,"572,868"
2019-06-12,43.9,44.2,42.7,43.4,43.9,"780,523"
2019-06-11,43,43.9,42.8,43.3,43.2,"702,522"
2019-06-10,43,44.7,43,44.7,43.2,"370,269"
2019-06-09,44.2,44.6,42,42,44.3,"898,484"
2019-05-30,41.4,42.5,41.1,41.6,41.7,"407,080"
2019-05-29,41.5,42.9,41.1,42.5,41.2,"371,745"
2019-05-28,42.7,42.9,41.3,41.8,42.4,"488,738"
2019-05-27,42,42.5,40,40,41.6,"638,809"
2019-05-26,40.2,40.7,39.6,40,40,"155,253"
2019-05-23,39.6,41,38.9,39,39.6,"335,479"
2019-05-22,38.9,40,38.7,39.3,39,"186,617"
2019-05-21,38.4,39.5,38.2,39.3,38.6,"210,227"
2019-05-20,39.8,40.8,39.1,40.8,39.7,"289,868"
2019-05-19,40.9,41.8,40,40,40.7,"489,775"
2019-05-16,39.6,40,37.4,37.4,39.2,"438,104"
2019-05-15,36.8,37.5,36.8,37.5,36.9,"84,311"
2019-05-14,37.3,37.4,36.6,37,37.1,"82,948"
2019-05-13,36.7,37.8,36.7,37.8,36.8,"31,426"
2019-05-12,36.9,37.8,36.9,37.6,37.1,"203,589"
2019-05-09,36.8,37.7,36.6,37.7,36.8,"52,922"
2019-05-08,37,37.3,36.5,37.3,36.9,"37,294"
2019-05-07,37,39,36.5,37.9,37.1,"55,373"
2019-05-06,37.9,39.4,37.7,38.7,37.9,"215,818"
2019-05-05,39,39.8,37.6,37.6,38.7,"183,959"
2019-05-02,37.3,37.8,35.8,35.8,37.3,"202,758"
2019-04-30,35.7,36,35.5,36,35.8,"119,525"
2019-04-29,35.4,35.6,35.3,35.6,35.4,"37,551"
2019-04-28,35.5,36.1,35.4,36,35.5,"141,647"
2019-04-25,35.5,36,35,36,35.5,"79,014"
