DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,26.5,27.3,25.9,27.2,26.3,"403,328"
2019-06-27,27.3,28.9,27.3,28.1,27.6,"384,333"
2019-06-26,28,28.3,27.5,27.6,28.1,"348,941"
2019-06-25,27.4,29,27.4,28.9,27.6,"261,335"
2019-06-24,28.5,29.5,28.5,29,28.7,"357,968"
2019-06-23,28.8,28.8,27.3,28.6,28.7,"377,267"
2019-06-20,28,29.8,27.7,29.5,28.1,"261,240"
2019-06-19,28.8,31.4,28.7,31.1,29.2,"651,781"
2019-06-18,30.6,32.3,30.1,30.9,30.6,"725,723"
2019-06-17,30.8,30.8,29.1,29.5,30.4,"982,529"
2019-06-16,29.3,30.9,29.2,30,29.4,"469,943"
2019-06-13,29.9,29.9,27.8,27.8,29.5,"945,735"
2019-06-12,27.4,28,25.8,26.4,27.6,"934,244"
2019-06-11,26.1,26.5,25.9,26.3,26.2,"378,570"
2019-06-10,26.2,26.3,24.9,25.6,26,"285,348"
2019-06-09,25.7,26.8,25.3,26.8,25.6,"294,936"
2019-05-30,26.7,27,25.6,25.6,26.5,"632,475"
2019-05-29,26.2,26.2,24.6,24.6,25.4,"553,850"
2019-05-28,24.5,25.1,24.5,25,24.7,"249,082"
2019-05-27,24.5,25.6,24.4,25.2,24.8,"564,275"
2019-05-26,24.5,25.5,24.5,24.5,24.8,"463,229"
2019-05-23,24.7,24.7,23.9,24,24.4,"231,208"
2019-05-22,23.7,24.4,23.5,23.7,23.8,"247,017"
2019-05-21,23.5,23.5,23.2,23.4,23.4,"70,240"
2019-05-20,23,24.1,23,23.8,23.1,"41,120"
2019-05-19,23.5,24,23.2,23.5,23.7,"132,240"
2019-05-16,22.8,23.1,22.5,23,22.8,"97,590"
2019-05-15,23,23,22.4,23,22.7,"106,711"
2019-05-14,22.9,23.3,22.1,22.9,22.6,"28,660"
2019-05-13,22.9,23.4,22.9,23.4,23.2,"67,078"
2019-05-12,22.9,24.4,22.9,23.6,23.1,"93,067"
2019-05-09,23.1,23.7,23.1,23.3,23.3,"39,424"
2019-05-08,23.5,23.9,23.4,23.9,23.5,"28,056"
2019-05-07,24,24.2,23.5,24,23.9,"76,857"
2019-05-06,24.7,24.7,23.4,23.7,24.4,"212,195"
2019-05-05,23.4,23.4,22.2,22.6,23.3,"94,855"
2019-05-02,22,22,21.7,22,21.8,"41,511"
2019-04-30,21.3,22.2,21.1,22.2,21.3,"118,101"
2019-04-29,21.5,22.3,21.5,22.1,21.5,"52,831"
2019-04-28,22.2,22.3,21.5,22.3,21.8,"92,190"
