DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,13.2,13.2,13.2,13.2,13.2,"11,930"
2019-06-27,13.1,13.2,13,13.1,13.1,"19,900"
2019-06-26,13.2,13.3,13,13,13.1,"120,500"
2019-06-25,13.2,13.2,12.8,12.8,13,"38,547"
2019-06-24,12.8,12.8,12.5,12.5,12.7,"92,913"
2019-06-23,12.6,12.8,12.5,12.5,12.5,"5,795"
2019-06-19,12.6,12.6,12.6,12.6,12.6,"25,000"
2019-06-18,12.5,12.5,12.5,12.5,12.5,"3,000"
2019-06-17,12.5,12.5,12.3,12.3,12.4,995
2019-06-16,12.2,12.4,12.2,12.4,12.3,"10,760"
2019-06-13,12.6,12.6,12.3,12.3,12.3,"12,305"
2019-06-12,12.4,12.4,12.4,12.4,12.4,"10,000"
2019-06-11,12.5,12.5,12.5,12.5,12.5,"9,195"
2019-06-10,12.3,12.9,12.3,12.9,12.3,"10,158"
2019-06-09,12,12,11.9,11.9,12,700
2019-05-30,12.6,12.6,12.6,12.6,12.6,"4,790"
2019-05-29,12.7,12.7,12.7,12.7,12.7,"7,210"
2019-05-28,12.9,12.9,12.9,12.9,12.9,"2,500"
2019-05-22,12.8,12.9,12.8,12.9,12.9,"2,270"
2019-05-21,12.8,12.8,12.8,12.8,12.8,200
2019-05-19,12.7,12.8,12.7,12.7,12.8,"2,600"
2019-05-16,12.5,12.5,12.5,12.5,12.5,610
2019-05-14,12.1,14,12.1,14,12.3,"2,408"
2019-05-12,12.9,12.9,12.9,12.9,12.9,"1,000"
2019-05-09,12.4,12.7,12.4,12.7,12.6,"12,000"
2019-05-07,12.8,12.8,12.8,12.8,12.8,"1,000"
2019-05-06,13,13,13,13,13,"3,000"
2019-05-05,12.9,13,12.6,13,12.9,"5,500"
2019-05-02,13,13,13,13,13,1
2019-04-30,12.4,12.9,12.3,12.5,12.5,"17,246"
2019-04-29,12.9,12.9,12.8,12.8,12.9,"2,000"
2019-04-28,12.9,12.9,12.9,12.9,12.9,"2,000"
2019-04-11,12.8,12.8,12.8,12.8,12.8,"11,100"
2019-04-10,12.7,12.8,12.7,12.8,12.7,"4,100"
2019-04-09,12.8,12.8,12.8,12.8,12.8,600
2019-04-08,12.8,13.1,12.7,13.1,12.8,"4,640"
2019-04-07,13,13.1,13,13.1,13.1,"1,000"
2019-04-04,13.2,13.2,13.1,13.1,13.1,"2,200"
2019-04-03,13.1,13.1,13.1,13.1,13.1,"185,800"
2019-04-02,12.9,13,12.9,13,12.9,"1,900"
2019-04-01,13,13.3,13,13.3,13.1,840
2019-03-28,12.8,13,12.8,13,12.9,"10,000"
2019-03-27,13,13.6,13,13.5,13.5,"3,306"
2019-03-24,13.6,13.6,13.2,13.5,13.5,"3,570"
2019-03-19,13.6,13.6,13.5,13.5,13.5,"1,000"
2019-03-18,13.4,13.4,13.2,13.2,13.3,"28,359"
2019-03-14,13.2,13.2,13.2,13.2,13.2,"6,390"
2019-03-13,13.6,13.6,13.6,13.6,13.6,1
2019-03-11,12.7,12.8,12.7,12.8,12.8,"2,000"
2019-03-05,13.1,13.1,13.1,13.1,13.1,"6,710"
2019-03-04,12.9,13,12.9,13,12.9,"2,450"
2019-02-27,13,13,13,13,13,"1,000"
2019-02-19,13.3,13.3,13.3,13.3,13.3,448
2019-02-18,13.5,13.5,13.3,13.3,13.5,"12,000"
2019-02-17,13.4,13.4,13.4,13.4,13.4,"10,000"
2019-02-14,13.6,13.6,13.1,13.2,13.3,"14,000"
2019-02-13,13.5,13.5,13.5,13.5,13.5,"5,000"
2019-02-12,13.6,13.6,13.6,13.6,13.6,"10,000"
2019-02-11,13.6,13.6,13.5,13.5,13.6,"5,000"
2019-02-10,13.6,13.6,13.5,13.5,13.6,"17,891"
2019-02-07,13.6,13.6,13.4,13.6,13.6,"33,506"
2019-02-06,13.7,13.7,13.1,13.1,13.4,"25,000"
2019-02-05,13.6,13.6,13.5,13.5,13.6,"59,003"
2019-02-04,13.6,13.9,13.4,13.9,13.6,"183,447"
2019-02-03,13.6,13.7,13.2,13.2,13.6,"50,000"
2019-01-31,13,13.2,12.9,13,13.1,"22,900"
2019-01-30,13.4,13.4,13,13.3,13.2,"11,000"
2019-01-29,13.4,13.4,13.4,13.4,13.4,"5,000"
2019-01-28,13.5,13.6,13.5,13.6,13.5,"6,089"
2019-01-27,13.5,13.6,13.4,13.6,13.6,"105,370"
2019-01-24,13.4,13.4,13.3,13.3,13.4,"63,352"
2019-01-23,13.1,13.2,13.1,13.2,13.1,"18,000"
2019-01-22,13.2,13.4,13.2,13.4,13.4,"67,501"
2019-01-21,13.3,13.4,13.3,13.4,13.3,"1,460"
2019-01-20,13,13.5,13,13.2,13.1,"45,100"
2019-01-16,13.2,13.4,13.1,13.4,13.2,"34,837"
2019-01-15,13.4,13.9,13.4,13.9,13.4,"14,250"
2019-01-14,13.5,13.7,13.5,13.5,13.5,"65,000"
2019-01-13,13.5,13.5,13.5,13.5,13.5,250
2019-01-10,13.4,13.5,13.3,13.3,13.4,"5,459"
2019-01-09,13.3,13.3,13.2,13.3,13.3,"20,700"
2019-01-08,13.2,13.2,13.1,13.2,13.2,"51,244"
2019-01-07,13.4,13.9,13,13,13.2,"45,210"
2019-01-06,12.7,12.7,12.7,12.7,12.7,"1,397"
2019-01-03,12.7,12.7,12.7,12.7,12.7,500
2019-01-02,12.5,12.6,12.5,12.6,12.6,"1,410"
2018-12-27,13,13,12.8,13,13,"8,163"
2018-12-26,12.9,12.9,12.7,12.7,12.8,"17,639"
2018-12-24,12.6,12.6,12.6,12.6,12.6,38
2018-12-23,12.7,12.7,12.7,12.7,12.7,"20,000"
2018-12-20,12.6,12.6,12.6,12.6,12.6,"2,000"
2018-12-19,12.7,12.7,12.7,12.7,12.7,10
2018-12-18,12.6,12.6,12.5,12.5,12.6,"7,150"
2018-12-13,12.5,12.6,12.5,12.5,12.5,"10,769"
2018-12-11,12.5,12.5,12.5,12.5,12.5,"1,800"
2018-12-10,12.4,12.4,12.4,12.4,12.4,500
2018-12-09,12.5,12.5,12.4,12.4,12.4,"17,000"
2018-12-05,12.5,12.5,12.4,12.4,12.4,"12,750"
2018-12-04,12.4,12.4,12.3,12.3,12.3,"5,850"
2018-12-02,12.3,12.3,12,12,12.3,"27,000"
2018-11-29,12.3,12.3,12.2,12.2,12.3,"23,100"
2018-11-27,12.1,12.2,12.1,12.2,12.2,"1,000"
2018-11-22,11.8,12,11.8,12,11.9,"3,530"
2018-11-19,12.2,12.2,12,12.2,12.2,"14,000"
2018-11-18,12.2,12.2,12.2,12.2,12.2,"6,000"
2018-11-15,12.1,12.1,12.1,12.1,12.1,340
2018-11-14,12.1,12.3,12.1,12.3,12.2,"14,166"
2018-11-13,12.1,12.1,12.1,12.1,12.1,499
2018-11-12,12.1,12.4,12.1,12.4,12.2,"6,390"
2018-11-11,12,12.2,12,12.2,12.1,"6,261"
2018-11-08,12.2,12.4,12.2,12.4,12.2,"2,055"
2018-11-01,12,12.1,12,12.1,12,"15,000"
2018-10-30,12.2,12.2,12,12.2,12.1,"1,466"
2018-10-29,12.2,12.2,12.2,12.2,12.2,50
2018-10-28,12.4,12.4,11.7,11.9,11.8,"5,100"
2018-10-25,12,12.2,12,12.2,12.1,"61,200"
2018-10-24,12.2,12.2,11.2,12.2,12,"36,565"
2018-10-23,12.1,12.3,12.1,12.3,12.2,"7,598"
2018-10-22,12.1,12.1,12.1,12.1,12.1,"2,210"
2018-10-21,12.3,12.3,12.2,12.3,12.3,"9,460"
2018-10-18,12.3,12.5,12.3,12.5,12.5,"3,504"
2018-10-16,12.2,12.2,12.2,12.2,12.2,9
2018-10-15,12.3,12.6,12.3,12.5,12.5,400
2018-10-14,12.5,12.5,12.5,12.5,12.5,1
2018-10-11,12.1,12.5,12.1,12.5,12.3,"8,000"
2018-10-10,12.6,12.6,12.1,12.3,12.2,"1,901"
2018-10-09,12.3,12.4,12.3,12.4,12.4,"18,000"
2018-10-08,12.4,12.5,12.4,12.5,12.4,"62,800"
2018-10-07,12.5,12.5,12.5,12.5,12.5,"4,000"
2018-10-03,12.6,12.6,12.5,12.5,12.5,"15,210"
2018-10-02,12.6,12.6,12.5,12.5,12.5,"7,780"
2018-10-01,12.5,12.5,12.4,12.5,12.5,"5,611"
2018-09-30,12.6,12.6,12.5,12.5,12.5,"33,400"
2018-09-27,12.6,12.6,12.6,12.6,12.6,100
2018-09-26,12.2,12.3,12.2,12.3,12.3,"21,147"
2018-09-24,12.6,12.6,12.6,12.6,12.6,85
2018-09-20,12.6,12.6,12.2,12.6,12.3,"8,511"
2018-09-19,12.1,12.1,12.1,12.1,12.1,350
2018-09-18,12.4,12.4,12.4,12.4,12.4,"6,200"
2018-09-17,12.3,12.5,12.3,12.5,12.4,"3,700"
2018-09-16,12.7,12.7,12.7,12.7,12.7,"8,800"
2018-09-13,12.1,12.9,12.1,12.9,12.7,"10,200"
2018-09-11,13,13,13,13,13,"2,050"
2018-09-10,12.8,13.1,12.8,13,12.9,"7,315"
2018-09-09,13,13,13,13,13,"5,200"
2018-09-05,13,13,13,13,13,"2,000"
2018-09-04,13,13,13,13,13,"4,500"
2018-09-03,13.1,13.1,13.1,13.1,13.1,"3,230"
2018-08-30,13.1,13.1,13.1,13.1,13.1,500
2018-08-29,13.2,13.2,13.1,13.1,13.2,"68,900"
2018-08-28,13.2,13.2,13.1,13.2,13.2,"11,950"
2018-08-27,13.1,13.3,13.1,13.3,13.1,"23,899"
2018-08-26,13.3,13.4,13.3,13.4,13.3,650
2018-08-20,13.3,13.4,13,13,13.4,"77,892"
2018-08-19,13.2,13.3,13.2,13.2,13.2,"7,350"
2018-08-16,13.2,13.3,13.2,13.2,13.2,"102,530"
2018-08-13,14.5,14.6,14.5,14.6,14.6,"748,368"
2018-08-12,14.6,14.6,14.5,14.5,14.6,"164,409"
2018-08-09,14.7,14.8,14.5,14.5,14.7,"566,200"
2018-08-08,14.8,14.8,14.5,14.6,14.8,"619,600"
2018-08-07,14.8,14.9,14.7,14.7,14.8,"250,000"
2018-08-06,14.7,14.7,14.7,14.7,14.7,645
2018-08-05,14.7,14.7,14.5,14.7,14.7,"23,660"
2018-08-02,14.8,14.8,14.6,14.8,14.7,"14,775"
2018-08-01,15.3,15.3,15.2,15.2,15.3,"2,000"
2018-07-31,15.3,15.3,15.3,15.3,15.3,5
2018-07-30,14.5,14.7,14.5,14.7,14.6,"60,110"
2018-07-29,14.6,14.7,14.5,14.7,14.5,"169,411"
2018-07-26,14.7,14.7,14.6,14.7,14.7,"36,892"
2018-07-25,14.7,15,14.7,15,14.8,"57,045"
2018-07-24,14.6,14.6,14.6,14.6,14.6,"17,000"
2018-07-23,14.4,14.5,14.4,14.5,14.5,"4,696"
2018-07-22,14.5,14.6,14.5,14.6,14.5,"9,792"
2018-07-19,14.5,14.7,14.5,14.7,14.7,"70,050"
2018-07-18,14.7,14.7,14.7,14.7,14.7,"96,080"
2018-07-17,14.6,14.6,14.6,14.6,14.6,"80,350"
2018-07-16,14.6,14.7,14.6,14.7,14.6,310
2018-07-15,14.6,14.6,14.5,14.5,14.6,"13,005"
2018-07-11,14.5,14.6,14.5,14.6,14.6,"26,186"
2018-07-10,14.5,14.6,14.5,14.6,14.6,"21,423"
2018-07-09,14.5,14.5,14.5,14.5,14.5,"17,547"
2018-07-08,14.5,14.5,14.4,14.5,14.5,"14,000"
2018-07-05,14.5,14.5,14.4,14.4,14.5,"10,585"
2018-07-04,14.7,14.7,14.4,14.4,14.4,"10,010"
2018-07-03,14.5,14.5,14.5,14.5,14.5,10
2018-07-02,14.4,14.4,14.3,14.4,14.4,"57,500"
2018-06-28,14.4,14.4,14.4,14.4,14.4,71
2018-06-27,14.5,14.5,14.5,14.5,14.5,200
2018-06-26,14.5,14.6,14.5,14.6,14.6,"1,527"
2018-06-25,14.7,14.7,14.6,14.6,14.7,"36,100"
2018-06-24,14.6,14.7,14.6,14.7,14.7,"75,200"
2018-06-21,14.7,14.7,14.6,14.6,14.6,"47,500"
2018-06-20,14.6,14.6,14.6,14.6,14.6,"47,350"
2018-06-19,14.5,14.6,14.5,14.5,14.5,"4,600"
2018-06-12,14.6,14.6,14.6,14.6,14.6,200
2018-06-11,14.5,14.5,14.5,14.5,14.5,"6,000"
2018-06-10,14.5,14.6,14,14.5,14.5,"9,800"
2018-06-07,14.6,14.7,14.6,14.7,14.6,"10,490"
2018-06-06,14.7,14.7,14.6,14.6,14.6,"70,000"
2018-05-29,14.5,14.6,14.5,14.6,14.5,"5,000"
2018-05-28,14.8,14.8,14.8,14.8,14.8,"163,752"
2018-05-27,14.8,14.8,14.8,14.8,14.8,"33,000"
2018-05-24,14.7,14.8,14.5,14.8,14.8,"13,120"
2018-05-23,14.8,14.8,14.8,14.8,14.8,745
2018-05-22,14.8,14.9,14.7,14.9,14.8,"26,620"
2018-05-21,14.9,14.9,14.9,14.9,14.9,"51,370"
2018-05-20,14.8,14.8,14.8,14.8,14.8,420
