DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,"1,138.8","1,147.9","1,090.2","1,115","1,123.2","1,247"
2019-06-27,"1,100","1,140","1,100","1,140","1,100.8","3,354"
2019-06-26,"1,095","1,146","1,070","1,146","1,112.8","2,144"
2019-06-25,"1,086","1,135","1,080","1,135","1,111.8","1,015"
2019-06-24,"1,118","1,174.7","1,102","1,148","1,110.8","2,030"
2019-06-23,"1,112.1","1,112.1","1,090","1,090","1,112.1","2,701"
2019-06-20,"1,078.9","1,078.9","1,000","1,000","1,046.7","2,477"
2019-06-19,"1,002","1,050.1","1,002","1,050","1,015.5","2,382"
2019-06-18,"1,025","1,099.9","1,025","1,084.1","1,048.7","1,900"
2019-06-17,"1,077.1","1,130","1,077.1","1,090","1,083.7","2,430"
2019-06-16,"1,067","1,166","1,066","1,135.1","1,081.1","4,683"
2019-06-13,"1,135","1,168.9","1,130","1,151","1,135.1","1,476"
2019-06-12,"1,140","1,198","1,140","1,155.4","1,143.9","1,659"
2019-06-11,"1,166.2","1,200","1,166","1,185.4","1,170.8","1,590"
2019-06-10,"1,178.1","1,202.9","1,171","1,194","1,180.2",826
2019-06-09,"1,199.8","1,265","1,190","1,265","1,194.9",904
2019-05-30,"1,204.9","1,217","1,174.6","1,217","1,199",284
2019-05-29,"1,200","1,205","1,181","1,205","1,196.4","1,061"
2019-05-28,"1,196.9","1,199.9","1,182","1,199.9","1,185.8",419
2019-05-27,"1,179.2","1,199.4","1,156","1,199.4","1,183.6",459
2019-05-26,"1,155","1,176","1,153.4","1,168.9","1,163.6","1,954"
2019-05-23,"1,166.1","1,195","1,165","1,190","1,168.5",716
2019-05-22,"1,195","1,200","1,175","1,185.1","1,194.9","1,574"
2019-05-21,"1,194.3","1,204","1,185.5","1,204","1,196.6",257
2019-05-20,"1,193","1,229.9","1,171","1,229.9","1,193.6","1,145"
2019-05-19,"1,200","1,225","1,196","1,225","1,197.9",418
2019-05-16,"1,193","1,220","1,191","1,220","1,194.6",592
2019-05-15,"1,199.9","1,199.9","1,180.5","1,189.9","1,191.4",675
2019-05-14,"1,167.1","1,190","1,167.1","1,190","1,171.6",866
2019-05-13,"1,185","1,189.9","1,160","1,171.4","1,165.3","1,221"
2019-05-12,"1,175","1,204.9","1,172","1,204.9","1,175.5","1,936"
2019-05-09,"1,175","1,220","1,170","1,220","1,182.6","2,455"
2019-05-08,"1,191.2","1,251.5","1,191.2","1,251.5","1,192.9",336
2019-05-07,"1,200","1,268.7","1,200","1,268.7","1,201.1","1,911"
2019-05-06,"1,260","1,289.9","1,250.1","1,284.1","1,268.5","1,153"
2019-05-05,"1,281","1,283","1,220","1,225","1,282.8","5,105"
2019-05-02,"1,218.4","1,218.4","1,188","1,191","1,208.6","2,107"
2019-04-30,"1,183","1,204.7","1,183","1,203.2","1,192.8","1,168"
2019-04-29,"1,175.2","1,210","1,171","1,187","1,181.3","2,608"
2019-04-28,"1,182","1,219","1,171","1,171","1,182.3","1,740"
2019-04-25,"1,187.7","1,203","1,150","1,203","1,169.8","5,096"
2019-04-24,"1,152","1,212","1,150","1,209.8","1,167.9","6,776"
2019-04-23,"1,215","1,229.8","1,168","1,175","1,204.4","2,946"
2019-04-21,"1,223.9","1,268.8","1,138","1,220","1,167","7,943"
2019-04-18,"1,225","1,277","1,190","1,277","1,210.3","6,575"
2019-04-17,"1,272","1,398","1,267.4","1,397.9","1,269.1","6,652"
2019-04-16,"1,320","1,400","1,320","1,400","1,351.8","8,722"
2019-04-15,"1,354.2","1,354.2","1,350","1,354","1,354.2","7,717"
2019-04-11,"1,256","1,280.3","1,201","1,202","1,274.6","6,492"
2019-04-10,"1,209","1,235","1,200.1","1,217","1,205.1","3,383"
2019-04-09,"1,207","1,229.9","1,201","1,216.7","1,206.8","3,136"
2019-04-08,"1,213.2","1,290","1,211","1,290","1,216.7","1,139"
2019-04-07,"1,221","1,289","1,221","1,255.2","1,229.4","2,046"
2019-04-04,"1,260","1,298.4","1,250","1,285.5","1,265.7","1,729"
2019-04-03,"1,291","1,323","1,280.5","1,315","1,290.1","3,638"
2019-04-02,"1,313","1,365","1,307.2","1,365","1,315",915
2019-04-01,"1,317.1","1,349","1,317.1","1,320.1","1,319.5","1,678"
2019-03-31,"1,312.9","1,332.9","1,298.1","1,298.2","1,311.7","1,575"
2019-03-28,"1,330","1,345","1,300.3","1,345","1,307.2","3,014"
2019-03-27,"1,340","1,364","1,329","1,364","1,333","1,670"
2019-03-25,"1,348.2","1,369.9","1,319","1,320","1,351.1","4,567"
2019-03-24,"1,299","1,374.9","1,290","1,301","1,307","8,136"
2019-03-21,"1,301","1,319","1,290","1,319","1,297.8","9,991"
2019-03-20,"1,241.5","1,241.5","1,170","1,170","1,241.5","3,982"
2019-03-19,"1,179.9","1,179.9","1,122.1","1,139","1,168.5","9,529"
2019-03-18,"1,113","1,167","1,113","1,141","1,118.9","3,335"
2019-03-14,"1,155","1,179.5","1,140","1,179.5","1,148.3",974
2019-03-13,"1,110","1,183","1,110","1,166","1,141.2","4,259"
2019-03-12,"1,176.8","1,178.3","1,142","1,152","1,151.8","1,625"
2019-03-11,"1,148.1","1,240","1,148.1","1,235","1,151.5","11,754"
2019-03-10,"1,221.8","1,223.4","1,200","1,200","1,214.2","3,928"
2019-03-07,"1,209.7","1,219","1,171","1,193","1,201.3","1,296"
2019-03-06,"1,218","1,237","1,185","1,237","1,187.3","1,903"
2019-03-05,"1,242.8","1,260","1,230.5","1,260","1,236.4","1,721"
2019-03-04,"1,247","1,297.8","1,235","1,297.8","1,240.9","1,216"
2019-03-03,"1,260","1,329","1,260","1,315","1,284.9","8,400"
2019-02-27,"1,261","1,261","1,219","1,219","1,259.5","8,101"
2019-02-26,"1,170","1,187","1,120","1,120","1,186.9","8,369"
2019-02-25,"1,120","1,124","1,115","1,117","1,117.2","2,448"
2019-02-24,"1,120","1,130","1,091.1","1,091.1","1,115","2,379"
2019-02-20,"1,081.1","1,130","1,057","1,100","1,086","3,933"
2019-02-19,"1,100","1,111","1,100","1,111","1,105.3",906
2019-02-18,"1,121","1,153","1,116","1,153","1,125.4","2,635"
2019-02-17,"1,150","1,169.8","1,142.1","1,142.1","1,156.7","2,539"
2019-02-14,"1,148","1,164.5","1,135","1,150","1,146.4","1,874"
2019-02-13,"1,149.8","1,150","1,108","1,150","1,133.4","3,637"
2019-02-12,"1,103.1","1,159.9","1,100","1,159.9","1,103.2","1,325"
2019-02-11,"1,136.2","1,155","1,136.2","1,149.9","1,137.1","1,781"
2019-02-10,"1,149.8","1,180","1,131","1,178.7","1,146.4","1,229"
2019-02-07,"1,170","1,175","1,130.1","1,174.9","1,161.6","4,526"
2019-02-06,"1,139","1,155","1,111.2","1,111.2","1,127.5","1,594"
2019-02-05,"1,169","1,180","1,130","1,138","1,134.4","2,215"
2019-02-04,"1,167","1,195.9","1,143","1,160.1","1,167.2",962
2019-02-03,"1,210","1,353.8","1,207","1,267","1,208.1","1,287"
2019-01-31,"1,301.8","1,343","1,270","1,277.1","1,287.2","1,332"
2019-01-30,"1,264.8","1,264.8","1,190","1,190","1,264.8","6,243"
2019-01-29,"1,190.5","1,190.5","1,178.9","1,180","1,190.5","3,865"
2019-01-28,"1,122.5","1,122.5",991,"1,005","1,120.5","14,893"
2019-01-27,"1,056.5","1,130","1,056.5","1,110","1,056.5","10,773"
2019-01-24,"1,127","1,220","1,126.5","1,141","1,126.9","9,911"
2019-01-23,"1,201.6","1,285","1,201.6","1,285","1,201.6","2,794"
2019-01-22,"1,260","1,300","1,260","1,280","1,281.7","3,591"
2019-01-21,"1,294","1,300","1,230","1,291.7","1,280.2","7,522"
2019-01-20,"1,307","1,417","1,307","1,395.5","1,307","5,974"
2019-01-17,"1,395","1,489.8","1,355.1","1,489.8","1,388.9","8,029"
2019-01-16,"1,399","1,429","1,398.1","1,404.8","1,402.2","3,085"
2019-01-15,"1,400","1,447","1,380","1,447","1,401.9",849
2019-01-14,"1,423.1","1,472","1,413","1,472","1,428.6",638
2019-01-13,"1,460","1,473.4","1,445.4","1,449.9","1,460.4","3,149"
2019-01-10,"1,453.7","1,454.9","1,416","1,425","1,446.8","3,762"
2019-01-09,"1,432","1,438.5","1,400.1","1,400.1","1,425.6","3,239"
2019-01-08,"1,394","1,458","1,366","1,420","1,389.1","6,014"
2019-01-07,"1,405","1,439.2","1,389","1,431","1,401.3","8,032"
2019-01-06,"1,354.6","1,354.6","1,278.1","1,278.1","1,354.6","4,119"
2019-01-03,"1,275","1,275","1,203.1","1,203.1","1,275","3,690"
2019-01-02,"1,204.6","1,204.6","1,180.1","1,200","1,200","2,483"
2019-01-01,"1,202","1,242","1,201","1,242","1,205.1",953
2018-12-27,"1,240","1,250","1,230","1,244.8","1,239.1","2,480"
2018-12-26,"1,228.9","1,239","1,206.1","1,239","1,226.7",983
2018-12-24,"1,200","1,269.7","1,200","1,269.7","1,215.8","2,177"
2018-12-23,"1,240","1,300","1,230","1,299.8","1,246.6","1,215"
2018-12-20,"1,296.9","1,339","1,262","1,300.1","1,294.6","2,160"
2018-12-19,"1,294","1,294","1,272.1","1,285","1,292.2","2,577"
2018-12-18,"1,245","1,248","1,201","1,210","1,238","3,208"
2018-12-17,"1,222.2","1,309","1,217.2","1,300","1,220.3","2,161"
2018-12-13,"1,299","1,360","1,270","1,290","1,297.5","2,716"
2018-12-12,"1,289.8","1,300","1,222","1,222","1,298.1","4,209"
2018-12-11,"1,241.1","1,360","1,229.8","1,360","1,237.8","6,035"
2018-12-10,"1,313","1,313","1,226.1","1,230","1,311.7","6,278"
2018-12-09,"1,230","1,239","1,188","1,210","1,235.8","8,588"
2018-12-06,"1,194","1,204","1,179","1,179.4","1,193.2","7,986"
2018-12-05,"1,180.4","1,198.9","1,140.1","1,140.1","1,179.4","9,317"
2018-12-04,"1,160","1,173.9","1,122","1,149","1,165.2","10,371"
2018-12-03,"1,114.1","1,114.3","1,080.2","1,090","1,109","19,243"
2018-12-02,"1,048.8","1,048.8","1,020","1,020","1,048.8","12,820"
2018-11-29,980,985,891.9,891.9,975.7,"7,830"
2018-11-28,928.7,929,865,868,928,"19,961"
2018-11-27,867.9,870,815,826,864.2,"10,390"
2018-11-26,836.2,843,805.1,805.1,839.3,"11,642"
2018-11-25,801,818.9,777.3,780,802.4,"14,329"
2018-11-22,798.5,845,798.5,845,798.5,"20,343"
2018-11-20,866,870,844,844,863.2,"7,780"
2018-11-19,830.5,863.6,822.2,830,846.8,"12,356"
2018-11-18,834.9,857.1,825,855.1,828.5,"5,655"
2018-11-15,864.5,888.8,863.1,872.9,864.8,"6,852"
2018-11-14,872,884,865,877,872.9,"7,885"
2018-11-13,868.8,878,765.3,765.3,864.5,"11,555"
2018-11-12,820,905,815.3,897.5,825.2,"9,162"
2018-11-11,881.5,885,859.9,859.9,881.4,"20,813"
2018-11-08,840,844.8,810,810.1,839.1,"15,419"
2018-11-07,813,819,785.1,794,816.3,"22,779"
