DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,22.5,23.7,22,22,22.2,"618,440"
2019-06-27,23.4,24.9,23.4,24.6,23.7,"538,339"
2019-06-26,24.6,24.7,23.9,24.5,24.3,"587,511"
2019-06-25,24,26.4,23.8,26.2,24.2,"859,736"
2019-06-24,26.3,26.8,25.8,26.2,26.2,"757,175"
2019-06-23,25.4,26.4,24.7,25.9,25.9,"932,605"
2019-06-20,25.7,26.7,25.3,26,25.8,"1,055,550"
2019-06-19,25.7,28.4,25.2,28,25.8,"1,936,238"
2019-06-18,27.9,29.4,27.2,28.8,27.6,"2,033,479"
2019-06-17,28.7,28.7,26,26.9,28.7,"3,158,097"
2019-06-16,26.2,26.2,26,26,26.2,"2,764,361"
2019-06-13,23.9,23.9,22,22.2,23.9,"1,136,053"
2019-06-12,21.6,21.9,20.4,21,21.8,"298,871"
2019-06-11,20.7,21.3,20.5,21,20.7,"308,443"
2019-06-10,20.9,20.9,19.9,20.2,20.7,"150,705"
2019-06-09,20.5,21.1,20.4,20.8,20.6,"216,133"
2019-05-30,20.2,20.4,19.7,19.7,20.3,"659,930"
2019-05-29,19.4,19.6,19,19.6,19.3,"47,442"
2019-05-28,19.3,19.8,18.9,19.8,19.2,"104,629"
2019-05-27,19.3,20.4,19.1,19.8,19.2,"97,566"
2019-05-26,20.1,20.8,19.5,19.5,19.7,"334,518"
2019-05-23,19.5,19.6,18.2,18.2,19.3,"159,349"
2019-05-22,18.7,19.2,18.4,18.4,18.9,"163,793"
2019-05-21,18.3,18.4,17.5,18.2,18.2,"45,887"
2019-05-20,18.2,18.4,17.6,18.2,18,"100,994"
2019-05-16,18.6,18.6,18,18.5,18.5,"124,178"
2019-05-15,18.1,18.3,17.7,17.7,18.2,"10,880"
2019-05-14,17.9,18.5,17.7,18.5,17.9,"89,935"
2019-05-13,18.5,18.6,18.3,18.6,18.4,"42,783"
2019-05-12,18.4,19,17.9,19,18.5,"97,765"
2019-05-09,18,18.3,18,18.3,18.1,"102,114"
2019-05-08,18,18.8,17.8,18.8,17.9,"49,172"
2019-05-07,18.2,18.5,18.2,18.5,18.3,"101,025"
2019-05-06,18.5,18.9,18.2,18.3,18.3,"338,954"
2019-05-05,18,18.7,17.4,17.7,18,"140,024"
2019-05-02,17.3,17.4,17,17.4,17.3,"170,171"
2019-04-30,16.9,17,16.6,16.8,16.6,"97,959"
2019-04-29,16.8,17,16.5,16.5,16.8,"40,376"
2019-04-28,16.4,16.7,16,16.7,16.5,"164,778"
2019-04-25,17.3,17.3,16.9,16.9,17,"52,566"
2019-04-24,16.9,17.3,16.7,17.3,16.9,"152,612"
2019-04-23,17,17.5,16.9,17.5,17.1,"83,450"
2019-04-21,17.8,18.2,17.5,17.5,17.6,"79,645"
2019-04-18,17.9,18.2,17.4,17.6,17.9,"175,193"
2019-04-17,17.3,17.8,16.9,17.5,17.4,"158,349"
2019-04-16,17.3,17.6,17,17.3,17.1,"79,294"
2019-04-15,17.5,18.2,17.4,18.2,17.5,"70,250"
2019-04-11,17.9,18.5,17.6,18.2,17.7,"84,530"
2019-04-10,17.7,18.5,17.6,18.4,17.7,"49,982"
2019-04-09,17.5,18.7,17.5,18.7,17.7,"95,600"
2019-04-08,17.8,19,17.8,19,17.9,"55,589"
2019-04-07,18.5,19.5,18.5,19.5,18.7,"37,181"
2019-04-04,18.9,19.7,18.7,19.7,19,"95,508"
2019-04-03,19,20.2,18.9,19.8,19.2,"115,659"
2019-04-02,19.7,21.2,19.7,21.1,19.8,"184,666"
2019-04-01,20.5,20.5,19,19.3,20.4,"194,181"
2019-03-31,18.9,19.4,18.8,18.8,19.1,"59,100"
2019-03-28,18.4,19.3,17.9,17.9,18.7,"136,118"
2019-03-27,17.9,18.5,17.8,18.5,17.9,"54,726"
2019-03-25,18.3,19,18.2,18.3,18.4,"99,733"
2019-03-24,18.3,19.2,18.1,19.2,18.2,"41,800"
2019-03-21,19.1,19.2,18.1,18.4,18.9,"144,411"
2019-03-20,18,19.2,18,19.2,18.3,"67,680"
2019-03-19,18.9,19.4,18.3,18.3,19.2,"99,522"
2019-03-18,18.3,20.1,17.8,20.1,18.2,"153,809"
2019-03-14,19.6,20.9,19.4,20.5,19.5,"136,290"
2019-03-13,20.1,21.5,20.1,21,20.2,"101,345"
2019-03-12,21.5,21.7,21,21.3,21.2,"131,171"
2019-03-11,21.9,22.5,21.3,22.5,21.8,"268,854"
2019-03-10,22.3,22.6,20.9,21.1,22.2,"383,446"
2019-03-07,21.1,21.8,20.5,21.3,20.9,"194,763"
2019-03-06,20.6,21.5,20.6,21,20.8,"101,944"
2019-03-05,21,21.8,20.5,21.8,20.9,"89,290"
2019-03-04,21.7,22.6,21.1,22.6,21.3,"136,468"
2019-03-03,21.6,23.5,21.6,22.5,21.8,"237,106"
2019-02-27,22.5,23.6,22.5,23.3,22.6,"285,652"
2019-02-26,22.7,23.6,22.6,22.7,23.1,"386,415"
2019-02-25,21.6,23.8,21.4,23.3,22.4,"377,509"
2019-02-24,22.8,23.7,22.2,22.6,23.1,"341,389"
2019-02-20,22.5,23,22.2,22.3,22.5,"184,562"
2019-02-19,21.8,23.5,21.8,23,22.2,"253,199"
2019-02-18,22.6,24.1,22.5,23.8,22.7,"240,829"
2019-02-17,23.5,24.2,22.6,24.2,23.7,"719,007"
2019-02-14,24.2,24.2,22.4,22.4,24.1,"1,280,854"
2019-02-13,22.1,23,20.5,21.5,22,"430,824"
2019-02-12,21.7,23.4,20.8,23.4,21.2,"245,890"
2019-02-11,23.2,23.2,21.1,22.5,22.9,"262,224"
2019-02-10,20.8,22.7,20.8,22.5,21.2,"354,576"
2019-02-07,23.1,25.6,22.9,25.6,23.1,"220,404"
2019-02-06,24.4,25.7,23.9,25.1,24.6,"263,324"
2019-02-05,23.9,26.2,23.7,24.8,24.2,"277,715"
2019-02-04,25.6,28.9,25.6,28.8,25.7,"473,182"
2019-02-03,28.4,29.9,28,28,28.4,"994,792"
2019-01-31,27.1,28.5,27,28,28,"692,544"
2019-01-30,27.9,30.8,27.4,30.8,28,"745,929"
2019-01-29,28,28.2,26.1,26.4,28,"1,315,331"
2019-01-28,25.7,28.4,25.3,27.8,25.7,"653,348"
2019-01-27,27.2,30,27.2,28.5,28.1,"864,716"
2019-01-24,28.1,28.1,26.1,26.1,28,"1,304,334"
2019-01-23,25.5,26.1,24.2,24.2,25.6,"720,852"
2019-01-22,23.6,24.3,23.5,24.1,23.9,"290,139"
2019-01-21,23.8,24.8,23.5,23.5,24,"597,552"
2019-01-20,22.6,25.5,22.6,25.4,23.4,"460,774"
2019-01-17,25,26.4,24.7,25.1,24.8,"1,207,681"
2019-01-16,24.9,26,24.6,25,24.8,"406,613"
2019-01-15,25.7,25.7,23.6,23.9,25.2,"855,031"
2019-01-14,23.4,25.2,23.4,23.8,23.7,"515,458"
2019-01-13,24.5,24.8,23.4,23.5,24.3,"575,932"
2019-01-10,23.9,24,22.5,23,23.7,"649,929"
2019-01-09,23.4,23.4,21.8,21.8,23.2,"971,976"
2019-01-08,21.5,21.5,20,20.1,21.5,"752,913"
2019-01-07,19.5,20.2,19.4,20,19.6,"195,102"
2019-01-06,20.1,20.1,19.6,20,19.9,"222,342"
2019-01-03,19.4,19.6,18.9,19,19.2,"188,862"
2019-01-02,18.8,18.9,18.1,18.4,18.8,"124,070"
2019-01-01,18.1,18.7,17.8,17.8,18.3,"40,800"
2018-12-27,17.8,19,17.5,18.5,17.6,"55,685"
2018-12-26,17.7,18.1,17.6,18.1,17.8,"93,709"
2018-12-24,18,18.2,17.5,18,17.8,"90,270"
2018-12-23,17.8,18.4,17.3,18.4,17.5,"120,681"
2018-12-20,17.7,19.2,17.7,18.4,18.4,"195,761"
2018-12-19,18.2,18.4,17.8,17.8,18.1,"118,408"
2018-12-18,17.7,18,17.6,17.9,17.8,"42,530"
2018-12-17,18,18.4,17.3,17.4,17.8,"327,123"
2018-12-13,17.4,17.6,16.9,16.9,17.4,"185,772"
2018-12-12,16.7,16.8,16.1,16.1,16.7,"8,342"
2018-12-11,16.4,16.7,16.3,16.3,16.4,"48,565"
2018-12-10,16.4,16.9,16.4,16.5,16.5,"17,508"
2018-12-09,16.6,17,16.6,16.9,16.8,"46,713"
2018-12-06,16.6,17,16.6,17,16.7,"20,626"
2018-12-05,16.7,17,16.7,16.8,16.9,"70,233"
2018-12-04,16.6,16.8,16.4,16.6,16.7,"96,602"
2018-12-03,16.4,16.7,16.2,16.2,16.6,"31,183"
2018-12-02,16.4,16.4,16,16.4,16.2,"95,260"
2018-11-29,16,16.6,16,16.5,16.1,"40,765"
2018-11-28,16.1,16.7,16.1,16.7,16.2,"245,241"
2018-11-27,16.8,16.9,16.7,16.7,16.8,"16,680"
2018-11-26,17,17.1,16.6,16.6,16.8,"16,415"
2018-11-25,17.1,17.1,16.8,16.8,17,"19,491"
2018-11-22,17,17,16.5,16.9,16.9,"32,376"
2018-11-20,16.7,16.9,16.2,16.6,16.7,"40,183"
2018-11-19,16.4,16.8,16.4,16.8,16.5,"18,858"
2018-11-18,16.6,16.6,16.3,16.3,16.4,"5,923"
2018-11-15,16.6,16.7,16.4,16.7,16.5,"16,079"
2018-11-14,16.6,16.7,16.1,16.1,16.4,"3,406"
2018-11-13,16.3,16.7,16.3,16.5,16.4,"10,616"
2018-11-12,16.5,16.7,16.3,16.4,16.4,"7,004"
2018-11-11,16.2,17,16.2,17,16.5,"12,897"
2018-11-08,16.5,16.7,16.5,16.7,16.6,"10,600"
2018-11-07,16.6,16.7,16.4,16.7,16.5,"17,200"
2018-11-06,16.3,16.8,16,16.7,16.4,"12,355"
2018-11-05,16.9,16.9,16.6,16.9,16.7,"8,470"
