DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,109.2,113.7,108.6,109,110.1,"1,372,755"
2019-06-27,108.5,109,105.3,107,107.2,"768,278"
2019-06-26,106,107.3,101.8,101.8,106.4,"1,346,923"
2019-06-25,101.4,104,100.3,103.2,101,"494,552"
2019-06-24,102.7,103.8,94.9,96.4,103,"980,855"
2019-06-23,96.2,98,95.6,98,95.7,"115,954"
2019-06-20,96.8,98.8,96.8,98.1,97,"251,064"
2019-06-19,97.7,100,97.2,100,97.7,"125,180"
2019-06-18,98.9,101.8,97.5,98,99.7,"354,389"
2019-06-17,97.2,101.2,97.1,99.9,97.5,"334,312"
2019-06-16,99.1,102.8,99,102.8,99.9,"356,442"
2019-06-13,101.8,103.6,100.6,103.4,101.7,"412,354"
2019-06-12,102.6,104.7,102.3,104.3,102.9,"347,708"
2019-06-11,105,105.5,102.7,103,105,"631,497"
2019-06-10,102.8,103.9,99.6,101.4,102.5,"280,629"
2019-06-09,99.9,101.8,99.6,101.8,100.4,"90,443"
2019-05-30,100.7,101,98.5,101,100.4,"272,577"
2019-05-29,100.2,102,99.5,102,100.5,"171,661"
2019-05-28,101.3,102,100,100.1,101.6,"104,269"
2019-05-27,100.6,100.6,98.1,99.2,99.8,"180,300"
2019-05-26,99.9,103,99.3,101.6,99.6,"208,697"
2019-05-23,102.1,104,101.7,104,102,"228,141"
2019-05-22,103.5,105.5,103.5,104.5,103.8,"275,237"
2019-05-21,104,104.6,102.1,104.4,103.9,"203,204"
2019-05-20,103,105.5,102.8,104.9,103.1,"253,618"
2019-05-19,104.5,104.9,103.1,104.4,104.5,"266,516"
2019-05-16,104.4,104.9,102,102,103.6,"219,409"
2019-05-15,102.6,104,101.4,102.5,103.5,"226,733"
2019-05-14,101.7,102.6,99.2,102.6,101.4,"261,177"
2019-05-13,102.5,105,100.4,105,101.5,"498,417"
2019-05-12,104,108,103.5,108,103.9,"447,319"
2019-05-09,106.7,108,103.8,105,107,"556,856"
2019-05-08,104.9,105,101.9,104.5,103.9,"491,755"
2019-05-07,104,107.9,103.5,107.9,104.5,"743,421"
2019-05-06,108,109.9,105.5,107.4,106.2,"1,175,169"
2019-05-05,106.5,107,103.9,106,106.2,"1,026,589"
