DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,725,729.9,715.1,720,727.6,"6,516"
2019-06-27,719.9,725,715.1,724,719.9,"11,858"
2019-06-26,724.2,727.8,716.4,719,723.9,"3,219"
2019-06-25,718.1,725,710.5,710.5,721.6,"15,988"
2019-06-24,711.4,714,709.5,709.6,711.1,"12,479"
2019-06-23,714,715,711.2,715,712.3,"10,557"
2019-06-20,718.5,718.5,710,712,710.4,"14,080"
2019-06-19,712.6,723.5,710.5,710.5,712.8,"5,288"
2019-06-18,710.5,729,710.5,718.9,713.5,"19,205"
2019-06-17,710,742,710,735.1,718.7,"8,942"
2019-06-16,739,749.9,716,719.4,735.1,"20,876"
2019-06-13,710,715,705.1,707,707.4,"6,404"
2019-06-12,707,724,706,724,708.5,"8,464"
2019-06-11,719.8,720,711.3,712,716.6,"5,777"
2019-06-10,706.1,712.9,706.1,707.3,707.2,"1,814"
2019-06-09,705,711,704,710.1,707.3,"1,745"
2019-05-30,709.8,712,709.8,712,709.9,"1,458"
2019-05-29,710,725,705,705,709.6,"3,641"
2019-05-28,706,711,704,708,705.6,"6,974"
2019-05-27,706,707.8,704,705,705.3,"3,965"
2019-05-26,707,708,705.1,707,706.4,"1,658"
2019-05-23,710,711,705.5,711,709.1,"3,491"
2019-05-22,710,715.9,710,715.9,710.1,"2,002"
2019-05-21,712.8,715,708.1,710,712.8,"2,241"
2019-05-20,709.5,712.5,709.2,712.5,710.2,"3,302"
2019-05-19,714.1,718,710,715,713.1,"4,791"
2019-05-16,712.1,717,707,707,713,"1,927"
2019-05-15,711,715,707.4,707.4,711.3,"4,197"
2019-05-14,714.5,717.9,710.1,712.2,711.5,"3,301"
2019-05-13,711,714,709,710,711.6,"7,012"
2019-05-12,713.3,717.5,708.1,717.5,710.7,"3,337"
2019-05-09,706.2,728.8,705.1,728.5,706.5,"4,574"
2019-05-08,716,720,710,720,714.2,"1,394"
2019-05-07,717,737,715,715,716.8,"3,608"
2019-05-06,721,743.9,716.6,743.9,718.3,"3,384"
2019-05-05,730,754.9,725,754.9,732.5,"11,692"
2019-05-02,754.9,754.9,700,700.2,747.1,"31,148"
2019-04-30,701,710,690.4,690.4,702.3,"4,640"
2019-04-29,712,714.9,672,672,704.4,"15,878"
2019-04-28,690,700.1,669.1,670,686.6,"26,060"
2019-04-25,721.4,724.8,708,710,719.4,"8,651"
2019-04-24,710.2,719,693,705.3,710.3,"10,248"
2019-04-23,705.3,717,705.1,710,706.3,"4,764"
2019-04-21,715,727.2,710,719.5,713.8,"4,223"
2019-04-18,724,730,703.1,705.6,719.5,"11,617"
2019-04-17,706,718,704,710.1,704.6,"5,446"
2019-04-16,708,733,707.1,733,709.8,"9,156"
2019-04-15,727.5,747.9,705,705,730.8,"26,774"
2019-04-11,705,705.3,698.1,698.1,703.7,"3,763"
2019-04-10,702.8,702.8,699,699,700.1,"12,763"
2019-04-09,698.4,703,695.6,700,698.7,"10,240"
2019-04-08,700.1,702.9,697,701.2,700.2,"13,650"
2019-04-07,700,710,700,709,701.2,"4,783"
2019-04-04,708.7,708.7,702,702.9,705.6,"2,733"
2019-04-03,710,713,700.7,704.1,702.9,"6,534"
2019-04-02,715,715,697.5,700,701.8,"5,410"
2019-04-01,700.4,715,700,715,701,"7,046"
2019-03-31,708.5,717.5,705.1,717.2,707.1,"5,842"
2019-03-28,721.4,732,719,726.1,720.4,"8,947"
2019-03-27,725.6,728.7,717,724,723.9,"18,508"
2019-03-25,723,737,718,724.8,722.6,"14,181"
2019-03-24,725,728.3,709.1,709.1,721.6,"17,373"
2019-03-21,709.3,724.9,687,689.5,708.8,"22,607"
2019-03-20,689.2,693.1,684.1,689.2,684.9,"8,139"
2019-03-19,692,692.8,683.5,686,688.6,"13,148"
2019-03-18,695,710,685,698,687.2,"15,806"
2019-03-14,700,718,699,705,700.7,"17,292"
2019-03-13,702,710,698,702,699.3,"16,982"
2019-03-12,700.3,735.1,694,730,699.4,"20,309"
2019-03-11,724,724.7,682.1,693.2,721.5,"28,216"
2019-03-10,694.5,695,677,679.9,690.2,"11,740"
2019-03-07,670,685,670,679.7,671.3,"12,201"
2019-03-06,672.5,686.8,670.1,683.6,670.8,"12,725"
2019-03-05,680,694,678.1,694,680.9,"14,056"
2019-03-04,694.9,712.1,683,712.1,688.6,"25,882"
2019-03-03,702.2,714.9,701,713.1,702.9,"21,500"
2019-02-27,708.4,729,708,708.4,711.8,"19,840"
2019-02-26,713.7,728.9,710,726.1,713.7,"23,500"
2019-02-25,720,742.8,720,737.5,726.1,"19,297"
2019-02-24,739.6,752.7,730,750,737.4,"10,592"
2019-02-20,747.2,749,733.4,740,746.2,"10,504"
2019-02-19,739,741,726,732.5,730.2,"12,647"
2019-02-18,732.3,762,732,756,735.5,"24,420"
2019-02-17,755,775,752.1,775,758.9,"19,313"
2019-02-14,778.4,787.7,762.5,787.7,764.1,"19,980"
2019-02-13,775.6,787,772.2,778.3,773.9,"11,632"
2019-02-12,776,790,772.1,782,778.3,"25,088"
2019-02-11,769,796.7,766,796.7,771.6,"35,369"
2019-02-10,790.2,824,790.2,812,795.6,"35,814"
2019-02-07,807.7,808,775,775.9,806.3,"51,257"
2019-02-06,760.2,785.8,760.2,785.8,764.8,"17,775"
2019-02-05,773.7,783.6,772.1,783.6,776,"19,710"
2019-02-04,780,805,780,781.6,781.8,"26,634"
2019-02-03,785.9,830,781,830,784.7,"59,674"
2019-01-31,834,847,830,845,834,"33,736"
2019-01-30,838.4,844,827.5,833.4,840.1,"38,573"
2019-01-29,830,834,815,817,827.4,"29,197"
2019-01-28,809.5,817.9,802.1,802.1,809.2,"33,485"
2019-01-27,796,814.7,795,807.5,800.1,"22,349"
2019-01-24,809,810,785,808,792.7,"40,430"
2019-01-23,807,853,800,853,806.3,"36,528"
2019-01-22,836.6,859.5,835.9,851.2,837.6,"24,715"
2019-01-21,848,885,846.5,874,849.6,"49,496"
2019-01-20,860,879,841.1,845,863.4,"62,720"
2019-01-17,838,858.9,835.6,852.9,840,"39,646"
2019-01-16,842,864,833,845,837.1,"54,053"
2019-01-15,839,860,820,849.8,831.3,"74,339"
2019-01-14,831.3,894,831.3,855,842.9,"86,542"
2019-01-13,855,855,801,801,851.2,"88,885"
2019-01-10,799,800,772,775,795.4,"44,732"
2019-01-09,768.9,800,768.5,800,771,"32,572"
2019-01-08,782.4,812,782.3,790.6,786.2,"40,829"
2019-01-07,788.1,815,788,793.6,790.6,"42,859"
2019-01-06,799,824,790,819.8,793.4,"42,151"
2019-01-03,807.5,820,805,809,809.9,"40,112"
2019-01-02,805.8,808.8,781.1,790,803.6,"40,153"
2019-01-01,780.1,799.9,775,785,776.9,"26,154"
2018-12-27,776.7,808,772,805,775.4,"37,329"
2018-12-26,791,820,791,814.9,798.8,"22,512"
2018-12-24,795,817.6,775,775,804.7,"34,655"
2018-12-23,795.9,819.9,785,819.9,786.9,"32,798"
2018-12-20,815,849.9,805.7,849.9,811.3,"58,285"
2018-12-19,835.2,847.8,808,814.1,835.6,"41,328"
2018-12-18,805,847,792,825,805,"58,686"
2018-12-17,829.1,910,829.1,859,829.1,"69,699"
2018-12-13,892,962,886,937.3,896.3,"105,342"
2018-12-12,938,969,878,878,937.3,"89,022"
2018-12-11,910,959,895,950,908.4,"96,219"
2018-12-10,945,945.1,895,895,945.1,"154,138"
2018-12-09,879.2,879.2,825,825,879.2,"117,752"
2018-12-06,823,825,786.1,795,817.9,"81,453"
2018-12-05,784.9,800,770,780,778,"48,243"
