DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,119.6,120.3,119.2,120,119.4,"166,509"
2019-06-27,120,120.4,119.1,119.2,119.6,"162,816"
2019-06-26,120.3,120.5,119,120,119.7,"120,520"
2019-06-25,120,121.3,112,112,119.8,"158,327"
2019-06-24,120.7,122,119,121,119.2,"138,984"
2019-06-23,120.4,121.5,119.6,119.6,120.7,"179,424"
2019-06-20,120.5,120.5,118,119.3,119.6,"308,034"
2019-06-19,119.3,121.2,118.5,119.2,119.2,"309,362"
2019-06-18,119.6,122.6,119.5,122.6,120.1,"308,300"
2019-06-17,122,123.1,121.2,121.3,122,"380,820"
2019-06-16,121.4,124,120.8,123.8,121.3,"546,286"
2019-06-13,122.1,124.5,121.8,123.6,122.6,"349,704"
2019-06-12,124.1,125.1,123.2,125,123.9,"329,617"
2019-06-11,124.4,125.3,122.5,123,124.4,"552,365"
2019-06-10,122.7,124.4,122.5,123.7,122.8,"234,127"
2019-06-09,123.7,123.8,121.2,121.3,123.1,"244,882"
2019-05-30,121.7,122.7,121,122,121.3,"205,735"
2019-05-29,121.9,122.8,120.5,121.2,121.4,"445,948"
2019-05-28,121.3,121.3,120,121,121,"152,682"
2019-05-27,120.5,120.9,119.1,119.8,120.1,"289,960"
2019-05-26,120.3,122,119.3,120.5,120,"196,420"
2019-05-23,120.6,120.7,117.6,119.9,120.1,"217,305"
2019-05-22,119.1,122.7,119.1,121.7,119.9,"235,952"
2019-05-21,121.3,122.5,118.4,119.4,121.6,"547,780"
2019-05-20,119.3,119.8,117,117,119.4,"200,152"
2019-05-19,117.3,118.9,116.7,118.4,117,"209,613"
2019-05-16,118.2,118.3,116.3,117.4,117.7,"107,900"
2019-05-15,117,119,116.6,118.9,116.7,"220,553"
2019-05-14,118.6,120.4,118.1,120,118.6,"181,613"
2019-05-13,119.6,121.9,119.3,121.7,119.7,"185,704"
2019-05-12,121.1,122.9,120.9,122.3,121.1,"327,151"
2019-05-09,122.1,122.8,120.9,121.7,121.7,"289,470"
2019-05-08,122.5,123.9,120.8,123.4,121.4,"396,204"
2019-05-07,123.1,126.4,122.9,125.1,123,"651,056"
2019-05-06,124.6,128,123.6,127,124.5,"784,922"
2019-05-05,127,128.7,123.3,123.5,126.7,"1,404,167"
2019-05-02,122.3,122.9,121,121,121.9,"577,521"
2019-04-30,121,122.8,119.6,121.1,120.9,"642,397"
2019-04-29,118.9,121,118.2,118.2,120.1,"520,176"
2019-04-28,118,125.8,117.6,125.5,118.1,"902,510"
2019-04-25,125,126,123.6,125,124.8,"1,105,020"
2019-04-24,123.8,125.7,121.3,122,123.6,"1,736,178"
2019-04-23,121.4,123,118.8,122.9,121,"642,667"
2019-04-21,121.6,123.9,120.4,120.8,121.9,"923,835"
2019-04-18,120.5,120.6,116.8,117.9,119.7,"507,405"
2019-04-17,117.6,117.7,115.5,116.8,117,"187,171"
2019-04-16,116.7,117.3,115.2,115.7,116.7,"335,958"
2019-04-15,115.4,117.7,115.3,117.7,115.6,"133,833"
2019-04-11,117.2,117.4,115.1,116.9,116.7,"144,771"
2019-04-10,116.5,118,115.5,116.4,115.8,"210,758"
2019-04-09,116.4,119,116,119,116.3,"278,238"
2019-04-08,117.7,121,117.7,120,118.3,"464,560"
2019-04-07,119.7,119.9,116.5,116.9,119.4,"539,357"
2019-04-04,116.7,116.7,115.3,116.4,115.7,"133,711"
2019-04-03,115.7,116.7,115.5,115.5,115.8,"109,161"
2019-04-02,116,117.4,115.6,117,115.9,"133,791"
2019-04-01,117.4,117.5,115.8,116,116.6,"159,108"
2019-03-31,116.3,116.5,115,116,115.6,"120,738"
2019-03-28,115.2,116.9,114.5,116.5,115.3,"134,338"
2019-03-27,115.8,118.9,115.8,118.9,116.3,"272,137"
2019-03-25,118.5,119.3,117.6,118.5,118.1,"272,628"
2019-03-24,118,118,115.7,116.5,117.6,"230,823"
2019-03-21,116.3,116.5,114,115,115.9,"196,236"
2019-03-20,115.1,116.2,114.2,115.9,114.7,"225,929"
2019-03-19,115.4,116.3,114.1,114.3,115.2,"195,107"
2019-03-18,115,117.5,114,116.9,114.5,"188,347"
2019-03-14,115.9,118,113.5,114.7,115.2,"308,076"
2019-03-13,112.6,116.7,112.4,114.4,113.7,"321,879"
2019-03-12,114.7,117.2,114.4,116,114.9,"351,973"
2019-03-11,117.2,120,116.9,119.5,117.3,"327,248"
2019-03-10,118.9,121.5,118.7,119.5,119.2,"373,657"
2019-03-07,118.5,121,118,120,118.8,"368,441"
2019-03-06,118.2,122.8,118.2,121.7,118.9,"493,808"
2019-03-05,121.5,126.7,120.6,124.1,121.7,"1,082,279"
2019-03-04,123.9,125.7,122.1,123.5,124.1,"1,040,010"
2019-03-03,123.5,124,117.9,118.8,123.2,"1,150,086"
2019-02-27,117.3,117.9,115,116,117.1,"623,663"
2019-02-26,115.7,118,115.1,118,116,"265,633"
2019-02-25,116.7,120.4,116.4,117.5,116.9,"1,309,058"
2019-02-24,116.9,117.3,114.3,114.9,116.8,"485,237"
2019-02-20,114.5,116,112.7,113.2,114.2,"335,924"
2019-02-19,113.2,115.8,112.5,113.8,113.3,"325,981"
2019-02-18,113.1,113.9,110.9,111.2,112.9,"183,503"
2019-02-17,111.5,112.7,111.1,111.5,111.3,"125,659"
2019-02-14,111.5,113.7,111.4,113.7,111.6,"195,897"
2019-02-13,112,113.5,111.8,112.7,112,"215,725"
2019-02-12,113.1,114.4,112.5,113.9,112.7,"262,447"
2019-02-11,114,115.4,113.1,115,113.7,"239,383"
2019-02-10,114.9,118,114.1,115.5,114.7,"931,156"
2019-02-07,114.3,115.9,113.6,114.8,114.1,"373,400"
2019-02-06,113.2,115.5,112.5,113,113.4,"1,034,822"
2019-02-05,113,113.8,112,112,112.8,"257,857"
2019-02-04,112.7,113,110.1,110.9,111.8,"318,004"
2019-02-03,110.6,111,108.2,108.2,110,"135,255"
