DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,17.3,17.6,17,17.3,17.3,"3,891,094"
2019-06-27,17.1,17.3,16.9,17.1,17.2,"3,990,471"
2019-06-26,16.8,17.1,16.7,16.9,16.9,"2,296,957"
2019-06-25,16.9,17.4,16.8,17.2,16.9,"3,808,557"
2019-06-24,17.2,17.3,16.3,16.5,17.1,"3,170,555"
2019-06-23,16.5,17.2,16.3,17,16.5,"2,044,951"
2019-06-20,17,17.5,16.6,17.1,17,"6,492,647"
2019-06-19,16.9,18,16.8,17.4,17,"6,322,333"
2019-06-18,16.9,16.9,15.5,15.5,16.9,"8,822,564"
2019-06-17,15.5,15.5,14.8,15.3,15.4,"1,663,621"
2019-06-16,15.2,15.9,15.2,15.6,15.3,"1,923,724"
2019-06-13,15.4,15.4,15,15.1,15.4,"1,549,281"
2019-06-12,15,15.2,14.9,15.2,15,"977,611"
2019-06-11,15.1,15.4,15.1,15.3,15.2,"658,386"
2019-06-10,15.2,15.4,14.8,14.9,15.2,"1,595,515"
2019-06-09,14.8,14.9,14.6,14.8,14.8,"251,605"
2019-05-30,14.8,14.8,14.4,14.7,14.7,"474,452"
2019-05-29,14.5,14.8,14.5,14.8,14.6,"219,999"
2019-05-28,14.6,14.7,14.5,14.5,14.6,"347,783"
2019-05-27,14.3,14.6,14.3,14.5,14.4,"311,328"
2019-05-26,14.4,14.9,14.4,14.7,14.5,"303,986"
2019-05-23,14.8,14.9,14.6,14.9,14.7,"388,888"
2019-05-22,14.7,14.9,14.7,14.7,14.7,"254,013"
2019-05-21,14.6,14.8,14.6,14.7,14.7,"215,721"
2019-05-20,14.9,15.2,14.7,15.2,14.8,"639,741"
2019-05-19,15,15.2,14.8,14.8,15.1,"1,103,165"
2019-05-16,14.7,14.9,14.6,14.7,14.7,"444,651"
2019-05-15,14.5,14.7,14.4,14.7,14.5,"319,958"
2019-05-14,14.8,15,14.6,15,14.6,"426,256"
2019-05-13,14.7,15.1,14.6,15.1,14.8,"529,301"
2019-05-12,15.1,15.3,14.6,14.7,15,"1,783,467"
2019-05-09,14.6,14.8,14.3,14.4,14.6,"949,135"
2019-05-08,14.4,14.5,14.1,14.5,14.3,"394,259"
2019-05-07,14.4,15.2,14.3,15,14.4,"1,064,515"
2019-05-06,14.9,15.2,14.8,14.8,14.8,"1,056,184"
2019-05-05,15,15.3,14.9,15.1,15.2,"1,620,449"
2019-05-02,14.8,15,13.9,14,14.9,"1,531,887"
2019-04-30,13.9,14.3,13.7,13.7,13.8,"1,113,687"
2019-04-29,13.8,14,13.8,14,13.9,"385,973"
2019-04-28,14,14.3,13.8,14.3,14,"624,254"
2019-04-25,14.2,14.4,14.1,14.2,14.2,"396,632"
2019-04-24,14,14.3,13.9,14.2,14,"905,845"
2019-04-23,14.2,14.7,14.1,14.7,14.2,"833,367"
2019-04-21,14.9,15.1,14.6,14.7,14.8,"973,401"
2019-04-18,14.6,14.8,14.2,14.2,14.7,"813,848"
2019-04-17,14.3,14.3,13.9,14.1,14.1,"363,908"
2019-04-16,14,14.3,13.9,14.3,14,"650,371"
2019-04-15,14.3,14.7,14.3,14.7,14.3,"287,440"
2019-04-11,14.8,14.8,14,14.4,14.6,"620,765"
2019-04-10,14.2,14.7,14,14.6,14.2,"775,005"
2019-04-09,14.5,14.8,14.4,14.6,14.5,"353,443"
2019-04-08,14.6,15.1,14.5,15.1,14.6,"667,745"
2019-04-07,15,15.5,15,15.5,15.1,"407,160"
2019-04-04,15.4,15.5,15.3,15.5,15.4,"376,301"
2019-04-03,15.4,15.8,15.4,15.8,15.5,"593,531"
2019-04-02,15.7,15.8,15.5,15.5,15.7,"1,031,130"
2019-04-01,15.4,15.5,15.3,15.5,15.4,"504,325"
2019-03-31,15.3,15.7,15.2,15.7,15.3,"590,161"
2019-03-28,15.7,15.8,15.5,15.6,15.7,"739,706"
2019-03-27,15.6,15.6,15.4,15.5,15.5,"373,565"
2019-03-25,15.4,15.6,15.2,15.4,15.4,"623,642"
2019-03-24,15.4,15.5,15.1,15.5,15.2,"528,416"
2019-03-21,15.4,15.5,15.1,15.2,15.4,"1,043,363"
2019-03-20,15.2,15.7,15.2,15.7,15.2,"916,067"
2019-03-19,15.6,15.7,15.2,15.3,15.5,"912,886"
2019-03-18,15.3,16,14.9,15.8,15.3,"993,393"
2019-03-14,15.7,16.4,15.6,16.1,15.7,"1,331,416"
2019-03-13,16.1,16.5,15.9,16.5,16.1,"1,868,010"
2019-03-12,16.6,17.1,16.2,17,16.4,"1,316,457"
2019-03-11,16.8,17.7,16.8,17.7,16.9,"7,099,041"
2019-03-10,17.8,18.4,17.7,18.1,17.8,"1,514,452"
2019-03-07,17.9,18.4,17.9,18,18,"1,253,647"
2019-03-06,18,18.4,18,18.2,18.1,"1,341,320"
2019-03-05,18,18.3,17.9,18.1,18,"975,618"
2019-03-04,18,18.5,17.9,18.3,18,"1,533,326"
2019-03-03,18.3,19.1,18.3,19,18.4,"2,444,349"
2019-02-27,19,19.1,17.6,17.8,18.7,"3,100,040"
2019-02-26,17.7,18.1,17.5,18,17.7,"1,797,069"
2019-02-25,17.8,18.3,17.8,18.1,18,"1,015,685"
2019-02-24,17.8,18.7,17.7,18.5,17.9,"1,380,940"
2019-02-20,18.3,19,18.3,18.9,18.4,"2,497,221"
2019-02-19,18.9,19.4,18.8,19.3,18.9,"3,024,652"
2019-02-18,19.3,20.2,19.1,19.5,19.2,"5,004,474"
2019-02-17,19.4,20.1,19.3,19.8,19.5,"6,029,479"
2019-02-14,19.7,20.4,19.3,19.3,19.8,"10,144,483"
2019-02-13,19.4,19.5,18.7,19,19.3,"8,372,514"
2019-02-12,19,19.3,18,18,18.9,"8,914,616"
2019-02-11,18.2,18.4,17,17,18.1,"6,403,007"
2019-02-10,17.1,17.2,16.5,16.8,16.9,"2,119,701"
2019-02-07,16.7,17,16.4,16.7,16.5,"1,314,700"
2019-02-06,16.8,17,16.5,17,16.7,"1,115,704"
2019-02-05,17.1,17.3,16.7,16.8,17,"1,811,323"
2019-02-04,16.6,17.2,16.6,17,16.7,"1,769,072"
2019-02-03,16.9,17.8,16.9,17.5,17,"1,731,872"
2019-01-31,17.3,17.7,17.2,17.5,17.5,"3,110,712"
2019-01-30,17.2,17.7,17.2,17.6,17.3,"1,936,537"
2019-01-29,17.5,17.8,17.1,17.2,17.6,"2,997,731"
2019-01-28,17.1,18.2,16.9,18.2,17.1,"3,046,851"
2019-01-27,17.6,17.9,17,17,17.7,"4,422,838"
2019-01-24,17,17.2,16.1,16.4,17,"2,608,561"
2019-01-23,16.2,16.6,16,16.4,16.2,"1,300,775"
2019-01-22,16.3,16.7,16.2,16.5,16.3,"1,008,466"
2019-01-21,16.6,17,16.3,16.8,16.4,"1,153,500"
2019-01-20,16.6,16.9,16.1,16.3,16.6,"1,160,804"
2019-01-17,16.3,16.6,16.2,16.6,16.3,"1,430,892"
2019-01-16,16.5,16.9,16.5,16.7,16.6,"1,206,329"
2019-01-15,16.8,17.1,16.6,17.1,16.7,"1,234,230"
2019-01-14,17.1,17.2,16.8,16.9,16.9,"2,082,497"
2019-01-13,16.8,16.9,16.7,16.7,16.8,"1,604,153"
2019-01-10,16.8,16.9,16.5,16.7,16.7,"1,434,071"
2019-01-09,16.7,17.2,16.5,17.1,16.7,"1,881,751"
2019-01-08,17.2,17.3,17,17.1,17.1,"1,492,012"
2019-01-07,16.9,17.6,16.9,17,17,"1,697,019"
2019-01-06,17.2,17.6,17,17.3,17.4,"2,072,211"
