DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,236,239.1,235.3,239.1,236.3,"120,263"
2019-06-27,239,241.8,235.1,238.9,239.1,"342,467"
2019-06-26,238.3,238.7,233.6,235.4,238.1,"130,320"
2019-06-25,236,236.7,231,232,235,"131,796"
2019-06-24,232.1,234,232,232.1,232.3,"56,620"
2019-06-23,233,233,231,232.2,232.4,"86,693"
2019-06-20,231,233.3,230.5,230.5,231.2,"35,756"
2019-06-19,231.7,233.9,230.9,233,232.1,"56,066"
2019-06-18,230.6,233,230,231.1,230.7,"23,450"
2019-06-17,232.6,235,228.1,235,232.1,"101,203"
2019-06-16,233.5,237.3,230.3,237.3,233.6,"46,300"
2019-06-13,236.2,238,234.3,235.7,236.8,"110,421"
2019-06-12,238,238,230.2,233.4,235.8,"176,379"
2019-06-11,234.3,234.8,230,230,233.4,"64,894"
2019-06-10,229.4,230.3,226.5,226.5,229.7,"129,955"
2019-06-09,227.1,227.1,225.8,225.8,227,"40,154"
2019-05-30,226.5,227.4,222,225,225.8,"79,639"
2019-05-29,226,226.9,224,226,226,"43,533"
2019-05-28,226.5,226.7,219.3,219.3,226,"37,458"
2019-05-27,221.5,222.5,218,218,220.4,"9,603"
2019-05-26,219.5,222.9,218.7,222.9,219.7,"23,169"
2019-05-23,223,225.9,223,225.9,223.9,"29,018"
2019-05-22,226.9,227.1,221.2,221.2,226.5,"49,841"
2019-05-21,225,225.8,220.2,221,223.7,"64,091"
2019-05-20,220,220.5,219.6,220.1,220,"19,503"
2019-05-19,221,221.4,218,218,221,"23,638"
2019-05-16,218,218.5,216.6,218,217.3,"24,968"
2019-05-15,218.8,218.9,215.5,215.5,217.7,"13,698"
2019-05-14,216,219,215.5,215.5,215.9,"6,671"
2019-05-13,216.4,218.9,215.7,216.1,216.6,"24,994"
2019-05-12,218.2,219.2,216,219.1,216.3,"41,901"
2019-05-09,218.6,220,218.2,218.9,218.4,"44,891"
2019-05-08,219.3,221.4,218.9,220,219.5,"7,768"
2019-05-07,219.1,225.3,218.2,224.8,221.3,"43,607"
2019-05-06,225.3,227.4,225,225.9,225.1,"72,746"
2019-05-05,226.9,228,225.1,225.2,227,"50,776"
2019-05-02,225.6,226.9,221,221.1,225.3,"24,982"
2019-04-30,221.4,225,218.2,220,224.1,"88,225"
2019-04-29,218,222,212.3,212.3,219.7,"100,723"
2019-04-28,214,218,208,210.1,212.2,"41,692"
2019-04-25,215.5,216.5,214.5,215.7,215,"31,333"
2019-04-24,216.3,216.5,213.4,215,215.7,"54,618"
2019-04-23,214.7,218.8,214.7,218.6,215.4,"71,904"
2019-04-21,219,226,218.5,218.5,219.6,"29,711"
2019-04-18,219,221,216,216,219.5,"49,122"
2019-04-17,218.1,220.9,215.3,215.5,218.2,"40,977"
2019-04-16,214.3,218,213.9,216,214.4,"37,258"
2019-04-15,215,228,215,222,217.4,"87,455"
2019-04-11,220,220,213.4,213.5,219.7,"143,033"
2019-04-10,213,223,212,223,212.8,"92,680"
2019-04-09,218,223.5,218,221.1,220.2,"53,737"
2019-04-08,220.3,226.1,220.3,226,221.1,"80,137"
2019-04-07,226.3,229.4,225.2,229.1,226,"65,703"
2019-04-04,232.9,234,226,230.2,228.5,"107,858"
2019-04-03,231.9,232,229,232,230.3,"70,393"
2019-04-02,232.5,234,231.9,233.9,232.9,"38,395"
2019-04-01,232.1,233.5,231.6,232,232.2,"87,563"
2019-03-31,232.1,233.8,231.5,232.3,232.1,"55,212"
2019-03-28,233,234,232.3,232.4,232.7,"29,647"
2019-03-27,232.4,234,231.1,232.1,232.4,"59,746"
2019-03-25,232.5,234,231.8,234,232.8,"82,042"
2019-03-24,232.8,234.4,231.6,232.5,232.2,"108,240"
2019-03-21,234,235.9,232.6,232.7,234.2,"54,758"
2019-03-20,233.9,236.8,232.3,236.7,233.9,"57,538"
2019-03-19,232.9,235.2,231,232.2,233.9,"71,205"
2019-03-18,231.5,236.1,231,236.1,231.7,"72,674"
2019-03-14,235.5,239,235.5,236.6,236,"74,053"
2019-03-13,237,239.5,235.2,239.5,235.5,"73,552"
2019-03-12,238.7,248.3,238,245,238.7,"256,198"
2019-03-11,245,245,237,240.9,243.3,"243,179"
2019-03-10,240,240.6,235.4,236.4,238.9,"155,918"
2019-03-07,235,236.7,233.7,236.7,234.9,"48,836"
2019-03-06,232,237,232,233.5,233.1,"84,468"
2019-03-05,235,239.9,231.9,234.1,233.3,"131,755"
2019-03-04,236,245,228.2,228.2,234.4,"471,375"
2019-03-03,228.8,234.9,226.1,234.9,229.8,"95,293"
2019-02-27,231.9,233.3,231.3,232.1,232,"168,159"
2019-02-26,235.7,237.6,229,236.1,231.7,"113,104"
2019-02-25,236.4,237.7,234.1,234.1,236.6,"43,239"
2019-02-24,234,236.5,233.3,234,235,"56,245"
2019-02-20,234,236.5,233,233,234,"95,372"
2019-02-19,233,237.9,231,236,232.7,"135,325"
2019-02-18,237.8,240,235.5,239.1,236.1,"79,370"
2019-02-17,238,245,237.9,240,238.2,"74,990"
2019-02-14,239.6,245,238.4,241.9,239.1,"107,879"
2019-02-13,238.1,242.9,238.1,242.9,238.8,"106,990"
2019-02-12,240.2,245,240.2,245,240.6,"138,048"
2019-02-11,243,245.8,242.5,244.8,243.4,"119,163"
2019-02-10,244,248,243.4,246.9,244.5,"232,372"
2019-02-07,245,246.8,243.1,244.9,245.1,"195,719"
2019-02-06,244.1,246,241,242,244.8,"159,990"
2019-02-05,241.2,249.9,240.3,248.4,243,"144,468"
2019-02-04,246.8,248.4,244.3,247.4,246.9,"253,833"
2019-02-03,244.2,247.7,240.9,241,244.8,"213,392"
2019-01-31,238.1,245,236.9,239,240.4,"208,159"
2019-01-30,240,241,235.5,237.7,238.6,"140,183"
2019-01-29,240.2,241.7,236.9,240.5,237.4,"181,225"
2019-01-28,241.3,243,237.6,237.6,240.5,"200,580"
2019-01-27,237,244.8,236,243.5,237,"364,760"
2019-01-24,243.5,250,242.2,250,243,"295,307"
2019-01-23,247.5,248,236.3,242.4,246.5,"404,514"
2019-01-22,240,251,237.1,245.4,238.9,"510,833"
2019-01-21,244.5,254.5,242,252.1,244.3,"624,833"
2019-01-20,251,261.4,250.2,258.8,251.7,"357,947"
2019-01-17,255.5,264,255.1,259.9,255.7,"567,184"
2019-01-16,261.8,276,257.5,275,259.9,"1,037,808"
2019-01-15,273.5,281,269.1,278,273.3,"1,013,320"
2019-01-14,273,280,260,260,272.7,"1,458,320"
2019-01-13,257.7,266,256.2,260,257.8,"639,281"
2019-01-10,259.9,268,256.2,268,258.4,"722,940"
2019-01-09,264.8,267.4,247,247,263,"1,384,935"
2019-01-08,245.7,253.9,242.2,247,245.9,"751,777"
2019-01-07,245.1,254,230,235,244.1,"912,824"
2019-01-06,234.9,236.7,215.5,219.9,234.5,"651,419"
2019-01-03,218,218.9,216.4,217.4,217.7,"240,720"
2019-01-02,218.1,221.9,214.7,220,216.1,"123,845"
2019-01-01,220.3,220.8,216.6,216.6,219.6,"48,933"
2018-12-27,215,219.5,215,218.1,216.2,"149,881"
2018-12-26,218,219.7,217,218.1,217.8,"64,070"
2018-12-24,218.7,218.7,217,217,218.1,"37,912"
2018-12-23,219,219.8,216.1,216.1,218.3,"98,630"
2018-12-20,216,217,215.2,217,216,"65,967"
2018-12-19,217.1,219.9,216.4,217.1,217.1,"85,532"
2018-12-18,217.2,219.8,216,217.5,217.9,"46,881"
2018-12-17,216.5,223.9,216.4,220.8,217.5,"195,896"
2018-12-13,220,222,215.6,216.8,220.8,"397,148"
2018-12-12,215,217.8,215,217.8,215.5,"106,210"
2018-12-11,216.2,220,213.2,216,217.8,"226,479"
2018-12-10,215.5,215.5,209.3,214.3,214.1,"131,329"
2018-12-09,212.9,214.6,208.6,209,212.1,"98,011"
2018-12-06,208.7,212,208.7,211.3,208.9,"117,034"
2018-12-05,211.7,215.4,211.1,213.8,212,"32,229"
2018-12-04,212.7,215,210,210,213.6,"42,558"
2018-12-03,210.3,215,210,215,210.6,"71,741"
2018-12-02,214.4,218.8,214.4,218.8,214.8,"86,626"
2018-11-29,211,222,211,219.5,217.9,"259,052"
2018-11-28,217.9,223,217.9,219.4,219,"143,046"
2018-11-27,218,224,217.1,224,219.4,"62,700"
2018-11-26,221,223.9,216.9,223.9,219.2,"37,410"
2018-11-25,217.5,225,217,221,218.3,"23,914"
2018-11-22,221,229,220.1,229,221.5,"121,319"
2018-11-20,224,225.9,219.1,223.9,224.9,"91,346"
2018-11-19,218.4,221,214,220.5,218.7,"112,482"
2018-11-18,215.1,222,210,210,216.3,"47,046"
2018-11-14,221.7,224.6,218,222.2,219.1,"76,686"
2018-11-13,224,226,223.4,223.4,224.6,"93,633"
2018-11-12,222.7,226,218.3,220,221.8,"104,334"
2018-11-11,217.5,219.9,212,214.1,218.3,"76,795"
2018-11-08,215.6,217.5,213,217.5,214.4,"58,469"
2018-11-07,215,215.9,212.8,212.8,214,"37,813"
2018-11-06,212,216.7,212,216,212.5,"57,451"
2018-11-05,213,214.8,211,213.4,213.3,"74,534"
2018-11-04,212.7,220,212.7,216.6,213.3,"74,921"
2018-11-01,216,219.8,215.8,218.5,216.1,"58,844"
2018-10-31,218.8,220.5,217.1,220.5,218.5,"28,573"
2018-10-30,220,225,220,225,220.6,"196,511"
2018-10-29,226,227.1,220,227,222.8,"137,026"
2018-10-28,227,228.5,223.1,227.5,224.6,"32,871"
