DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,13.4,13.5,13.2,13.5,13.3,"901,254"
2019-06-27,13.5,13.5,13.3,13.5,13.5,"610,750"
2019-06-26,13.4,13.5,13.2,13.4,13.3,"485,833"
2019-06-25,13.4,13.5,13.3,13.4,13.3,"367,223"
2019-06-24,13.4,13.5,13.2,13.3,13.4,"1,500,890"
2019-06-23,13.2,13.3,13.1,13.2,13.3,"910,373"
2019-06-20,13.2,13.4,13.2,13.3,13.2,"406,625"
2019-06-19,13.3,13.4,13.1,13.2,13.3,"610,688"
2019-06-18,13.3,13.3,13,13.1,13.2,"539,858"
2019-06-17,13.2,13.8,13,13.6,13.1,"1,087,435"
2019-06-13,14.8,14.9,14.7,14.8,14.8,"846,199"
2019-06-12,14.8,15,14.7,15,14.8,"1,538,908"
2019-06-11,15,15.1,14.6,14.7,15,"1,382,335"
2019-06-10,14.7,15,14.6,15,14.7,"1,495,310"
2019-06-09,15,15.1,14.8,14.9,15,"1,037,167"
2019-05-30,15,15,14.4,14.5,14.9,"3,019,304"
2019-05-29,14.5,14.5,14,14.2,14.4,"2,136,153"
2019-05-28,14.1,14.2,14.1,14.2,14.1,"1,057,579"
2019-05-27,14,14.2,13.9,14.2,14,"2,035,880"
2019-05-26,14.2,14.2,14,14,14.2,"1,368,507"
2019-05-23,14.1,14.2,14,14.1,14,"755,447"
2019-05-22,14.2,14.3,14,14.3,14.1,"480,512"
2019-05-21,14.2,14.4,13.9,14.2,14.2,"592,533"
2019-05-20,14.4,14.9,14.2,14.8,14.3,"585,923"
2019-05-19,14.7,14.7,14.2,14.2,14.5,"1,408,976"
2019-05-16,14.1,14.2,14,14.1,14.1,"1,043,435"
2019-05-15,14.2,14.2,13.9,14,14,"1,528,010"
2019-05-14,13.9,14.2,13.8,14,13.9,"1,629,918"
2019-05-13,14,14.1,13.8,13.9,14,"945,190"
2019-05-12,13.9,14.2,13.9,14.2,14,"1,415,963"
2019-05-09,14.1,14.2,14,14.1,14,"220,325"
2019-05-08,13.9,14.2,13.9,14.2,14,"452,560"
2019-05-07,13.9,14.3,13.8,14.3,14,"688,881"
2019-05-06,14.1,14.3,14,14.3,14.1,"966,665"
2019-05-05,14.2,14.3,13.8,14,14.3,"446,316"
2019-05-02,14,14,13.4,13.9,13.9,"800,892"
2019-04-30,14.1,14.8,13.9,14.7,14.1,"1,033,688"
2019-04-29,14.5,14.8,14.3,14.8,14.3,"623,027"
2019-04-28,14.7,14.9,14.6,14.9,14.7,"224,395"
2019-04-25,14.9,14.9,14.5,14.8,14.8,"170,690"
2019-04-24,14.8,14.9,14.3,14.9,14.7,"564,669"
2019-04-23,14.6,14.7,14.4,14.5,14.6,"513,942"
2019-04-21,14.4,14.5,14.2,14.3,14.3,"599,888"
2019-04-18,14.4,14.5,14.1,14.2,14.3,"161,130"
2019-04-17,14.1,14.5,14.1,14.3,14.2,"626,497"
2019-04-16,14.5,14.5,14.2,14.3,14.3,"192,230"
2019-04-15,14.4,14.6,14.3,14.6,14.3,"74,301"
2019-04-11,14.5,14.7,14.2,14.4,14.4,"393,287"
2019-04-10,14.3,14.4,14.1,14.4,14.2,"252,673"
2019-04-09,14.2,14.3,14,14.2,14.2,"305,747"
2019-04-08,14.1,14.5,14.1,14.2,14.2,"254,099"
2019-04-07,14.4,14.5,14.1,14.4,14.4,"251,820"
2019-04-04,14.6,14.6,14.1,14.1,14.3,"187,413"
2019-04-03,14,15,14,14.6,14.1,"251,910"
