DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,57.5,57.9,56,56,57.4,"144,958"
2019-06-27,55.9,56.4,55.9,56.3,56.1,"38,436"
2019-06-26,55.9,56.7,55.7,55.7,56.2,"85,361"
2019-06-25,55.7,56.7,55.6,56.6,55.7,"48,264"
2019-06-24,56.4,57,55.3,57,55.5,"103,244"
2019-06-23,56.8,56.8,56,56.3,56.3,"33,507"
2019-06-20,56.3,57,56.1,56.1,56.3,"38,593"
2019-06-19,56.7,57.2,56.1,56.1,56.6,"34,759"
2019-06-18,56.9,57,55.9,56.1,56.9,"37,363"
2019-06-17,56.3,57,56.3,57,56.4,"55,903"
2019-06-16,56.8,57.8,56.8,57.2,56.9,"80,733"
2019-06-13,57.5,58.8,57,58.8,57.4,"49,377"
2019-06-12,57.6,59.8,57.6,59.4,58.1,"111,705"
2019-06-11,59,59.9,58,58.2,59.1,"171,913"
2019-06-10,57.9,58.2,57.3,58,57.5,"49,191"
2019-06-09,57.8,57.8,56.8,56.8,57.3,"5,630"
2019-05-30,56.7,57.3,56.5,56.5,56.8,"22,815"
2019-05-29,57,58.5,56.3,58.5,56.4,"37,205"
2019-05-28,57,58,56.9,57.3,57,"16,201"
2019-05-27,57.8,57.8,56.6,56.9,57,"29,415"
2019-05-26,56.8,57.8,56.8,57.4,57,"16,775"
2019-05-23,58.3,58.5,57.5,58.4,57.9,"25,390"
2019-05-22,58.9,59.8,57.8,59.8,58.2,"23,533"
2019-05-21,58.9,59.4,57,57,59,"355,569"
2019-05-20,57.7,57.7,56.1,57.2,57,"48,031"
2019-05-19,57.5,57.8,56,56,57.5,"30,965"
2019-05-16,55.4,56.7,55.4,56.2,55.7,"32,311"
2019-05-15,56,56.9,55.8,56.4,56,"69,676"
2019-05-14,56.4,57.2,55.9,56.8,56.2,"25,542"
2019-05-13,57,57.5,56.7,57.5,56.9,"29,650"
2019-05-12,57.5,57.9,57,57.4,57.1,"48,313"
2019-05-09,57.5,59.4,56.6,58.8,57.3,"78,063"
2019-05-08,57.5,58.8,57,58.8,57.4,"68,368"
2019-05-07,59.2,60.3,57.5,59.6,58.4,"229,252"
2019-05-06,59.3,60.1,56.5,58.5,59.1,"383,690"
2019-05-05,58.7,58.7,56.4,56.5,58.5,"163,887"
2019-05-02,56.6,56.6,54.8,55.8,56.4,"97,916"
2019-04-30,54.1,55.8,53.7,55.8,53.8,"53,342"
2019-04-29,54.5,56,54.5,55.1,54.5,"31,436"
2019-04-28,54.9,55.8,54.5,54.8,55.5,"58,565"
2019-04-25,55,55.2,54.5,54.5,54.7,"93,455"
2019-04-24,54,54.9,53.9,54.6,54.8,"78,892"
2019-04-23,54.4,54.9,53.8,54.3,54.6,"91,767"
2019-04-21,54.5,55.5,54.2,54.5,54.6,"28,452"
2019-04-18,54.8,55.1,54.4,55.1,54.8,"116,676"
2019-04-17,54.6,55,54,54.1,54.1,"75,490"
2019-04-16,54.3,55.9,53.8,55.9,54.5,"59,186"
2019-04-15,55,55.9,55,55.6,55.2,"13,657"
2019-04-11,55.7,55.8,54.6,55.5,55.6,"15,926"
2019-04-10,55.1,55.7,54.5,55.1,54.9,"20,597"
2019-04-09,56,56.5,54.3,54.4,55.5,"78,588"
2019-04-08,54.1,56,54,55,54.3,"36,911"
2019-04-07,55.4,56.9,55.2,55.8,55.3,"103,022"
2019-04-04,56.9,57,54,54.1,55.5,"80,370"
2019-04-03,54.2,55,54.1,54.6,54.2,"68,559"
2019-04-02,55,55,53.9,53.9,54.8,"150,105"
2019-04-01,54.3,54.5,53.5,53.9,53.9,"38,390"
2019-03-31,53.7,54.8,53.7,54,53.9,"17,271"
2019-03-28,54.3,55.3,54.2,54.4,54.4,"16,988"
