DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,33.3,33.4,32.8,33,33.2,"112,367"
2019-06-27,32.7,33,32.5,32.6,32.7,"206,561"
2019-06-26,32.5,32.9,32.5,32.6,32.6,"329,359"
2019-06-25,32.6,32.8,32.5,32.5,32.6,"184,429"
2019-06-24,32.5,32.9,32.5,32.8,32.6,"121,602"
2019-06-23,32.8,32.8,32.6,32.6,32.8,"30,539"
2019-06-20,32.9,33.3,32.6,33.2,32.7,"133,421"
2019-06-19,33.2,34.1,33.2,34,33.2,"126,803"
2019-06-18,33.7,34.3,33.6,33.6,33.8,"68,616"
2019-06-17,33.6,34.2,33.6,34,33.6,"58,686"
2019-06-16,34.2,34.9,34,34.3,34.2,"51,732"
2019-06-13,33.8,34.8,33.8,34.2,34.2,"137,101"
2019-06-12,34.7,34.9,34.1,34.9,34.4,"66,075"
2019-06-11,34.8,34.9,34.1,34.1,34.6,"43,418"
2019-06-10,34.2,34.3,33.7,34,34.1,"118,337"
2019-06-09,34,34.2,33.6,34,34,"75,329"
2019-05-30,33.9,34,33.6,33.6,34,"51,079"
2019-05-29,34,34,33.4,33.9,33.8,"50,241"
2019-05-28,33.6,33.7,33.3,33.3,33.7,"26,865"
2019-05-27,33.2,33.5,33.1,33.1,33.3,"25,615"
2019-05-26,33.4,33.4,33.1,33.3,33.2,"12,455"
2019-05-23,33.6,33.6,33.3,33.4,33.4,"9,670"
2019-05-22,33.4,33.8,33.4,33.8,33.4,"9,389"
2019-05-21,33.4,33.9,33.4,33.9,33.5,"18,280"
2019-05-20,34,34,33.5,33.5,33.8,"47,831"
2019-05-19,34.7,34.7,32.9,32.9,34.3,"124,471"
2019-05-16,32.7,32.9,32.5,32.5,32.6,"33,698"
2019-05-15,32.9,33.3,32.4,33,32.5,"56,230"
2019-05-14,33,33,32.7,32.8,32.9,"26,131"
2019-05-13,33.5,33.7,32.8,33.7,32.9,"69,926"
2019-05-12,33.1,33.5,33.1,33.2,33.2,"48,625"
2019-05-09,33.2,33.4,32.9,33,33,"24,892"
2019-05-08,33,33.7,32.9,33.7,33,"28,860"
2019-05-07,33.7,34.4,33.4,34.4,33.6,"47,825"
2019-05-06,34,34.5,33.7,34.5,33.9,"142,675"
2019-05-05,34.2,34.6,33.7,33.9,34.1,"160,881"
2019-05-02,33.4,33.5,32,32,33.4,"116,563"
2019-04-30,31.8,32.2,31.8,32,31.8,"47,316"
2019-04-29,31.6,32.2,31.6,32.2,31.8,"19,085"
2019-04-28,31.7,32.2,31.7,32.2,31.7,"16,775"
2019-04-25,31.8,32,31.6,31.6,31.9,"29,475"
2019-04-24,31.6,31.9,31.5,31.9,31.7,"45,257"
2019-04-23,32,32.2,31.5,32.1,31.9,"71,837"
2019-04-21,32.2,32.9,32.1,32.7,32.3,"77,751"
2019-04-18,32.5,32.5,30.9,31.1,32.1,"68,310"
2019-04-17,31,31.2,30.7,30.9,31,"78,782"
2019-04-16,31,31.3,30.4,31.3,30.9,"90,689"
2019-04-15,31.4,32,31.3,31.9,31.4,"36,015"
2019-04-11,31.7,31.7,30.6,30.6,31.7,"44,484"
2019-04-10,31.1,32.1,31,32.1,31.2,"94,421"
2019-04-09,32.1,32.8,32,32.8,32.1,"46,136"
2019-04-08,32.5,32.9,32.4,32.8,32.4,"80,952"
2019-04-07,32.8,33.4,32.7,33.4,32.8,"78,787"
2019-04-04,33,33.8,32.8,33.8,33.1,"103,447"
2019-04-03,33.7,33.8,32.8,33.5,33.5,"108,636"
2019-04-02,33.8,34.1,33.5,33.5,33.8,"56,903"
2019-04-01,33.7,34,33.3,33.3,33.8,"16,181"
2019-03-31,33.6,34,33.2,34,33.3,"24,568"
2019-03-28,33.4,33.7,33.4,33.7,33.5,"38,687"
2019-03-27,33.7,34,33.6,33.6,33.7,"60,842"
2019-03-25,33.5,33.7,33.2,33.5,33.6,"50,750"
2019-03-24,33.1,34.5,33.1,33.9,33.2,"130,957"
2019-03-21,33.8,34,33.2,34,33.6,"73,582"
2019-03-20,33.6,34.5,33.6,34.4,33.8,"37,678"
2019-03-19,34.2,34.2,33.2,33.7,33.9,"147,909"
2019-03-18,33.7,34.5,33.6,33.9,33.7,"21,466"
2019-03-14,33.9,34.5,33.9,34.3,34.1,"49,658"
2019-03-13,34.2,35.2,34.2,35,34.3,"80,075"
2019-03-12,35,35.7,35,35.6,35,"36,477"
2019-03-11,35.5,35.8,35.3,35.6,35.6,"45,255"
2019-03-10,35.7,35.8,35.4,35.6,35.6,"33,169"
2019-03-07,35.2,36.1,34.4,34.8,35.5,"106,936"
2019-03-06,35.6,36,35.5,36,35.6,"38,953"
2019-03-05,35.7,36.5,35.4,35.6,35.7,"39,592"
2019-03-04,35.8,36.8,35.4,36.3,35.6,"157,569"
2019-03-03,36.3,36.8,36.2,36.4,36.4,"55,401"
2019-02-27,36.4,36.6,36.3,36.6,36.4,"28,815"
2019-02-26,36.9,36.9,36.3,36.9,36.6,"18,284"
2019-02-25,36.5,37,36.1,36.7,36.4,"119,422"
2019-02-24,36.7,37.2,36.6,37.1,36.7,"21,811"
2019-02-20,37,37.2,36.9,37,37,"41,865"
2019-02-19,37.1,37.3,36.9,37.3,37,"79,552"
2019-02-18,37.2,37.5,37.2,37.5,37.3,"54,731"
2019-02-17,37.1,37.5,37.1,37.2,37.2,"72,008"
2019-02-14,37.5,37.5,37,37.2,37.4,"56,043"
2019-02-13,37.2,37.6,37,37.3,37.2,"87,481"
2019-02-12,37.3,37.7,37.1,37.3,37.3,"34,955"
2019-02-11,37.6,37.8,37.2,37.6,37.3,"66,266"
2019-02-10,37.5,38,37.5,37.9,37.5,"63,270"
2019-02-07,38,38,37.5,37.9,37.9,"58,487"
