DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,24,24.5,23.8,24.1,23.9,"37,768"
2019-06-27,24.2,24.3,24,24.3,24.1,"25,937"
2019-06-26,24,24.9,23.6,24.9,23.9,"21,473"
2019-06-25,23.8,23.9,23.6,23.6,23.9,"5,432"
2019-06-24,23.7,24,23.6,23.6,23.8,"9,946"
2019-06-23,24,25,23.9,24.8,23.9,"26,876"
2019-06-20,24.7,25.7,24,25.4,24.7,"94,667"
2019-06-19,24.9,25.3,23.8,23.8,24.3,"112,018"
2019-06-18,23.6,24.2,23,24.2,23.2,"12,650"
2019-06-17,23.2,24.2,23.2,24.2,23.3,"32,971"
2019-06-16,24.1,24.8,23.7,24.8,23.9,"91,985"
2019-06-13,24.1,24.7,24,24.1,24.5,"39,768"
2019-06-12,24.1,24.5,24,24.5,24.2,"19,084"
2019-06-11,24.2,24.5,24.2,24.3,24.3,"19,904"
2019-06-10,24.2,24.8,24.2,24.8,24.2,"4,702"
2019-06-09,24.5,24.5,23.7,23.7,24.2,"14,626"
2019-05-30,24.2,24.4,24,24.2,24.2,"15,410"
2019-05-29,23.8,24.5,23.8,24.5,24.2,"19,901"
2019-05-28,24.1,24.3,23.9,24.2,24.1,"43,390"
2019-05-27,23.7,24.4,23.7,24.1,24,"47,272"
2019-05-26,24.3,24.3,23.3,23.6,24.2,"62,463"
2019-05-23,23.2,23.4,23,23.2,23.3,"21,515"
2019-05-22,23.2,23.2,23,23,23,"26,137"
2019-05-21,23,23.1,22.8,22.9,23,"29,748"
2019-05-20,23,23.2,22.7,23.2,23,"6,138"
2019-05-19,23.1,23.2,22.8,22.9,22.9,"3,093"
2019-05-16,22.8,22.8,22.6,22.6,22.7,"1,748"
2019-05-15,22.7,22.7,22.4,22.5,22.5,"8,500"
2019-05-14,22.6,22.8,22.3,22.8,22.5,"8,795"
2019-05-13,22.3,22.6,22.3,22.3,22.3,"23,281"
2019-05-12,22.1,22.8,22,22.3,22.3,"30,801"
2019-05-09,22.1,22.3,22.1,22.3,22.2,"11,126"
2019-05-08,22.2,22.8,22,22.5,22.2,"32,198"
2019-05-07,22.5,22.9,22.5,22.5,22.6,"3,701"
2019-05-06,22.7,22.9,22.5,22.8,22.6,"21,728"
2019-05-05,23,23.1,22.7,22.8,22.7,"31,756"
2019-05-02,22.8,22.8,22.6,22.8,22.7,"4,857"
2019-04-30,22.6,22.7,22.5,22.5,22.6,"5,026"
