DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,234.9,240,226.1,229,230.6,"40,670"
2019-06-27,229.7,230,225.5,228.5,227.9,"23,630"
2019-06-26,226,226,223.2,223.2,225.5,"8,846"
2019-06-25,225,225.3,223.5,225.1,224.8,"4,627"
2019-06-24,227.5,227.5,223.1,223.1,225.1,"21,805"
2019-06-23,222.6,225.8,222.3,224,222.6,"13,560"
2019-06-20,223.7,225.9,223.1,224.3,223.9,"12,511"
2019-06-19,224.4,228.3,224.1,225.6,224.2,"12,632"
2019-06-18,225.6,229.9,222,223.1,225.6,"4,524"
2019-06-17,226.2,228.2,226.1,228.2,226.2,"5,397"
2019-06-16,230,230.1,226,230.1,227.2,"12,526"
2019-06-13,227.7,231.2,227.5,231.2,227.6,"3,852"
2019-06-12,230,230.9,229,229,229.9,"7,046"
2019-06-11,231,231.7,230,231.7,230.2,"11,335"
2019-06-10,230,232,229.9,230.3,231,"22,629"
2019-06-09,229.8,230,228.3,228.8,229.8,"8,881"
2019-05-30,229,229,226.2,226.2,228.2,"9,713"
2019-05-29,227.2,228.6,226.2,226.2,226.9,850
2019-05-28,228,228.1,224.5,228.1,227.5,"6,825"
2019-05-27,228.4,229.5,223,224.2,227.9,"5,026"
2019-05-26,225.5,226,222.3,224.6,224.2,"4,631"
2019-05-23,223.6,226.5,223.1,226.5,224.4,"2,092"
2019-05-22,226.3,226.4,223,223.1,226.1,"2,010"
2019-05-21,222.5,224.9,222.5,224.9,223.1,"19,732"
2019-05-20,225.5,227,224.2,227,224.6,"4,587"
2019-05-19,226.9,227,223.6,223.6,226.1,"3,441"
2019-05-16,224.9,227.4,223,227.4,223.3,"23,983"
2019-05-15,226,228.5,225.6,228.1,226.2,610
2019-05-14,228.5,230,225,230,228.1,"6,281"
2019-05-13,227.7,230.7,225.5,225.5,228.3,"7,687"
2019-05-12,228,228.5,225.2,225.2,228,"5,114"
2019-05-09,229,229,225,227,228.1,"10,038"
2019-05-08,228.8,229.1,225,226.1,227.4,"5,000"
2019-05-07,225.6,232.5,224.3,232.5,224.9,"27,175"
2019-05-06,229.9,231.1,227.6,231.1,227.9,"13,019"
2019-05-05,232,232,228.5,228.5,231.1,"2,223"
2019-05-02,227.2,230.5,225.6,230.5,227.7,"8,337"
2019-04-30,227.5,229.5,227.5,229.5,227.8,"1,965"
2019-04-29,235,235,226.7,229.7,231.2,"11,929"
2019-04-28,229.6,231,227.1,229.9,229.8,"5,550"
2019-04-25,229.9,231,227.2,229.6,230.2,"3,076"
2019-04-24,229.1,230,225.6,225.8,229.6,"11,490"
2019-04-23,228.9,228.9,226.1,227,227,363
2019-04-21,226.8,234.9,223.1,234.8,226.9,"7,051"
2019-04-18,230.5,232,228,232,230.2,"7,386"
2019-04-17,229.8,235,229.8,230.5,230,"8,388"
2019-04-16,231.2,245,225.8,227.3,233,"20,471"
2019-04-15,227.5,227.5,224,227.5,225.8,"1,382"
2019-04-11,226.5,227.9,225.2,225.2,226.7,"9,611"
2019-04-10,220,236,220,234,224.7,"17,623"
2019-04-09,225.5,232,225.5,230.3,229.5,"6,193"
2019-04-08,229.8,234.5,229,229,230.3,"7,460"
2019-04-07,230.1,234,230.1,234,230.4,"6,302"
2019-04-04,236,236,229.6,232,231.3,"16,260"
2019-04-03,231.6,238,231.4,238,231.9,"22,564"
2019-04-02,235.8,238.7,234.1,237.8,235.1,"6,345"
2019-04-01,237,237,233,237,234.6,"27,310"
2019-03-31,233.2,238,232.1,238,233.3,"2,637"
2019-03-28,234.7,239.7,234.1,239,235.1,"20,943"
2019-03-27,238,238,232.7,238,236.2,"3,011"
2019-03-25,236.6,238,233,238,234.5,"11,601"
2019-03-24,237.5,240,233,239.7,234,"13,295"
2019-03-21,236,241,234.1,239.5,234.8,"21,468"
2019-03-20,237.7,242,235.2,239.9,237,"28,750"
2019-03-19,239.4,240.5,233.5,237.5,236.1,"30,213"
2019-03-18,237.9,237.9,229.7,234,235.9,"38,899"
2019-03-14,233.2,236,233,236,233.9,"20,525"
2019-03-13,236.2,237.9,235,237.9,235.3,"13,413"
2019-03-12,237,238,236.6,238,236.9,"12,631"
2019-03-11,238.2,243,237.3,243,238.2,"3,285"
2019-03-10,237.1,241.9,236.7,241.9,237.2,"1,572"
2019-03-07,242.9,243,238.1,240,240.6,"11,320"
2019-03-06,237.1,244,237,242.9,237.9,"19,572"
2019-03-05,239.6,245,239.4,241,240.1,"17,696"
2019-03-04,237.3,241.9,237,238.1,239.4,"18,287"
2019-03-03,239.1,242,238.9,238.9,239.8,"14,043"
2019-02-27,238.3,245,238,243,238.9,"26,408"
2019-02-26,241,245,240.1,243,241.9,"14,036"
2019-02-25,241.4,241.5,238.9,240.7,241,"34,644"
2019-02-24,242,243,239.2,242,240.7,"17,542"
2019-02-20,239.3,243,237.5,237.9,242.1,"21,617"
2019-02-19,240,240,236,239.7,237.9,"11,617"
2019-02-18,237.8,238,234.2,236.4,236.8,"10,691"
2019-02-17,236.5,240,233.5,234.5,236.4,"15,922"
2019-02-14,233.3,239.9,232.5,239.9,233.7,"43,755"
2019-02-13,238,240.9,237.6,239,238,"9,701"
2019-02-12,238.5,243,238,240,238.8,"25,779"
2019-02-11,240,244.9,238,244,238.6,"39,010"
2019-02-10,244.9,249.7,239.4,249.7,240.2,"35,102"
2019-02-07,246.5,251,243.1,251,245.3,"38,687"
2019-02-06,250,253.8,247,250.4,248.4,"59,211"
2019-02-05,250.8,255.9,247,255.9,247.9,"41,365"
2019-02-04,255.9,259.8,248,250,255.9,"160,127"
2019-02-03,249.5,253,241,241.7,247.4,"39,953"
2019-01-31,241.5,246.1,241.5,245.1,242.7,"29,462"
2019-01-30,249.7,249.7,243.2,248.7,247,"30,573"
2019-01-29,244,251,244,248,248.7,"55,990"
2019-01-28,249,254.9,243,243,247.2,"85,520"
2019-01-27,248.7,250,239.1,239.1,247.5,"34,205"
2019-01-24,239.8,240,237,240,239.1,"12,895"
2019-01-23,237.3,240.9,237.3,240.3,238.3,"11,032"
2019-01-22,240,243.7,240,243.5,241.3,"19,168"
2019-01-21,244,249.7,242,247,244.1,"13,982"
2019-01-20,245.9,247.6,241.5,247.6,244.1,"18,401"
2019-01-17,243.2,250.9,240,250,244.5,"27,905"
2019-01-16,253.5,253.5,245,251,249.9,"45,020"
