DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,21.5,22.1,20.8,21.8,21,"422,574"
2019-06-27,22.4,22.9,21.6,22.7,21.8,"570,809"
2019-06-26,22.2,22.5,21.6,21.7,22.3,"364,353"
2019-06-25,22,23.2,21.7,22.9,21.9,"1,018,019"
2019-06-24,22.7,23.8,22.6,23.3,22.7,"839,142"
2019-06-23,22.7,23.2,21.5,22.8,23,"533,366"
2019-06-20,22.8,24,22.5,23.8,22.7,"1,144,726"
2019-06-19,23.8,25,23.6,23.9,23.8,"2,300,342"
2019-06-18,22.8,24.1,22.4,22.4,23.4,"2,522,237"
2019-06-17,21.9,23,20.6,21,22.2,"1,489,488"
2019-06-16,20.9,22.5,20.8,22.5,21.1,"697,528"
2019-06-13,22,22.1,20,20.2,21.9,"2,207,630"
2019-06-12,20.1,20.4,19.4,19.8,20.1,"776,903"
2019-06-11,19.4,20.2,19.4,19.6,19.5,"481,679"
2019-06-10,19.5,19.6,18.7,19.2,19.4,"446,160"
2019-06-09,19.4,20.3,19.3,20.2,19.5,"190,904"
2019-05-30,20,20.4,19.7,19.7,19.9,"474,833"
2019-05-29,19.9,20.1,19.2,19.5,19.7,"646,062"
2019-05-28,19.5,19.6,18.7,19.2,19.4,"521,176"
2019-05-27,19.4,19.4,18.3,18.5,19.2,"920,478"
2019-05-26,18.6,18.8,17.8,17.9,18.5,"389,180"
2019-05-23,18,18,17.2,17.6,17.8,"473,237"
2019-05-22,17.5,18,17,17,17.6,"553,786"
2019-05-21,17.1,17.2,16.5,16.6,17,"283,811"
2019-05-20,16.6,17.4,16.5,17.4,16.6,"270,368"
2019-05-19,17.7,17.9,16.7,16.9,17.4,"453,067"
2019-05-16,16.8,17,16,16.1,16.9,"473,792"
2019-05-15,16.2,16.5,16,16.5,16.1,"40,437"
2019-05-14,16.3,16.4,16,16.4,16,"85,445"
2019-05-13,16.4,16.9,16.3,16.9,16.4,"176,075"
2019-05-12,16.5,17,16,16.4,16.4,"337,373"
2019-05-09,16,16.4,15.7,16,15.8,"319,988"
2019-05-08,16.1,16.7,16.1,16.1,16.1,"370,702"
2019-05-07,16.2,16.7,15.8,16,16,"689,123"
2019-05-06,15.6,15.6,15,15.2,15.5,"539,625"
2019-05-05,15.4,15.5,13.9,14.4,15.4,"311,805"
2019-05-02,14.6,15.2,14.2,14.4,14.3,"211,778"
2019-04-30,14.1,14.7,13.6,13.7,14.3,"239,490"
2019-04-29,13.4,13.7,13.2,13.2,13.4,"175,056"
2019-04-28,13.7,13.9,13,13.9,13.4,"205,886"
2019-04-25,14,14.2,13.9,14.2,14,"84,301"
2019-04-24,14.1,14.3,13.9,13.9,14,"53,104"
2019-04-23,14.1,14.5,14,14.5,14.1,"53,345"
2019-04-21,14.5,14.8,14.5,14.6,14.6,"171,370"
2019-04-18,14.9,14.9,14.4,14.5,14.5,"218,861"
2019-04-17,14.4,14.7,14,14.1,14.4,"213,720"
2019-04-16,14.2,14.8,14.1,14.2,14.2,"53,520"
2019-04-15,14.1,15,14.1,14.7,14.3,"50,567"
2019-04-11,14.9,15,14.4,15,14.6,"71,229"
2019-04-10,14.4,15.2,14.2,15,14.3,"135,333"
2019-04-09,14.5,15.5,14.3,15,14.4,"159,066"
2019-04-08,15,16.2,14.9,15.8,15.2,"200,951"
2019-04-07,16.2,16.3,15.8,16.3,16.1,"93,509"
2019-04-04,16.3,16.6,15.4,16.6,16.2,"97,288"
2019-04-03,15.9,16.5,15.9,16.4,16,"121,163"
2019-04-02,16.3,17.2,16.3,16.8,16.4,"383,690"
2019-04-01,16.5,16.5,15,15.2,16.4,"241,988"
2019-03-31,15,15,14.1,14.2,15,"314,360"
2019-03-27,14.8,15,14.2,15,14.4,"97,818"
2019-03-25,15,15.1,14.6,15,14.9,"57,504"
2019-03-24,14.9,15.3,14.6,15.2,14.8,"26,144"
2019-03-21,14.8,15.2,14.5,14.6,14.8,"195,801"
2019-03-20,15,15.7,15,15.4,15,"116,284"
2019-03-19,15.5,15.6,14.8,14.9,15.4,"74,598"
2019-03-18,15,15.3,14.5,14.9,14.8,"126,492"
2019-03-14,15.2,15.9,14.9,15.6,15,"79,232"
2019-03-13,15.7,16.4,15.2,16.1,15.7,"102,918"
2019-03-12,15.6,17.1,15.6,16.9,16.4,"407,246"
2019-03-11,17,17.2,17,17.2,17,"378,666"
2019-03-10,17.4,17.8,17,17.5,17.3,"473,446"
2019-03-07,17.1,17.5,16.7,16.7,17.1,"280,314"
2019-03-06,16.7,17,16,16.9,16.6,"445,148"
2019-03-05,17.1,18.5,16.6,18.5,17.2,"1,143,200"
2019-03-04,19.7,20.9,19.7,20,19.8,"202,972"
2019-03-03,20.1,21.5,19.8,21.5,20.2,"301,032"
2019-02-27,21.5,22.7,20.8,22.6,21.1,"794,848"
2019-02-26,22.2,23,22.2,22.7,22.3,"627,996"
2019-02-25,22.4,23.1,22.1,22.8,22.3,"320,869"
2019-02-24,22.1,23.4,21.9,23.4,22.4,"286,071"
2019-02-20,22.7,23.5,22.7,23,22.8,"327,012"
2019-02-19,23,23.2,22.3,22.3,22.6,"382,324"
2019-02-18,22,23.9,22,23.8,22.3,"523,275"
2019-02-17,24,24.2,23.2,24,23.8,"666,197"
2019-02-14,24.9,24.9,23.3,23.3,24.9,"1,889,896"
2019-02-13,22.7,22.9,21.7,22.1,22.7,"901,655"
2019-02-12,22.5,23,21.6,22.4,22,"1,196,214"
2019-02-11,22.2,22.2,20.6,20.6,22.2,"995,715"
2019-02-10,20.4,21.4,19.9,21.3,20.2,"983,193"
2019-02-07,21.8,24.2,21.1,23.8,21.6,"1,138,696"
2019-02-06,23.3,24.7,23.2,24,23.4,"1,195,315"
2019-02-05,23.3,24.9,22.6,24.7,23.5,"902,263"
2019-02-04,24,27.1,24,27,24.2,"1,589,816"
2019-02-03,26.4,27.8,26.1,27,26.6,"2,784,089"
2019-01-31,26.9,27.8,25.7,26,27,"3,412,747"
2019-01-30,25.6,25.6,23.8,23.9,25.6,"3,100,222"
2019-01-29,23.6,24.5,23,23.3,23.3,"1,396,024"
2019-01-28,23.9,25.4,22.8,24.9,23.1,"1,530,488"
2019-01-27,24.8,25.9,24,24.3,24.6,"3,416,105"
2019-01-24,23.6,24.4,23.3,23.5,23.6,"1,774,782"
2019-01-23,23.1,23.9,22.8,22.8,23.2,"1,021,387"
2019-01-22,22.3,24.7,22.3,23.9,22.6,"2,183,668"
2019-01-21,23.7,23.7,21.8,22,23.6,"1,408,676"
2019-01-20,22.6,23.4,21.3,23.3,21.6,"1,450,489"
2019-01-17,22.9,24.7,22.9,24,23.3,"1,911,974"
2019-01-16,23.8,25,23.2,23.8,23.6,"2,814,428"
2019-01-15,23.5,24.9,23.2,23.5,23.8,"2,174,156"
2019-01-14,23.9,24.5,22.4,23.5,23.3,"3,218,961"
2019-01-13,23.5,23.5,21.6,21.6,23.4,"2,541,244"
2019-01-10,21.5,21.5,19.7,19.8,21.4,"4,931,364"
2019-01-09,19.6,19.8,19,19.2,19.6,"1,663,485"
2019-01-08,19.1,19.5,18.1,18.2,19.2,"620,954"
2019-01-07,18.2,18.7,17.7,18,18,"586,016"
2019-01-06,17.9,19.5,17.7,19.5,18.1,"681,410"
2019-01-03,19,20,18.8,19.3,19.1,"1,001,552"
2019-01-02,19.2,19.4,18.6,19.4,19.2,"667,315"
2019-01-01,18.9,19,17.5,17.6,18.9,"478,716"
2018-12-27,17.5,17.9,17,17.9,17.4,"288,831"
2018-12-26,17.5,18.4,17.1,18.1,17.5,"531,206"
2018-12-24,18.4,18.5,17.9,18.5,18.2,"193,962"
2018-12-23,18.6,19.7,18.2,19.5,18.4,"350,762"
2018-12-20,19.6,20.3,19.5,20.1,19.5,"1,470,850"
2018-12-19,20.4,20.4,19.5,20.2,20.1,"1,519,414"
2018-12-18,20.2,20.2,18.7,19.3,20.1,"1,872,589"
2018-12-17,19.4,20,17.9,18.8,19.4,"1,599,833"
2018-12-13,18.7,18.7,16.7,17,18.7,"3,355,054"
2018-12-12,16.9,17.1,16.1,16.1,17,"1,327,111"
2018-12-11,15.8,15.8,14.2,14.4,15.8,"1,598,466"
2018-12-10,14.1,14.5,14,14.3,14.4,"329,579"
2018-12-09,14,14.5,14,14.4,14.1,"203,669"
2018-12-06,14.2,14.7,14,14.4,14.2,"136,116"
2018-12-05,14,14.4,13.9,14.4,14.1,"386,459"
2018-12-04,14,14.3,13.8,13.8,14.1,"243,070"
2018-12-03,13.9,14.2,13.9,14,14,"32,327"
2018-12-02,14.1,14.1,13.6,13.6,14,"110,928"
2018-11-29,13.7,13.8,13.5,13.7,13.7,"79,892"
2018-11-28,13.3,13.5,13.3,13.4,13.4,"94,090"
2018-11-27,13.4,13.8,13.4,13.8,13.5,"27,317"
2018-11-26,13.4,13.8,13.4,13.7,13.5,"19,310"
2018-11-25,13.6,13.8,13.5,13.8,13.6,"28,380"
2018-11-22,13.6,13.8,13.3,13.4,13.7,"44,851"
2018-11-20,13.2,13.9,13,13.9,13.4,"106,500"
2018-11-19,13.8,14,13.8,13.9,13.9,"28,843"
2018-11-18,13.9,14.1,13.8,14.1,13.9,"27,472"
2018-11-15,14.1,14.4,13.8,14,13.9,"44,145"
2018-11-14,13.8,14.3,13.8,13.8,14.1,"73,257"
2018-11-13,13.7,13.9,13.7,13.7,13.8,"47,268"
2018-11-12,13.9,14.2,13.7,13.9,13.8,"22,334"
2018-11-11,13.9,14.3,13.9,13.9,14,"42,305"
2018-11-08,14,14.4,14,14.4,14,"108,245"
2018-11-07,14.1,14.6,13.8,13.8,14.1,"61,562"
2018-11-06,13.8,14.2,13.7,14.2,13.8,"138,669"
2018-11-05,13.7,14.1,13.7,14.1,13.9,"40,178"
2018-11-04,13.8,14.2,13.8,14.2,13.8,"27,060"
2018-11-01,14,14.5,14,14.5,14,"78,674"
2018-10-31,14.5,14.6,14,14.4,14.3,"106,104"
2018-10-30,14.3,14.5,14.2,14.4,14.3,"68,650"
2018-10-29,13.8,14.1,13.7,13.7,14,"56,147"
2018-10-28,14,14,13.7,13.8,13.8,"15,300"
2018-10-25,13.8,14.2,13.8,14.2,14,"4,937"
2018-10-24,13.9,14.2,13.9,14.2,14,"98,144"
2018-10-23,14.4,14.4,13.9,14.3,14.2,"44,021"
2018-10-22,14,14.5,13.6,13.8,14.2,"91,626"
2018-10-21,14,14.1,13.8,14.1,13.9,"13,334"
2018-10-18,14.1,14.5,14.1,14.3,14.2,"33,647"
2018-10-17,14.4,14.6,14.2,14.4,14.3,"48,860"
2018-10-16,14.5,14.6,14,14.3,14.5,"103,337"
2018-10-15,14.2,14.2,14,14.1,14.1,"41,625"
2018-10-14,14,14.4,14,14.1,14.1,"111,899"
2018-10-11,14.2,14.6,14.1,14.4,14.2,"235,330"
2018-10-10,14.5,14.5,14.2,14.4,14.4,"158,293"
2018-10-09,14.4,14.5,14.2,14.5,14.4,"133,210"
2018-10-08,14.6,14.6,14.2,14.2,14.4,"152,792"
2018-10-07,14.2,14.4,14.1,14.3,14.2,"105,236"
2018-10-04,14.4,14.5,14.1,14.4,14.2,"219,806"
2018-10-03,14.3,14.6,14.1,14.1,14.3,"166,855"
2018-10-02,14.3,14.6,14.2,14.6,14.3,"115,560"
2018-10-01,14.7,15.4,14.5,14.8,14.6,"510,255"
2018-09-30,14.3,14.9,13.9,14.2,14.4,"331,862"
2018-09-27,14.3,14.7,14.1,14.6,14.1,"169,886"
2018-09-26,14.2,15.1,14.1,14.3,14.3,"555,632"
2018-09-25,14.2,14.2,13.3,13.3,14,"207,222"
2018-09-24,13,13.9,13,13.6,13.2,"137,366"
2018-09-23,13.4,14.3,13.3,14.1,13.5,"318,583"
2018-09-20,14.4,15.2,13.8,15,14,"712,127"
2018-09-19,15.3,16.8,15.2,16,15.3,"287,772"
2018-09-18,15.5,15.5,14.3,14.3,15.5,"569,089"
2018-09-17,14.2,14.7,14,14.6,14.1,"78,599"
