DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,16.8,17.2,16.7,16.8,16.8,"1,848,818"
2019-06-27,16.8,17,16.7,16.8,16.8,"1,118,478"
2019-06-26,16.7,16.9,16.5,16.8,16.6,"1,134,879"
2019-06-25,16.6,17.1,16.6,16.9,16.7,"1,461,553"
2019-06-24,16.9,16.9,16.4,16.6,16.8,"1,305,322"
2019-06-23,16.7,17,16.5,16.8,16.6,"961,451"
2019-06-20,16.8,17.4,16.6,17,16.8,"2,642,493"
2019-06-19,17,17.4,16.9,17.3,17,"2,019,421"
2019-06-18,17.3,17.5,16.6,16.6,17.3,"5,002,205"
2019-06-17,16.6,16.7,16.1,16.4,16.5,"1,604,476"
2019-06-16,16.5,16.9,16.4,16.7,16.5,"2,520,358"
2019-06-13,16.6,16.6,15.9,16,16.5,"1,775,895"
2019-06-12,16.2,16.3,15.9,16.3,16,"648,506"
2019-06-11,16.2,16.4,16,16.1,16.2,"1,206,661"
2019-06-10,16,16.2,15.8,15.8,16,"1,757,743"
2019-06-09,15.8,15.8,15.2,15.3,15.7,"307,454"
2019-05-30,15.5,15.5,15.2,15.4,15.4,"397,782"
2019-05-29,15.4,15.6,15.4,15.5,15.4,"213,922"
2019-05-28,15.5,15.5,15.3,15.3,15.5,"345,627"
2019-05-27,15.3,15.4,15.1,15.2,15.2,"271,868"
2019-05-26,15.3,15.5,15.2,15.5,15.2,"443,662"
2019-05-23,15.3,15.6,15.3,15.5,15.4,"355,214"
2019-05-22,15.6,15.7,15.4,15.7,15.6,"297,217"
2019-05-21,15.5,15.6,15.4,15.6,15.4,"380,667"
2019-05-20,15.4,16,15.4,16,15.5,"400,428"
2019-05-19,15.9,15.9,15.4,15.6,15.8,"969,310"
2019-05-16,15.6,15.6,15.3,15.5,15.4,"480,066"
2019-05-15,15.4,15.6,15.2,15.6,15.3,"239,232"
2019-05-14,15.3,15.6,15.2,15.6,15.3,"319,176"
2019-05-13,15.6,15.8,15.4,15.8,15.6,"298,152"
2019-05-12,15.7,15.9,15.5,15.7,15.6,"1,420,261"
2019-05-09,15.5,15.6,15.1,15.4,15.4,"547,194"
2019-05-08,15.2,15.4,14.9,15.2,15.1,"457,472"
2019-05-07,15.1,15.7,15,15.7,15,"988,180"
2019-05-06,15.2,16.1,15.1,16.1,15.2,"2,472,421"
2019-05-05,15.8,16.3,15.7,15.9,16,"1,158,214"
2019-05-02,15.6,15.6,14.5,14.5,15.6,"1,499,782"
2019-04-30,14.2,14.7,14.1,14.6,14.2,"258,540"
2019-04-29,14.3,14.3,14.1,14.3,14.2,"190,626"
2019-04-28,14.2,14.4,14.1,14.4,14.1,"138,959"
2019-04-25,14.2,14.5,14.2,14.5,14.3,"218,249"
2019-04-24,14.3,14.6,14.2,14.6,14.3,"185,776"
2019-04-23,14.4,14.7,14.2,14.6,14.5,"452,805"
2019-04-21,14.7,14.9,14.5,14.8,14.6,"431,986"
2019-04-18,14.9,14.9,14,14.4,14.8,"650,052"
2019-04-17,14,14.6,13.8,14.4,14.1,"419,583"
2019-04-16,14.2,14.6,14.1,14.6,14.2,"299,224"
2019-04-15,14.7,14.9,14.5,14.9,14.6,"286,268"
2019-04-11,14.6,14.7,14,14.5,14.6,"427,654"
2019-04-10,14,14.7,14,14.5,14.1,"415,964"
2019-04-09,14.5,14.9,14.4,14.8,14.5,"200,794"
2019-04-08,14.4,15.3,14.4,15.3,14.8,"446,115"
2019-04-07,15.1,15.6,15.1,15.4,15.2,"180,097"
2019-04-04,15.4,15.6,15.2,15.6,15.3,"229,994"
2019-04-03,15.6,15.8,15.4,15.8,15.4,"319,221"
2019-04-02,15.7,15.8,15.4,15.5,15.6,"852,415"
2019-04-01,15.4,15.5,15.2,15.4,15.4,"658,297"
2019-03-31,15.5,15.5,15.1,15.5,15.3,"611,982"
2019-03-28,15.5,15.7,15.3,15.7,15.4,"387,010"
2019-03-27,15.7,15.8,15.4,15.8,15.6,"482,837"
2019-03-25,15.6,15.8,15.3,15.5,15.5,"324,734"
2019-03-24,15.3,15.6,15.1,15.6,15.3,"157,985"
2019-03-21,15.5,15.7,15.2,15.5,15.4,"312,744"
2019-03-20,15.5,15.6,15.3,15.6,15.4,"246,798"
2019-03-19,15.3,15.7,15.2,15.6,15.3,"338,511"
2019-03-18,15.5,15.9,15,15.9,15.2,"552,985"
2019-03-14,15.5,16,15.5,16,15.6,"585,830"
2019-03-13,16,16.5,16,16.4,16,"649,000"
2019-03-12,16.4,16.8,16.4,16.8,16.4,"574,202"
2019-03-11,16.5,17,16.5,16.9,16.6,"712,879"
2019-03-10,16.8,17.2,16.8,16.9,16.9,"739,953"
2019-03-07,16.9,17.2,16.8,17,16.9,"938,900"
2019-03-06,17,17.2,16.9,16.9,17,"425,328"
2019-03-05,17,17.2,16.7,16.9,17,"1,024,461"
2019-03-04,16.9,17.2,16.8,17.1,16.8,"460,380"
2019-03-03,17.1,17.8,17.1,17.4,17.2,"913,922"
2019-02-27,17.5,17.6,16.7,16.7,17.4,"2,320,383"
2019-02-26,16.8,17,16.6,16.7,16.8,"451,995"
2019-02-25,16.7,17,16.7,16.9,16.8,"557,935"
2019-02-24,16.6,17.2,16.6,17,16.7,"844,563"
2019-02-20,16.9,17.3,16.9,17.3,17,"986,782"
2019-02-19,17.3,17.5,17.2,17.5,17.3,"1,272,397"
2019-02-18,17.5,18,17.2,17.5,17.4,"1,983,511"
2019-02-17,17.3,18.5,17.3,18.2,17.5,"2,789,672"
2019-02-14,18,18.4,17.3,17.3,18,"5,508,415"
2019-02-13,17.3,17.7,17.1,17.6,17.3,"1,808,505"
2019-02-12,17.6,17.6,16.7,17.1,17.5,"1,925,841"
2019-02-11,17.1,17.1,16.3,16.5,16.9,"1,974,435"
2019-02-10,16.3,16.7,16.2,16.5,16.2,"979,654"
2019-02-07,16.3,16.9,16.2,16.6,16.3,"1,035,774"
2019-02-06,16.6,17,16.3,17,16.5,"1,033,713"
2019-02-05,16.9,17.1,16.6,16.8,16.7,"922,387"
2019-02-04,16.7,17.3,16.7,17,16.9,"924,593"
2019-02-03,17,17.4,16.8,17.2,17,"995,160"
2019-01-31,17.4,17.7,17,17.5,17.2,"2,751,312"
2019-01-30,17.5,17.9,17.3,17.7,17.5,"1,729,939"
2019-01-29,17.5,17.8,17.1,17.6,17.6,"2,230,196"
2019-01-28,17.6,18.5,17.5,18.1,17.6,"2,990,697"
2019-01-27,18,18.3,16.7,16.8,18.1,"7,308,464"
2019-01-24,16.6,16.8,16.2,16.4,16.7,"1,828,933"
2019-01-23,16.2,16.6,16,16.6,16.2,"1,366,427"
