DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,26.1,26.5,26,26.4,26.1,"439,510"
2019-06-27,26,26.7,26,26.6,26.1,"327,519"
2019-06-26,26.3,26.7,26.2,26.3,26.3,"569,560"
2019-06-25,26.2,26.5,25.9,26,26.2,"456,556"
2019-06-24,25.9,26,25.7,25.8,25.8,"232,368"
2019-06-23,25.6,25.8,25.5,25.7,25.6,"164,059"
2019-06-20,25.9,26.1,25.6,25.7,25.7,"245,491"
2019-06-19,25.7,26.3,25.6,26.1,25.8,"554,499"
2019-06-18,26.2,26.6,25.6,25.6,26.2,"530,957"
2019-06-17,25.6,26.3,25.5,26.1,25.6,"510,036"
2019-06-16,26.1,27.3,25.9,26.9,26.1,"665,176"
2019-06-13,27,27.3,26.8,27.1,26.9,"590,090"
2019-06-12,27.1,27.7,26.9,27.7,27.1,"467,170"
2019-06-11,27.5,28.4,26.6,26.6,27.5,"1,724,708"
2019-06-10,26.6,26.7,26,26,26.6,"340,050"
2019-06-09,26.1,26.1,25.7,25.8,25.9,"195,125"
2019-05-30,25.7,26,25.7,25.9,25.9,"224,746"
2019-05-29,25.7,26.1,25.7,25.8,25.8,"139,997"
2019-05-28,25.6,25.8,25.3,25.3,25.6,"182,612"
2019-05-27,25.5,25.7,25.1,25.4,25.4,"210,428"
2019-05-26,25.4,26,25.3,25.8,25.4,"194,696"
2019-05-23,25.8,26.1,25.6,25.8,25.8,"186,013"
2019-05-22,25.9,26.1,25.7,26,25.9,"192,086"
2019-05-21,25.7,25.9,25.5,25.8,25.7,"207,154"
2019-05-20,25.7,26.5,25.7,26.5,25.8,"368,486"
2019-05-19,26.5,26.5,26,26.3,26.3,"317,055"
2019-05-16,25.7,26.3,25.6,26.2,25.8,"384,244"
2019-05-15,25.9,26.3,25.7,26.1,25.9,"206,371"
2019-05-14,25.9,26.5,25.9,26,26.1,"215,992"
2019-05-13,26.2,27,26.2,27,26.2,"362,995"
2019-05-12,26.8,27.4,26.7,27,26.9,"789,336"
2019-05-09,26.5,27,26,26.3,26.8,"683,416"
2019-05-08,26.4,26.5,25.8,26.4,26.1,"288,317"
