DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,20.6,23,20.4,23,20.7,"347,105"
2019-06-27,21.8,23.9,21.5,23.9,22.2,"574,518"
2019-06-26,23.4,23.6,22.6,23.6,23.2,"399,048"
2019-06-25,23.5,24.8,23,24.4,23.1,"396,062"
2019-06-24,24.5,25.3,23.7,24.9,23.9,"720,592"
2019-06-23,24,25.6,23.8,25.1,24.5,"677,857"
2019-06-20,25.4,26.3,24.8,25.3,25.1,"867,029"
2019-06-19,24.4,28,24.2,26.5,24.9,"2,711,798"
2019-06-17,26,26.1,24.5,25,25.7,"1,930,339"
2019-06-16,25.1,25.8,24.1,24.8,25,"1,333,817"
2019-06-13,24.2,24.2,22.5,22.5,24.2,"3,263,366"
2019-06-12,22,22,20,20,22,"1,058,983"
2019-06-11,19.9,20.2,19.9,20,20,"89,075"
2019-06-10,19.9,20.5,19.6,20.1,20,"14,495"
2019-06-09,19.9,19.9,19.3,19.7,19.4,"16,260"
2019-05-30,19.6,19.6,19.3,19.3,19.6,"31,806"
2019-05-29,19,19.2,18.8,18.8,19,"3,888"
2019-05-28,18.9,19.2,18.8,19,19.1,"39,421"
2019-05-27,19.1,19.4,19,19.4,19.3,"26,761"
2019-05-26,19.3,19.4,19,19,19.4,"42,075"
2019-05-23,18.9,19,18.7,19,18.9,"30,601"
2019-05-22,18.8,18.8,18.4,18.5,18.7,"78,394"
2019-05-21,18.2,18.2,18,18.2,18.1,"9,664"
2019-05-20,18.3,18.5,17.6,18.1,17.9,"1,805"
2019-05-19,18.1,18.1,17.7,17.9,17.9,"33,714"
2019-05-16,17.5,17.5,17.3,17.3,17.4,"1,035"
2019-05-15,18,18,17,17.3,17.5,"9,120"
2019-05-14,17.5,17.6,17.2,17.6,17.3,755
2019-05-13,17.5,17.7,17.1,17.1,17.3,900
2019-05-12,17.3,17.7,17.1,17.1,17.3,473
2019-05-09,17.3,17.9,17.1,17.4,17.2,"8,568"
2019-05-08,17,18,17,18,17.5,"16,045"
2019-05-07,18,18.4,17.9,18.2,18,"14,477"
2019-05-06,18.1,18.9,18,18,18.1,"54,000"
2019-05-05,19.2,19.2,18.7,18.7,19,"47,905"
2019-05-02,18.6,18.6,18.3,18.4,18.6,"11,873"
2019-04-30,18.1,18.8,18.1,18.8,18.4,"7,650"
2019-04-29,18.5,18.9,18.4,18.9,18.5,"8,061"
2019-04-28,18.4,19.1,18.3,19.1,18.7,"15,960"
2019-04-25,19.1,19.6,19,19.5,19.3,"13,567"
2019-04-24,19.1,19.4,18.6,18.6,19.3,"4,060"
2019-04-23,18.8,19.2,18.8,19,19,"10,003"
2019-04-21,18.9,19.6,18.9,19.4,19,"17,804"
2019-04-18,19.2,19.6,19,19,19.1,"20,336"
2019-04-17,19.6,19.6,18.9,19.6,19.5,"23,622"
2019-04-16,19.4,19.4,19,19.4,19.2,"21,145"
2019-04-15,19.2,19.8,19.2,19.7,19.3,"2,640"
2019-04-11,18.9,19.8,18.9,19.5,19.7,"28,537"
2019-04-10,18.7,19.6,18.5,19.6,19.4,"57,976"
2019-04-09,18.6,19.7,18.6,19.7,18.9,"50,916"
2019-04-08,19.3,19.8,19,19,19.5,"101,553"
2019-04-07,19.4,19.8,19,19.4,19.2,"39,901"
2019-04-04,19.4,19.8,19,19.4,19.3,"87,635"
2019-04-03,19,19.4,18.9,19.4,19.2,"35,204"
2019-04-02,19,19.6,19,19.5,19.1,"89,376"
2019-04-01,19.4,19.5,18.4,18.9,19.3,"143,968"
2019-03-31,18.3,19.3,18,18.3,18.1,"55,007"
2019-03-28,18.2,18.4,17.8,17.8,18.3,"50,698"
2019-03-27,18,18.4,17.8,18.1,18.1,"14,246"
2019-03-25,17.9,18.6,17.6,18.1,18.1,"36,040"
2019-03-24,18,18.2,17.5,18.2,18.1,"25,980"
2019-03-21,17.7,18,17,17.5,18,"53,720"
2019-03-20,17.4,18.2,17.4,17.9,17.4,"70,559"
2019-03-19,18,18.2,17.3,17.3,17.9,"25,688"
2019-03-18,17.3,18,17.1,18,17.3,"26,192"
2019-03-14,17.9,18.9,17.9,18,18,"12,546"
2019-03-13,18.7,19.8,17.9,19.8,18.4,"299,976"
2019-03-12,19.6,20,19.4,20,19.5,"44,094"
2019-03-11,20.1,21,20,21,20.2,"58,913"
2019-03-10,20.4,20.7,20,20,20.3,"97,910"
2019-03-07,20,20.2,19.5,20,19.6,"112,906"
2019-03-06,19.8,21.3,19.7,20.3,20,"69,455"
2019-03-05,20.1,20.5,19.6,20.4,19.9,"24,405"
2019-03-04,20.6,21,20.4,21,20.7,"45,816"
2019-03-03,21,21.5,20,21.4,20.4,"53,980"
2019-02-27,21.2,22.2,21.2,21.3,21.4,"228,605"
2019-02-26,20.5,21.7,20.3,20.3,20.9,"162,481"
2019-02-25,20.8,21.4,20.2,20.2,21,"138,855"
2019-02-24,21.4,21.6,20.2,21.6,21.2,"99,256"
2019-02-20,20.8,21.7,20.6,21.7,20.8,"131,467"
2019-02-19,20.5,21.4,20.5,21.4,20.7,"360,394"
2019-02-18,21.4,21.9,20.8,21.9,21.1,"29,872"
2019-02-17,21,22.3,21,21.7,21.7,"159,698"
2019-02-14,22,22,20.5,20.5,21.7,"701,541"
2019-02-13,20,20.4,19,19.2,20,"124,626"
2019-02-12,19.1,20.5,18.6,20.3,19.2,"168,409"
2019-02-11,20.2,20.5,17.8,18.8,19.9,"149,923"
2019-02-10,18.8,21,18.8,20.3,19,"123,587"
2019-02-07,20.8,22.5,20.7,21.8,20.8,"85,504"
2019-02-06,22,22.5,21,22,21.7,"90,355"
2019-02-05,21,23,20.6,23,21.2,"152,612"
2019-02-04,22.7,25,22.5,25,22.8,"125,241"
2019-02-03,24.5,25.6,23.9,25.6,25,"248,644"
2019-01-31,24.7,25.8,24.5,25,24.7,"190,146"
2019-01-30,25.5,25.7,24.5,25.4,25.4,"361,450"
2019-01-29,24.2,25.7,23.7,23.7,24.4,"252,561"
2019-01-28,24.5,26.5,23.5,26,23.7,"268,342"
2019-01-27,25.9,27,25.8,25.9,26.1,"464,986"
2019-01-24,25,25.5,23.6,23.6,24.9,"485,596"
2019-01-23,23,23.5,21.9,21.9,23.2,"96,975"
2019-01-22,22,23.5,21.9,23.5,22,"108,927"
2019-01-21,23.5,24.1,22.7,23.9,23,"122,230"
2019-01-20,23.1,25,22.8,23.7,23.1,"257,435"
2019-01-17,24.8,24.9,23.1,24.2,24,"401,200"
2019-01-16,24.4,24.4,22.9,23.3,23.8,"305,499"
2019-01-15,23.4,23.9,22.1,22.1,23.2,"197,654"
2019-01-14,22,22.2,20.3,20.5,22,"219,029"
2019-01-13,20.6,21.4,20.1,20.3,20.3,"139,683"
2019-01-10,20.4,20.7,19.7,20.2,20,"95,956"
2019-01-09,20,20.8,19.4,19.5,20,"84,514"
2019-01-08,20,20.1,18.6,18.7,19.9,"131,516"
2019-01-07,18.6,18.8,18,18.4,18.5,"81,707"
2019-01-06,18.4,18.6,18.1,18.1,18.5,"12,231"
2019-01-03,18,18.4,17.9,18.2,18,"109,814"
2019-01-02,17.9,17.9,17.6,17.7,17.9,"3,308"
2019-01-01,17.7,17.7,17.6,17.6,17.6,"2,837"
2018-12-27,17.8,18,17.2,18,17.5,"6,345"
2018-12-26,18,18,17.2,17.3,17.2,"2,048"
2018-12-24,17.3,17.9,17.3,17.5,17.4,"3,252"
2018-12-23,17.5,18.5,17.5,18.2,18,"22,510"
2018-12-20,18.1,18.4,17.4,18.2,17.7,"35,310"
2018-12-19,17.9,18,17.5,17.6,17.9,"83,015"
2018-12-18,17,17.8,17,17.6,17.1,"21,212"
2018-12-17,17.5,17.7,17.5,17.7,17.6,"8,955"
2018-12-13,17.6,17.9,17,17.3,17.9,"54,110"
2018-12-12,18,18,17.3,17.3,17.5,"57,455"
2018-12-11,17,17.3,16.6,16.8,16.7,"1,605"
2018-12-10,17,17,17,17,17,"4,700"
2018-12-09,17.1,17.1,16.8,17,17.1,"9,075"
2018-12-06,16.9,17.9,16.9,17.5,17.8,"40,875"
2018-12-05,17.4,17.9,17,17.3,17.2,"52,408"
2018-12-04,16.8,16.8,16.5,16.7,16.8,"71,747"
2018-12-03,16.4,16.4,16.2,16.2,16.3,"19,952"
2018-12-02,16.9,16.9,16,16.2,16.3,"50,533"
2018-11-29,15.8,16.5,15.8,16.2,16,"40,475"
2018-11-28,16.2,17.2,16,17.2,16.2,"113,300"
2018-11-27,17,17.1,17,17,17.1,"1,922"
2018-11-26,16.8,16.9,16.8,16.9,16.8,"2,600"
2018-11-22,17.1,17.8,16.8,17.8,17.1,"5,246"
2018-11-20,16.6,17.9,16.6,16.9,17.8,"70,293"
2018-11-19,16.3,16.3,16.3,16.3,16.3,68
2018-11-18,16.2,16.4,16.2,16.4,16.3,"8,649"
2018-11-15,16.7,16.7,16.3,16.3,16.5,"2,886"
2018-11-14,16.3,16.8,16.3,16.8,16.7,"2,830"
2018-11-13,16.8,16.8,16.3,16.3,16.5,352
2018-11-12,16.5,16.5,16.5,16.5,16.5,"5,100"
2018-11-11,16.4,16.4,16.3,16.3,16.4,"1,300"
2018-11-08,16.6,16.6,16.5,16.5,16.6,"1,758"
2018-11-07,16.3,17,16.3,16.7,16.5,"22,967"
2018-11-06,16.6,17.3,16.6,17.3,17,300
2018-11-05,17,17,16.5,16.5,16.8,87
2018-11-04,16.5,16.5,16.3,16.4,16.4,"3,838"
2018-11-01,16.1,17.2,16.1,17.2,16.6,"9,820"
2018-10-31,17.4,17.6,17.4,17.6,17.4,105
2018-10-30,17.2,17.5,17.1,17.5,17.3,"7,800"
2018-10-29,17.1,18.8,16.6,17.2,18.1,"27,078"
2018-10-28,17.5,17.5,17,17.2,17.2,"7,065"
2018-10-25,17,17.5,17,17.5,17,"9,054"
2018-10-24,17,17,17,17,17,140
2018-10-23,17,17,16.9,17,16.9,"3,400"
2018-10-22,16.8,17.5,16.8,17.1,16.9,"4,111"
2018-10-21,17.4,17.7,17.3,17.4,17.6,"17,451"
2018-10-18,17.8,17.8,17.2,17.2,17.4,"9,170"
2018-10-17,17.6,17.6,17,17.4,17.2,"86,725"
2018-10-16,18,18.2,17.1,18,17.3,"27,978"
2018-10-15,18.2,18.2,18,18,18.1,"22,351"
2018-10-14,18.1,18.3,18,18,18.1,"12,382"
2018-10-11,18.5,18.5,18,18.4,18.4,"6,582"
2018-10-10,17.9,18,17.8,17.9,17.9,"7,974"
2018-10-09,18.3,18.3,17.9,18.3,18.1,"4,960"
2018-10-08,18,18.3,17.7,18,18,"18,250"
2018-10-07,18.3,18.4,17.5,18.4,17.8,"5,000"
2018-10-04,18.3,18.4,18,18.4,18.2,"24,505"
2018-10-03,18,18.4,17.6,18.3,17.9,"30,490"
2018-10-02,18.2,18.6,18.2,18.5,18.3,"63,578"
2018-10-01,19,19.9,18.5,18.5,18.7,"96,966"
2018-09-30,18.5,18.5,17.6,17.6,18.3,"48,867"
2018-09-27,18.3,18.3,17.4,18.2,18.1,"15,955"
2018-09-26,18,18.5,18,18,18.2,"27,148"
2018-09-25,17.7,17.9,17,17.3,17.6,"18,573"
2018-09-24,17.4,17.5,17.3,17.5,17.4,"13,501"
2018-09-23,17.8,18,17.3,17.3,17.8,"15,700"
2018-09-20,17.6,18,17.6,18,17.6,"10,403"
2018-09-19,18,18.4,18,18,18,"14,156"
2018-09-18,18,18.2,17.4,17.4,18,"12,060"
2018-09-17,17.5,18.4,17,17.9,17.8,"8,680"
2018-09-16,17.9,18,17.9,18,18,"1,481"
2018-09-13,18,19.1,18,18.4,18.5,"44,420"
2018-09-12,17.8,18,17.5,17.8,17.6,"18,220"
2018-09-11,18,18,18,18,18,"19,183"
2018-09-10,18,18.6,17.9,17.9,18,246
2018-09-09,17.8,18.2,17.8,18,18,"16,110"
2018-09-06,18,18.6,17.8,18,18,"3,295"
2018-09-05,18.4,18.4,18,18,18.4,"2,572"
2018-09-04,18.1,18.1,18,18.1,18.1,"2,573"
2018-09-03,18.2,18.7,18.2,18.4,18.3,"18,465"
2018-08-30,18.6,20,17.9,18.2,19,"145,679"
2018-08-29,18.2,18.2,18.2,18.2,18.2,"2,010"
2018-08-28,18.4,18.4,18,18.1,18.1,"13,070"
2018-08-27,18.3,19.5,18,19.5,18.2,"5,704"
2018-08-26,18.3,18.4,18.3,18.4,18.3,483
2018-08-20,18.3,18.3,18.3,18.3,18.3,400
2018-08-19,18.7,19.5,18.3,18.9,19,"26,840"
2018-08-16,19,19,18.5,18.5,19,"6,936"
2018-08-14,17.9,18.5,17.1,17.2,18.3,"90,274"
2018-08-13,17.4,17.5,16.9,17.3,17.1,"10,834"
2018-08-12,17.3,17.5,17.3,17.5,17.4,"3,176"
2018-08-09,17.5,18.2,17,17.9,17.3,"61,115"
2018-08-08,18.2,18.2,17.8,17.8,17.8,"1,132"
2018-08-07,18,18.4,17.9,17.9,18.1,"3,700"
2018-08-06,18.5,18.6,18,18.6,18.2,"7,254"
2018-08-05,18.4,19.4,17.5,17.5,18.6,"37,628"
2018-08-02,17.9,18,17.5,17.5,17.9,"19,708"
2018-08-01,17.1,17.4,17.1,17.1,17.2,"8,331"
2018-07-31,17.2,17.2,16.8,16.8,17.1,"2,429"
2018-07-30,16.9,16.9,16.2,16.5,16.8,"2,849"
2018-07-29,17,17,16.7,16.7,16.9,"8,781"
2018-07-26,17.5,17.5,16.5,17.2,16.7,"63,463"
2018-07-25,17.3,18,17,17.7,17.1,"70,180"
2018-07-24,17.8,17.9,17.7,17.8,17.7,"2,818"
2018-07-23,18.6,18.6,17.6,17.6,18.1,980
2018-07-22,18,18.2,17.5,18.2,17.8,"17,190"
2018-07-19,18.1,18.2,18,18,18.1,"2,929"
2018-07-18,18.2,19.2,18.2,19.2,18.4,"3,026"
2018-07-17,18.4,18.4,18.1,18.2,18.3,"1,317"
2018-07-16,19.3,19.3,18.4,18.6,18.7,"4,580"
2018-07-15,18.4,19.4,18,18,18.3,"2,635"
2018-07-12,19.7,19.8,18.4,18.8,18.9,"2,199"
2018-07-11,19,19.8,19,19.8,19.2,"5,135"
2018-07-10,19.4,19.4,18.4,18.4,18.9,"5,310"
2018-07-09,18.6,18.6,18.2,18.2,18.3,"2,915"
2018-07-08,18.8,18.8,18,18.8,18.7,"15,831"
2018-07-05,19,20,19,19.9,19.8,"20,250"
2018-07-04,18.4,18.4,18.1,18.2,18.2,"2,015"
2018-07-03,18.3,19.8,18.3,19.8,18.8,"3,906"
2018-07-02,18.7,18.7,18.7,18.7,18.7,10
2018-06-28,19,19,18.9,18.9,18.9,"4,428"
2018-06-27,18.7,18.9,18.7,18.9,18.9,"9,699"
2018-06-26,19,19,18.6,18.6,19,"5,220"
2018-06-25,19,19.7,19,19.7,19,"9,400"
2018-06-24,18.9,18.9,18.9,18.9,18.9,828
2018-06-21,19.2,19.2,18.6,18.6,18.9,"11,746"
2018-06-20,18.8,18.9,18.1,18.1,18.9,"32,188"
2018-06-18,19.8,20,19.8,19.9,19.9,"29,107"
2018-06-12,19.2,20.3,19,19,19.4,"24,846"
2018-06-11,18.9,19.5,18.7,19.5,18.9,"52,366"
2018-06-10,19.8,20.1,19.1,19.6,19.2,"11,901"
2018-06-07,19.1,19.3,19.1,19.1,19.2,"8,645"
2018-06-06,19.2,19.3,18.9,18.9,19.1,"16,575"
2018-06-05,18.9,19.1,18.8,19,19,"9,527"
2018-06-04,18.6,19.2,18.6,19,19,"13,402"
2018-06-03,19,19.8,19,19.2,19.1,"14,205"
2018-05-31,19.2,19.5,19,19,19.2,"10,025"
2018-05-30,19.3,19.5,19.3,19.5,19.5,"14,257"
2018-05-29,19.5,19.7,19.5,19.7,19.6,"1,900"
2018-05-28,19.9,20.5,19.9,20.3,20.1,"10,641"
2018-05-27,19.6,20.4,19.6,19.6,20.2,"16,442"
2018-05-24,20,20.9,19.4,19.4,19.9,"48,830"
2018-05-23,19.1,19.5,19.1,19.4,19.2,"15,657"
2018-05-22,19.4,19.4,19,19.1,19,"39,386"
2018-05-21,19,19.1,18.9,19,19,"52,030"
