DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,6.1,6.3,6.1,6.2,6.1,"65,366"
2019-06-27,6.1,6.3,6,6.1,6.1,"265,673"
2019-06-26,6.2,6.2,5.8,5.8,6.1,"249,840"
2019-06-25,6,6.1,5.9,6,5.9,"172,900"
2019-06-24,6,6,5.6,5.6,6,"67,227"
2019-06-23,5.5,5.8,5.5,5.7,5.5,"126,751"
2019-06-20,6,6,5.7,5.7,5.7,188
2019-06-19,5.7,6,5.7,5.8,5.8,"22,250"
2019-06-18,5.9,5.9,5.8,5.9,5.9,"1,500"
2019-06-17,5.8,5.8,5.8,5.8,5.8,"6,300"
2019-06-16,5.8,6.2,5.8,6.2,5.8,"12,230"
2019-06-13,5.9,6.2,5.9,6,6,"26,200"
2019-06-12,5.8,5.8,5.8,5.8,5.8,"60,850"
2019-06-11,5.9,6,5.9,6,5.9,"16,522"
2019-06-10,6,6,5.8,5.8,5.8,"44,707"
2019-05-30,5.9,5.9,5.7,5.7,5.8,"3,200"
2019-05-29,5.9,5.9,5.6,5.6,5.7,400
2019-05-28,5.8,5.8,5.7,5.7,5.8,"21,507"
2019-05-27,5.6,5.6,5.6,5.6,5.6,100
2019-05-26,5.6,5.9,5.6,5.9,5.6,"28,650"
2019-05-23,5.8,5.8,5.8,5.8,5.8,"7,000"
2019-05-22,5.7,5.7,5.7,5.7,5.7,500
2019-05-21,5.8,5.8,5.8,5.8,5.8,"2,900"
2019-05-20,5.8,5.8,5.7,5.7,5.8,"6,878"
2019-05-19,5.8,5.8,5.7,5.7,5.8,"6,565"
2019-05-16,5.8,5.8,5.8,5.8,5.8,"3,000"
2019-05-15,6,6,5.7,5.7,5.8,"1,278"
2019-05-14,5.7,5.8,5.7,5.8,5.7,"19,000"
2019-05-13,5.7,5.9,5.7,5.7,5.7,"1,325"
2019-05-12,5.8,5.8,5.6,5.6,5.7,"1,000"
2019-05-09,5.9,5.9,5.9,5.9,5.9,"1,000"
2019-05-08,5.7,5.8,5.7,5.7,5.7,"1,610"
2019-05-07,5.8,5.8,5.7,5.7,5.7,"1,500"
2019-05-06,5.8,5.8,5.8,5.8,5.8,"2,000"
2019-05-05,5.9,6,5.9,6,6,"8,500"
2019-05-02,5.7,5.9,5.7,5.9,5.7,"1,000"
2019-04-30,5.8,5.8,5.6,5.8,5.8,"14,255"
2019-04-29,5.7,5.7,5.7,5.7,5.7,100
2019-04-28,5.8,5.8,5.5,5.5,5.5,"1,059"
2019-04-25,5.8,5.8,5.4,5.8,5.6,"2,002"
2019-04-24,5.4,5.5,5.4,5.5,5.4,"3,000"
2019-04-23,5.7,5.7,5.7,5.7,5.7,300
2019-04-21,5.8,5.8,5.5,5.5,5.6,"1,370"
2019-04-18,5.8,5.8,5.8,5.8,5.8,172
2019-04-16,5.5,5.5,5.5,5.5,5.5,755
2019-04-15,5.5,5.6,5.5,5.6,5.6,"5,500"
2019-04-11,5.5,5.5,5.5,5.5,5.5,600
2019-04-10,5.5,5.6,5.5,5.6,5.5,"3,350"
2019-04-09,5.6,5.7,5.6,5.6,5.7,"8,500"
2019-04-08,5.6,5.6,5.5,5.5,5.5,"3,487"
2019-04-07,5.7,5.7,5.6,5.6,5.7,"1,000"
2019-04-04,5.6,5.6,5.6,5.6,5.6,"2,500"
2019-04-03,5.7,5.7,5.6,5.6,5.7,"6,260"
2019-04-02,5.7,5.7,5.6,5.7,5.7,"2,750"
2019-04-01,5.6,5.6,5.6,5.6,5.6,"1,750"
2019-03-31,5.7,5.7,5.7,5.7,5.7,"5,000"
2019-03-28,5.7,5.9,5.7,5.7,5.8,"1,820"
2019-03-27,5.7,5.7,5.7,5.7,5.7,58
2019-03-25,5.9,5.9,5.7,5.7,5.7,633
2019-03-24,5.8,6,5.8,5.8,5.9,"111,392"
2019-03-21,5.9,5.9,5.7,5.7,5.7,"64,300"
2019-03-20,5.8,5.9,5.7,5.9,5.9,"25,555"
2019-03-19,5.7,6,5.7,5.7,5.7,"64,600"
2019-03-18,6,6,5.7,5.7,5.7,"1,187"
2019-03-14,5.9,6,5.7,5.7,5.8,"6,463"
2019-03-13,5.9,5.9,5.8,5.9,5.9,"6,800"
2019-03-12,6,6,5.9,5.9,5.9,"32,200"
2019-03-11,5.9,6,5.9,6,6,"2,345"
2019-03-10,6,6.2,6,6.2,6.1,"12,001"
2019-03-07,6,6.3,5.9,6.1,6.2,"195,500"
2019-03-06,6.2,6.2,5.7,5.7,6.2,"303,867"
2019-03-05,5.7,5.7,5.7,5.7,5.7,"1,906"
2019-03-04,5.8,5.8,5.8,5.8,5.8,"37,000"
2019-03-03,5.9,5.9,5.8,5.8,5.9,"5,000"
2019-02-27,5.8,5.9,5.7,5.7,5.8,"1,500"
2019-02-26,5.8,5.8,5.8,5.8,5.8,"26,950"
2019-02-25,5.9,5.9,5.8,5.8,5.8,"2,590"
2019-02-24,5.9,5.9,5.9,5.9,5.9,"1,827"
2019-02-20,5.9,6,5.9,5.9,5.9,"8,683"
2019-02-19,5.9,6,5.9,5.9,5.9,"35,500"
2019-02-18,5.9,6.1,5.9,6.1,5.9,"12,861"
2019-02-17,5.9,6,5.9,6,6,"24,000"
2019-02-14,5.9,6.2,5.9,6.2,6,"43,801"
2019-02-13,6,6,6,6,6,"134,567"
2019-02-12,6.1,6.1,6,6,6.1,"2,360"
2019-02-11,6,6.1,5.9,5.9,6,"62,390"
2019-02-10,6,6.1,6,6,6,"22,070"
2019-02-07,6,6,6,6,6,"18,100"
2019-02-06,6,6.2,6,6.2,6.1,"5,001"
2019-02-05,6.1,6.1,6,6.1,6.1,"12,681"
2019-02-04,6,6.3,6,6.3,6.1,"211,485"
2019-02-03,6.1,6.1,6,6,6.1,"44,416"
2019-01-31,6.1,6.3,5.9,6,6,"79,500"
2019-01-30,5.9,6.2,5.9,6.1,6,"35,944"
2019-01-29,6,6.4,6,6.3,6.1,"105,834"
2019-01-28,6.3,6.3,6,6.2,6.2,"165,277"
2019-01-27,6.1,6.3,6.1,6.2,6.1,"94,800"
2019-01-24,6.1,6.2,6,6.2,6.1,"228,040"
2019-01-23,6.1,6.3,6,6,6.1,"71,110"
2019-01-22,6.2,6.3,6.1,6.3,6.2,"37,110"
2019-01-21,6.3,6.7,6.3,6.7,6.4,"137,550"
2019-01-20,6.4,6.4,6,6.1,6.4,"639,374"
2019-01-17,6,6,5.9,6,5.9,"4,611"
2019-01-16,5.9,6,5.9,6,6,"72,337"
2019-01-15,6,6,5.9,6,5.9,"56,002"
2019-01-14,6,6.1,6,6,6,"12,776"
2019-01-13,6.1,6.1,6,6,6.1,"58,316"
2019-01-10,6.1,6.1,6,6.1,6,"56,784"
2019-01-09,6.2,6.2,6.1,6.2,6.1,"67,400"
2019-01-08,6.1,6.2,6,6,6.1,"81,050"
2019-01-07,6,6.3,5.9,6.3,5.9,"19,120"
2019-01-06,5.8,6,5.7,5.8,5.9,"61,836"
2019-01-03,5.7,5.7,5.6,5.6,5.7,"34,500"
2019-01-02,5.7,5.7,5.4,5.5,5.6,"150,126"
2019-01-01,5.5,5.5,5.4,5.4,5.5,"20,800"
2018-12-27,5.4,5.4,5.3,5.4,5.3,"97,255"
2018-12-26,5.3,5.4,5.2,5.4,5.3,"111,621"
2018-12-24,5.3,5.3,5.3,5.3,5.3,"36,232"
2018-12-23,5.3,5.3,5.3,5.3,5.3,"6,921"
2018-12-20,5.4,5.4,5.3,5.4,5.3,"20,973"
2018-12-19,5.3,5.3,5.3,5.3,5.3,"20,000"
2018-12-18,5.2,5.2,5.2,5.2,5.2,89
2018-12-17,5.2,5.3,5.2,5.3,5.3,"5,330"
2018-12-12,5.2,5.3,5.2,5.2,5.2,"6,591"
2018-12-11,5.3,5.3,5.2,5.2,5.2,"17,500"
2018-12-10,5.3,5.4,5.2,5.4,5.3,"4,050"
2018-12-09,5.2,5.3,5.2,5.3,5.2,"20,000"
2018-12-06,5.5,5.5,5.5,5.5,5.5,50
2018-12-05,5.5,5.5,5.2,5.2,5.4,"3,516"
2018-12-04,5.4,5.4,5.2,5.2,5.3,"6,356"
2018-12-03,5.4,5.4,5.2,5.2,5.2,"23,200"
2018-12-02,5.3,5.4,5.3,5.4,5.3,"15,500"
2018-11-29,5.5,5.5,5.4,5.4,5.4,"1,550"
2018-11-28,5.5,5.5,5.3,5.4,5.4,"11,687"
2018-11-27,5.4,5.4,5.4,5.4,5.4,50
2018-11-26,5.3,5.3,5.2,5.3,5.2,"15,253"
2018-11-25,5.3,5.3,5.2,5.2,5.3,"2,915"
2018-11-22,5.3,5.3,5.3,5.3,5.3,15
2018-11-20,5.2,5.2,5.2,5.2,5.2,"28,100"
2018-11-19,5.2,5.2,5.2,5.2,5.2,"82,860"
2018-11-18,5.1,5.4,5.1,5.4,5.2,"43,020"
2018-11-15,5.5,5.5,5.2,5.2,5.4,"5,834"
2018-11-14,5.4,5.4,5.1,5.2,5.2,"10,700"
2018-11-13,5.1,5.4,5.1,5.3,5.3,"24,835"
2018-11-12,5.3,5.3,5.1,5.1,5.3,"27,387"
2018-11-11,5.1,5.2,5.1,5.2,5.2,"108,100"
2018-11-08,5.2,5.2,5.2,5.2,5.2,"3,000"
2018-11-07,5.4,5.4,5.1,5.1,5.3,"5,652"
2018-11-06,5.1,5.1,5.1,5.1,5.1,"1,588"
2018-11-05,5.1,5.1,5.1,5.1,5.1,"18,500"
2018-11-04,5.2,5.2,5.2,5.2,5.2,"15,300"
2018-11-01,5.2,5.2,5.1,5.1,5.1,"7,700"
2018-10-31,5.1,5.2,5.1,5.2,5.2,"1,000"
2018-10-30,5.1,5.4,5.1,5.2,5.2,"2,415"
2018-10-29,5.2,5.2,5.1,5.1,5.2,"6,563"
2018-10-28,5.2,5.2,5.1,5.2,5.2,"5,313"
2018-10-25,5.2,5.3,5.2,5.3,5.3,"5,530"
2018-10-24,5.4,5.4,5.2,5.4,5.4,"25,750"
2018-10-23,5.5,5.5,5.1,5.2,5.3,"28,225"
2018-10-22,5.2,5.2,5.1,5.1,5.2,"33,449"
2018-10-21,5.2,5.2,5.1,5.2,5.2,"23,202"
2018-10-18,5.2,5.2,5.2,5.2,5.2,"1,500"
2018-10-17,5.3,5.3,5.2,5.2,5.3,"2,154"
2018-10-16,5.1,5.2,5.1,5.2,5.2,"4,090"
2018-10-15,5.2,5.4,5.2,5.4,5.2,"71,000"
2018-10-14,5.4,5.4,5.3,5.3,5.3,"2,519"
2018-10-11,5.4,5.4,5.3,5.3,5.4,"50,441"
2018-10-10,5.3,5.4,5.3,5.3,5.4,"5,536"
2018-10-09,5.4,5.4,5.3,5.4,5.4,"8,250"
2018-10-08,5.4,5.4,5.3,5.3,5.3,"32,660"
2018-10-07,5.2,5.3,5.2,5.3,5.3,"10,100"
2018-10-04,5.2,5.4,5.2,5.2,5.3,"16,100"
2018-10-03,5.3,5.3,5.2,5.3,5.3,"11,469"
2018-10-02,5.4,5.4,5.2,5.2,5.3,"26,500"
2018-10-01,5.4,5.4,5.2,5.3,5.2,"24,453"
2018-09-30,5.2,5.3,5.2,5.3,5.3,"115,067"
2018-09-27,5.4,5.4,5.2,5.2,5.3,"31,000"
2018-09-26,5.3,5.4,5.3,5.4,5.4,"10,699"
2018-09-25,5.4,5.5,5.2,5.5,5.3,"61,231"
2018-09-24,5.6,5.6,5.4,5.4,5.5,"29,700"
2018-09-23,5.5,5.6,5.4,5.6,5.5,"27,002"
2018-09-20,5.6,5.6,5.4,5.5,5.5,"32,000"
2018-09-19,5.5,5.6,5.5,5.6,5.5,"4,534"
2018-09-18,5.5,5.5,5.5,5.5,5.5,"5,100"
2018-09-17,5.4,5.6,5.4,5.4,5.5,"13,084"
2018-09-16,5.7,5.7,5.7,5.7,5.7,3
2018-09-13,5.7,5.7,5.4,5.6,5.5,"90,958"
2018-09-12,5.8,5.8,5.7,5.8,5.7,"68,879"
2018-09-11,5.8,6.1,5.7,6.1,5.8,"34,500"
2018-09-09,6.3,6.3,6,6.1,6.2,"235,939"
2018-09-06,6.2,6.2,6,6.1,6.1,"97,317"
2018-09-05,6,6.1,6,6,6.1,"61,654"
2018-09-04,6,6.1,6,6.1,6,"322,678"
2018-09-03,6.1,6.2,6,6.2,6.1,"273,461"
2018-08-30,6.2,6.2,6.1,6.1,6.1,"131,196"
2018-08-29,6.2,6.2,6.1,6.1,6.1,"192,503"
2018-08-28,6.1,6.2,6.1,6.2,6.1,"263,145"
2018-08-27,6.2,6.2,6.1,6.2,6.2,"190,366"
2018-08-26,6.3,6.3,6.2,6.3,6.3,"93,237"
2018-08-20,6.3,6.3,6.2,6.2,6.2,"253,665"
2018-08-19,6.2,6.3,6.1,6.2,6.2,"606,200"
2018-08-16,6.3,6.4,6.2,6.3,6.3,"22,314"
2018-08-14,6.3,6.5,6.2,6.5,6.3,"3,312"
2018-08-13,6.1,6.6,6.1,6.6,6.2,"7,323"
2018-08-12,6.4,6.4,6.2,6.3,6.2,"9,799"
2018-08-09,6.4,6.5,6.3,6.4,6.3,"202,618"
2018-08-08,6.5,6.5,6.4,6.4,6.4,"11,114"
2018-08-07,6.5,6.5,6.2,6.3,6.4,"26,903"
2018-08-06,6.3,6.3,6.2,6.2,6.2,"2,520"
2018-08-05,6.4,6.4,6.2,6.2,6.2,"16,301"
2018-08-02,6.5,6.5,6.4,6.5,6.4,"9,312"
2018-08-01,6.3,6.3,6.2,6.2,6.2,900
2018-07-31,6.3,6.3,6.2,6.2,6.2,"13,746"
2018-07-30,6.4,6.4,6.2,6.2,6.2,"5,206"
2018-07-29,6.3,6.3,6.2,6.2,6.3,"1,317"
2018-07-26,6.2,6.4,6.2,6.4,6.3,"11,238"
2018-07-25,6.4,6.4,6.4,6.4,6.4,632
2018-07-24,6.4,6.6,6.3,6.3,6.3,"35,027"
2018-07-23,6.5,6.6,6.4,6.4,6.5,"31,138"
2018-07-22,6.5,6.5,6.4,6.4,6.4,"28,460"
2018-07-19,6.4,6.4,6.3,6.3,6.4,"17,084"
2018-07-18,6.4,6.5,6.3,6.3,6.4,"10,430"
2018-07-17,6.5,6.5,6.4,6.4,6.5,"10,042"
2018-07-16,6.4,6.4,6.3,6.3,6.4,"14,470"
2018-07-15,6.4,6.5,6.4,6.4,6.4,"33,345"
2018-07-12,6.6,6.6,6.5,6.5,6.5,"12,594"
2018-07-11,6.5,6.6,6.5,6.5,6.6,"87,927"
2018-07-10,6.4,6.4,6.3,6.4,6.4,"131,500"
2018-07-09,6.3,6.4,6.3,6.3,6.4,"38,145"
