DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,609,616,606,615,607.6,"17,323"
2019-06-27,618,629,612,622,613.6,"31,959"
2019-06-26,620.9,621.9,610.4,610.4,619.6,"33,554"
2019-06-25,612,620,608,615,610.5,"31,703"
2019-06-24,611.9,615,600.1,600.1,609.4,"18,329"
2019-06-23,604,611.1,600,609.1,601.2,"16,889"
2019-06-20,608.3,620,608.1,620,608.9,"20,955"
2019-06-19,616.7,617.8,595.7,609.8,615.2,"42,428"
2019-06-18,611.6,613.9,600,608.8,605.9,"33,605"
2019-06-17,611,628.5,609.5,628,612.2,"42,524"
2019-06-16,625,635,607.6,619,628.4,"104,693"
2019-06-13,604.3,616,604,608.3,605.8,"23,060"
2019-06-12,609,626,609,624.9,610.1,"27,989"
2019-06-11,622,622,595,595,619.1,"60,890"
2019-06-10,594.3,597,585.3,588.9,588.3,"16,582"
2019-06-09,581.3,589.7,581.3,589.7,584,"5,751"
2019-05-30,588.8,588.8,578.5,584.9,585.3,"10,573"
2019-05-29,576.2,585,576,580,578.4,"5,537"
2019-05-28,578,600,575.1,583.9,579.5,"9,895"
2019-05-27,577,587,576.5,587,577.8,"5,793"
2019-05-26,580,583.9,577.9,581.5,579.5,"13,147"
2019-05-23,580.6,591.6,580.5,591.6,581.3,"17,170"
2019-05-22,590,592,584.5,587,587,"12,048"
2019-05-21,584.9,596,584.1,596,584.8,"13,076"
2019-05-20,586.4,602.9,586.4,602.9,588.7,"8,703"
2019-05-19,595.6,603,595,599.9,598.6,"14,750"
2019-05-16,595,599.3,583.8,599.3,592.6,"8,005"
2019-05-15,596.9,603.2,586,600,593.6,"14,460"
2019-05-14,595,604.9,594.2,600.6,597.8,"7,196"
2019-05-13,600.1,612,598.3,602.1,600.9,"28,251"
2019-05-12,605,605.6,594.1,597,601.9,"17,729"
2019-05-09,595,595,580,591.2,592.6,"17,247"
2019-05-08,590,599,586.1,599,590.2,"12,680"
2019-05-07,596.5,606.9,589,602.5,590.2,"13,510"
2019-05-06,602,616.8,596.1,611,598.7,"21,796"
2019-05-05,615.4,625,605.2,619.9,610.3,"32,871"
2019-05-02,615,615,586,594.9,610.9,"28,368"
2019-04-30,583.9,598,567,567,582.7,"20,558"
2019-04-29,567.4,580.2,555,580.2,559.1,"13,797"
2019-04-28,580,603.6,575.4,598.1,580,"17,388"
2019-04-25,596.3,608,590,602,598,"13,372"
2019-04-24,594.2,613.2,585,613,594.3,"37,826"
2019-04-23,614,627.3,613.1,627.3,614.1,"15,242"
2019-04-21,627.4,631.8,623.3,630,627.3,"25,129"
2019-04-18,628.9,630,613.1,615,624.4,"20,029"
2019-04-17,618,631,610,631,613.7,"30,422"
2019-04-16,629.9,639.8,623.1,639.8,629,"12,335"
2019-04-15,635.8,645.5,632.6,645.5,635.5,"12,468"
2019-04-11,639.9,644.5,632,634,637.8,"18,267"
2019-04-10,628,640,626.1,636.8,628.6,"18,142"
