DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,27.6,29.7,27.6,29.7,27.9,"19,769"
2019-06-27,29.7,30.3,28.9,29.3,29.1,"55,207"
2019-06-26,29,29.8,28.2,28.2,29.4,"21,751"
2019-06-25,28.7,30.9,28.7,30.5,28.8,"77,508"
2019-06-24,29.8,31.7,29.8,31.4,30.2,"30,837"
2019-06-23,31.1,33,29.5,33,31,"60,396"
2019-06-20,31,32.4,30,32,30.3,"64,751"
2019-06-19,32.3,33,31.5,31.5,32,"177,098"
2019-06-18,31.9,32.7,31,32.5,31.5,"176,791"
2019-06-17,31.6,31.8,30.5,31.7,31.4,"164,577"
2019-06-16,31,32.4,30.2,32.4,30.5,"56,495"
2019-06-13,29.9,31.4,29.9,30.8,30.9,"84,955"
2019-06-12,30.5,30.5,28.6,29.3,30.2,"216,004"
2019-06-11,29.2,29.5,28.1,28.1,29,"67,453"
2019-06-10,28.3,29,27.5,28,28.3,"40,819"
2019-06-09,28.8,29.2,28.1,29.2,28.6,"13,387"
2019-05-30,29.3,29.4,28.4,29.4,29.1,"72,165"
2019-05-29,28,29.5,28,29.5,28.6,"75,792"
2019-05-28,29.6,29.6,28.5,29.3,29.3,"34,631"
2019-05-27,29,29.9,27,27,28.9,"160,403"
2019-05-26,28.5,28.9,27.2,27.6,27.8,"34,793"
2019-05-23,27.3,27.9,27,27.8,27.5,"37,117"
2019-05-22,27.8,27.8,26.5,26.5,27.6,"11,369"
2019-05-21,26.3,27.5,26.1,26.9,26.1,"28,740"
2019-05-19,28.1,28.4,27.6,28.1,28.2,"18,499"
2019-05-16,27.7,27.7,27,27.2,27.6,"15,005"
2019-05-15,27.6,27.6,27.2,27.2,27.6,"36,005"
2019-05-14,27,27.2,27,27.1,27,"2,692"
2019-05-13,27.1,27.7,27,27.7,27.1,"97,725"
2019-05-12,27.5,28.4,26.7,28.4,26.9,"7,743"
2019-05-09,26.8,27.8,26.4,27.8,26.8,"46,789"
2019-05-08,26.4,27.9,26.4,27.9,26.5,"1,183"
2019-05-07,27.5,28.8,26.8,28.5,27.1,"109,295"
2019-05-06,27.6,28,27,27.8,27.2,"44,329"
2019-05-05,27,27.7,26.9,27.5,27,"52,907"
2019-05-02,27,27,25.5,27,26.6,"22,008"
2019-04-30,25.4,26.9,25.2,25.3,25.4,"41,146"
2019-04-29,26.5,28,25.6,27.4,25.8,"62,099"
2019-04-28,26.9,28,25.5,25.7,26.3,"42,933"
2019-04-25,26.5,28.2,26.5,27.4,26.7,"38,711"
2019-04-24,29,29,27,28,28.8,"60,412"
2019-04-23,27.3,29.5,27.3,29.5,28.6,"57,496"
2019-04-21,29,29.4,27.6,28.6,28.8,"13,669"
2019-04-18,28.8,29.4,28,29,28.1,"100,960"
2019-04-17,28.2,29,26.2,28,28.5,"16,766"
2019-04-16,27,27.6,26.5,26.5,26.8,"2,613"
2019-04-15,27.5,27.8,27,27.6,27.7,"21,890"
2019-04-11,27.1,28,27.1,28,27.6,"7,252"
2019-04-10,28.9,29,26.5,27.1,27.2,"3,015"
2019-04-09,27.1,30,27.1,30,27.8,"11,128"
2019-04-08,29.2,29.9,28.1,28.6,28.5,"5,101"
2019-04-07,30,30,28.5,28.7,29.9,"7,250"
2019-04-04,29.7,30,28.6,30,29.1,"2,990"
2019-04-03,28,29.5,28,29.5,28.6,"28,620"
2019-04-02,30.4,32.1,30.3,31.9,30.6,"34,531"
2019-04-01,30.8,31.4,28.9,31,31,"42,911"
2019-03-31,29.4,30,28.4,30,28.8,"4,129"
2019-03-28,28.9,29.3,28.1,29,29,"12,363"
2019-03-27,28.1,29.1,28,29,28.3,"26,014"
2019-03-25,28.3,28.9,27.5,28.3,28.1,"62,658"
2019-03-24,27,28,26.7,27.4,26.9,"28,035"
2019-03-21,28.5,28.5,28,28,28.2,"66,568"
2019-03-20,28,28.2,27.6,28,28,"188,282"
2019-03-19,27.1,29,27,27.5,27.2,"40,745"
2019-03-18,27.1,27.9,26.8,27.2,27.2,"20,033"
2019-03-14,27.6,29,27.6,28.4,27.9,"41,712"
2019-03-13,28.5,30.1,28.1,30,29.1,"72,888"
2019-03-12,30,30.3,30,30,30,"166,707"
2019-03-11,30.6,31,30,30.7,30.3,"54,368"
2019-03-10,31.3,31.5,30.3,30.6,31.2,"176,360"
2019-03-07,30.8,30.8,29.7,30,30.3,"88,507"
2019-03-06,29,30.1,28.9,29.5,29.3,"82,192"
2019-03-05,30,31.4,29,30.7,29.5,"194,752"
2019-03-04,30.4,31,29.9,31,30.1,"105,820"
2019-03-03,30.5,31.7,30.5,31.7,30.7,"96,670"
2019-02-27,31.6,32.9,30.7,32.9,31.4,"242,066"
2019-02-26,32.4,33.5,31.6,31.7,32.6,"228,717"
2019-02-25,31.5,33.5,31.4,33,31.6,"118,714"
2019-02-24,32.5,32.6,31.1,31.3,32.2,"149,971"
2019-02-20,30.7,32.2,30.5,31.8,30.8,"293,006"
2019-02-19,31.4,34.1,31.2,32,31.7,"258,044"
2019-02-18,32,34,31.4,34,31.7,"79,336"
2019-02-17,34.3,35.3,32.7,35,33.2,"127,242"
2019-02-14,34,36,33.7,33.7,34.5,"301,170"
2019-02-13,33.2,34.1,31.1,34.1,33.7,"247,698"
2019-02-12,32.5,33.6,30.6,33.3,31,"150,083"
2019-02-11,33.7,33.7,30.5,30.5,33.2,"90,550"
2019-02-10,31.1,35.9,31.1,33.8,31.3,"198,907"
2019-02-07,33.3,35.4,33.3,33.5,33.5,"393,286"
2019-02-06,34,34,32,32.8,33,"315,446"
2019-02-05,31.6,34.9,30,32.4,32,"266,963"
2019-02-04,33.4,36,32.7,34.9,33,"263,910"
2019-02-03,35.2,38.2,35.2,37,35.7,"324,505"
2019-01-31,36.9,38.4,36.5,37.5,36.9,"242,730"
