DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,26.9,27,26.7,27,26.9,"29,528"
2019-06-27,27,27.5,26.9,27.5,27,"33,480"
2019-06-26,27,27.4,26.9,27.4,27,"44,734"
2019-06-25,27,27.5,26.7,27.5,26.9,"38,587"
2019-06-24,26.7,27.2,26.7,27.2,27,"248,237"
2019-06-23,27.1,27.6,27,27.5,27.2,"46,239"
2019-06-20,27.5,27.7,27.1,27.7,27.4,"107,949"
2019-06-19,27.7,28.3,27.5,28.3,27.6,"181,520"
2019-06-18,27.9,28.9,27.8,28.5,28.1,"76,917"
2019-06-17,28.5,29.4,28.3,29.4,28.6,"13,171"
2019-06-16,28.5,29.2,28.4,29.2,28.5,"48,967"
2019-06-13,29.2,29.3,28.9,29.3,29.2,"30,028"
2019-06-12,29,29.5,28.7,29.3,29,"110,170"
2019-06-11,28.9,29.3,28.5,29.3,28.9,"28,500"
2019-06-10,28.9,29.4,28.8,29.4,28.9,"16,236"
2019-06-09,29.2,29.9,28.7,28.9,28.9,"31,305"
2019-05-30,28.6,28.7,28.5,28.7,28.5,"11,900"
2019-05-29,28.5,28.8,27.9,28.8,28.3,"41,970"
2019-05-28,28,29,27.9,28.2,28.1,"60,207"
2019-05-27,28.1,29.1,28.1,29.1,28.3,"45,899"
2019-05-26,28.7,29.6,28.4,28.4,28.6,"5,865"
2019-05-22,32,32.6,31.9,32.6,32.3,"28,478"
2019-05-21,32,34,31.6,32.5,32.1,"59,651"
2019-05-20,32.3,32.6,31.6,31.9,32.2,"10,354"
2019-05-19,32.1,32.7,31.7,32.4,32.6,"49,834"
2019-05-16,31.1,31.2,30,30.9,31,"40,805"
2019-05-15,30.1,30.6,30,30.6,30,"4,115"
2019-05-14,30.4,30.8,29.7,30.8,30.1,"27,330"
2019-05-13,30.9,31.5,29.6,31.5,30.4,"25,500"
2019-05-12,31.5,32.1,31.5,32.1,31.6,"2,499"
2019-05-09,31.5,31.5,30.1,31,31.1,"69,300"
2019-05-08,31.4,31.9,29.7,31.9,30.9,"51,333"
2019-05-07,31.6,32.5,30.8,32.5,30.9,"41,911"
2019-05-06,30.8,34.8,30.8,34.8,31.5,"73,772"
