DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,4.7,4.8,4.7,4.7,4.7,"140,893"
2019-06-27,4.7,4.8,4.7,4.7,4.7,"285,192"
2019-06-26,4.7,4.9,4.7,4.7,4.8,"596,763"
2019-06-25,4.8,5,4.7,4.8,4.8,"455,255"
2019-06-24,4.8,4.9,4.6,4.6,4.9,"1,330,598"
2019-06-23,4.7,4.7,4.5,4.6,4.6,"174,243"
2019-06-20,4.6,4.7,4.5,4.6,4.6,"172,985"
2019-06-19,4.6,4.7,4.5,4.5,4.6,"87,137"
2019-06-18,4.6,4.6,4.5,4.5,4.6,"101,959"
2019-06-17,4.5,4.6,4.5,4.5,4.5,"173,569"
2019-06-16,4.5,4.6,4.5,4.5,4.5,"55,004"
2019-06-13,4.6,4.6,4.5,4.6,4.6,"22,449"
2019-06-12,4.5,4.7,4.5,4.7,4.6,"246,310"
2019-06-11,4.7,4.7,4.5,4.6,4.6,"237,457"
2019-06-10,4.6,4.6,4.5,4.6,4.6,"75,813"
2019-06-09,4.6,4.6,4.5,4.5,4.6,"103,745"
2019-05-30,4.5,4.6,4.5,4.6,4.6,"117,351"
2019-05-29,4.5,4.7,4.5,4.5,4.6,"325,470"
2019-05-28,4.5,4.5,4.4,4.5,4.5,"278,785"
2019-05-27,4.4,4.5,4.4,4.5,4.4,"181,952"
2019-05-26,4.5,4.5,4.3,4.4,4.5,"287,693"
2019-05-23,4.4,4.4,4.3,4.4,4.4,"457,121"
2019-05-22,4.4,4.4,4.3,4.3,4.3,"48,674"
2019-05-21,4.3,4.4,4.3,4.3,4.3,"152,232"
2019-05-20,4.3,4.4,4.3,4.4,4.4,"750,844"
2019-05-19,4.3,4.4,4.3,4.3,4.3,"475,941"
2019-05-16,4.3,4.4,4.3,4.3,4.3,"387,154"
2019-05-15,4.4,4.4,4.3,4.4,4.3,"349,310"
2019-05-14,4.3,4.4,4.3,4.3,4.3,"134,481"
2019-05-13,4.4,4.4,4.3,4.3,4.3,"248,945"
2019-05-12,4.4,4.4,4.2,4.3,4.3,"811,662"
2019-05-09,4.4,4.4,4.2,4.3,4.3,"269,394"
2019-05-08,4.3,4.3,4.2,4.3,4.3,"878,523"
2019-05-07,4.3,4.4,4.3,4.3,4.3,"597,088"
2019-05-06,4.3,4.5,4.3,4.4,4.4,"575,703"
2019-05-05,4.5,4.6,4.3,4.3,4.3,"1,803,162"
2019-05-02,4.4,4.4,4.3,4.3,4.4,"12,198"
2019-04-30,4.3,4.4,4.2,4.3,4.4,"998,048"
2019-04-29,4.2,4.3,4.2,4.3,4.3,"931,713"
2019-04-28,4.3,4.3,4.2,4.2,4.2,"32,618"
2019-04-25,4.2,4.3,4.2,4.2,4.2,"739,284"
2019-04-24,4.2,4.3,4.2,4.2,4.3,"1,120,869"
2019-04-23,4.2,4.2,4.2,4.2,4.2,"203,400"
2019-04-21,4.2,4.2,4.1,4.2,4.2,"277,190"
2019-04-18,4.2,4.3,4.2,4.2,4.2,"503,729"
2019-04-17,4.2,4.2,4.1,4.1,4.2,"233,574"
2019-04-16,4.1,4.2,4.1,4.1,4.1,"15,872"
2019-04-15,4.1,4.2,4.1,4.1,4.2,"243,626"
2019-04-11,4.1,4.2,4.1,4.1,4.1,"70,044"
2019-04-10,4.1,4.2,4.1,4.1,4.1,"444,767"
2019-04-09,4,4.2,4,4.1,4.1,"236,835"
2019-04-08,4.2,4.2,4.1,4.2,4.1,"555,514"
2019-04-07,4.2,4.3,4.2,4.3,4.2,"301,294"
2019-04-04,4.3,4.3,4.2,4.2,4.2,"120,529"
2019-04-03,4.2,4.3,4.2,4.3,4.3,"73,487"
